DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,12.2,12.85,12.2,12.65,12.45,GENUSPAPER
2021-07-15,13.2,13.2,12.25,12.35,12.35,GENUSPAPER
2021-07-14,13.4,13.5,13.0,13.1,13.1,GENUSPAPER
2021-07-13,13.7,13.7,13.25,13.3,13.3,GENUSPAPER
2021-07-12,13.75,13.9,13.25,13.4,13.35,GENUSPAPER
2021-07-09,13.45,13.95,13.35,13.6,13.55,GENUSPAPER
2021-07-08,14.4,14.7,13.1,13.2,13.25,GENUSPAPER
2021-07-07,12.15,14.1,12.0,14.1,14.1,GENUSPAPER
2021-07-06,12.25,12.3,11.7,11.7,11.75,GENUSPAPER
2021-07-05,11.75,12.4,11.7,12.15,12.15,GENUSPAPER
2021-07-02,12.25,12.3,11.55,11.8,11.7,GENUSPAPER
2021-07-01,12.4,12.65,11.8,12.1,11.9,GENUSPAPER
2021-06-30,11.05,12.4,11.0,12.0,12.1,GENUSPAPER
2021-06-29,11.1,11.25,10.85,10.9,10.9,GENUSPAPER
2021-06-28,11.15,11.35,10.45,10.9,10.85,GENUSPAPER
2021-06-25,11.2,11.9,11.0,11.1,11.05,GENUSPAPER
2021-06-24,11.9,12.0,10.9,11.2,11.05,GENUSPAPER
2021-06-23,10.2,12.0,9.9,11.65,11.6,GENUSPAPER
2021-06-22,10.0,10.3,9.45,10.05,10.0,GENUSPAPER
2021-06-21,9.65,10.5,9.3,9.75,9.7,GENUSPAPER
2021-06-18,10.1,10.35,9.0,9.75,9.7,GENUSPAPER
2021-06-17,10.2,10.35,9.9,10.1,10.1,GENUSPAPER
2021-06-16,10.55,10.65,10.0,10.1,10.15,GENUSPAPER
2021-06-15,10.2,10.75,10.1,10.6,10.5,GENUSPAPER
2021-06-14,10.3,10.7,10.05,10.2,10.2,GENUSPAPER
2021-06-11,9.85,10.9,9.5,10.3,10.3,GENUSPAPER
2021-06-10,9.6,9.95,9.55,9.95,9.8,GENUSPAPER
2021-06-09,9.25,10.35,9.2,9.55,9.6,GENUSPAPER
2021-06-08,9.5,9.55,9.1,9.3,9.25,GENUSPAPER
2021-06-07,9.45,9.65,9.1,9.4,9.4,GENUSPAPER
2021-06-04,9.75,9.75,9.3,9.3,9.4,GENUSPAPER
2021-06-03,9.95,9.95,9.5,9.6,9.6,GENUSPAPER
2021-06-02,9.6,10.0,9.35,9.8,9.75,GENUSPAPER
2021-06-01,10.3,10.3,9.05,9.6,9.6,GENUSPAPER
2021-05-31,10.5,11.0,10.05,10.15,10.15,GENUSPAPER
2021-05-28,10.5,10.75,10.1,10.4,10.35,GENUSPAPER
2021-05-27,9.2,10.3,9.0,9.9,9.95,GENUSPAPER
2021-05-26,9.2,9.35,8.95,9.15,9.2,GENUSPAPER
2021-05-25,9.2,9.35,8.65,9.05,9.05,GENUSPAPER
2021-05-24,9.35,9.4,8.9,9.05,9.05,GENUSPAPER
2021-05-21,8.9,9.2,8.8,8.95,9.0,GENUSPAPER
2021-05-20,8.55,8.9,8.2,8.75,8.7,GENUSPAPER
2021-05-19,8.25,8.85,8.2,8.45,8.4,GENUSPAPER
2021-05-18,7.95,8.5,7.8,8.15,8.2,GENUSPAPER
2021-05-17,7.75,8.0,7.75,7.85,7.8,GENUSPAPER
2021-05-14,8.0,8.15,7.6,7.95,8.0,GENUSPAPER
2021-05-12,7.95,8.25,7.7,7.9,7.85,GENUSPAPER
2021-05-11,7.95,8.15,7.85,8.05,8.0,GENUSPAPER
2021-05-10,8.5,8.5,7.9,7.95,7.95,GENUSPAPER
2021-05-07,8.05,8.25,7.9,8.05,8.0,GENUSPAPER
2021-05-06,8.3,8.4,7.9,8.15,8.15,GENUSPAPER
2021-05-05,7.75,8.2,7.35,8.05,8.05,GENUSPAPER
2021-05-04,7.45,8.2,7.2,7.6,7.6,GENUSPAPER
2021-05-03,7.2,7.45,7.2,7.3,7.3,GENUSPAPER
2021-04-30,7.45,7.45,7.25,7.25,7.3,GENUSPAPER
2021-04-29,7.5,7.5,7.35,7.45,7.4,GENUSPAPER
2021-04-28,7.3,7.6,7.3,7.4,7.4,GENUSPAPER
2021-04-27,7.55,7.65,7.4,7.45,7.45,GENUSPAPER
2021-04-26,7.9,7.9,7.35,7.55,7.45,GENUSPAPER
2021-04-23,7.55,7.55,7.2,7.5,7.45,GENUSPAPER
2021-04-22,7.05,7.5,7.05,7.35,7.4,GENUSPAPER
2021-04-20,7.35,7.8,7.25,7.3,7.3,GENUSPAPER
2021-04-19,7.3,7.35,6.9,7.1,7.1,GENUSPAPER
2021-04-16,7.4,7.45,7.25,7.3,7.4,GENUSPAPER
2021-04-15,7.5,7.6,7.25,7.4,7.4,GENUSPAPER
2021-04-13,7.6,7.65,6.55,7.5,7.5,GENUSPAPER
2021-04-12,8.0,8.0,7.0,7.7,7.45,GENUSPAPER
2021-04-09,8.0,8.2,7.85,8.15,8.1,GENUSPAPER
2021-04-08,7.3,8.5,7.25,8.05,8.0,GENUSPAPER
2021-04-07,7.25,7.3,7.15,7.15,7.25,GENUSPAPER
2021-04-06,7.2,7.25,7.05,7.25,7.15,GENUSPAPER
2021-04-05,7.25,7.25,6.95,7.2,7.1,GENUSPAPER
2021-04-01,7.2,7.35,7.05,7.25,7.25,GENUSPAPER
2021-03-31,7.45,7.45,6.85,7.15,7.05,GENUSPAPER
2021-03-30,7.45,7.45,7.1,7.1,7.15,GENUSPAPER
2021-03-26,7.65,7.65,7.1,7.25,7.3,GENUSPAPER
2021-03-25,7.6,7.6,7.15,7.2,7.35,GENUSPAPER
2021-03-24,7.55,7.9,7.2,7.2,7.35,GENUSPAPER
2021-03-23,7.6,8.0,7.35,7.45,7.4,GENUSPAPER
2021-03-22,7.6,7.8,7.4,7.45,7.45,GENUSPAPER
2021-03-19,7.5,7.8,7.1,7.65,7.6,GENUSPAPER
2021-03-18,8.1,8.1,7.5,7.65,7.65,GENUSPAPER
2021-03-17,8.4,8.4,7.8,7.95,7.85,GENUSPAPER
2021-03-16,8.0,8.25,7.9,8.25,8.15,GENUSPAPER
2021-03-15,7.75,8.2,7.35,7.8,7.8,GENUSPAPER
2021-03-12,7.75,8.05,7.6,7.7,7.7,GENUSPAPER
2021-03-10,7.95,8.05,7.7,7.85,7.75,GENUSPAPER
2021-03-09,7.9,8.5,7.65,7.75,7.85,GENUSPAPER
2021-03-08,8.0,8.25,7.8,7.9,7.95,GENUSPAPER
2021-03-05,8.25,8.25,7.75,7.9,7.85,GENUSPAPER
2021-03-04,8.5,8.5,7.9,8.1,8.1,GENUSPAPER
2021-03-03,8.0,8.5,8.0,8.5,8.4,GENUSPAPER
2021-03-02,7.15,7.75,6.95,7.75,7.75,GENUSPAPER
2021-03-01,7.05,7.25,7.0,7.0,7.05,GENUSPAPER
2021-02-26,7.2,7.3,6.95,7.15,7.15,GENUSPAPER
2021-02-25,7.15,7.5,7.0,7.25,7.25,GENUSPAPER
2021-02-24,6.3,6.9,6.3,6.9,6.9,GENUSPAPER
2021-02-23,6.5,6.5,6.3,6.45,6.3,GENUSPAPER
2021-02-22,6.5,6.5,6.3,6.35,6.35,GENUSPAPER
2021-02-19,6.55,6.7,6.4,6.4,6.4,GENUSPAPER
2021-02-18,6.6,6.6,6.4,6.55,6.5,GENUSPAPER
2021-02-17,6.45,6.6,6.3,6.45,6.5,GENUSPAPER
2021-02-16,6.6,6.6,6.25,6.35,6.35,GENUSPAPER
2021-02-15,6.55,6.7,6.45,6.5,6.5,GENUSPAPER
2021-02-12,6.55,6.55,6.4,6.4,6.45,GENUSPAPER
2021-02-11,6.5,6.55,6.3,6.5,6.5,GENUSPAPER
2021-02-10,6.55,6.55,6.35,6.55,6.45,GENUSPAPER
2021-02-09,6.65,6.8,6.45,6.45,6.55,GENUSPAPER
2021-02-08,6.7,6.9,6.25,6.85,6.75,GENUSPAPER
2021-02-05,6.65,6.85,6.5,6.85,6.7,GENUSPAPER
2021-02-04,6.95,6.95,6.5,6.55,6.55,GENUSPAPER
2021-02-03,6.95,6.95,6.7,6.85,6.8,GENUSPAPER
2021-02-02,6.6,6.85,6.55,6.75,6.75,GENUSPAPER
2020-12-30,7.45,7.45,6.9,7.15,7.2,GENUSPAPER
2020-12-29,7.6,7.65,7.2,7.35,7.35,GENUSPAPER
2020-12-28,7.8,8.0,7.45,7.55,7.6,GENUSPAPER
2020-12-24,8.0,8.25,7.65,7.85,7.8,GENUSPAPER
2020-12-23,7.9,8.4,7.7,7.95,7.85,GENUSPAPER
2020-12-22,8.9,8.9,7.6,7.7,7.75,GENUSPAPER
2020-12-21,7.9,8.8,7.6,8.45,8.4,GENUSPAPER
2020-12-18,6.25,7.35,5.7,7.35,7.35,GENUSPAPER
2020-12-17,6.15,6.35,6.05,6.1,6.15,GENUSPAPER
2020-12-16,5.55,6.15,5.55,6.0,6.0,GENUSPAPER
2020-12-15,5.45,6.0,5.35,5.65,5.6,GENUSPAPER
2020-12-14,5.75,5.75,5.5,5.6,5.6,GENUSPAPER
2020-12-11,5.5,5.85,5.45,5.6,5.6,GENUSPAPER
