DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,1700.0,1745.0,1670.1,1730.0,1728.4,1807.5,1376.0,GLAXO
2021-07-23,1627.0,1687.0,1627.0,1681.0,1681.75,1807.5,1376.0,GLAXO
2021-07-22,1620.0,1659.0,1605.0,1615.4,1609.05,1807.5,1376.0,GLAXO
2021-07-20,1610.0,1628.0,1593.05,1607.0,1605.3,1807.5,1376.0,GLAXO
2021-07-19,1550.0,1652.0,1548.25,1607.3,1607.55,1807.5,1376.0,GLAXO
2021-07-16,1545.0,1582.5,1537.2,1580.0,1577.35,1807.5,1376.0,GLAXO
2021-07-15,1549.0,1555.0,1520.15,1549.9,1546.55,1807.5,1376.0,GLAXO
2021-07-14,1516.6,1559.0,1516.05,1544.0,1542.15,1807.5,1376.0,GLAXO
2021-07-13,1504.0,1514.9,1490.0,1511.05,1513.0,1807.5,1376.0,GLAXO
2021-07-12,1504.8,1515.0,1495.0,1497.0,1496.05,1807.5,1376.0,GLAXO
2021-07-09,1509.7,1509.7,1492.0,1503.0,1496.95,1807.5,1376.0,GLAXO
2021-07-08,1514.0,1517.35,1499.0,1503.0,1504.75,1807.5,1376.0,GLAXO
2021-07-07,1517.0,1534.95,1507.1,1510.5,1512.0,1807.5,1376.0,GLAXO
2021-07-06,1513.0,1526.5,1508.9,1512.0,1514.7,1807.5,1376.0,GLAXO
2021-07-05,1522.9,1529.55,1510.0,1517.8,1511.7,1807.5,1376.0,GLAXO
2021-07-02,1512.7,1521.05,1500.0,1517.0,1515.8,1807.5,1376.0,GLAXO
2021-07-01,1503.05,1522.9,1500.1,1503.2,1507.95,1807.5,1376.0,GLAXO
2021-06-30,1519.0,1539.0,1500.05,1505.0,1502.2,1807.5,1376.0,GLAXO
2021-06-29,1529.0,1536.05,1510.35,1517.3,1516.15,1807.5,1376.0,GLAXO
2021-06-28,1519.95,1540.35,1516.0,1527.05,1527.9,1807.5,1376.0,GLAXO
2021-06-25,1515.0,1540.0,1510.6,1515.0,1514.8,1807.5,1371.1,GLAXO
2021-06-24,1545.0,1548.8,1513.65,1519.0,1517.1,1807.5,1371.1,GLAXO
2021-06-23,1518.7,1537.0,1508.0,1532.7,1526.4,1807.5,1371.1,GLAXO
2021-06-22,1550.0,1551.45,1507.0,1515.0,1510.75,1807.5,1371.1,GLAXO
2021-06-21,1515.1,1555.0,1500.15,1536.0,1535.65,1807.5,1371.1,GLAXO
2021-06-18,1546.0,1558.75,1501.1,1533.0,1517.2,1807.5,1360.1,GLAXO
2021-06-17,1530.0,1563.8,1530.0,1543.1,1542.85,1807.5,1360.1,GLAXO
2021-06-16,1584.95,1589.95,1560.0,1572.0,1568.15,1807.5,1360.1,GLAXO
2021-06-15,1599.0,1634.35,1565.2,1576.5,1580.15,1807.5,1360.1,GLAXO
2021-06-14,1525.0,1614.0,1495.0,1589.95,1582.2,1807.5,1360.1,GLAXO
2021-06-11,1491.95,1525.4,1481.05,1520.0,1517.05,1807.5,1206.0,GLAXO
2021-06-10,1480.0,1492.0,1478.05,1481.0,1480.15,1807.5,1206.0,GLAXO
2021-06-09,1490.0,1500.0,1477.3,1487.0,1482.2,1807.5,1206.0,GLAXO
2021-06-08,1499.0,1507.85,1485.0,1492.0,1488.25,1807.5,1206.0,GLAXO
2021-06-07,1520.0,1520.0,1490.0,1492.5,1491.95,1807.5,1206.0,GLAXO
2021-06-04,1521.0,1527.05,1505.05,1510.5,1507.6,1807.5,1206.0,GLAXO
2021-06-03,1524.4,1532.8,1505.1,1520.2,1520.65,1807.5,1206.0,GLAXO
2021-06-02,1500.0,1529.0,1495.8,1521.0,1524.35,1807.5,1206.0,GLAXO
2021-06-01,1524.9,1530.0,1492.5,1495.0,1495.75,1807.5,1206.0,GLAXO
2021-05-31,1535.0,1547.85,1512.0,1514.05,1517.7,1807.5,1206.0,GLAXO
2021-05-28,1528.0,1575.0,1506.0,1534.0,1528.6,1807.5,1206.0,GLAXO
2021-05-27,1475.0,1525.0,1469.25,1509.0,1504.75,1807.5,1206.0,GLAXO
2021-05-26,1470.05,1475.0,1457.0,1466.9,1464.05,1807.5,1206.0,GLAXO
2021-05-25,1467.25,1474.7,1456.0,1469.85,1468.7,1807.5,1206.0,GLAXO
2021-05-24,1470.8,1476.9,1457.55,1465.0,1467.25,1807.5,1206.0,GLAXO
2021-05-21,1483.0,1487.85,1454.2,1463.5,1462.15,1807.5,1206.0,GLAXO
2021-05-20,1494.2,1503.85,1449.0,1480.0,1463.8,1807.5,1206.0,GLAXO
2021-05-19,1507.05,1509.9,1470.0,1494.0,1494.1,1807.5,1206.0,GLAXO
2021-05-18,1516.45,1546.0,1508.0,1519.0,1516.45,1807.5,1206.0,GLAXO
2021-05-17,1519.9,1543.45,1511.2,1515.0,1516.45,1807.5,1206.0,GLAXO
2021-05-14,1485.0,1544.0,1475.85,1506.9,1504.1,1807.5,1206.0,GLAXO
2021-05-12,1476.0,1484.0,1463.0,1480.0,1477.5,1807.5,1206.0,GLAXO
2021-05-11,1450.0,1480.7,1449.95,1476.0,1475.75,1807.5,1206.0,GLAXO
2021-05-10,1470.0,1477.0,1448.6,1454.0,1451.8,1807.5,1206.0,GLAXO
