DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-08,519.95,529.25,516.75,527.1,690.95,442.05,GLENMARK
2021-10-07,506.0,518.5,505.3,517.35,690.95,442.05,GLENMARK
2021-10-06,521.95,521.95,503.45,504.75,690.95,442.05,GLENMARK
2021-10-05,519.85,521.55,511.0,519.8,690.95,442.05,GLENMARK
2021-10-04,514.0,523.25,513.75,519.8,690.95,442.05,GLENMARK
2021-10-01,508.9,514.0,505.95,513.15,690.95,442.05,GLENMARK
2021-09-30,516.0,518.65,506.65,510.45,690.95,442.05,GLENMARK
2021-09-29,498.0,514.75,492.6,509.1,690.95,442.05,GLENMARK
2021-09-28,504.0,506.35,491.45,497.05,690.95,442.05,GLENMARK
2021-09-27,511.0,511.0,501.0,503.6,690.95,442.05,GLENMARK
2021-09-24,512.5,515.45,500.3,508.1,690.95,441.7,GLENMARK
2021-09-23,514.0,516.0,508.6,512.0,690.95,441.7,GLENMARK
2021-09-22,507.9,514.55,507.35,511.95,690.95,441.7,GLENMARK
2021-09-21,496.0,508.0,489.15,506.2,690.95,441.7,GLENMARK
2021-09-20,518.85,518.85,492.2,494.6,690.95,441.7,GLENMARK
2021-09-17,537.85,539.45,517.1,518.85,690.95,441.7,GLENMARK
2021-09-16,536.1,539.5,533.05,535.4,690.95,441.7,GLENMARK
2021-09-15,532.0,537.6,528.0,535.9,690.95,441.7,GLENMARK
2021-09-14,520.3,533.65,520.0,531.55,690.95,441.7,GLENMARK
2021-09-13,526.9,527.3,517.7,518.7,690.95,441.7,GLENMARK
2021-09-09,520.15,529.0,519.55,524.55,690.95,441.7,GLENMARK
2021-09-08,530.0,530.0,518.3,520.15,690.95,441.7,GLENMARK
2021-09-07,536.4,539.45,528.0,530.5,690.95,441.7,GLENMARK
2021-09-06,533.0,538.95,527.3,535.85,690.95,441.7,GLENMARK
2021-09-03,541.0,544.0,532.25,533.75,690.95,441.7,GLENMARK
2021-09-02,532.1,540.9,532.0,538.4,690.95,441.7,GLENMARK
2021-09-01,531.0,535.5,528.4,532.05,690.95,441.7,GLENMARK
2021-08-31,532.8,532.8,523.25,530.3,690.95,441.7,GLENMARK
2021-08-30,516.7,530.85,514.65,528.25,690.95,441.7,GLENMARK
2021-08-27,513.0,522.3,512.35,516.6,690.95,441.7,GLENMARK
2021-08-26,519.8,524.3,511.05,512.85,690.95,441.7,GLENMARK
2021-08-25,522.95,527.5,518.4,519.7,690.95,441.7,GLENMARK
2021-08-24,527.0,531.6,515.1,521.65,690.95,441.7,GLENMARK
2021-08-23,545.0,547.9,524.05,527.65,690.95,441.7,GLENMARK
2021-08-20,550.0,559.15,535.0,539.75,690.95,441.7,GLENMARK
2021-08-18,556.0,559.0,551.0,553.6,690.95,441.7,GLENMARK
2021-08-17,569.85,569.85,550.5,554.0,690.95,441.7,GLENMARK
2021-08-16,570.2,583.0,560.0,569.35,690.95,441.7,GLENMARK
2021-08-13,572.9,575.9,560.0,563.25,690.95,441.7,GLENMARK
2021-08-12,580.9,583.3,567.6,570.6,690.95,441.7,GLENMARK
2021-08-11,582.0,585.9,565.8,578.4,690.95,441.7,GLENMARK
2021-08-10,590.75,594.3,572.25,580.95,690.95,441.7,GLENMARK
2021-08-09,597.3,597.9,587.0,590.8,690.95,441.7,GLENMARK
2021-08-06,603.75,605.75,583.0,596.45,690.95,441.7,GLENMARK
2021-08-05,598.0,603.9,591.2,599.0,690.95,441.7,GLENMARK
2021-08-04,604.3,609.1,593.2,595.8,690.95,441.7,GLENMARK
2021-08-03,606.0,608.7,598.25,604.4,690.95,441.7,GLENMARK
2021-08-02,614.9,616.0,601.45,605.65,690.95,441.7,GLENMARK
2021-07-30,593.0,611.8,590.45,607.45,690.95,414.0,GLENMARK
2021-07-29,590.2,595.1,585.05,591.6,690.95,414.0,GLENMARK
2021-07-28,591.95,605.45,581.8,587.65,690.95,414.0,GLENMARK
2021-07-27,635.5,635.5,585.05,588.75,690.95,414.0,GLENMARK
2021-07-26,650.05,650.05,623.0,626.4,690.95,414.0,GLENMARK
2021-07-23,673.0,674.55,645.0,649.9,690.95,405.0,GLENMARK
2021-07-22,670.0,683.05,665.9,672.3,690.95,405.0,GLENMARK
2021-07-20,682.55,685.9,665.0,667.6,690.95,405.0,GLENMARK
2021-07-19,676.0,690.95,676.0,682.55,690.95,405.0,GLENMARK
2021-07-16,655.85,690.0,655.85,687.05,690.0,405.0,GLENMARK
2021-07-15,662.55,665.9,654.5,655.85,674.95,405.0,GLENMARK
2021-07-14,656.9,668.5,655.8,664.25,674.95,405.0,GLENMARK
2021-07-13,661.0,663.8,653.05,657.5,674.95,405.0,GLENMARK
2021-07-12,670.0,674.95,652.2,656.2,674.95,405.0,GLENMARK
2021-07-09,649.8,667.85,645.25,665.3,672.0,405.0,GLENMARK
2021-07-08,662.5,664.8,646.4,649.2,672.0,405.0,GLENMARK
2021-07-07,649.7,666.85,647.1,662.5,672.0,405.0,GLENMARK
2021-07-06,662.9,664.85,645.1,648.4,672.0,405.0,GLENMARK
2021-07-05,665.0,667.75,661.0,662.1,672.0,405.0,GLENMARK
2021-07-02,653.15,667.9,653.15,662.7,672.0,405.0,GLENMARK
2021-07-01,652.4,658.0,647.1,653.15,672.0,405.0,GLENMARK
2021-06-30,657.8,660.15,650.0,652.55,672.0,405.0,GLENMARK
2021-06-29,666.95,671.3,653.0,655.2,672.0,405.0,GLENMARK
2021-06-28,649.4,672.0,644.25,667.05,672.0,405.0,GLENMARK
2021-06-25,636.0,650.0,634.5,646.4,658.2,405.0,GLENMARK
2021-06-24,641.0,642.75,626.0,631.25,658.2,405.0,GLENMARK
2021-06-23,645.0,646.95,636.0,638.95,658.2,405.0,GLENMARK
2021-06-22,646.0,649.85,638.6,640.3,658.2,405.0,GLENMARK
2021-06-21,638.0,647.45,632.75,641.15,658.2,405.0,GLENMARK
2021-06-18,643.0,647.15,626.0,640.4,658.2,387.05,GLENMARK
2021-06-17,639.9,653.5,630.0,639.5,658.2,387.05,GLENMARK
2021-06-16,641.2,653.9,636.55,642.7,658.2,387.05,GLENMARK
2021-06-15,647.75,649.05,638.0,640.9,658.2,387.05,GLENMARK
2021-06-14,658.2,658.2,635.0,643.85,658.2,387.05,GLENMARK
2021-06-11,636.95,657.9,633.6,652.9,657.9,371.0,GLENMARK
2021-06-10,625.0,642.35,624.15,633.75,643.3,371.0,GLENMARK
2021-06-09,635.0,643.3,616.75,623.15,643.3,371.0,GLENMARK
2021-06-08,614.65,632.4,595.0,629.3,640.0,371.0,GLENMARK
2021-06-07,614.45,621.45,613.0,616.3,640.0,371.0,GLENMARK
2021-06-04,619.4,625.9,612.25,614.4,640.0,356.25,GLENMARK
