DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,272.85,275.65,265.0,275.0,274.5,GOCLCORP
2021-07-15,276.0,276.0,269.1,269.9,270.2,GOCLCORP
2021-07-14,276.0,276.0,268.2,269.2,269.85,GOCLCORP
2021-07-13,275.0,275.0,267.05,268.1,268.45,GOCLCORP
2021-07-12,269.1,274.65,269.0,269.0,270.5,GOCLCORP
2021-07-09,271.2,274.7,264.0,272.0,271.75,GOCLCORP
2021-07-08,276.2,284.05,267.05,269.55,269.0,GOCLCORP
2021-07-07,281.05,283.9,272.3,276.2,276.5,GOCLCORP
2021-07-06,283.9,295.0,276.05,278.0,278.8,GOCLCORP
2021-07-05,285.0,286.2,280.0,284.0,281.2,GOCLCORP
2021-07-02,273.0,279.9,268.65,276.8,274.15,GOCLCORP
2021-07-01,277.0,277.0,267.5,270.1,270.85,GOCLCORP
2021-06-30,283.0,285.0,270.05,273.0,273.25,GOCLCORP
2021-06-29,281.0,281.0,266.1,269.0,270.25,GOCLCORP
2021-06-28,253.0,279.9,253.0,275.5,276.5,GOCLCORP
2021-06-25,251.05,257.1,250.1,250.1,251.8,GOCLCORP
2021-06-24,259.1,263.9,252.9,253.45,253.7,GOCLCORP
2021-06-23,262.55,266.8,256.0,258.05,258.2,GOCLCORP
2021-06-22,261.0,270.05,261.0,262.65,262.65,GOCLCORP
2021-06-21,246.5,264.9,237.95,258.0,261.4,GOCLCORP
2021-06-18,262.95,264.55,235.0,246.1,246.55,GOCLCORP
2021-06-17,265.2,273.55,256.6,259.6,258.9,GOCLCORP
2021-06-16,271.6,277.3,263.0,263.1,264.75,GOCLCORP
2021-06-15,278.7,278.9,267.0,270.95,270.85,GOCLCORP
2021-06-14,278.6,286.65,260.3,277.4,277.6,GOCLCORP
2021-06-11,267.0,297.55,265.1,275.8,276.35,GOCLCORP
2021-06-10,254.0,264.0,254.0,258.0,256.25,GOCLCORP
2021-06-09,266.15,267.05,252.9,255.0,253.8,GOCLCORP
2021-06-08,280.0,280.0,263.0,263.5,264.0,GOCLCORP
2021-06-07,252.0,286.8,249.75,279.0,279.25,GOCLCORP
2021-06-04,255.0,255.0,237.05,252.0,249.75,GOCLCORP
2021-06-03,228.4,252.0,228.0,241.0,241.05,GOCLCORP
2021-06-02,218.0,234.5,215.2,233.0,231.95,GOCLCORP
2021-06-01,223.0,225.95,216.35,217.0,218.55,GOCLCORP
