DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,636.9,647.65,625.0,630.15,652.0,370.55,GODREJIND
2021-11-11,636.0,641.95,618.05,632.75,652.0,370.55,GODREJIND
2021-11-10,646.4,652.0,626.15,632.55,652.0,370.55,GODREJIND
2021-11-09,604.45,648.1,602.5,643.5,648.1,370.55,GODREJIND
2021-11-08,608.0,614.7,599.1,602.4,617.65,370.55,GODREJIND
2021-11-04,609.0,614.0,603.4,608.35,617.65,352.0,GODREJIND
2021-11-03,610.0,617.5,597.0,605.85,617.65,352.0,GODREJIND
2021-11-02,584.0,610.0,582.0,604.1,617.65,352.0,GODREJIND
2021-11-01,581.35,585.0,571.6,581.95,617.65,352.0,GODREJIND
2021-10-29,579.6,589.0,564.6,580.5,617.65,352.0,GODREJIND
2021-10-28,575.0,579.3,562.95,565.4,617.65,352.0,GODREJIND
2021-10-27,578.95,583.0,568.4,575.7,617.65,352.0,GODREJIND
2021-10-26,576.5,579.0,570.05,575.45,617.65,352.0,GODREJIND
2021-10-25,578.9,584.0,558.0,576.5,617.65,352.0,GODREJIND
2021-10-22,580.0,581.4,565.0,578.8,617.65,352.0,GODREJIND
2021-10-21,572.4,579.0,560.2,575.6,617.65,352.0,GODREJIND
2021-10-20,570.8,573.0,555.05,570.4,617.65,352.0,GODREJIND
2021-10-19,579.25,584.85,564.0,566.4,617.65,352.0,GODREJIND
2021-10-18,573.0,580.5,570.3,578.1,617.65,352.0,GODREJIND
2021-10-14,580.0,582.6,567.85,569.35,617.65,352.0,GODREJIND
2021-10-13,578.0,584.7,575.0,577.85,617.65,352.0,GODREJIND
2021-10-12,581.3,587.0,576.0,578.2,617.65,352.0,GODREJIND
2021-10-11,594.65,594.65,574.05,578.4,617.65,352.0,GODREJIND
2021-10-08,579.8,592.85,576.0,588.3,617.65,352.0,GODREJIND
2021-10-07,570.0,578.05,566.7,576.05,617.65,352.0,GODREJIND
2021-10-06,566.9,571.35,564.0,567.6,617.65,352.0,GODREJIND
2021-10-05,566.3,571.5,562.05,565.05,617.65,352.0,GODREJIND
2021-10-04,560.55,569.95,560.55,565.65,617.65,352.0,GODREJIND
2021-10-01,578.9,579.0,564.0,564.85,617.65,352.0,GODREJIND
2021-09-30,578.0,584.4,574.5,579.15,617.65,352.0,GODREJIND
2021-09-29,566.0,579.0,562.95,574.0,617.65,352.0,GODREJIND
2021-09-28,579.0,582.4,562.9,566.4,617.65,352.0,GODREJIND
2021-09-27,578.0,591.0,568.3,577.45,617.65,352.0,GODREJIND
2021-09-24,594.8,600.8,573.0,577.85,617.65,352.0,GODREJIND
2021-09-23,575.0,594.5,570.0,588.8,617.65,352.0,GODREJIND
2021-09-22,558.7,570.0,550.0,567.3,617.65,352.0,GODREJIND
2021-09-21,555.0,560.0,551.0,554.85,617.65,352.0,GODREJIND
2021-09-20,546.8,561.95,537.2,555.0,617.65,352.0,GODREJIND
2021-09-17,558.9,560.05,545.0,546.8,617.65,352.0,GODREJIND
2021-09-16,556.35,560.0,554.0,554.95,617.65,352.0,GODREJIND
2021-09-15,552.4,561.25,547.9,553.8,617.65,352.0,GODREJIND
2021-09-14,558.2,560.0,547.8,551.2,617.65,352.0,GODREJIND
2021-09-13,559.0,561.7,551.5,553.7,617.65,352.0,GODREJIND
2021-09-09,564.75,567.45,558.0,559.75,617.65,352.0,GODREJIND
2021-09-08,565.0,571.6,560.0,562.2,617.65,352.0,GODREJIND
2021-09-07,577.0,577.0,561.0,565.45,617.65,352.0,GODREJIND
2021-09-06,575.0,583.0,572.1,574.55,617.65,352.0,GODREJIND
2021-09-03,564.0,586.0,560.9,571.3,617.65,352.0,GODREJIND
2021-09-02,562.8,569.0,560.0,560.9,617.65,352.0,GODREJIND
2021-09-01,561.1,565.0,558.0,559.25,617.65,352.0,GODREJIND
2021-08-31,560.0,569.0,556.0,558.8,617.65,352.0,GODREJIND
2021-08-30,553.55,569.0,553.0,559.8,617.65,352.0,GODREJIND
2021-08-27,555.1,558.8,547.05,551.15,617.65,352.0,GODREJIND
2021-08-26,546.5,557.65,543.0,552.05,617.65,352.0,GODREJIND
2021-08-25,548.8,559.5,540.85,543.0,617.65,352.0,GODREJIND
2021-08-24,551.75,559.75,541.0,544.6,617.65,352.0,GODREJIND
2021-08-23,555.75,563.1,545.6,550.55,617.65,352.0,GODREJIND
2021-08-20,562.0,567.15,550.4,554.35,617.65,352.0,GODREJIND
2021-08-18,563.4,575.45,561.9,567.1,617.65,352.0,GODREJIND
2021-08-17,573.4,577.0,566.1,568.35,617.65,352.0,GODREJIND
2021-08-16,566.75,574.95,551.5,571.15,617.65,352.0,GODREJIND
2021-08-13,571.45,584.7,546.15,562.4,617.65,352.0,GODREJIND
2021-08-12,566.0,577.8,560.6,566.15,617.65,352.0,GODREJIND
2021-08-11,583.65,583.65,551.7,565.5,617.65,352.0,GODREJIND
2021-08-10,592.7,592.7,572.0,581.05,617.65,352.0,GODREJIND
2021-08-09,590.7,609.15,580.1,584.3,617.65,352.0,GODREJIND
2021-08-06,597.0,617.65,587.0,590.7,617.65,350.1,GODREJIND
2021-08-05,601.0,605.0,591.15,598.55,614.85,350.1,GODREJIND
2021-08-04,580.0,614.85,578.15,601.15,614.85,350.1,GODREJIND
2021-08-03,550.7,581.0,549.4,577.0,611.55,350.1,GODREJIND
2021-08-02,551.5,562.8,544.2,547.8,611.55,350.1,GODREJIND
2021-07-30,542.0,554.85,539.25,546.05,611.55,350.1,GODREJIND
2021-07-29,545.5,550.0,539.0,542.95,611.55,350.1,GODREJIND
2021-07-28,545.65,548.5,536.0,545.25,611.55,350.1,GODREJIND
2021-07-27,550.45,554.9,541.5,545.65,611.55,350.1,GODREJIND
2021-07-26,547.25,562.0,545.1,547.7,611.55,350.1,GODREJIND
2021-07-23,556.9,557.35,534.0,547.2,611.55,348.25,GODREJIND
2021-07-22,554.4,566.0,552.0,554.45,611.55,348.25,GODREJIND
