DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,304.0,305.9,290.65,296.6,1550.05,290.65,GPIL
2021-11-11,299.05,310.7,297.15,305.9,1550.05,297.15,GPIL
2021-11-10,321.0,321.0,312.1,312.1,1550.05,312.1,GPIL
2021-11-09,340.0,342.0,326.35,328.5,1550.05,326.35,GPIL
2021-11-08,353.0,353.4,336.0,339.85,1550.05,336.0,GPIL
2021-11-04,340.0,347.4,340.0,347.2,1550.05,339.0,GPIL
2021-10-28,372.75,374.75,354.2,361.55,1550.05,339.0,GPIL
2021-10-27,374.0,397.15,370.0,391.45,1550.05,339.0,GPIL
2021-10-26,339.0,361.05,339.0,361.05,1550.05,339.0,GPIL
2021-10-25,1415.0,1419.0,1291.0,1313.0,1550.05,340.05,GPIL
2021-10-22,1461.0,1469.4,1360.0,1361.95,1550.05,340.05,GPIL
2021-10-21,1410.0,1449.85,1380.0,1431.55,1550.05,340.05,GPIL
2021-10-20,1475.0,1482.9,1390.2,1393.05,1550.05,301.05,GPIL
2021-10-19,1495.7,1495.7,1438.45,1463.35,1550.05,301.05,GPIL
2021-10-18,1424.5,1424.5,1402.0,1424.5,1550.05,291.95,GPIL
2021-10-14,1390.2,1411.15,1350.0,1356.7,1550.05,267.0,GPIL
2021-10-13,1393.0,1420.0,1341.0,1397.4,1550.05,267.0,GPIL
2021-10-12,1365.0,1433.25,1364.1,1386.0,1550.05,267.0,GPIL
2021-10-11,1329.0,1369.05,1302.0,1365.0,1550.05,267.0,GPIL
2021-10-08,1290.0,1325.25,1290.0,1303.9,1550.05,267.0,GPIL
2021-10-07,1277.0,1291.35,1265.0,1284.2,1550.05,266.3,GPIL
2021-10-06,1274.45,1295.0,1260.05,1266.95,1550.05,234.95,GPIL
2021-10-05,1282.55,1296.0,1265.05,1269.45,1550.05,169.95,GPIL
2021-10-04,1295.0,1300.0,1276.0,1282.55,1550.05,165.05,GPIL
2021-10-01,1268.1,1315.0,1251.0,1280.9,1550.05,160.0,GPIL
2021-09-30,1254.0,1290.65,1227.4,1278.95,1550.05,153.0,GPIL
2021-09-29,1161.0,1229.2,1150.0,1229.2,1550.05,153.0,GPIL
2021-09-28,1165.0,1194.0,1158.0,1170.7,1550.05,153.0,GPIL
2021-09-27,1170.0,1199.0,1150.0,1156.1,1550.05,153.0,GPIL
2021-06-17,1435.0,1485.0,1375.05,1395.45,1550.05,151.25,GPIL
2021-06-16,1444.0,1494.0,1410.0,1439.2,1550.05,151.25,GPIL
2021-06-15,1550.0,1550.05,1411.0,1431.9,1550.05,151.25,GPIL
2021-06-14,1291.0,1508.25,1261.05,1504.05,1508.25,151.25,GPIL
2021-06-11,1164.9,1282.0,1150.0,1256.9,1282.0,127.0,GPIL
2021-06-10,1021.0,1175.55,1018.0,1107.85,1175.55,127.0,GPIL
2021-06-09,997.8,1044.9,991.45,1009.4,1129.9,127.0,GPIL
2021-06-08,994.0,998.05,980.1,989.0,1129.9,127.0,GPIL
2021-06-07,968.8,1005.0,968.8,983.8,1129.9,127.0,GPIL
2021-06-04,974.0,976.0,961.0,965.3,1129.9,118.0,GPIL
2021-06-03,969.9,984.0,958.3,967.15,1129.9,118.0,GPIL
2021-06-02,930.0,981.0,928.35,964.0,1129.9,118.0,GPIL
2021-06-01,980.0,981.8,912.0,924.4,1129.9,118.0,GPIL
2021-05-31,980.0,989.0,956.55,963.15,1129.9,118.0,GPIL
2021-05-28,995.0,1004.6,970.5,975.2,1129.9,105.45,GPIL
2021-05-27,990.0,997.0,963.0,968.0,1129.9,105.45,GPIL
2021-05-26,1025.0,1048.0,980.85,995.0,1129.9,105.45,GPIL
2021-05-25,919.9,978.35,918.0,955.9,1129.9,105.45,GPIL
2021-05-24,875.0,918.0,845.5,910.2,1129.9,105.45,GPIL
2021-05-21,890.0,918.0,866.0,880.3,1129.9,104.4,GPIL
2021-05-20,936.8,936.9,758.85,869.3,1129.9,104.4,GPIL
2021-05-19,966.0,989.2,932.05,939.95,1129.9,104.4,GPIL
2021-05-18,998.85,1008.85,951.5,964.7,1129.9,104.4,GPIL
2021-05-17,950.0,994.85,923.3,983.4,1129.9,104.4,GPIL
2021-05-14,1083.9,1086.1,916.0,950.9,1129.9,104.4,GPIL
2021-05-12,1090.0,1129.9,1061.2,1079.15,1129.9,104.4,GPIL
2021-05-11,1040.0,1095.0,1016.55,1068.7,1098.85,104.4,GPIL
2021-05-10,1035.0,1098.85,1030.0,1052.2,1098.85,104.4,GPIL
2021-05-07,1001.0,1019.9,987.8,1005.75,1081.1,104.4,GPIL
2021-05-06,1000.0,1019.9,980.45,990.2,1081.1,104.4,GPIL
2021-05-05,970.0,1027.65,966.15,990.9,1081.1,104.4,GPIL
2021-05-04,1010.0,1028.0,940.5,955.05,1081.1,104.4,GPIL
2021-05-03,953.0,1081.1,951.0,984.2,1081.1,104.4,GPIL
2021-04-30,873.0,945.0,873.0,934.25,945.0,104.4,GPIL
2021-04-29,871.9,898.0,871.9,886.35,898.0,104.4,GPIL
2021-04-28,876.7,887.6,857.8,863.5,887.6,104.4,GPIL
2021-04-27,820.0,874.95,816.55,866.7,874.95,104.4,GPIL
2021-04-26,811.0,830.0,810.05,812.1,839.95,104.4,GPIL
2021-04-23,798.0,835.0,795.0,801.9,839.95,104.4,GPIL
2021-04-22,770.55,818.1,763.35,812.45,839.95,104.4,GPIL
2021-04-20,778.2,788.0,760.0,765.3,839.95,104.4,GPIL
2021-04-19,741.0,779.4,737.0,767.7,839.95,104.4,GPIL
2021-04-16,778.65,783.0,758.0,769.65,839.95,104.4,GPIL
2021-04-15,770.0,794.0,752.25,771.9,839.95,104.4,GPIL
2021-04-13,779.0,779.0,738.9,765.8,839.95,104.4,GPIL
2021-04-12,790.0,796.0,748.9,751.1,839.95,104.4,GPIL
2021-04-09,811.0,822.3,798.0,810.05,839.95,104.4,GPIL
2021-04-08,802.0,839.95,795.0,807.0,839.95,104.4,GPIL
2021-04-07,790.0,804.95,778.0,794.8,814.0,104.4,GPIL
2021-04-06,796.0,814.0,771.1,777.65,814.0,104.4,GPIL
2021-04-05,766.0,807.0,749.45,792.45,807.0,104.4,GPIL
2021-04-01,725.05,772.0,721.0,759.3,772.0,92.75,GPIL
2021-03-31,729.8,737.9,716.65,718.85,755.0,92.75,GPIL
2021-03-30,728.4,755.0,715.05,727.15,755.0,92.75,GPIL
2021-03-26,725.5,741.4,700.85,718.55,742.5,80.5,GPIL
2021-03-25,692.15,742.5,664.05,712.85,742.5,80.5,GPIL
2021-03-24,709.2,718.65,681.0,693.65,723.95,80.5,GPIL
2021-03-23,677.0,723.95,675.9,709.7,723.95,80.5,GPIL
2021-03-22,646.0,689.4,645.0,672.45,689.4,80.5,GPIL
2021-03-19,614.65,648.8,597.1,642.65,674.0,80.5,GPIL
2021-03-18,610.2,674.0,608.45,622.6,674.0,80.5,GPIL
2021-03-17,624.95,633.0,600.25,605.4,664.0,80.5,GPIL
2021-03-16,650.0,664.0,612.7,623.6,664.0,80.5,GPIL
2021-03-15,568.7,641.2,553.55,630.25,641.2,80.5,GPIL
2021-03-12,558.85,565.0,555.05,561.7,618.0,80.5,GPIL
2021-03-10,539.9,556.85,539.05,553.75,618.0,80.5,GPIL
2021-03-09,570.0,573.15,525.1,535.1,618.0,80.5,GPIL
2021-03-08,568.05,578.0,562.0,565.15,618.0,80.5,GPIL
2021-03-05,591.95,594.75,558.0,562.25,618.0,80.5,GPIL
2021-03-04,585.85,604.0,582.3,587.5,618.0,80.5,GPIL
2021-03-03,587.0,611.1,587.0,592.1,618.0,80.5,GPIL
2021-03-02,589.0,597.0,580.0,583.1,618.0,80.5,GPIL
2021-03-01,583.0,603.0,572.95,584.15,618.0,80.5,GPIL
2021-02-26,570.0,602.0,565.4,578.8,618.0,80.5,GPIL
2021-02-25,596.0,618.0,576.1,584.2,618.0,80.5,GPIL
2021-02-24,577.8,592.2,562.0,582.5,592.2,80.5,GPIL
2021-02-23,518.0,573.7,515.4,563.4,573.7,80.5,GPIL
2021-02-22,515.15,532.45,510.25,516.35,560.0,80.5,GPIL
2021-02-19,521.0,534.0,507.0,512.95,560.0,80.5,GPIL
2021-02-18,502.0,531.55,498.7,521.55,560.0,80.5,GPIL
2021-02-17,498.8,513.7,494.0,497.45,560.0,80.5,GPIL
2021-02-16,494.2,512.1,490.0,495.55,560.0,80.5,GPIL
2021-02-15,504.0,508.85,491.0,496.5,560.0,80.5,GPIL
2021-02-12,508.0,508.8,495.0,501.45,560.0,80.5,GPIL
2021-02-11,497.5,511.9,487.6,504.9,560.0,80.5,GPIL
2021-02-10,498.9,503.35,485.0,494.8,560.0,80.5,GPIL
2021-02-09,491.0,509.65,486.4,492.6,560.0,80.5,GPIL
2021-02-08,528.4,528.4,485.2,492.25,560.0,80.5,GPIL
2021-02-05,541.0,543.0,513.55,518.35,560.0,80.5,GPIL
2021-02-04,545.0,548.0,521.1,534.05,560.0,80.5,GPIL
2021-02-03,510.1,536.65,507.0,536.65,560.0,80.5,GPIL
2021-02-02,507.4,517.7,485.0,511.1,560.0,80.5,GPIL
2021-02-01,491.0,500.55,454.0,499.55,560.0,80.5,GPIL
2021-01-29,460.05,477.0,460.05,476.75,560.0,80.5,GPIL
2021-01-28,448.8,459.9,435.0,454.3,560.0,80.5,GPIL
2021-01-27,472.5,476.15,448.55,452.6,560.0,80.5,GPIL
2021-01-25,491.0,502.1,466.3,472.15,560.0,80.5,GPIL
2021-01-22,522.85,526.9,490.8,490.8,560.0,80.5,GPIL
2021-01-21,538.0,544.0,511.85,516.6,560.0,80.5,GPIL
2021-01-20,534.8,547.2,531.1,537.45,560.0,80.5,GPIL
2021-01-19,535.0,549.0,530.0,537.35,560.0,80.5,GPIL
2021-01-18,555.0,558.0,521.1,528.3,560.0,80.5,GPIL
2021-01-15,532.0,550.2,514.0,544.9,560.0,80.5,GPIL
2021-01-14,546.0,546.0,521.1,524.0,560.0,80.5,GPIL
2021-01-13,536.0,549.7,532.0,537.7,560.0,80.5,GPIL
2021-01-12,540.8,559.0,535.1,537.4,560.0,80.5,GPIL
2021-01-11,539.8,560.0,516.0,538.85,560.0,80.5,GPIL
2021-01-08,539.05,558.5,531.8,534.2,558.5,80.5,GPIL
2021-01-07,523.0,539.8,523.0,533.35,549.25,80.5,GPIL
2021-01-06,540.0,541.7,510.2,517.75,549.25,80.5,GPIL
2021-01-05,540.0,549.25,529.0,537.05,549.25,80.5,GPIL
2021-01-04,504.0,523.1,504.0,523.1,523.1,80.5,GPIL
2021-01-01,476.0,498.4,475.95,498.2,498.4,80.5,GPIL
2020-12-31,461.5,481.4,458.75,474.7,495.0,80.5,GPIL
2020-12-30,453.9,463.0,441.05,458.5,495.0,80.5,GPIL
2020-12-29,462.9,465.05,445.6,449.0,495.0,80.5,GPIL
2020-12-28,449.1,464.0,449.1,460.25,495.0,80.5,GPIL
2020-12-24,446.55,470.85,446.55,453.25,495.0,80.5,GPIL
2020-12-23,434.15,452.0,433.95,448.45,495.0,80.5,GPIL
2020-12-22,452.0,452.0,422.25,434.15,495.0,80.5,GPIL
2020-12-21,467.9,473.0,444.45,444.45,495.0,80.5,GPIL
2020-12-18,483.5,483.5,465.0,467.8,495.0,80.5,GPIL
2020-12-17,481.4,484.9,476.0,477.7,495.0,80.5,GPIL
2020-12-16,482.0,488.0,477.0,478.35,495.0,80.5,GPIL
2020-12-15,484.9,490.0,476.5,478.4,495.0,80.5,GPIL
2020-12-14,475.05,485.0,465.1,480.3,495.0,80.5,GPIL
2020-12-11,481.0,484.95,465.0,470.85,495.0,80.5,GPIL
2020-12-10,478.0,482.75,453.25,476.75,495.0,80.5,GPIL
2020-12-09,487.0,487.0,471.0,473.75,495.0,80.5,GPIL
2020-12-08,485.15,495.0,466.6,473.25,495.0,80.5,GPIL
2020-12-07,473.0,484.3,465.5,481.7,484.3,80.5,GPIL
2020-12-04,457.05,472.0,428.6,465.15,472.0,80.5,GPIL
2020-12-03,449.4,454.95,445.0,451.15,454.95,80.5,GPIL
2020-12-02,433.4,444.0,423.0,439.95,444.0,80.5,GPIL
2020-12-01,423.0,434.0,420.7,425.0,434.0,80.5,GPIL
2020-11-27,406.0,421.0,405.25,418.2,421.0,80.5,GPIL
2020-11-26,396.25,407.0,396.25,403.35,410.0,80.5,GPIL
2020-11-25,393.0,410.0,387.8,395.75,410.0,80.5,GPIL
2020-11-24,394.9,398.0,380.25,390.5,406.1,80.5,GPIL
2020-11-23,393.25,396.0,388.05,391.2,406.1,80.5,GPIL
2020-11-20,387.45,398.5,386.1,389.2,406.1,80.5,GPIL
2020-11-19,388.35,398.9,381.0,382.6,406.1,80.5,GPIL
2020-11-18,391.5,406.1,383.0,393.0,406.1,80.5,GPIL
2020-11-17,386.0,395.0,383.15,386.8,400.5,80.5,GPIL
2020-11-14,377.75,384.0,373.95,380.1,400.5,80.5,GPIL
2020-11-13,377.0,387.0,371.7,373.65,400.5,80.5,GPIL
2020-11-12,359.9,371.75,353.25,371.75,400.5,80.5,GPIL
2020-11-11,348.0,359.9,345.15,354.05,400.5,80.5,GPIL
2020-11-10,369.9,369.9,346.5,347.85,400.5,80.5,GPIL
2020-11-09,376.0,376.0,354.4,361.85,400.5,80.5,GPIL
2020-11-06,400.5,400.5,368.35,373.05,400.5,80.5,GPIL
2020-11-05,381.95,389.75,377.0,381.45,389.75,80.5,GPIL
2020-11-04,363.9,381.9,362.0,378.4,385.0,80.5,GPIL
2020-11-03,366.0,371.05,360.8,363.9,385.0,80.5,GPIL
2020-11-02,345.1,368.25,345.1,364.85,385.0,80.5,GPIL
2020-10-30,352.0,366.0,346.05,350.75,385.0,80.5,GPIL
2020-10-29,344.9,355.45,340.05,351.75,385.0,80.5,GPIL
2020-10-28,347.9,359.9,345.0,347.75,385.0,80.5,GPIL
2020-10-27,344.0,359.0,341.3,354.8,385.0,80.5,GPIL
2020-10-26,383.4,385.0,357.5,357.5,385.0,80.5,GPIL
2020-10-23,362.0,376.3,352.4,376.3,376.3,80.5,GPIL
2020-10-22,359.0,362.0,351.0,358.4,371.3,80.5,GPIL
2020-10-21,352.0,364.0,351.9,355.2,371.3,80.5,GPIL
2020-10-20,362.0,371.3,347.0,351.2,371.3,80.5,GPIL
2020-10-19,356.75,356.75,356.75,356.75,356.75,80.5,GPIL
2020-10-16,322.25,340.2,315.0,339.8,355.0,80.5,GPIL
2020-10-15,316.0,330.55,315.0,324.0,355.0,80.5,GPIL
2020-10-14,310.85,319.0,301.05,314.85,355.0,80.5,GPIL
2020-10-13,303.5,312.0,303.5,306.3,355.0,80.5,GPIL
2020-10-12,315.0,317.75,305.0,306.45,355.0,80.5,GPIL
2020-10-09,315.0,321.0,314.0,315.3,355.0,80.5,GPIL
2020-10-08,312.95,325.4,311.0,317.25,355.0,80.5,GPIL
2020-10-07,315.0,319.0,308.2,309.95,355.0,80.5,GPIL
2020-10-06,316.9,320.0,313.85,314.7,355.0,80.5,GPIL
2020-10-05,308.7,317.9,307.0,313.7,355.0,80.5,GPIL
2020-10-01,303.0,313.3,293.4,306.85,355.0,80.5,GPIL
2020-09-30,314.85,314.85,296.05,299.65,355.0,80.5,GPIL
2020-09-29,311.0,311.0,300.0,305.6,355.0,80.5,GPIL
2020-09-28,296.2,296.2,291.95,296.2,355.0,80.5,GPIL
2020-09-25,273.0,282.1,268.5,282.1,355.0,80.5,GPIL
2020-09-24,272.5,278.65,267.0,268.7,355.0,80.5,GPIL
2020-09-23,280.0,288.9,270.0,279.25,355.0,80.5,GPIL
2020-09-22,276.0,285.0,269.05,276.6,355.0,80.5,GPIL
2020-09-21,304.0,304.0,283.2,283.2,355.0,80.5,GPIL
2020-09-18,301.85,308.95,295.25,298.1,355.0,80.5,GPIL
2020-09-17,304.0,305.0,298.3,300.1,355.0,80.5,GPIL
2020-09-16,308.5,318.0,302.2,304.3,355.0,80.5,GPIL
2020-09-15,314.0,314.0,298.0,305.7,355.0,80.5,GPIL
2020-09-14,295.0,301.85,292.0,301.85,355.0,80.5,GPIL
2020-09-11,294.3,295.0,283.6,287.5,355.0,80.5,GPIL
2020-09-10,295.0,303.25,286.0,288.8,355.0,80.5,GPIL
2020-09-09,290.1,290.8,282.1,288.85,355.0,80.5,GPIL
2020-09-08,302.9,312.0,289.15,294.8,355.0,80.5,GPIL
2020-09-07,299.1,314.7,296.5,299.9,355.0,80.5,GPIL
2020-09-04,300.0,309.0,296.2,301.75,355.0,80.5,GPIL
2020-09-03,324.35,329.7,307.4,311.0,355.0,80.5,GPIL
2020-09-02,314.7,324.95,310.15,323.35,355.0,80.5,GPIL
2020-09-01,304.95,315.0,286.75,309.5,355.0,80.5,GPIL
2020-08-31,321.0,324.45,301.8,301.8,355.0,80.5,GPIL
2020-08-28,328.0,336.0,314.0,317.65,355.0,80.5,GPIL
2020-08-27,349.0,355.0,321.2,324.15,355.0,80.5,GPIL
2020-08-26,317.0,338.1,310.0,338.1,338.1,80.5,GPIL
2020-08-25,333.15,333.15,301.45,322.0,333.15,80.5,GPIL
2020-08-24,314.4,317.3,310.95,317.3,317.3,80.5,GPIL
2020-08-21,300.0,302.2,291.0,302.2,302.2,80.5,GPIL
2020-08-20,266.3,287.85,266.3,287.85,297.3,80.5,GPIL
2020-08-19,286.2,292.2,270.1,274.15,297.3,80.5,GPIL
2020-08-18,294.0,297.3,280.25,282.65,297.3,80.5,GPIL
2020-08-17,292.3,292.8,285.0,292.8,292.8,80.5,GPIL
2020-08-14,286.8,286.8,259.5,278.9,286.8,80.5,GPIL
2020-08-13,273.15,273.15,273.15,273.15,273.15,80.5,GPIL
2020-08-12,260.15,260.15,260.15,260.15,267.1,80.5,GPIL
2020-08-11,238.9,248.7,238.9,247.8,267.1,80.5,GPIL
2020-08-10,237.9,240.9,234.95,236.9,267.1,80.5,GPIL
2020-08-07,222.7,233.6,219.1,230.15,267.1,80.5,GPIL
2020-08-06,213.1,226.5,211.6,223.4,267.1,80.5,GPIL
2020-08-05,199.0,212.05,197.5,208.8,267.1,80.5,GPIL
2020-08-04,176.85,192.8,176.85,192.8,267.1,80.5,GPIL
2020-08-03,170.0,178.0,169.95,175.3,267.1,80.5,GPIL
2020-07-31,175.2,177.45,169.0,170.65,267.1,80.5,GPIL
2020-07-30,176.0,181.8,172.2,173.55,267.1,80.5,GPIL
2020-07-29,171.35,181.75,170.1,174.25,267.1,80.5,GPIL
2020-07-28,167.0,171.95,167.0,168.35,267.1,80.5,GPIL
2020-07-27,173.4,173.4,165.05,166.8,267.1,80.5,GPIL
2020-07-24,174.8,176.9,171.1,171.9,267.1,80.5,GPIL
2020-07-23,177.0,182.0,173.0,176.5,267.1,80.5,GPIL
2020-07-22,170.9,185.0,166.2,176.3,267.1,80.5,GPIL
2020-07-21,170.0,176.0,167.45,169.55,267.1,80.5,GPIL
2020-07-20,160.2,174.0,160.0,171.4,267.1,80.5,GPIL
2020-07-17,158.1,163.9,157.6,159.8,267.1,80.5,GPIL
2020-07-16,156.1,157.25,153.0,154.65,267.1,80.5,GPIL
2020-07-15,161.85,162.2,155.1,156.3,267.1,80.5,GPIL
2020-07-14,162.1,162.1,156.15,158.85,267.1,80.5,GPIL
2020-07-13,161.55,168.8,160.5,161.9,267.1,80.5,GPIL
2020-07-10,158.8,162.8,156.0,158.15,267.1,80.5,GPIL
2020-07-09,162.1,164.7,158.8,159.5,267.1,80.5,GPIL
2020-07-08,159.75,169.8,155.15,162.25,267.1,80.5,GPIL
2020-07-07,164.4,166.5,154.5,157.85,267.1,80.5,GPIL
2020-07-06,165.0,167.0,160.25,162.8,267.1,80.5,GPIL
2020-07-03,168.35,170.3,161.2,163.1,267.1,80.5,GPIL
2020-07-02,169.85,171.45,166.45,167.15,267.1,80.5,GPIL
2020-07-01,169.9,171.45,166.0,167.4,267.1,80.5,GPIL
2020-06-30,170.55,174.2,167.1,167.95,267.1,80.5,GPIL
2020-06-29,171.9,171.95,162.85,169.55,267.1,80.5,GPIL
2020-06-26,170.4,177.0,170.1,171.95,267.1,80.5,GPIL
2020-06-25,177.0,177.0,163.9,168.65,267.1,80.5,GPIL
2020-06-24,174.0,184.0,172.0,173.2,267.1,80.5,GPIL
2020-06-23,158.4,171.25,155.0,170.05,267.1,80.5,GPIL
2020-06-22,161.1,164.55,154.45,155.7,267.1,80.5,GPIL
2020-06-19,164.1,164.9,157.45,159.9,267.1,80.5,GPIL
2020-06-18,160.0,165.15,157.6,161.1,267.1,80.5,GPIL
2020-06-17,162.45,164.7,157.8,158.85,267.1,80.5,GPIL
2020-06-16,161.0,169.0,156.55,161.7,267.1,80.5,GPIL
2020-06-15,158.0,162.75,151.25,157.0,267.1,80.5,GPIL
2020-06-12,127.0,151.4,127.0,151.4,267.1,80.5,GPIL
2020-06-11,143.3,143.4,137.0,137.65,267.1,80.5,GPIL
2020-06-10,148.8,153.0,141.65,143.9,267.1,80.5,GPIL
2020-06-09,158.9,164.7,144.1,146.3,267.1,80.5,GPIL
2020-06-08,146.9,155.75,146.9,155.05,267.1,80.5,GPIL
2020-06-05,139.9,146.1,136.65,141.6,267.1,80.5,GPIL
2020-06-04,138.8,140.7,133.2,133.8,267.1,80.5,GPIL
2020-06-03,134.0,135.6,130.0,134.2,267.1,80.5,GPIL
2020-06-02,127.8,129.15,126.0,129.15,267.1,80.5,GPIL
2020-06-01,119.5,123.0,118.0,123.0,267.1,80.5,GPIL
2020-05-29,119.7,119.85,115.0,117.15,279.0,80.5,GPIL
2020-05-28,109.4,115.25,109.4,115.25,279.0,80.5,GPIL
2020-05-27,110.5,111.75,109.0,109.8,279.0,80.5,GPIL
2020-05-26,106.25,110.65,105.45,109.3,279.0,80.5,GPIL
2020-05-22,107.05,108.4,104.4,105.4,279.0,80.5,GPIL
2020-05-21,108.0,108.15,105.0,106.35,279.0,80.5,GPIL
2020-05-20,111.9,111.9,106.4,108.0,279.0,80.5,GPIL
2020-05-19,114.7,114.8,109.2,109.75,279.0,80.5,GPIL
2020-05-18,114.55,117.5,109.9,111.8,279.0,80.5,GPIL
2020-05-15,114.05,116.8,113.0,114.65,279.0,80.5,GPIL
2020-05-14,117.0,119.55,114.05,115.1,279.0,80.5,GPIL
2020-05-13,116.9,118.0,114.95,117.2,279.0,80.5,GPIL
2020-05-12,116.8,116.8,111.55,112.95,279.0,80.5,GPIL
2020-05-11,117.1,117.9,114.65,115.15,279.0,80.5,GPIL
2020-05-08,116.95,118.0,112.6,113.95,279.0,80.5,GPIL
2020-05-07,114.7,116.9,111.95,115.35,279.0,80.5,GPIL
2020-05-06,118.15,120.4,113.65,114.3,279.0,80.5,GPIL
2020-05-05,120.65,122.5,119.0,119.15,279.0,80.5,GPIL
2020-05-04,122.0,124.7,120.55,121.4,279.0,80.5,GPIL
2020-04-30,128.75,128.75,123.95,126.85,279.0,80.5,GPIL
2020-04-29,119.9,125.85,119.9,124.7,279.0,80.5,GPIL
2020-04-28,121.95,121.95,115.2,119.9,279.0,80.5,GPIL
2020-04-27,118.95,120.4,114.0,119.55,279.0,80.5,GPIL
2020-04-24,118.95,118.95,114.05,114.7,279.0,80.5,GPIL
2020-04-23,117.8,121.9,117.8,119.2,279.0,80.5,GPIL
2020-04-22,116.5,118.05,113.1,117.15,279.0,80.5,GPIL
2020-04-21,120.0,124.95,116.65,118.15,279.0,80.5,GPIL
2020-04-20,132.75,132.75,120.8,122.75,279.0,80.5,GPIL
2020-04-17,129.95,130.7,124.0,127.15,279.0,80.5,GPIL
2020-04-16,125.4,128.45,122.05,124.85,279.0,80.5,GPIL
2020-04-15,125.85,128.55,122.25,125.35,279.0,80.5,GPIL
2020-04-13,118.1,127.0,116.0,122.45,279.0,80.5,GPIL
2020-04-09,124.0,128.2,120.2,121.9,279.0,80.5,GPIL
2020-04-08,120.0,123.6,116.0,123.15,279.0,80.5,GPIL
2020-04-07,116.0,117.75,113.95,117.75,279.0,80.5,GPIL
2020-04-03,106.0,114.9,105.0,112.15,279.0,80.5,GPIL
2020-04-01,109.85,109.85,105.5,109.85,279.0,80.5,GPIL
2020-03-31,104.2,104.65,100.25,104.65,279.0,80.5,GPIL
2020-03-30,95.9,102.45,92.75,99.7,279.0,80.5,GPIL
2020-03-27,97.8,97.8,93.65,97.6,279.0,80.5,GPIL
2020-03-26,90.0,93.15,90.0,93.15,279.0,80.5,GPIL
2020-03-25,87.95,88.75,80.5,88.75,279.0,80.5,GPIL
2020-03-24,93.05,97.95,83.75,84.55,279.0,83.75,GPIL
2020-03-23,93.05,95.0,93.05,93.05,279.0,93.0,GPIL
2020-03-20,101.0,107.45,97.05,103.35,279.0,93.0,GPIL
2020-03-19,96.0,100.55,93.0,97.85,279.0,93.0,GPIL
2020-03-18,116.9,118.5,102.1,103.3,279.0,102.1,GPIL
2020-03-17,113.0,123.0,108.65,113.05,279.0,104.55,GPIL
2020-03-16,124.0,126.15,113.5,113.5,279.0,104.55,GPIL
2020-03-13,108.0,127.4,104.55,126.1,291.0,104.55,GPIL
2020-03-12,125.1,127.75,110.15,116.15,291.0,110.15,GPIL
2020-03-11,145.0,145.0,135.0,137.65,291.0,120.0,GPIL
2020-03-09,153.9,154.9,125.0,132.45,291.0,120.0,GPIL
2020-03-06,157.0,162.0,151.95,155.5,293.0,120.0,GPIL
2020-03-05,167.85,170.2,162.05,164.15,293.0,120.0,GPIL
2020-03-04,167.0,169.7,160.0,163.8,293.0,120.0,GPIL
2020-03-03,174.8,174.8,163.8,165.1,293.0,120.0,GPIL
2020-03-02,173.0,184.15,162.4,166.75,293.0,120.0,GPIL
2020-02-28,170.1,174.8,165.0,168.0,293.0,120.0,GPIL
2020-02-27,186.0,186.3,175.0,176.9,293.0,120.0,GPIL
2020-02-26,180.6,197.0,180.55,184.9,293.0,120.0,GPIL
2020-02-25,186.25,190.05,178.6,179.45,293.0,120.0,GPIL
2020-02-24,197.9,197.9,184.0,186.55,293.0,120.0,GPIL
2020-02-20,200.0,201.45,193.8,199.15,293.0,120.0,GPIL
2020-02-19,204.0,210.05,197.8,199.1,293.0,120.0,GPIL
2020-02-18,196.4,207.0,194.8,205.8,293.0,120.0,GPIL
2020-02-17,207.0,207.05,194.5,198.2,293.0,120.0,GPIL
2020-02-14,206.0,212.0,205.0,206.95,293.0,120.0,GPIL
2020-02-13,210.85,214.7,204.1,206.2,293.0,120.0,GPIL
2020-02-12,214.0,214.0,203.75,210.7,293.0,120.0,GPIL
2020-02-11,224.6,228.0,210.2,214.05,293.0,120.0,GPIL
2020-02-10,223.0,226.9,215.0,222.7,293.0,120.0,GPIL
