DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,111.6,112.5,107.8,109.95,124.3,85.05,GPPL
2021-11-11,113.95,115.75,111.5,112.5,124.3,85.05,GPPL
2021-11-10,113.9,115.9,113.0,113.7,124.3,85.05,GPPL
2021-11-09,115.9,116.0,113.7,114.4,124.3,85.05,GPPL
2021-11-08,115.3,116.75,114.3,115.5,124.3,85.05,GPPL
2021-11-04,115.0,116.1,114.0,114.75,124.3,85.05,GPPL
2021-11-03,113.8,116.9,113.6,114.8,124.3,85.05,GPPL
2021-11-02,111.95,114.9,111.45,113.3,124.3,85.05,GPPL
2021-11-01,112.25,112.75,110.2,111.05,124.3,85.05,GPPL
2021-10-29,111.0,112.4,109.0,111.75,124.3,84.1,GPPL
2021-10-28,111.85,112.3,110.6,111.05,124.3,84.1,GPPL
2021-10-27,109.0,112.45,108.7,111.25,124.3,84.1,GPPL
2021-10-26,110.15,111.65,108.25,109.65,124.3,84.1,GPPL
2021-10-25,115.35,115.35,109.0,110.15,124.3,84.1,GPPL
2021-10-22,117.55,117.55,113.8,114.9,124.3,84.1,GPPL
2021-10-21,113.7,117.3,111.1,115.85,124.3,84.1,GPPL
2021-10-20,115.0,117.4,112.35,113.0,124.3,84.1,GPPL
2021-10-19,117.35,119.0,113.35,114.9,124.3,84.1,GPPL
2021-10-18,114.5,118.15,112.05,116.6,124.3,84.1,GPPL
2021-10-14,113.2,116.0,112.2,113.15,124.3,82.85,GPPL
2021-10-13,112.95,113.6,112.0,112.25,124.3,82.85,GPPL
2021-10-12,113.3,114.6,111.25,112.3,124.3,82.85,GPPL
2021-10-11,108.95,112.2,108.4,111.65,124.3,82.85,GPPL
2021-10-08,105.9,109.5,105.1,108.0,124.3,81.75,GPPL
2021-10-07,107.0,108.0,104.7,105.25,124.3,81.75,GPPL
2021-10-06,106.4,109.5,105.85,106.6,124.3,81.75,GPPL
2021-10-05,104.85,107.4,104.5,105.7,124.3,81.75,GPPL
2021-10-04,108.2,108.2,104.5,104.85,124.3,81.75,GPPL
2021-10-01,110.0,110.3,106.8,107.65,124.3,81.75,GPPL
2021-09-30,105.6,111.85,105.55,110.6,124.3,81.75,GPPL
2021-09-29,103.4,106.5,102.15,105.05,124.3,81.75,GPPL
2021-09-28,100.0,105.0,99.8,103.8,124.3,81.75,GPPL
2021-09-27,100.85,101.0,99.25,100.0,124.3,81.75,GPPL
2021-09-24,103.15,104.0,100.0,100.4,124.3,79.5,GPPL
2021-09-23,102.55,104.5,102.5,103.15,124.3,79.5,GPPL
2021-09-22,102.0,103.2,101.5,102.0,124.3,79.5,GPPL
2021-09-21,100.0,102.6,98.3,101.95,124.3,79.5,GPPL
2021-09-20,99.4,102.25,99.0,99.9,124.3,79.5,GPPL
2021-09-17,104.8,104.85,99.1,100.05,124.3,79.5,GPPL
2021-09-16,106.15,107.5,103.05,103.9,124.3,79.5,GPPL
2021-09-15,101.9,106.75,101.45,104.85,124.3,79.5,GPPL
2021-09-14,101.2,101.75,100.9,101.6,124.3,79.5,GPPL
2021-09-13,101.25,101.75,100.0,100.9,124.3,79.5,GPPL
2021-09-09,101.05,101.75,100.3,101.1,124.3,79.5,GPPL
2021-09-08,105.0,105.0,100.3,101.4,124.3,79.5,GPPL
2021-09-07,100.15,101.8,99.7,100.7,124.3,79.5,GPPL
2021-09-06,101.8,102.0,98.4,99.6,124.3,79.5,GPPL
2021-09-03,101.6,102.05,101.25,101.65,124.3,78.0,GPPL
2021-09-02,101.4,102.85,100.65,101.9,124.3,78.0,GPPL
2021-09-01,102.9,103.0,101.05,101.4,124.3,78.0,GPPL
2021-08-31,102.1,103.0,100.2,101.75,124.3,78.0,GPPL
2021-08-30,101.75,102.4,101.6,102.0,124.3,78.0,GPPL
2021-08-27,100.6,101.8,100.15,100.9,124.3,78.0,GPPL
2021-08-26,102.0,102.6,100.0,100.35,124.3,78.0,GPPL
2021-08-25,100.55,102.9,100.5,101.85,124.3,78.0,GPPL
2021-08-24,99.5,101.5,99.0,100.0,124.3,78.0,GPPL
2021-08-23,101.2,101.9,99.4,99.5,124.3,78.0,GPPL
2021-08-20,103.8,103.8,100.4,100.6,124.3,78.0,GPPL
2021-08-18,102.9,106.7,102.3,104.4,124.3,78.0,GPPL
2021-08-17,103.75,103.75,100.7,102.25,124.3,78.0,GPPL
2021-08-16,102.05,104.95,101.0,102.2,124.3,78.0,GPPL
2021-08-13,102.0,104.0,101.0,101.7,124.3,77.55,GPPL
2021-08-12,101.3,105.0,101.25,104.4,124.3,77.55,GPPL
2021-08-11,103.45,103.8,100.5,100.95,124.3,77.55,GPPL
2021-08-10,103.9,105.35,101.5,103.05,124.3,77.55,GPPL
2021-08-09,106.0,106.9,102.5,103.4,124.3,77.55,GPPL
2021-08-06,105.6,107.5,105.2,106.05,124.3,73.75,GPPL
2021-08-05,106.8,107.2,102.5,104.65,124.3,73.75,GPPL
2021-08-04,109.3,110.4,107.0,107.4,124.3,73.75,GPPL
2021-08-03,111.9,111.9,108.5,108.75,124.3,73.75,GPPL
2021-08-02,112.0,112.6,110.4,111.2,124.3,73.75,GPPL
2021-07-30,110.6,113.85,110.45,110.8,124.3,73.6,GPPL
2021-07-29,105.85,112.35,105.25,109.8,124.3,73.6,GPPL
2021-07-28,105.15,106.5,103.65,105.1,124.3,73.6,GPPL
