DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,201.9,201.9,197.9,199.0,199.25,GREENPLY
2021-07-15,202.95,202.95,199.05,200.0,199.7,GREENPLY
2021-07-14,200.75,203.5,197.9,200.8,201.6,GREENPLY
2021-07-13,199.95,203.0,197.25,199.0,199.95,GREENPLY
2021-07-12,201.0,201.0,195.75,197.2,197.55,GREENPLY
2021-07-09,199.9,199.9,195.6,197.0,196.5,GREENPLY
2021-07-08,199.6,200.4,196.05,197.0,196.85,GREENPLY
2021-07-07,198.25,200.0,197.0,199.0,198.0,GREENPLY
2021-07-06,202.25,203.0,198.05,199.6,198.85,GREENPLY
2021-07-05,200.0,204.45,199.05,200.0,199.95,GREENPLY
2021-07-02,206.0,208.0,197.1,199.5,199.5,GREENPLY
2021-07-01,209.4,211.9,204.3,205.2,205.45,GREENPLY
2021-06-30,200.0,203.5,199.0,200.35,199.65,GREENPLY
2021-06-29,204.45,207.5,198.3,199.9,199.55,GREENPLY
2021-06-28,205.5,208.6,203.9,204.95,204.45,GREENPLY
2021-06-25,206.4,207.4,201.1,206.1,205.75,GREENPLY
2021-06-24,211.7,214.0,204.6,205.0,206.6,GREENPLY
2021-06-23,207.5,212.4,203.8,210.5,209.75,GREENPLY
2021-06-22,207.6,207.6,204.45,205.75,205.4,GREENPLY
2021-06-21,207.2,208.8,202.5,204.0,204.8,GREENPLY
2021-06-18,213.5,215.15,203.85,207.25,207.2,GREENPLY
2021-06-17,210.1,215.0,208.0,211.55,213.1,GREENPLY
2021-06-16,216.0,216.0,209.1,210.5,210.05,GREENPLY
2021-06-15,223.5,223.5,214.15,215.0,215.5,GREENPLY
2021-06-14,220.05,223.2,214.25,218.15,219.75,GREENPLY
2021-06-11,222.0,224.0,216.45,220.55,220.05,GREENPLY
2021-06-10,217.0,224.0,216.3,220.35,220.95,GREENPLY
2021-06-09,216.9,218.0,212.75,216.05,215.8,GREENPLY
2021-06-08,210.0,218.6,209.5,216.0,215.15,GREENPLY
2021-06-07,207.0,209.65,205.0,208.45,208.1,GREENPLY
2021-06-04,197.0,210.6,197.0,204.0,203.65,GREENPLY
2021-06-03,202.0,202.0,196.0,196.6,196.6,GREENPLY
2021-06-02,199.0,200.65,195.9,197.8,197.75,GREENPLY
2021-06-01,202.85,205.7,195.95,198.7,197.1,GREENPLY
2021-05-31,205.7,205.7,202.05,203.0,202.85,GREENPLY
2021-05-28,209.0,209.5,201.85,204.0,202.65,GREENPLY
2021-05-27,211.0,211.9,201.15,206.55,204.35,GREENPLY
2021-05-26,215.15,216.5,210.0,210.8,210.6,GREENPLY
2021-05-25,216.7,218.45,212.6,214.95,215.15,GREENPLY
2021-05-24,222.6,222.9,215.0,215.2,216.3,GREENPLY
2021-05-21,221.0,224.65,216.15,219.55,220.6,GREENPLY
2021-05-20,212.0,222.9,212.0,218.2,217.65,GREENPLY
2021-05-19,208.9,215.85,208.2,211.6,212.6,GREENPLY
2021-05-18,200.0,210.65,199.1,209.3,209.15,GREENPLY
2021-05-17,197.0,202.0,196.95,199.0,197.9,GREENPLY
2021-05-14,204.0,205.5,192.1,197.1,197.0,GREENPLY
2021-05-12,204.9,208.75,199.8,201.4,200.65,GREENPLY
2021-05-11,203.0,205.4,201.6,203.8,203.7,GREENPLY
2021-05-10,203.8,209.5,200.1,203.4,205.1,GREENPLY
2021-05-07,204.95,206.15,200.0,200.8,200.75,GREENPLY
2021-05-06,210.8,210.85,200.9,202.95,201.9,GREENPLY
2021-05-05,208.5,215.05,204.35,205.95,205.9,GREENPLY
2021-05-04,204.0,223.0,201.65,206.3,205.5,GREENPLY
2021-05-03,198.0,202.15,197.55,200.05,199.95,GREENPLY
2021-04-30,205.7,207.8,199.9,199.9,201.0,GREENPLY
2021-04-29,205.7,209.75,199.6,206.3,205.5,GREENPLY
2021-04-28,207.1,209.6,201.0,203.0,202.55,GREENPLY
2021-04-27,212.45,217.4,203.65,206.4,206.25,GREENPLY
2021-04-26,204.7,213.7,203.0,208.0,210.85,GREENPLY
2021-04-23,197.0,201.4,196.35,200.05,199.45,GREENPLY
2021-04-22,197.05,202.0,194.8,197.2,198.25,GREENPLY
2021-04-20,188.85,202.9,188.8,196.0,197.75,GREENPLY
2021-04-19,189.05,189.05,182.0,186.2,186.7,GREENPLY
2021-04-16,184.1,202.0,184.0,192.8,193.85,GREENPLY
2021-04-15,183.15,189.1,180.0,183.0,183.15,GREENPLY
2021-04-13,184.85,186.0,180.2,182.15,183.15,GREENPLY
2021-04-12,190.0,190.0,176.5,182.0,182.0,GREENPLY
2021-04-09,191.0,193.9,183.35,191.5,190.25,GREENPLY
2021-04-08,184.1,196.0,183.05,191.6,192.15,GREENPLY
2021-04-07,179.0,184.0,171.65,182.35,183.2,GREENPLY
2021-04-06,177.2,183.0,176.55,178.0,178.1,GREENPLY
2021-04-05,180.0,181.0,172.5,177.5,176.3,GREENPLY
2021-04-01,171.95,181.3,171.55,180.0,180.0,GREENPLY
2021-03-31,171.9,176.8,167.65,168.0,170.55,GREENPLY
2021-03-30,172.0,173.3,168.85,171.0,171.0,GREENPLY
2021-03-26,172.5,173.7,166.0,171.0,169.7,GREENPLY
2021-03-25,172.2,172.2,158.9,167.95,169.3,GREENPLY
2021-03-24,166.6,172.95,166.2,170.65,171.45,GREENPLY
2021-03-23,170.2,172.95,165.55,166.1,167.05,GREENPLY
2021-03-22,176.0,179.5,168.0,168.45,169.3,GREENPLY
2021-03-19,166.85,176.95,157.0,174.0,174.9,GREENPLY
2021-03-18,175.1,178.95,161.0,165.5,166.1,GREENPLY
2021-03-17,183.0,185.5,171.35,172.45,173.35,GREENPLY
2021-03-16,189.7,189.7,180.35,181.4,181.85,GREENPLY
2021-03-15,189.7,191.0,184.0,187.0,187.05,GREENPLY
2021-03-12,183.0,196.9,183.0,188.35,186.8,GREENPLY
2021-03-10,184.75,188.0,173.95,184.15,184.2,GREENPLY
