DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,8.4,8.4,8.4,8.4,11.8,4.85,GTNTEX
2021-10-28,8.0,8.0,8.0,8.0,11.8,4.85,GTNTEX
2021-10-26,8.0,8.0,7.65,7.65,11.8,4.85,GTNTEX
2021-10-25,8.35,8.35,8.0,8.0,11.8,4.85,GTNTEX
2021-10-22,8.1,8.4,8.1,8.4,11.8,4.85,GTNTEX
2021-10-21,8.1,8.4,8.1,8.1,11.8,4.85,GTNTEX
2021-10-20,8.45,8.5,8.4,8.4,11.8,4.85,GTNTEX
2021-10-19,8.65,8.65,8.4,8.4,11.8,4.85,GTNTEX
2021-10-18,8.25,8.65,8.1,8.65,11.8,4.85,GTNTEX
2021-10-14,8.6,8.6,8.25,8.25,11.8,4.85,GTNTEX
2021-10-13,8.7,8.7,8.6,8.6,11.8,4.85,GTNTEX
2021-10-12,8.6,9.45,8.6,9.05,11.8,4.85,GTNTEX
2021-10-11,8.15,9.0,8.15,9.0,11.8,4.85,GTNTEX
2021-10-08,8.25,8.25,7.6,8.25,11.8,4.85,GTNTEX
2021-10-07,7.55,7.55,7.5,7.5,11.8,4.85,GTNTEX
2021-10-06,7.1,7.1,7.0,7.0,11.8,4.85,GTNTEX
2021-10-05,6.9,7.1,6.9,7.1,11.8,4.85,GTNTEX
2021-10-04,7.15,7.15,7.15,7.15,11.8,4.85,GTNTEX
2021-10-01,7.15,7.15,7.15,7.15,11.8,4.75,GTNTEX
2021-09-30,6.9,7.1,6.9,7.1,11.8,4.75,GTNTEX
2021-09-29,7.0,7.0,7.0,7.0,11.8,4.75,GTNTEX
2021-09-27,7.2,7.2,6.95,6.95,11.8,4.75,GTNTEX
2021-09-24,7.15,7.2,7.15,7.2,11.8,4.75,GTNTEX
2021-09-23,7.2,7.25,7.05,7.25,11.8,4.75,GTNTEX
2021-09-22,7.1,7.3,7.1,7.3,11.8,4.75,GTNTEX
2021-09-21,7.1,7.2,7.1,7.2,11.8,4.75,GTNTEX
2021-09-20,7.15,7.5,7.15,7.45,11.8,4.75,GTNTEX
2021-09-17,7.5,7.5,7.5,7.5,11.8,4.75,GTNTEX
2021-09-16,7.5,7.5,7.5,7.5,11.8,4.75,GTNTEX
2021-09-15,7.55,7.55,7.55,7.55,11.8,4.75,GTNTEX
2021-09-14,7.55,8.2,7.55,7.55,11.8,4.75,GTNTEX
2021-09-13,7.55,7.9,7.55,7.9,11.8,4.75,GTNTEX
2021-09-09,7.55,7.55,7.55,7.55,11.8,4.75,GTNTEX
2021-09-07,7.55,7.55,7.55,7.55,11.8,4.75,GTNTEX
2021-09-06,7.55,7.55,6.85,7.55,11.8,4.75,GTNTEX
2021-09-03,7.2,7.2,7.2,7.2,11.8,4.75,GTNTEX
2021-09-02,7.2,7.2,7.2,7.2,11.8,4.75,GTNTEX
2021-09-01,7.8,7.8,7.5,7.5,11.8,4.75,GTNTEX
2021-08-31,7.85,7.85,7.85,7.85,11.8,4.75,GTNTEX
2021-08-30,7.85,7.85,7.75,7.85,11.8,4.75,GTNTEX
2021-08-27,7.9,7.9,7.85,7.85,11.8,4.75,GTNTEX
2021-08-26,7.55,7.55,7.55,7.55,11.8,4.75,GTNTEX
2021-08-25,7.35,7.9,7.35,7.9,11.8,4.75,GTNTEX
2021-08-24,7.7,7.7,7.7,7.7,11.8,4.75,GTNTEX
2021-08-23,8.1,8.1,7.75,7.75,11.8,4.75,GTNTEX
2021-08-20,7.5,7.75,7.5,7.75,11.8,4.75,GTNTEX
2021-08-18,7.4,7.5,7.4,7.5,11.8,4.75,GTNTEX
2021-08-17,7.5,7.5,7.5,7.5,11.8,4.75,GTNTEX
2021-08-16,7.85,7.85,7.5,7.5,11.8,4.75,GTNTEX
2021-08-13,7.5,7.5,7.5,7.5,11.8,4.75,GTNTEX
2021-08-12,7.8,7.8,7.8,7.8,11.8,4.75,GTNTEX
2021-08-11,7.75,7.75,7.75,7.75,11.8,4.75,GTNTEX
2021-08-10,8.15,8.15,8.15,8.15,11.8,4.75,GTNTEX
2021-08-09,8.65,8.65,8.55,8.55,11.8,4.75,GTNTEX
2021-08-06,8.95,8.95,8.95,8.95,11.8,4.75,GTNTEX
2021-08-05,9.4,9.4,9.4,9.4,11.8,4.75,GTNTEX
2021-08-04,9.8,9.8,9.4,9.4,11.8,4.75,GTNTEX
2021-08-03,10.55,10.55,9.8,9.8,11.8,4.75,GTNTEX
2021-08-02,10.55,10.55,10.05,10.05,11.8,4.75,GTNTEX
