DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-26,273.9,286.0,271.9,274.25,313.9,109.95,GTPL
2021-10-25,268.0,283.5,262.35,272.85,313.9,109.95,GTPL
2021-10-22,284.0,284.0,262.35,266.05,313.9,109.95,GTPL
2021-10-21,276.95,284.65,272.65,280.8,313.9,109.95,GTPL
2021-10-20,274.85,283.5,264.8,271.55,313.9,109.95,GTPL
2021-10-19,282.35,293.0,265.05,269.1,313.9,109.95,GTPL
2021-10-18,288.0,289.55,279.05,282.35,313.9,109.95,GTPL
2021-10-14,302.4,305.2,291.0,292.7,313.9,109.95,GTPL
2021-10-13,306.0,310.5,297.95,301.05,313.9,109.95,GTPL
2021-10-12,295.8,312.0,292.25,307.0,313.9,109.95,GTPL
2021-10-11,297.7,309.9,292.0,296.2,313.9,109.95,GTPL
2021-10-08,306.0,308.8,295.05,296.75,313.9,87.05,GTPL
2021-10-07,289.0,313.9,289.0,303.5,313.9,87.05,GTPL
2021-10-06,287.0,299.5,285.55,288.25,305.1,87.05,GTPL
2021-10-05,289.9,299.6,282.0,285.85,305.1,87.05,GTPL
2021-10-04,300.0,301.95,283.0,289.4,305.1,87.05,GTPL
2021-10-01,256.0,305.1,242.55,293.6,305.1,86.0,GTPL
2021-09-30,242.95,259.0,238.5,254.25,259.0,86.0,GTPL
2021-09-29,237.0,243.4,233.0,241.7,255.95,86.0,GTPL
2021-09-28,224.05,237.0,220.7,232.95,255.95,86.0,GTPL
2021-09-27,221.5,226.0,220.1,222.9,255.95,86.0,GTPL
2021-09-24,229.5,229.6,220.55,223.65,255.95,83.55,GTPL
2021-09-23,231.0,233.0,225.0,227.35,255.95,83.55,GTPL
2021-09-22,229.0,234.15,223.0,225.8,255.95,83.55,GTPL
2021-09-21,221.95,229.7,216.1,228.25,255.95,83.55,GTPL
2021-09-20,239.0,239.0,212.8,221.8,255.95,83.55,GTPL
2021-09-17,237.2,238.9,228.0,236.1,255.95,83.55,GTPL
2021-09-16,241.9,245.5,236.0,237.05,255.95,83.55,GTPL
2021-09-15,234.7,241.0,231.5,239.45,255.95,83.55,GTPL
2021-09-14,232.95,235.0,228.65,231.35,255.95,83.55,GTPL
2021-09-13,231.0,231.85,226.65,230.45,255.95,83.55,GTPL
2021-09-09,219.65,235.0,219.65,228.6,255.95,83.55,GTPL
2021-09-08,224.0,224.3,220.0,220.8,255.95,83.55,GTPL
2021-09-07,224.8,224.8,219.9,220.25,255.95,83.55,GTPL
2021-09-06,224.5,230.0,220.15,221.4,255.95,83.55,GTPL
2021-09-03,221.15,225.3,219.4,220.45,255.95,83.55,GTPL
2021-09-02,226.05,226.05,219.4,219.85,255.95,83.55,GTPL
2021-09-01,232.25,233.0,225.0,226.05,255.95,83.55,GTPL
2021-08-31,230.0,234.0,225.1,230.4,255.95,83.55,GTPL
2021-08-30,222.0,231.0,222.0,229.95,255.95,83.55,GTPL
2021-08-27,222.65,225.1,220.4,221.5,255.95,83.55,GTPL
2021-08-26,225.05,228.7,222.65,223.5,255.95,83.55,GTPL
2021-08-25,233.05,237.5,225.0,225.3,255.95,83.55,GTPL
2021-08-24,215.0,248.55,213.95,230.05,255.95,83.55,GTPL
2021-08-23,221.6,221.85,210.65,211.1,255.95,83.55,GTPL
2021-08-20,223.0,225.2,215.45,217.3,255.95,83.55,GTPL
2021-08-18,229.35,236.75,223.5,225.2,255.95,83.55,GTPL
2021-08-17,239.5,239.65,224.75,229.35,255.95,83.55,GTPL
2021-08-16,249.7,255.95,240.05,241.9,255.95,83.55,GTPL
2021-08-13,223.5,250.0,218.1,240.9,250.0,83.55,GTPL
2021-08-12,213.5,228.5,213.5,221.5,238.95,83.55,GTPL
2021-08-11,218.5,219.45,204.0,212.45,238.95,83.55,GTPL
2021-08-10,230.5,238.95,207.9,216.55,238.95,83.55,GTPL
2021-08-09,202.0,230.0,200.55,225.3,230.0,83.55,GTPL
2021-08-06,202.7,204.0,199.05,202.1,206.7,83.55,GTPL
2021-08-05,201.15,203.55,197.25,201.1,206.7,83.55,GTPL
2021-08-04,201.3,204.35,198.15,199.85,206.7,83.55,GTPL
2021-08-03,196.0,201.8,195.45,200.35,206.7,83.55,GTPL
2021-08-02,192.35,196.4,192.05,195.75,206.7,83.55,GTPL
2021-07-30,192.8,196.85,190.95,191.5,206.7,83.55,GTPL
2021-07-29,186.95,193.25,186.95,192.8,206.7,83.55,GTPL
2021-07-28,185.15,188.15,183.15,187.3,206.7,83.55,GTPL
2021-07-27,186.2,188.6,184.95,185.25,206.7,83.55,GTPL
