DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,678.0,678.0,665.0,668.95,668.2,842.0,565.0,GULFOILLUB
2021-07-15,672.0,681.65,668.0,671.4,669.0,842.0,565.0,GULFOILLUB
2021-07-14,679.95,680.0,668.0,671.0,669.9,842.0,565.0,GULFOILLUB
2021-07-13,685.2,689.35,675.0,680.2,680.45,842.0,565.0,GULFOILLUB
2021-07-12,687.0,692.0,683.0,685.0,685.9,842.0,565.0,GULFOILLUB
2021-07-09,687.0,688.8,680.45,686.0,685.35,842.0,563.05,GULFOILLUB
2021-07-08,694.5,694.5,681.4,684.65,683.9,842.0,563.05,GULFOILLUB
2021-07-07,692.75,693.9,686.0,687.0,686.95,842.0,563.05,GULFOILLUB
2021-07-06,695.0,697.8,688.0,689.7,689.3,842.0,563.05,GULFOILLUB
2021-07-05,696.1,699.95,689.05,694.5,691.85,842.0,563.05,GULFOILLUB
2021-07-02,689.9,696.15,688.45,691.05,692.35,842.0,563.05,GULFOILLUB
2021-07-01,690.05,690.05,686.5,689.35,688.9,842.0,563.05,GULFOILLUB
2021-06-30,695.9,695.95,685.1,686.5,686.6,842.0,563.05,GULFOILLUB
2021-06-29,696.0,714.0,684.05,689.05,690.3,842.0,563.05,GULFOILLUB
2021-06-28,694.9,701.0,688.5,695.5,693.7,842.0,563.05,GULFOILLUB
2021-06-25,693.6,694.9,689.1,689.95,689.7,842.0,563.05,GULFOILLUB
2021-06-24,697.0,697.0,688.85,690.0,690.1,842.0,563.05,GULFOILLUB
2021-06-23,699.0,704.8,690.0,692.9,691.5,842.0,563.05,GULFOILLUB
2021-06-22,699.7,699.7,691.4,692.1,693.95,842.0,563.05,GULFOILLUB
2021-06-21,690.7,693.5,684.05,689.85,690.05,842.0,563.05,GULFOILLUB
2021-06-18,697.0,699.8,683.15,691.5,690.7,842.0,563.05,GULFOILLUB
2021-06-17,691.9,704.9,690.0,694.9,694.3,842.0,563.05,GULFOILLUB
