DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,984.7,1003.9,982.6,994.0,994.0,1067.0,626.85,HCLTECH
2021-07-22,970.0,981.5,970.0,979.0,978.6,1067.0,626.85,HCLTECH
2021-07-20,999.0,1012.2,969.35,977.0,977.2,1067.0,626.85,HCLTECH
2021-07-19,1005.0,1018.3,992.5,1001.9,1000.2,1067.0,626.85,HCLTECH
2021-07-16,1044.9,1048.75,998.05,1006.0,1005.0,1067.0,583.35,HCLTECH
2021-07-15,993.0,1052.5,990.8,1039.05,1039.75,1067.0,583.35,HCLTECH
2021-07-14,968.25,992.95,968.1,987.9,989.45,1067.0,583.35,HCLTECH
2021-07-13,983.0,983.0,964.0,970.0,967.95,1067.0,583.35,HCLTECH
2021-07-12,980.0,983.05,975.0,978.5,979.45,1067.0,583.35,HCLTECH
2021-07-09,972.0,979.5,966.6,977.95,976.85,1067.0,573.0,HCLTECH
2021-07-08,975.0,982.0,970.0,976.4,976.8,1067.0,573.0,HCLTECH
2021-07-07,970.0,977.6,960.3,975.0,975.35,1067.0,573.0,HCLTECH
2021-07-06,980.0,982.2,970.2,974.0,972.05,1067.0,573.0,HCLTECH
2021-07-05,991.7,995.9,978.0,979.5,979.75,1067.0,573.0,HCLTECH
2021-07-02,983.55,987.6,977.25,985.7,984.65,1067.0,550.3,HCLTECH
2021-07-01,987.0,988.0,975.15,985.0,985.5,1067.0,550.3,HCLTECH
2021-06-30,981.0,991.45,981.0,985.45,983.5,1067.0,550.3,HCLTECH
2021-06-29,986.95,993.9,980.5,985.05,983.6,1067.0,550.3,HCLTECH
2021-06-28,1000.0,1000.0,984.2,985.7,985.3,1067.0,550.3,HCLTECH
2021-06-25,995.0,1010.0,989.25,993.35,995.65,1067.0,545.0,HCLTECH
2021-06-24,972.0,994.6,969.1,984.9,989.7,1067.0,545.0,HCLTECH
2021-06-23,985.0,985.0,971.0,974.25,972.9,1067.0,545.0,HCLTECH
2021-06-22,982.1,988.2,976.25,978.1,980.1,1067.0,545.0,HCLTECH
2021-06-21,968.0,983.45,961.25,981.5,982.0,1067.0,545.0,HCLTECH
2021-06-18,990.0,996.7,970.1,974.8,975.25,1067.0,545.0,HCLTECH
2021-06-17,980.0,988.95,978.55,985.0,986.4,1067.0,545.0,HCLTECH
2021-06-16,984.05,986.0,974.0,983.0,979.4,1067.0,545.0,HCLTECH
2021-06-15,985.1,993.0,983.2,985.0,985.45,1067.0,545.0,HCLTECH
2021-06-14,983.0,988.45,976.0,984.9,984.2,1067.0,545.0,HCLTECH
2021-06-11,976.0,990.0,970.5,982.8,983.35,1067.0,545.0,HCLTECH
2021-06-10,979.5,981.65,966.55,968.25,968.55,1067.0,545.0,HCLTECH
2021-06-09,973.9,985.0,965.1,972.0,971.3,1067.0,545.0,HCLTECH
2021-06-08,952.0,972.0,951.45,967.0,967.2,1067.0,545.0,HCLTECH
2021-06-07,939.0,951.95,937.1,951.45,949.6,1067.0,545.0,HCLTECH
2021-06-04,940.1,944.2,934.75,935.45,936.55,1067.0,545.0,HCLTECH
2021-06-03,945.0,949.8,937.0,939.0,939.45,1067.0,545.0,HCLTECH
2021-06-02,947.0,950.7,937.6,945.0,943.75,1067.0,545.0,HCLTECH
2021-06-01,948.0,952.0,942.05,950.0,950.7,1067.0,545.0,HCLTECH
2021-05-31,941.55,947.85,932.6,946.0,945.2,1067.0,545.0,HCLTECH
2021-05-28,940.05,949.75,937.4,944.0,942.55,1067.0,516.0,HCLTECH
2021-05-27,949.0,956.9,938.1,943.0,942.4,1067.0,516.0,HCLTECH
2021-05-26,940.0,948.95,932.55,946.0,945.8,1067.0,516.0,HCLTECH
2021-05-25,938.0,943.8,935.15,941.0,940.6,1067.0,516.0,HCLTECH
2021-05-24,931.5,939.0,927.7,933.05,932.8,1067.0,516.0,HCLTECH
2021-05-21,925.5,934.65,923.0,932.0,930.65,1067.0,506.2,HCLTECH
