DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,256.55,260.5,249.0,252.5,278.3,115.05,HIMATSEIDE
2021-11-11,260.0,262.0,253.0,256.35,278.3,115.05,HIMATSEIDE
2021-11-10,262.85,265.65,257.6,259.6,278.3,111.6,HIMATSEIDE
2021-11-09,259.95,269.65,258.0,262.85,278.3,110.5,HIMATSEIDE
2021-11-08,262.0,262.95,256.5,259.95,278.3,79.95,HIMATSEIDE
2021-11-04,260.0,264.0,259.6,262.5,278.3,76.5,HIMATSEIDE
2021-11-03,264.0,266.9,258.05,259.55,278.3,75.7,HIMATSEIDE
2021-11-02,259.9,265.0,258.05,263.25,278.3,73.5,HIMATSEIDE
2021-11-01,251.5,260.6,249.65,254.05,278.3,73.45,HIMATSEIDE
2021-10-29,254.0,262.3,243.0,248.2,278.3,73.45,HIMATSEIDE
2021-10-28,263.0,267.5,252.15,252.9,278.3,73.45,HIMATSEIDE
2021-10-27,263.7,270.25,260.0,265.4,278.3,73.45,HIMATSEIDE
2021-10-26,266.0,270.0,259.0,260.0,278.3,61.5,HIMATSEIDE
2021-10-25,275.6,275.6,260.75,264.7,278.3,61.0,HIMATSEIDE
2021-07-23,255.7,258.45,238.0,240.9,278.3,59.0,HIMATSEIDE
2021-07-22,259.15,266.0,251.1,252.5,278.3,59.0,HIMATSEIDE
2021-07-20,260.85,264.2,250.5,257.35,278.3,59.0,HIMATSEIDE
2021-07-19,252.0,278.3,250.5,257.2,278.3,59.0,HIMATSEIDE
2021-07-16,230.0,248.5,230.0,245.25,248.5,55.55,HIMATSEIDE
2021-07-15,222.0,239.0,219.0,227.95,239.0,55.55,HIMATSEIDE
2021-07-14,205.15,219.7,205.15,218.45,219.7,55.55,HIMATSEIDE
2021-07-13,199.5,206.4,197.05,203.8,206.4,55.55,HIMATSEIDE
2021-07-12,192.9,202.8,189.2,196.85,202.8,55.55,HIMATSEIDE
2021-07-09,186.0,193.0,182.0,189.55,202.25,55.55,HIMATSEIDE
2021-07-08,192.45,193.75,185.0,186.5,202.25,55.55,HIMATSEIDE
2021-07-07,193.9,198.05,190.0,191.1,202.25,55.55,HIMATSEIDE
2021-07-06,194.8,202.25,191.6,193.0,202.25,55.55,HIMATSEIDE
2021-07-05,194.0,197.5,188.0,193.05,197.5,55.55,HIMATSEIDE
2021-07-02,188.45,193.95,186.0,191.8,193.95,55.55,HIMATSEIDE
2021-07-01,187.7,188.85,185.6,187.2,193.3,55.55,HIMATSEIDE
2021-06-30,186.0,190.35,183.0,186.1,193.3,55.55,HIMATSEIDE
2021-06-29,180.15,183.65,177.8,180.0,193.3,55.55,HIMATSEIDE
2021-06-28,180.2,183.0,177.65,178.45,193.3,55.55,HIMATSEIDE
2021-06-25,185.0,186.75,178.0,180.4,193.3,55.55,HIMATSEIDE
2021-06-24,191.0,193.15,182.1,183.2,193.3,55.55,HIMATSEIDE
2021-06-23,190.0,193.3,186.5,190.0,193.3,55.55,HIMATSEIDE
2021-06-22,183.4,188.7,178.05,185.1,189.25,55.55,HIMATSEIDE
2021-06-21,173.4,183.5,172.05,182.25,189.25,55.55,HIMATSEIDE
2021-06-18,184.9,186.9,170.3,179.35,189.25,55.55,HIMATSEIDE
2021-06-17,168.0,189.25,168.0,183.0,189.25,55.55,HIMATSEIDE
2021-06-16,173.0,176.7,172.1,172.35,184.9,55.55,HIMATSEIDE
2021-06-15,173.65,178.5,172.35,174.8,184.9,55.55,HIMATSEIDE
2021-06-14,174.0,176.0,168.05,172.35,184.9,55.55,HIMATSEIDE
2021-06-11,176.0,176.7,172.5,173.6,184.9,53.6,HIMATSEIDE
2021-06-10,173.05,176.9,172.0,174.5,184.9,53.6,HIMATSEIDE
2021-06-09,179.4,179.4,170.0,171.65,184.9,53.6,HIMATSEIDE
2021-06-08,171.0,182.5,168.0,176.55,184.9,53.6,HIMATSEIDE
2021-06-07,169.75,172.75,168.4,169.35,184.9,53.6,HIMATSEIDE
2021-06-04,170.9,172.0,166.55,168.05,184.9,46.0,HIMATSEIDE
2021-06-03,171.75,172.7,168.7,169.25,184.9,46.0,HIMATSEIDE
2021-06-02,163.0,174.0,162.0,170.4,184.9,46.0,HIMATSEIDE
2021-06-01,165.65,171.0,160.0,161.7,184.9,46.0,HIMATSEIDE
2021-05-31,173.6,178.9,161.65,164.0,184.9,46.0,HIMATSEIDE
2021-05-28,183.7,183.7,173.65,175.1,184.9,45.5,HIMATSEIDE
2021-05-27,178.0,180.9,173.1,179.0,184.9,45.5,HIMATSEIDE
2021-05-26,181.25,184.5,174.4,177.7,184.9,45.5,HIMATSEIDE
2021-05-25,179.8,182.95,178.2,179.95,184.9,45.5,HIMATSEIDE
2021-05-24,172.35,184.9,171.15,178.35,184.9,45.5,HIMATSEIDE
2021-05-21,170.5,175.9,169.5,171.5,183.9,45.0,HIMATSEIDE
2021-05-20,174.9,176.0,167.55,168.8,183.9,45.0,HIMATSEIDE
2021-05-19,173.5,176.9,170.0,173.45,183.9,45.0,HIMATSEIDE
2021-05-18,180.9,182.0,171.25,173.4,183.9,45.0,HIMATSEIDE
2021-05-17,160.25,183.9,160.25,179.6,183.9,45.0,HIMATSEIDE
2021-05-14,171.5,171.5,158.45,160.1,178.9,45.0,HIMATSEIDE
2021-05-12,164.0,176.0,160.85,168.75,178.9,45.0,HIMATSEIDE
2021-05-11,168.0,168.95,164.85,165.75,178.9,45.0,HIMATSEIDE
2021-05-10,164.5,174.0,164.5,169.45,178.9,45.0,HIMATSEIDE
2021-05-07,156.5,166.3,154.05,161.55,178.9,45.0,HIMATSEIDE
2021-05-06,158.0,158.65,153.0,153.6,178.9,45.0,HIMATSEIDE
2021-05-05,154.8,159.0,153.0,156.65,178.9,45.0,HIMATSEIDE
2021-05-04,156.9,157.45,150.4,151.8,178.9,45.0,HIMATSEIDE
2021-05-03,159.3,159.4,153.85,154.95,178.9,45.0,HIMATSEIDE
2021-04-30,153.95,157.85,153.0,156.55,178.9,45.0,HIMATSEIDE
2021-04-29,151.2,157.5,147.45,155.25,178.9,45.0,HIMATSEIDE
2021-04-28,141.0,153.5,140.5,149.9,178.9,45.0,HIMATSEIDE
2021-04-27,140.35,142.0,139.0,141.45,178.9,45.0,HIMATSEIDE
2021-04-26,140.0,141.4,138.6,139.0,178.9,45.0,HIMATSEIDE
2021-04-23,140.0,141.85,137.0,137.95,178.9,45.0,HIMATSEIDE
2021-04-22,137.85,142.75,136.8,140.0,178.9,45.0,HIMATSEIDE
2021-04-20,135.0,140.15,135.0,137.85,178.9,45.0,HIMATSEIDE
2021-04-19,135.0,137.3,133.1,134.1,178.9,45.0,HIMATSEIDE
2021-04-16,140.5,142.4,139.0,139.95,178.9,45.0,HIMATSEIDE
2021-04-15,137.1,141.0,137.1,139.7,178.9,45.0,HIMATSEIDE
2021-04-13,141.7,144.55,136.5,138.85,178.9,45.0,HIMATSEIDE
2021-04-12,145.0,145.0,137.95,141.7,178.9,45.0,HIMATSEIDE
2021-04-09,146.5,152.85,146.45,149.45,178.9,45.0,HIMATSEIDE
2021-04-08,146.7,146.7,141.65,142.8,178.9,45.0,HIMATSEIDE
2021-04-07,145.0,146.4,141.55,143.95,178.9,45.0,HIMATSEIDE
