DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,171.0,175.0,165.0,169.25,169.45,HIRECT
2021-07-15,169.8,172.7,168.0,169.0,168.75,HIRECT
2021-07-14,160.35,169.7,160.25,167.0,167.5,HIRECT
2021-07-13,162.95,163.85,158.65,161.7,162.35,HIRECT
2021-07-12,163.0,164.2,158.25,159.0,159.2,HIRECT
2021-07-09,156.6,162.7,156.6,160.5,160.5,HIRECT
2021-07-08,157.55,161.7,155.9,156.0,156.45,HIRECT
2021-07-07,154.3,160.0,154.25,159.0,157.35,HIRECT
2021-07-06,158.5,163.5,156.5,157.0,157.45,HIRECT
2021-07-05,156.55,161.95,156.2,157.5,157.5,HIRECT
2021-07-02,164.0,164.0,154.25,157.6,157.4,HIRECT
2021-07-01,154.2,161.45,154.2,159.0,159.45,HIRECT
2021-06-30,154.7,161.8,154.0,155.5,156.1,HIRECT
2021-06-29,158.3,162.7,153.0,153.1,154.1,HIRECT
2021-06-28,159.0,163.7,155.0,157.0,156.05,HIRECT
2021-06-25,154.0,165.0,152.0,158.6,159.45,HIRECT
2021-06-24,157.2,158.95,153.1,154.0,153.65,HIRECT
2021-06-23,156.5,157.3,150.2,156.8,155.55,HIRECT
2021-06-22,156.95,157.0,150.0,153.0,151.35,HIRECT
2021-06-21,150.0,156.5,149.45,153.0,153.3,HIRECT
2021-06-18,161.0,162.0,146.45,151.9,151.4,HIRECT
2021-06-17,163.0,164.5,157.1,159.6,159.35,HIRECT
2021-06-16,167.65,170.0,163.4,163.5,165.2,HIRECT
2021-06-15,170.5,173.05,166.1,167.95,167.55,HIRECT
2021-06-14,170.75,177.0,159.8,170.1,172.6,HIRECT
2021-06-11,163.0,173.6,153.95,169.45,170.7,HIRECT
2021-06-10,168.0,172.0,163.1,171.75,168.75,HIRECT
2021-06-09,169.95,173.15,164.0,166.0,166.65,HIRECT
2021-06-08,165.5,169.0,156.0,168.9,166.1,HIRECT
2021-06-07,149.2,171.8,147.0,163.0,164.45,HIRECT
2021-06-04,149.25,149.95,141.3,147.2,148.8,HIRECT
2021-06-03,140.35,152.0,139.5,147.6,148.1,HIRECT
2021-06-02,135.05,138.95,133.45,138.35,138.75,HIRECT
2021-06-01,139.35,140.35,134.5,135.45,135.2,HIRECT
2021-05-31,142.65,142.65,136.4,138.4,137.9,HIRECT
2021-05-28,149.95,150.05,138.35,139.95,139.35,HIRECT
2021-05-27,146.7,154.3,142.2,148.0,148.35,HIRECT
2021-05-26,142.8,147.6,141.1,145.85,146.35,HIRECT
2021-05-25,142.0,147.3,138.65,141.5,142.2,HIRECT
2021-05-24,138.9,141.6,137.0,141.05,140.6,HIRECT
2021-05-21,139.5,139.5,136.0,137.75,136.95,HIRECT
2021-05-20,141.25,142.0,137.65,137.8,138.0,HIRECT
2021-05-19,147.0,147.0,141.0,142.2,141.65,HIRECT
2021-05-18,139.8,150.95,135.1,146.9,146.3,HIRECT
2021-05-17,137.95,141.0,133.2,133.3,134.5,HIRECT
2021-05-14,131.0,137.95,128.0,137.05,136.9,HIRECT
2021-05-12,132.9,132.9,129.05,130.25,130.15,HIRECT
2021-05-11,128.65,132.0,126.2,132.0,131.25,HIRECT
2021-05-10,131.5,131.5,128.55,129.8,129.4,HIRECT
2021-05-07,130.65,132.5,128.15,129.45,129.65,HIRECT
2021-05-06,132.0,132.0,128.1,131.4,130.65,HIRECT
2021-05-05,121.1,133.0,121.0,130.5,130.1,HIRECT
2021-05-04,122.0,123.1,120.0,121.0,121.05,HIRECT
2021-05-03,122.4,123.95,121.0,122.65,121.65,HIRECT
2021-04-30,120.05,126.85,119.4,121.2,122.4,HIRECT
2021-04-29,123.45,123.55,117.9,121.65,121.95,HIRECT
2021-04-28,123.05,124.8,116.95,122.1,121.1,HIRECT
2021-04-27,123.5,123.85,122.0,123.2,123.65,HIRECT
2021-04-26,121.2,123.65,121.15,123.5,122.45,HIRECT
2021-04-23,121.4,122.2,120.1,121.4,120.75,HIRECT
2021-04-22,122.3,123.2,121.4,121.4,121.65,HIRECT
2021-04-20,122.9,124.1,122.4,123.5,123.3,HIRECT
2021-04-19,128.4,128.5,121.55,122.95,122.9,HIRECT
2021-04-16,123.75,131.4,122.0,127.95,127.1,HIRECT
2021-04-15,123.5,124.0,121.0,121.8,121.85,HIRECT
2021-04-13,123.15,124.75,121.25,123.0,122.8,HIRECT
2021-04-12,124.25,127.15,120.35,123.8,123.15,HIRECT
2021-04-09,127.35,130.85,126.55,130.35,129.2,HIRECT
2021-04-08,124.6,128.6,124.1,128.3,127.35,HIRECT
2021-04-07,124.8,125.85,122.2,125.0,124.6,HIRECT
2021-04-06,123.95,125.95,122.25,123.6,124.15,HIRECT
2021-04-05,128.4,128.4,122.55,122.75,122.95,HIRECT
2021-04-01,120.0,126.0,119.2,125.5,125.25,HIRECT
