DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,151.0,152.0,145.05,147.0,146.65,165.0,61.55,HISARMETAL
2021-07-26,154.95,160.75,147.5,150.5,150.05,165.0,61.55,HISARMETAL
2021-07-23,165.0,165.0,146.1,153.0,152.65,165.0,61.3,HISARMETAL
2021-07-22,139.8,163.55,136.1,163.55,163.2,163.55,61.3,HISARMETAL
2021-07-20,143.3,143.3,132.65,137.0,136.3,149.0,61.3,HISARMETAL
2021-07-19,134.7,144.05,134.7,141.25,142.05,149.0,61.3,HISARMETAL
2021-07-16,139.65,141.0,136.1,136.1,137.5,149.0,61.3,HISARMETAL
2021-07-15,139.75,141.9,135.35,138.0,137.9,149.0,61.3,HISARMETAL
2021-07-14,138.0,140.8,136.2,137.65,138.55,149.0,61.3,HISARMETAL
2021-07-13,141.05,143.05,127.8,135.9,135.65,149.0,61.3,HISARMETAL
2021-07-12,145.1,147.6,138.8,140.35,140.4,149.0,61.3,HISARMETAL
2021-07-09,141.85,144.75,139.05,144.3,143.75,149.0,61.2,HISARMETAL
2021-07-08,145.9,148.5,140.7,141.95,141.65,149.0,61.2,HISARMETAL
2021-07-07,133.05,149.0,132.35,143.5,144.25,149.0,61.2,HISARMETAL
2021-07-06,137.0,138.0,132.55,133.0,134.3,146.55,61.2,HISARMETAL
2021-07-05,133.7,137.8,131.3,136.05,134.4,146.55,61.2,HISARMETAL
2021-07-02,136.0,138.25,131.7,133.0,132.7,146.55,61.2,HISARMETAL
2021-07-01,135.7,139.75,135.0,137.0,136.55,146.55,61.2,HISARMETAL
2021-06-30,137.6,139.55,132.1,135.7,134.7,146.55,61.2,HISARMETAL
2021-06-29,143.7,143.7,137.55,137.6,138.0,146.55,61.2,HISARMETAL
2021-06-28,143.85,146.55,138.5,142.5,142.5,146.55,61.2,HISARMETAL
2021-06-25,134.9,143.0,126.55,141.95,141.7,143.65,61.2,HISARMETAL
2021-06-24,134.8,136.9,132.1,133.0,133.05,143.65,61.2,HISARMETAL
2021-06-23,135.4,137.45,132.0,132.0,132.9,143.65,61.2,HISARMETAL
2021-06-22,131.7,139.8,131.7,136.0,133.95,143.65,61.2,HISARMETAL
