DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,45149.95,45149.95,43757.05,44002.45,49990.0,28400.1,HONAUT
2021-11-11,42521.0,45500.0,42085.2,45196.4,49990.0,28400.1,HONAUT
2021-11-10,42849.0,42999.95,42411.05,42622.0,49990.0,28400.1,HONAUT
2021-11-09,43035.3,43123.0,42615.0,42880.15,49990.0,28400.1,HONAUT
2021-11-08,43291.3,43448.0,42450.0,42842.3,49990.0,28400.1,HONAUT
2021-11-04,43249.0,43398.95,42915.5,43291.3,49990.0,27850.0,HONAUT
2021-11-03,42678.55,43250.0,42374.65,43014.95,49990.0,27850.0,HONAUT
2021-11-02,42749.0,42813.55,41500.0,42640.45,49990.0,27850.0,HONAUT
2021-11-01,41965.0,42550.0,41650.0,42451.0,49990.0,27850.0,HONAUT
2021-10-29,42055.05,42676.1,41649.95,41934.4,49990.0,27850.0,HONAUT
2021-10-28,42648.0,43090.35,42303.2,42337.0,49990.0,27850.0,HONAUT
2021-10-27,42901.0,43153.0,42500.05,42648.05,49990.0,27850.0,HONAUT
2021-10-26,41884.05,44366.45,40500.0,43360.05,49990.0,27850.0,HONAUT
2021-10-25,45217.0,45217.0,41600.0,41884.0,49990.0,27850.0,HONAUT
2021-10-22,42798.8,43198.9,42625.0,42999.05,49990.0,27850.0,HONAUT
2021-10-21,42510.0,42799.95,42271.25,42624.25,49990.0,27850.0,HONAUT
2021-10-20,42898.0,44282.65,42400.2,42454.2,49990.0,27850.0,HONAUT
2021-10-19,44549.0,44549.0,42605.05,42767.9,49990.0,27850.0,HONAUT
2021-10-18,44735.0,45098.95,43350.0,44134.35,49990.0,27850.0,HONAUT
2021-10-14,45250.0,45450.0,44522.6,44648.7,49990.0,27850.0,HONAUT
2021-10-13,45000.0,45600.0,44926.0,45027.2,49990.0,27850.0,HONAUT
2021-10-12,45680.0,46106.15,44675.0,44752.2,49990.0,27850.0,HONAUT
2021-10-11,45750.0,46041.9,45500.0,45517.05,49990.0,27850.0,HONAUT
2021-10-08,46589.0,46800.0,45850.0,45942.95,49990.0,27850.0,HONAUT
2021-10-07,46450.0,46800.0,46053.15,46468.45,49990.0,27850.0,HONAUT
2021-10-06,46800.0,47134.3,45700.0,45819.3,49990.0,27850.0,HONAUT
2021-10-05,45806.0,47275.95,45806.0,46698.35,49990.0,27850.0,HONAUT
2021-10-04,45086.9,46100.0,44712.0,45900.35,49990.0,27850.0,HONAUT
2021-10-01,45499.0,45826.0,44550.0,44686.6,49990.0,27850.0,HONAUT
2021-09-30,44848.0,45985.0,44449.95,45714.5,49990.0,27850.0,HONAUT
2021-09-29,44300.0,45700.0,44001.0,44504.65,49990.0,27850.0,HONAUT
2021-09-28,44400.0,45400.0,44250.0,44377.15,49990.0,27850.0,HONAUT
2021-09-27,44500.0,44500.0,44200.05,44380.55,49990.0,27850.0,HONAUT
2021-09-24,44245.0,44487.0,43695.45,44286.75,49990.0,27850.0,HONAUT
2021-09-23,43825.0,44490.0,43619.85,43995.8,49990.0,27850.0,HONAUT
2021-09-22,43448.9,44180.8,42939.7,43646.35,49990.0,27850.0,HONAUT
2021-09-21,42550.0,43500.0,41700.0,43231.8,49990.0,27850.0,HONAUT
2021-09-20,42398.9,42900.0,41700.0,42520.05,49990.0,27850.0,HONAUT
2021-09-17,43099.0,43099.0,41378.85,42571.15,49990.0,27850.0,HONAUT
2021-09-16,43699.0,43699.0,42777.0,42874.95,49990.0,27850.0,HONAUT
2021-09-15,42444.0,43600.0,42047.05,43478.65,49990.0,27850.0,HONAUT
2021-09-14,42807.55,42807.55,42013.95,42243.05,49990.0,27850.0,HONAUT
2021-09-13,42400.0,42896.05,42200.0,42511.05,49990.0,27850.0,HONAUT
