DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-08,122.4,123.7,117.0,120.15,120.6,YAARII
2021-06-07,127.7,127.7,120.35,121.45,120.95,YAARII
2021-06-04,118.0,124.2,115.1,124.2,124.2,YAARII
2021-06-03,111.5,118.3,111.5,118.3,118.3,YAARII
2021-06-02,111.1,115.5,111.1,112.6,112.7,YAARII
2021-06-01,120.65,120.65,109.3,112.25,111.9,YAARII
2021-05-31,109.15,114.95,109.15,114.95,114.95,YAARII
2021-05-28,107.1,112.85,106.05,109.25,109.5,YAARII
2021-05-27,112.45,114.0,107.0,107.5,107.95,YAARII
2021-05-26,114.95,114.95,108.05,112.5,111.55,YAARII
2021-05-25,122.5,122.5,112.4,113.05,113.7,YAARII
2021-05-24,116.95,116.95,114.0,116.95,116.95,YAARII
2021-05-21,107.9,111.4,107.5,111.4,111.4,YAARII
2021-05-20,102.0,106.1,99.2,106.1,106.1,YAARII
2021-05-19,104.3,104.3,97.7,100.15,101.05,YAARII
2021-05-18,99.35,99.35,99.35,99.35,99.35,YAARII
2021-05-17,94.65,94.65,94.65,94.65,94.65,YAARII
2021-05-14,92.0,94.0,89.35,89.8,90.15,YAARII
2021-05-12,93.95,95.05,89.9,91.05,91.1,YAARII
2021-05-11,88.4,94.7,86.85,92.85,92.9,YAARII
2021-05-10,88.2,90.3,88.2,90.3,90.3,YAARII
2021-05-07,83.45,86.35,82.5,86.35,86.0,YAARII
2021-05-06,87.0,88.0,82.1,82.15,82.25,YAARII
2021-05-05,92.6,92.6,86.3,86.3,86.4,YAARII
2021-05-04,92.95,93.75,90.1,90.1,90.8,YAARII
2021-05-03,92.0,94.1,91.0,92.2,92.0,YAARII
2021-04-30,93.6,94.5,89.9,93.4,93.0,YAARII
2021-04-29,93.45,95.45,89.85,93.3,93.6,YAARII
2021-04-28,95.45,95.85,90.55,92.0,91.65,YAARII
2021-04-27,96.0,96.8,90.8,93.0,93.0,YAARII
2021-04-26,99.0,102.6,93.2,94.55,94.7,YAARII
2021-04-23,98.4,100.05,95.35,98.35,97.75,YAARII
2021-04-22,87.25,95.3,87.25,95.3,95.3,YAARII
2021-04-20,91.45,95.45,90.8,90.8,90.8,YAARII
2021-04-19,95.65,95.65,95.55,95.55,95.55,YAARII
2021-04-16,100.35,106.3,100.15,100.15,100.55,YAARII
2021-04-15,110.9,110.9,105.4,105.4,105.4,YAARII
2021-04-13,110.9,114.9,110.9,110.9,110.9,YAARII
2021-04-12,119.0,119.0,116.7,116.7,116.7,YAARII
2021-04-09,122.15,127.45,119.0,123.0,122.8,YAARII
2021-04-08,122.15,122.15,118.25,122.15,122.15,YAARII
2021-04-07,116.35,116.35,116.35,116.35,116.35,YAARII
2021-04-06,106.1,113.75,103.7,113.75,110.85,YAARII
2021-04-05,112.2,113.1,108.05,108.05,108.35,YAARII
2021-04-01,113.1,122.75,113.1,113.1,113.7,YAARII
2021-03-31,120.8,123.85,119.05,119.05,119.05,YAARII
2021-03-30,131.95,135.1,125.3,125.3,125.3,YAARII
2021-03-26,134.25,140.95,131.3,131.95,131.85,YAARII
2021-03-25,142.1,145.75,137.75,137.75,138.2,YAARII
2021-03-24,146.0,149.0,140.5,145.0,144.95,YAARII
2021-03-23,147.45,153.45,144.0,147.0,146.6,YAARII
2021-03-22,145.45,146.35,141.05,146.35,146.3,YAARII
2021-03-19,133.25,142.0,131.4,140.0,139.4,YAARII
2021-03-18,145.55,148.1,137.35,139.0,138.3,YAARII
2021-03-17,153.45,156.4,144.05,144.05,144.55,YAARII
2021-03-16,145.0,152.5,141.3,152.2,151.6,YAARII
2021-03-15,152.2,154.05,145.25,145.25,145.25,YAARII
2021-03-12,165.0,167.75,151.85,151.85,152.85,YAARII
2021-03-10,150.0,159.8,148.0,159.8,159.8,YAARII
2021-03-09,163.9,164.0,152.2,152.2,152.2,YAARII
2021-03-08,168.0,168.1,157.1,160.5,160.2,YAARII
2021-03-05,166.6,167.9,158.0,162.0,160.85,YAARII
2021-03-04,161.05,169.9,161.05,163.0,163.7,YAARII
2021-03-03,169.8,169.8,163.0,165.4,166.5,YAARII
2021-03-02,172.1,178.65,163.55,164.3,166.45,YAARII
2021-03-01,164.05,172.25,164.05,172.0,171.1,YAARII
2021-02-26,166.15,171.0,163.85,163.85,164.05,YAARII
2021-02-25,183.45,183.45,166.05,170.95,172.45,YAARII
2021-02-24,174.75,174.75,165.55,174.75,174.75,YAARII
2021-02-23,166.45,166.45,166.45,166.45,166.45,YAARII
2021-02-22,158.55,158.55,158.55,158.55,158.55,YAARII
2021-02-19,151.0,151.0,151.0,151.0,151.0,YAARII
2021-02-18,137.85,143.85,134.7,143.85,143.85,YAARII
2021-02-17,133.0,140.3,132.2,137.85,137.0,YAARII
2021-02-16,130.0,137.7,128.6,134.1,133.65,YAARII
2021-02-15,131.05,138.25,121.55,130.0,129.9,YAARII
2021-02-12,128.75,128.75,121.0,128.75,128.75,YAARII
2021-02-11,106.95,117.05,106.05,117.05,117.05,YAARII
2021-02-10,101.35,107.95,100.35,107.0,106.45,YAARII
2021-02-09,111.0,111.0,96.6,100.5,100.5,YAARII
2021-02-08,107.45,109.9,106.0,107.7,107.1,YAARII
2021-02-05,108.7,110.0,105.0,106.05,106.45,YAARII
2021-02-04,104.85,104.85,104.85,104.85,104.85,YAARII
