DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-27,44.0,44.86,43.81,44.39,44.86,23.66,ICICIB22
2021-09-24,44.55,44.85,43.85,44.0,44.85,23.46,ICICIB22
2021-09-23,44.4,44.65,44.1,44.55,44.65,23.46,ICICIB22
2021-09-22,43.99,44.45,43.28,44.01,44.59,23.46,ICICIB22
2021-09-21,43.25,43.75,42.75,43.57,44.59,23.46,ICICIB22
2021-09-20,42.1,43.99,42.1,43.25,44.59,23.46,ICICIB22
2021-09-17,44.38,44.59,43.5,43.83,44.59,23.46,ICICIB22
2021-09-16,43.58,44.25,43.48,44.15,44.25,23.46,ICICIB22
2021-09-15,41.6,43.65,41.6,43.58,43.65,23.46,ICICIB22
2021-09-14,42.5,42.97,42.18,42.91,42.97,23.46,ICICIB22
2021-09-13,42.51,42.51,41.72,42.39,42.51,23.46,ICICIB22
2021-09-09,42.12,42.34,41.7,42.29,42.49,23.46,ICICIB22
2021-09-08,42.0,42.35,41.52,42.12,42.49,23.46,ICICIB22
2021-09-07,42.25,42.49,41.66,41.74,42.49,23.46,ICICIB22
2021-09-06,42.12,42.25,41.93,42.14,42.25,23.46,ICICIB22
2021-09-03,41.65,42.08,41.27,41.99,42.08,23.46,ICICIB22
2021-09-02,41.6,41.6,41.11,41.46,41.73,23.46,ICICIB22
2021-09-01,41.15,41.73,41.15,41.48,41.73,23.46,ICICIB22
2021-08-31,40.95,41.3,40.55,41.25,41.5,23.46,ICICIB22
2021-08-30,40.25,41.09,39.82,40.99,41.5,23.46,ICICIB22
2021-08-27,40.4,40.4,39.6,40.18,41.5,23.46,ICICIB22
2021-08-26,39.32,39.94,39.32,39.61,41.5,23.46,ICICIB22
2021-08-25,39.76,40.1,39.68,39.94,41.5,23.46,ICICIB22
2021-08-24,39.69,39.78,39.02,39.73,41.5,23.46,ICICIB22
2021-08-23,39.6,39.6,38.77,39.09,41.5,23.46,ICICIB22
2021-08-20,40.0,40.25,39.3,39.42,41.5,23.46,ICICIB22
2021-08-18,40.5,40.59,40.2,40.34,41.5,23.46,ICICIB22
2021-08-17,40.14,40.95,40.14,40.5,41.5,23.46,ICICIB22
2021-08-16,40.92,41.0,40.23,40.78,41.5,23.46,ICICIB22
