DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-03,42.92,42.92,42.11,42.54,42.53,54.1,37.05,ICICIGOLD
2021-08-02,42.98,42.98,42.41,42.43,42.47,54.1,37.05,ICICIGOLD
2021-07-30,42.41,43.01,42.41,42.87,42.99,54.1,37.05,ICICIGOLD
2021-07-29,42.43,42.79,42.35,42.65,42.62,54.1,37.05,ICICIGOLD
2021-07-28,42.33,42.6,42.27,42.39,42.42,54.1,37.05,ICICIGOLD
2021-07-27,41.38,42.62,41.38,42.32,42.4,54.1,37.05,ICICIGOLD
2021-07-26,41.58,42.84,41.58,42.4,42.4,54.1,37.05,ICICIGOLD
2021-07-23,42.79,42.79,42.16,42.33,42.34,54.1,37.05,ICICIGOLD
2021-07-22,40.88,42.78,40.88,42.28,42.35,54.1,37.05,ICICIGOLD
2021-07-20,42.31,42.89,42.31,42.63,42.59,54.1,37.05,ICICIGOLD
2021-07-19,42.78,44.35,42.31,42.49,42.46,54.1,37.05,ICICIGOLD
2021-07-16,41.58,42.89,41.58,42.78,42.78,54.1,37.05,ICICIGOLD
2021-07-15,42.51,42.99,42.51,42.93,42.89,54.1,37.05,ICICIGOLD
2021-07-14,42.93,42.93,41.4,42.62,42.58,54.1,37.05,ICICIGOLD
2021-07-13,42.31,42.79,42.27,42.43,42.31,54.1,37.05,ICICIGOLD
2021-07-12,44.5,44.5,40.63,42.34,42.29,54.1,37.05,ICICIGOLD
2021-07-09,40.88,42.68,40.88,42.5,42.46,54.1,37.05,ICICIGOLD
2021-07-08,44.98,44.98,42.21,42.68,42.72,54.1,37.05,ICICIGOLD
2021-07-07,40.88,42.79,40.88,42.66,42.64,54.1,37.05,ICICIGOLD
2021-07-06,42.18,42.89,42.18,42.57,42.55,54.1,37.05,ICICIGOLD
2021-07-05,44.85,44.85,42.06,42.21,42.17,54.1,37.05,ICICIGOLD
2021-07-02,41.71,44.98,41.71,42.18,42.14,54.1,37.05,ICICIGOLD
2021-07-01,44.44,44.44,41.66,41.92,41.84,54.1,37.05,ICICIGOLD
2021-06-30,40.0,41.74,40.0,41.4,41.43,54.1,37.05,ICICIGOLD
2021-06-29,38.0,41.98,38.0,41.71,41.7,54.1,37.05,ICICIGOLD
2021-06-28,42.23,42.23,41.56,41.77,41.77,54.1,37.05,ICICIGOLD
2021-06-25,41.43,42.0,41.43,41.91,41.89,54.1,37.05,ICICIGOLD
2021-06-24,41.89,41.92,39.1,41.9,41.87,54.1,37.05,ICICIGOLD
2021-06-23,44.98,44.98,41.36,41.93,41.91,54.1,37.05,ICICIGOLD
