DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,320.0,324.22,313.55,314.09,313.98,330.0,158.95,ICICITECH
2021-08-03,314.93,316.97,313.0,316.5,316.73,330.0,158.95,ICICITECH
2021-08-02,313.0,317.16,309.48,313.0,312.82,330.0,158.95,ICICITECH
2021-07-30,310.0,312.96,308.54,309.88,309.97,330.0,158.95,ICICITECH
2021-07-29,307.0,309.09,305.0,308.0,308.54,330.0,158.95,ICICITECH
2021-07-28,311.0,311.0,299.6,302.9,303.84,330.0,158.95,ICICITECH
2021-07-27,312.3,312.3,301.0,302.5,302.48,330.0,158.95,ICICITECH
2021-07-26,330.0,330.0,300.2,304.2,304.09,330.0,158.95,ICICITECH
2021-07-23,303.99,303.99,301.5,302.1,302.78,318.9,158.95,ICICITECH
2021-07-22,307.9,313.8,296.1,301.73,301.03,318.9,158.95,ICICITECH
2021-07-20,299.93,299.93,293.55,296.0,296.04,318.9,158.95,ICICITECH
2021-07-19,303.25,303.25,295.0,295.77,296.02,318.9,158.95,ICICITECH
2021-07-16,318.9,318.9,295.17,297.5,297.5,318.9,158.95,ICICITECH
2021-07-15,297.6,302.09,291.55,300.89,300.89,309.7,158.95,ICICITECH
2021-07-14,288.2,296.2,288.2,296.2,295.8,309.7,158.95,ICICITECH
2021-07-13,292.69,292.69,286.85,288.3,288.2,309.7,158.95,ICICITECH
2021-07-12,294.45,295.3,288.0,289.05,289.04,309.7,158.95,ICICITECH
2021-07-09,294.0,294.0,286.95,288.5,289.31,309.7,158.95,ICICITECH
2021-07-08,292.9,293.9,289.5,290.0,290.15,309.7,158.95,ICICITECH
2021-07-07,292.9,292.9,287.8,290.4,290.38,309.7,158.95,ICICITECH
2021-07-06,295.0,295.9,288.7,291.0,290.11,309.7,158.95,ICICITECH
2021-07-05,293.0,296.5,289.0,293.0,291.93,309.7,158.95,ICICITECH
2021-07-02,297.0,297.0,289.0,293.46,293.22,309.7,158.95,ICICITECH
2021-07-01,297.4,297.4,292.6,293.0,292.98,309.7,158.95,ICICITECH
2021-06-30,297.0,297.0,294.0,294.99,294.9,309.7,158.95,ICICITECH
2021-06-29,306.3,306.3,293.05,293.8,293.59,309.7,158.95,ICICITECH
2021-06-28,309.7,309.7,292.5,294.48,294.53,309.7,158.95,ICICITECH
2021-06-25,290.0,299.97,290.0,294.0,294.33,299.97,158.95,ICICITECH
2021-06-24,289.97,293.9,286.81,293.9,293.06,299.1,158.95,ICICITECH
2021-06-23,292.0,292.0,285.03,286.3,286.13,299.1,158.95,ICICITECH
2021-06-22,292.0,292.0,287.21,287.21,288.23,299.1,158.95,ICICITECH
2021-06-21,288.1,288.1,283.8,287.0,286.98,299.1,158.95,ICICITECH
2021-06-18,292.0,293.97,286.1,287.19,287.12,299.1,158.95,ICICITECH
2021-06-17,287.0,290.94,286.0,290.0,288.55,299.1,158.95,ICICITECH
2021-06-16,284.0,289.13,284.0,287.0,286.77,299.1,158.95,ICICITECH
2021-06-15,289.98,289.98,285.68,287.1,286.7,299.1,158.95,ICICITECH
2021-06-14,288.0,288.24,283.0,286.55,286.18,299.1,158.95,ICICITECH
2021-06-11,283.0,286.2,281.0,284.41,284.03,299.1,158.95,ICICITECH
2021-06-10,281.79,281.79,278.0,280.25,280.59,299.1,158.95,ICICITECH
2021-06-09,281.89,288.3,277.31,278.99,278.63,299.1,158.95,ICICITECH
2021-06-08,278.64,280.64,276.06,279.3,279.29,299.1,158.95,ICICITECH
2021-06-07,266.51,276.5,266.51,276.2,276.09,299.1,158.95,ICICITECH
2021-06-04,274.55,274.58,271.8,271.85,272.17,299.1,158.95,ICICITECH
2021-06-03,273.0,274.9,271.51,273.06,272.79,299.1,158.95,ICICITECH
2021-06-02,273.6,273.6,270.0,271.9,271.53,299.1,158.95,ICICITECH
2021-06-01,275.79,275.79,271.02,274.0,273.6,299.1,158.95,ICICITECH
2021-05-31,275.44,278.27,271.0,273.45,273.69,299.1,158.95,ICICITECH
2021-05-28,275.94,275.94,268.05,273.9,273.37,299.1,158.95,ICICITECH
2021-05-27,272.64,275.97,271.0,273.0,273.54,299.1,158.95,ICICITECH
2021-05-26,267.34,270.25,266.0,270.15,270.05,299.1,158.95,ICICITECH
2021-05-25,264.0,267.09,264.0,266.93,265.83,299.1,158.95,ICICITECH
2021-05-24,264.45,264.7,260.15,263.05,262.13,299.1,158.95,ICICITECH
2021-05-21,263.8,264.0,260.72,263.87,263.35,299.1,158.95,ICICITECH
2021-05-20,264.46,265.0,260.05,261.5,261.09,299.1,158.95,ICICITECH
2021-05-19,258.15,263.91,258.15,261.7,261.67,299.1,158.95,ICICITECH
2021-05-18,263.0,263.0,257.9,261.7,260.83,299.1,158.95,ICICITECH
2021-05-17,262.89,262.89,253.05,257.82,257.33,299.1,158.95,ICICITECH
2021-05-14,263.9,263.9,257.0,258.1,257.28,299.1,158.95,ICICITECH
2021-05-12,261.0,263.05,259.2,260.2,259.95,299.1,158.95,ICICITECH
2021-05-11,263.95,263.95,262.1,263.5,263.17,299.1,158.95,ICICITECH
2021-05-10,299.1,299.1,258.15,264.5,263.78,299.1,158.95,ICICITECH
2021-05-07,265.0,266.0,262.09,264.43,264.65,294.4,158.95,ICICITECH
2021-05-06,257.2,265.0,257.2,263.5,264.19,294.4,158.95,ICICITECH
2021-05-05,261.2,261.2,256.9,258.84,258.66,294.4,158.95,ICICITECH
2021-05-04,258.8,259.71,255.63,256.51,255.76,294.4,158.95,ICICITECH
2021-05-03,260.93,260.98,256.73,258.89,258.8,294.4,158.95,ICICITECH
2021-04-30,260.25,262.56,258.1,258.7,258.99,294.4,158.95,ICICITECH
2021-04-29,261.0,263.11,260.0,260.0,260.46,294.4,158.95,ICICITECH
2021-04-28,260.95,261.8,258.61,261.8,260.11,294.4,158.95,ICICITECH
2021-04-27,259.9,260.09,257.0,258.56,259.62,294.4,158.95,ICICITECH
2021-04-26,257.0,259.98,254.15,258.0,257.02,294.4,158.95,ICICITECH
2021-04-23,262.7,262.7,255.85,258.0,256.61,294.4,158.95,ICICITECH
2021-04-22,264.0,267.88,251.4,260.45,260.35,294.4,158.95,ICICITECH
2021-04-20,269.0,269.9,259.55,259.85,260.08,294.4,158.95,ICICITECH
2021-04-19,264.6,267.0,255.0,263.0,264.04,294.4,158.95,ICICITECH
2021-04-16,257.0,266.31,256.36,264.89,264.74,294.4,158.95,ICICITECH
2021-04-15,260.1,262.6,255.74,260.9,260.85,294.4,158.95,ICICITECH
2021-04-13,267.5,273.6,257.12,261.05,260.21,294.4,158.95,ICICITECH
2021-04-12,269.7,275.6,266.95,269.52,269.02,294.4,158.95,ICICITECH
2021-04-09,274.0,275.78,272.31,275.0,275.61,294.4,158.95,ICICITECH
2021-04-08,271.05,274.9,271.0,272.01,272.26,294.4,158.95,ICICITECH
2021-04-07,268.0,270.7,258.3,269.4,270.23,294.4,158.95,ICICITECH
2021-04-06,272.95,272.95,265.95,265.95,266.22,294.4,158.95,ICICITECH
2021-04-05,266.0,267.98,262.05,267.24,267.73,294.4,158.95,ICICITECH
2021-04-01,269.0,286.6,261.15,263.22,263.09,294.4,158.95,ICICITECH
2021-03-31,267.95,268.0,260.8,265.0,262.92,294.4,158.95,ICICITECH
2021-03-30,258.0,272.0,256.44,271.0,268.33,294.4,158.95,ICICITECH
2021-03-26,256.95,258.5,253.02,257.0,256.39,294.4,158.95,ICICITECH
2021-03-25,250.2,265.8,237.2,254.49,251.82,294.4,158.95,ICICITECH
2021-03-24,279.7,279.7,258.5,261.16,260.62,294.4,158.95,ICICITECH
2021-03-23,261.5,280.43,261.5,263.82,266.1,294.4,158.95,ICICITECH
2021-03-22,280.8,280.8,252.5,261.5,262.65,294.4,158.95,ICICITECH
2021-03-19,294.4,294.4,252.3,258.53,257.57,294.4,158.95,ICICITECH
2021-03-18,266.0,269.97,252.35,256.49,256.0,287.0,158.95,ICICITECH
2021-03-17,265.45,272.75,262.77,264.75,265.68,287.0,158.95,ICICITECH
2021-03-16,263.3,267.59,263.0,265.4,266.44,287.0,158.95,ICICITECH
2021-03-15,260.0,268.0,258.45,261.03,262.84,287.0,158.95,ICICITECH
2021-03-12,285.2,285.2,260.2,260.41,260.76,287.0,158.95,ICICITECH
2021-03-10,257.05,262.58,257.05,261.0,261.63,287.0,158.95,ICICITECH
2021-03-09,255.0,258.2,253.05,258.2,257.16,287.0,158.95,ICICITECH
2021-03-08,259.97,259.97,252.35,255.94,255.34,287.0,158.95,ICICITECH
2021-03-05,260.0,260.0,252.15,254.9,254.55,287.0,158.95,ICICITECH
2021-03-04,255.0,261.0,246.15,258.38,258.85,287.0,158.95,ICICITECH
2021-03-03,252.0,259.25,248.25,258.25,258.48,287.0,158.95,ICICITECH
2021-03-02,249.92,256.5,248.6,255.83,254.5,287.0,158.95,ICICITECH
2021-03-01,249.89,249.89,241.0,248.6,248.25,287.0,158.95,ICICITECH
2021-02-26,242.7,250.0,201.48,215.0,231.5,287.0,158.95,ICICITECH
2021-02-25,252.4,254.9,249.55,249.55,250.2,287.0,158.95,ICICITECH
2021-02-24,248.05,252.0,236.49,248.0,245.06,287.0,158.95,ICICITECH
2021-02-23,254.55,254.94,248.95,250.33,250.01,287.0,158.95,ICICITECH
2021-02-22,266.8,269.7,249.0,249.39,249.54,287.0,158.95,ICICITECH
2021-02-19,256.95,257.58,254.77,257.51,256.57,287.0,158.95,ICICITECH
2021-02-18,260.85,260.9,255.54,256.87,257.45,287.0,158.95,ICICITECH
2021-02-17,257.5,260.95,254.45,255.49,255.2,287.0,158.95,ICICITECH
