DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,561.7,562.9,551.0,552.3,552.6,IGL
2021-07-15,563.0,565.45,557.35,559.75,560.2,IGL
2021-07-14,566.75,568.3,559.0,560.85,560.25,IGL
2021-07-13,572.0,575.0,565.1,566.0,566.45,IGL
2021-07-12,572.9,577.9,567.2,569.2,569.55,IGL
2021-07-09,580.0,581.75,568.6,571.55,570.05,IGL
2021-07-08,564.0,584.0,563.0,577.7,578.85,IGL
2021-07-07,561.0,567.0,557.3,562.05,561.15,IGL
2021-07-06,566.9,571.35,561.5,563.0,562.8,IGL
2021-07-05,566.5,572.0,564.15,567.6,568.25,IGL
2021-07-02,571.85,571.85,558.45,564.05,563.65,IGL
2021-07-01,559.25,573.0,558.0,571.0,570.6,IGL
2021-06-30,554.6,561.55,546.5,556.95,557.75,IGL
2021-06-29,536.2,558.0,532.3,550.9,549.95,IGL
2021-06-28,521.2,545.0,519.3,534.7,533.55,IGL
2021-06-25,515.15,522.65,508.15,513.35,512.55,IGL
2021-06-24,520.9,521.55,512.5,514.2,513.8,IGL
2021-06-23,531.6,533.35,517.6,518.75,518.55,IGL
2021-06-22,539.4,539.5,527.0,528.0,528.3,IGL
2021-06-21,524.0,535.0,521.1,533.5,533.7,IGL
2021-06-18,538.9,542.0,523.65,532.4,531.95,IGL
2021-06-17,531.9,541.6,528.0,537.4,535.95,IGL
2021-06-16,543.0,543.0,532.9,534.1,534.1,IGL
2021-06-15,535.0,544.8,532.9,539.75,538.9,IGL
2021-06-14,540.0,540.0,527.0,532.0,530.85,IGL
2021-06-11,541.5,548.4,534.7,536.0,536.3,IGL
2021-06-10,534.95,544.0,532.45,538.0,537.65,IGL
2021-06-09,531.0,544.8,527.9,532.8,531.8,IGL
2021-06-08,530.0,540.0,527.55,529.9,529.85,IGL
2021-06-07,531.45,534.0,526.0,529.0,528.4,IGL
2021-06-04,526.0,529.45,519.25,524.5,524.2,IGL
2021-06-03,537.0,537.0,525.0,526.0,526.45,IGL
2021-06-02,525.0,535.55,521.15,531.0,531.1,IGL
2021-06-01,532.65,533.0,520.3,525.0,524.75,IGL
2021-05-31,515.0,534.0,510.0,528.05,528.85,IGL
2021-05-28,521.0,523.85,513.0,514.0,513.65,IGL
2021-05-27,512.0,521.15,506.1,520.4,517.3,IGL
2021-05-26,510.0,513.15,507.0,509.95,509.2,IGL
2021-05-25,511.8,522.0,503.8,509.0,508.35,IGL
2021-05-24,506.0,511.5,501.65,507.0,507.8,IGL
2021-05-21,505.0,509.8,498.65,502.95,502.4,IGL
2021-05-20,516.5,517.0,501.5,503.0,502.5,IGL
