DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,25.55,26.2,24.6,24.6,44.0,15.1,INCREDIBLE
2021-10-27,26.0,26.35,25.75,25.85,44.0,15.1,INCREDIBLE
2021-10-26,26.25,26.25,25.25,26.15,44.0,15.1,INCREDIBLE
2021-10-25,27.2,27.2,25.55,25.7,44.0,15.1,INCREDIBLE
2021-10-22,26.4,27.5,26.3,26.85,44.0,15.1,INCREDIBLE
2021-10-21,26.3,26.95,25.5,26.65,44.0,15.1,INCREDIBLE
2021-10-20,28.25,28.25,26.25,26.6,44.0,15.1,INCREDIBLE
2021-10-19,28.15,28.3,27.3,27.6,44.0,15.1,INCREDIBLE
2021-10-18,27.6,28.3,27.05,27.6,44.0,15.1,INCREDIBLE
2021-10-14,27.45,27.7,26.75,27.6,44.0,15.1,INCREDIBLE
2021-10-13,26.7,27.75,26.2,27.15,44.0,15.1,INCREDIBLE
2021-10-12,26.25,27.1,25.85,26.7,44.0,15.1,INCREDIBLE
2021-07-19,37.0,40.65,36.95,39.2,44.0,15.1,INCREDIBLE
2021-07-16,38.9,38.9,36.65,37.05,44.0,15.1,INCREDIBLE
2021-07-15,38.1,38.5,36.6,37.2,44.0,15.1,INCREDIBLE
2021-07-14,39.1,39.6,37.2,38.0,44.0,15.1,INCREDIBLE
2021-07-13,39.2,41.2,38.1,39.05,44.0,15.1,INCREDIBLE
2021-07-12,39.15,40.35,38.3,39.1,44.0,15.1,INCREDIBLE
2021-07-09,39.15,40.6,39.15,39.4,44.0,15.1,INCREDIBLE
2021-07-08,39.9,41.2,39.0,39.8,44.0,15.1,INCREDIBLE
2021-07-07,38.4,41.3,38.2,39.25,44.0,15.1,INCREDIBLE
2021-07-06,40.0,40.85,36.0,37.5,44.0,15.1,INCREDIBLE
2021-07-05,41.2,41.25,38.8,40.4,44.0,15.1,INCREDIBLE
2021-07-02,38.3,41.5,38.15,40.4,44.0,15.1,INCREDIBLE
2021-07-01,41.85,41.9,37.35,38.7,44.0,15.1,INCREDIBLE
2021-06-30,38.1,44.0,38.0,40.45,44.0,15.1,INCREDIBLE
2021-06-29,30.85,37.0,29.65,37.0,37.0,15.1,INCREDIBLE
2021-06-28,32.25,32.25,30.65,30.85,36.4,15.1,INCREDIBLE
2021-06-25,32.8,32.8,31.15,31.2,36.4,15.1,INCREDIBLE
2021-06-24,32.0,33.05,30.95,31.15,36.4,15.1,INCREDIBLE
2021-06-23,31.55,34.2,31.55,32.45,36.4,15.1,INCREDIBLE
2021-06-22,34.5,34.8,31.0,31.35,36.4,15.1,INCREDIBLE
2021-06-21,30.5,34.75,29.55,33.15,36.4,15.1,INCREDIBLE
2021-06-18,27.9,32.2,26.35,30.5,36.4,15.1,INCREDIBLE
2021-06-17,27.5,27.5,26.4,26.85,36.4,15.1,INCREDIBLE
2021-06-16,27.3,27.85,27.3,27.5,36.4,15.1,INCREDIBLE
2021-06-15,27.75,27.8,27.35,27.4,36.4,15.1,INCREDIBLE
2021-06-14,28.5,28.5,27.3,27.75,36.4,15.1,INCREDIBLE
2021-06-11,28.55,28.55,27.4,27.95,36.4,15.1,INCREDIBLE
2021-06-10,28.1,28.25,27.3,27.95,36.4,15.1,INCREDIBLE
2021-06-09,28.25,28.55,26.25,27.55,36.4,15.1,INCREDIBLE
2021-06-08,28.6,28.65,27.8,28.05,36.4,15.1,INCREDIBLE
2021-06-07,29.2,29.2,27.95,28.2,36.4,15.1,INCREDIBLE
2021-06-04,29.25,29.4,28.4,28.6,36.4,15.1,INCREDIBLE
2021-06-03,28.95,29.5,28.05,28.65,36.4,15.1,INCREDIBLE
2021-06-02,27.3,29.0,26.0,28.15,36.4,15.1,INCREDIBLE
2021-06-01,28.8,28.9,27.2,27.5,36.4,15.1,INCREDIBLE
2021-05-31,28.9,28.9,27.5,28.4,36.4,15.1,INCREDIBLE
2021-05-28,28.35,29.3,28.05,28.35,36.4,15.1,INCREDIBLE
2021-05-27,28.5,29.7,28.45,28.85,36.4,15.1,INCREDIBLE
2021-05-26,29.6,30.0,27.95,29.05,36.4,15.1,INCREDIBLE
2021-05-25,31.5,31.9,28.7,29.1,36.4,15.1,INCREDIBLE
2021-05-24,26.7,30.95,26.7,30.7,36.4,15.1,INCREDIBLE
2021-05-21,27.95,27.95,25.7,25.8,36.4,15.1,INCREDIBLE
2021-05-20,27.8,28.85,27.0,27.1,36.4,15.1,INCREDIBLE
2021-05-19,28.65,29.0,27.75,28.2,36.4,15.1,ADHUNIKIND
2021-05-18,29.6,30.5,28.65,28.85,36.4,15.1,ADHUNIKIND
2021-05-17,31.0,31.0,27.5,29.6,36.4,15.1,ADHUNIKIND
2021-05-14,31.7,32.5,28.7,29.3,36.4,15.1,ADHUNIKIND
2021-05-12,32.9,35.0,29.4,29.95,36.4,15.1,ADHUNIKIND
2021-05-11,28.7,33.85,28.4,32.3,36.4,15.1,ADHUNIKIND
2021-05-10,24.5,28.55,24.45,28.55,36.4,15.1,ADHUNIKIND
2021-05-07,23.9,24.45,20.1,23.8,36.4,15.1,ADHUNIKIND
2021-05-06,24.7,24.7,23.2,23.55,36.4,15.1,ADHUNIKIND
2021-05-05,24.7,24.8,23.4,23.95,36.4,15.1,ADHUNIKIND
2021-05-04,24.9,26.95,24.15,24.4,36.4,15.1,ADHUNIKIND
2021-05-03,23.2,25.0,23.2,24.75,36.4,15.1,ADHUNIKIND
2021-04-30,23.25,25.2,23.25,24.1,36.4,15.1,ADHUNIKIND
2021-04-29,22.7,24.7,22.15,23.85,36.4,15.1,ADHUNIKIND
2021-04-28,22.75,23.25,22.6,22.7,36.4,15.1,ADHUNIKIND
2021-04-27,21.8,22.9,21.8,22.6,36.4,15.1,ADHUNIKIND
2021-04-26,21.9,22.5,21.5,21.8,36.4,15.1,ADHUNIKIND
2021-04-23,22.35,22.95,21.45,22.0,36.4,14.45,ADHUNIKIND
2021-04-22,20.5,22.7,20.5,21.8,36.4,14.45,ADHUNIKIND
2021-04-20,21.5,21.95,20.3,20.75,36.4,14.45,ADHUNIKIND
2021-04-19,22.1,22.15,20.8,20.95,36.4,14.45,ADHUNIKIND
2021-04-16,23.5,23.65,22.0,22.5,36.4,13.35,ADHUNIKIND
2021-04-15,23.25,23.25,22.3,22.8,36.4,13.35,ADHUNIKIND
2021-04-13,22.5,24.4,22.4,23.45,36.4,13.35,ADHUNIKIND
2021-04-12,25.4,25.4,22.1,22.65,36.4,13.35,ADHUNIKIND
2021-04-09,22.4,26.25,22.15,26.25,36.4,12.5,ADHUNIKIND
2021-04-08,21.5,22.8,21.0,21.9,36.4,12.5,ADHUNIKIND
2021-04-07,20.5,21.45,20.5,21.05,36.4,12.5,ADHUNIKIND
2021-04-06,21.8,21.8,20.65,21.1,36.4,12.5,ADHUNIKIND
2021-04-05,20.85,21.85,19.2,21.1,36.4,12.5,ADHUNIKIND
2021-04-01,19.5,20.95,19.1,20.95,36.4,11.7,ADHUNIKIND
