DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,139.0,139.15,137.3,138.0,138.15,INDIANB
2021-07-15,137.4,138.7,136.5,138.05,138.25,INDIANB
2021-07-14,136.7,137.45,135.4,137.25,136.95,INDIANB
2021-07-13,137.55,138.4,135.65,136.15,136.0,INDIANB
2021-07-12,137.7,140.0,135.35,136.05,136.1,INDIANB
2021-07-09,135.65,137.8,135.25,135.95,136.0,INDIANB
2021-07-08,138.0,140.55,134.6,135.75,135.65,INDIANB
2021-07-07,140.3,141.6,138.5,139.4,139.05,INDIANB
2021-07-06,143.45,143.95,139.1,140.1,140.65,INDIANB
2021-07-05,142.5,144.2,142.1,142.15,142.4,INDIANB
2021-07-02,142.0,144.4,141.1,142.45,142.15,INDIANB
2021-07-01,145.8,145.8,141.25,142.25,141.95,INDIANB
2021-06-30,146.25,147.8,142.9,143.35,144.7,INDIANB
2021-06-29,142.0,148.0,141.25,144.85,144.8,INDIANB
2021-06-28,149.6,155.5,149.3,154.35,154.6,INDIANB
2021-06-25,147.4,151.0,146.8,147.7,148.5,INDIANB
2021-06-24,150.7,150.7,146.35,147.25,147.35,INDIANB
2021-06-23,152.6,153.4,148.0,149.2,149.4,INDIANB
2021-06-22,147.0,154.2,146.1,150.4,151.1,INDIANB
2021-06-21,136.0,149.45,136.0,144.55,145.45,INDIANB
2021-06-18,141.0,142.5,133.35,140.65,139.95,INDIANB
2021-06-17,140.1,143.7,138.15,140.15,140.2,INDIANB
2021-06-16,144.4,148.0,139.0,140.0,141.1,INDIANB
2021-06-15,146.65,148.3,143.3,143.85,143.9,INDIANB
2021-06-14,140.75,149.45,137.2,145.6,146.05,INDIANB
2021-06-11,144.5,144.8,139.65,140.75,140.55,INDIANB
2021-06-10,140.5,143.95,139.9,142.9,143.4,INDIANB
2021-06-09,141.0,143.5,137.25,138.5,139.2,INDIANB
2021-06-08,142.0,143.5,138.3,140.1,139.65,INDIANB
2021-06-07,143.9,145.45,142.0,142.35,142.75,INDIANB
2021-06-04,146.6,147.95,142.15,142.35,143.4,INDIANB
2021-06-03,143.75,148.5,142.05,145.85,146.6,INDIANB
2021-06-02,136.45,144.0,135.0,143.2,143.25,INDIANB
2021-06-01,141.0,141.1,135.5,136.35,136.05,INDIANB
2021-05-31,143.0,144.65,138.15,139.4,139.95,INDIANB
2021-05-28,142.5,149.0,141.2,141.95,142.55,INDIANB
2021-05-27,142.7,143.55,140.15,141.7,140.85,INDIANB
2021-05-26,143.4,144.7,141.55,142.5,142.7,INDIANB
2021-05-25,146.0,146.8,141.0,142.6,142.45,INDIANB
2021-05-24,142.95,145.9,141.1,144.55,144.9,INDIANB
2021-05-21,126.8,143.1,126.8,142.65,140.3,INDIANB
2021-05-20,128.0,128.2,125.2,126.5,126.65,INDIANB
2021-05-19,124.4,128.0,124.0,126.85,127.05,INDIANB
2021-05-18,128.0,128.65,122.8,123.6,123.65,INDIANB
2021-05-17,128.4,129.0,124.0,125.2,125.65,INDIANB
2021-05-14,130.0,133.9,124.55,125.5,125.85,INDIANB
2021-05-12,124.8,132.75,123.7,129.8,128.5,INDIANB
2021-05-11,116.8,125.0,115.3,124.1,123.8,INDIANB
2021-05-10,114.45,120.45,112.7,118.0,118.05,INDIANB
2021-05-07,114.9,115.5,112.15,112.35,112.9,INDIANB
2021-05-06,114.8,116.0,112.55,113.9,113.85,INDIANB
2021-05-05,116.4,117.4,113.4,114.2,114.55,INDIANB
2021-05-04,108.8,121.6,108.8,113.7,113.8,INDIANB
2021-05-03,108.75,110.55,107.05,108.8,108.65,INDIANB
2021-04-30,110.0,112.9,108.65,109.9,110.0,INDIANB
2021-04-29,114.45,115.2,111.25,111.7,111.85,INDIANB
2021-04-28,113.85,114.6,112.75,113.1,113.4,INDIANB
2021-04-27,109.0,113.7,109.0,111.85,112.0,INDIANB
2021-04-26,107.2,110.7,106.75,109.3,109.6,INDIANB
2021-04-23,100.05,107.95,99.65,107.5,107.2,INDIANB
2021-04-22,100.7,101.4,98.4,101.05,101.05,INDIANB
2021-04-20,100.6,102.6,99.35,100.85,100.7,INDIANB
2021-04-19,99.95,99.95,96.05,98.8,98.6,INDIANB
2021-04-16,103.9,108.4,102.7,103.2,103.2,INDIANB
2021-04-15,108.9,108.9,98.7,102.95,102.95,INDIANB
2021-04-13,105.55,109.8,105.55,107.95,107.9,INDIANB
2021-04-12,113.95,114.35,103.45,104.85,104.7,INDIANB
2021-04-09,113.45,122.65,113.0,118.3,118.0,INDIANB
2021-04-08,116.5,116.75,113.0,113.3,113.45,INDIANB
2021-04-07,113.9,116.75,113.05,115.6,115.35,INDIANB
2021-04-06,115.7,116.4,112.6,114.0,113.8,INDIANB
2021-04-05,118.4,118.7,113.05,114.8,114.65,INDIANB
2021-04-01,118.0,119.6,117.0,118.4,118.1,INDIANB
2021-03-31,114.0,121.0,113.8,115.75,116.1,INDIANB
2021-03-30,119.5,120.1,114.7,115.75,115.4,INDIANB
2021-03-26,118.45,119.8,117.05,118.1,118.25,INDIANB
2021-03-25,119.9,120.0,112.3,116.7,116.1,INDIANB
2021-03-24,122.8,124.1,118.3,119.0,118.9,INDIANB
2021-03-23,120.75,126.35,120.3,123.15,123.15,INDIANB
2021-03-22,119.5,122.9,118.35,119.9,119.8,INDIANB
2021-03-19,116.0,120.5,112.0,119.7,119.55,INDIANB
2021-03-18,118.65,123.7,116.55,119.1,119.0,INDIANB
2021-03-17,124.0,125.3,115.3,116.0,116.3,INDIANB
2021-03-16,127.0,128.0,124.0,124.45,124.6,INDIANB
2021-03-15,131.0,131.5,125.45,126.75,126.85,INDIANB
2021-03-12,137.25,137.35,128.85,131.8,131.5,INDIANB
2021-03-10,138.8,139.7,134.5,134.95,134.8,INDIANB
2021-03-09,140.0,141.0,134.0,135.35,135.15,INDIANB
2021-03-08,143.0,143.95,139.0,139.15,139.5,INDIANB
2021-03-05,140.9,141.75,136.85,139.5,139.1,INDIANB
2021-03-04,139.0,143.0,138.0,140.0,140.05,INDIANB
2021-03-03,139.35,142.4,138.0,139.45,139.4,INDIANB
2021-03-02,138.35,140.85,136.4,137.7,137.85,INDIANB
2021-03-01,138.5,139.55,135.8,137.0,137.5,INDIANB
2021-02-26,139.65,141.6,135.5,136.2,136.05,INDIANB
2021-02-25,145.0,147.45,142.55,143.1,142.95,INDIANB
2021-02-24,139.5,145.8,137.6,143.0,142.7,INDIANB
2021-02-23,137.5,146.4,136.75,137.1,137.9,INDIANB
2021-02-22,140.0,143.45,133.35,135.0,136.0,INDIANB
2021-02-19,150.5,153.75,136.55,142.0,142.2,INDIANB
2021-02-18,147.0,157.0,145.3,150.4,149.9,INDIANB
2021-02-17,129.4,142.8,129.0,142.8,142.8,INDIANB
2021-02-16,127.0,137.0,126.25,129.1,129.85,INDIANB
2021-02-15,124.7,128.3,122.6,125.3,125.75,INDIANB
2021-02-12,124.0,128.35,122.0,123.25,123.25,INDIANB
2021-02-11,122.0,125.6,121.05,123.75,123.7,INDIANB
2021-02-10,126.7,126.8,121.35,122.3,122.65,INDIANB
2021-02-09,129.6,130.0,124.2,125.4,126.05,INDIANB
2021-02-08,129.5,134.5,124.3,128.7,128.95,INDIANB
2021-02-05,119.65,137.0,119.1,126.0,127.75,INDIANB
2021-02-04,102.0,120.85,100.65,117.5,118.75,INDIANB
2021-02-03,101.85,104.75,98.3,101.8,101.95,INDIANB
2021-02-02,95.7,104.9,94.35,101.0,101.45,INDIANB
2021-02-01,88.8,95.5,87.5,95.0,94.7,INDIANB
2021-01-29,91.0,92.2,87.0,87.8,88.45,INDIANB
2021-01-28,87.5,91.0,86.6,90.1,89.9,INDIANB
2021-01-27,89.95,90.2,87.5,88.0,87.95,INDIANB
2021-01-25,92.0,93.4,88.85,89.5,89.8,INDIANB
2021-01-22,90.8,93.8,88.5,90.15,90.9,INDIANB
2021-01-21,96.9,97.0,86.2,90.95,89.3,INDIANB
2021-01-20,96.5,97.4,94.55,95.7,96.0,INDIANB
2021-01-19,91.3,97.7,91.3,95.3,95.4,INDIANB
2021-01-18,92.4,94.4,89.0,90.1,90.75,INDIANB
2021-01-15,95.5,96.1,90.3,91.8,91.85,INDIANB
2021-01-14,90.45,98.8,89.4,95.8,95.6,INDIANB
2021-01-13,91.9,92.95,88.1,89.1,90.0,INDIANB
2021-01-12,86.7,93.5,85.35,91.3,91.75,INDIANB
2021-01-11,87.75,88.4,85.8,86.2,86.4,INDIANB
2021-01-08,88.0,89.5,86.8,87.1,87.1,INDIANB
2021-01-07,88.6,89.15,86.15,86.95,87.35,INDIANB
2021-01-06,88.4,89.85,87.0,87.75,87.75,INDIANB
2021-01-05,88.0,88.5,87.0,87.8,87.85,INDIANB
2021-01-04,89.5,89.75,87.2,88.5,88.7,INDIANB
2021-01-01,86.25,89.8,86.0,88.25,88.35,INDIANB
2020-12-31,87.0,87.75,84.6,85.5,85.7,INDIANB
2020-12-30,88.4,89.1,86.25,86.65,87.05,INDIANB
2020-12-29,88.15,90.0,87.5,88.0,88.3,INDIANB
2020-12-28,86.4,90.4,85.55,88.15,88.45,INDIANB
2020-12-24,86.0,87.95,85.9,86.1,86.4,INDIANB
2020-12-23,82.7,86.0,81.0,85.0,85.35,INDIANB
2020-12-22,78.5,84.0,74.05,82.85,82.45,INDIANB
2020-12-21,86.5,87.15,75.2,78.95,78.35,INDIANB
2020-12-18,91.15,91.45,86.5,87.25,87.4,INDIANB
2020-12-17,92.7,94.9,90.0,90.5,90.6,INDIANB
2020-12-16,93.0,93.9,91.8,92.6,92.4,INDIANB
2020-12-15,95.0,95.0,90.0,92.3,92.65,INDIANB
2020-12-14,85.95,97.75,85.9,95.8,95.9,INDIANB
2020-12-11,85.8,88.45,84.75,85.0,85.95,INDIANB
2020-12-10,89.4,89.4,84.1,85.8,86.05,INDIANB
2020-12-09,90.65,94.0,87.05,89.65,89.45,INDIANB
2020-12-08,74.3,88.5,73.45,88.2,85.2,INDIANB
2020-12-07,74.35,74.8,73.0,74.05,74.15,INDIANB
2020-12-04,74.6,75.1,71.15,72.8,73.1,INDIANB
2020-12-03,68.6,74.0,68.35,73.35,72.9,INDIANB
2020-12-02,69.4,70.2,66.85,67.9,68.1,INDIANB
2020-12-01,68.55,69.8,67.5,68.85,69.15,INDIANB
2020-11-27,67.0,68.8,66.5,67.3,67.45,INDIANB
2020-11-26,65.7,67.3,65.5,67.0,67.1,INDIANB
2020-11-25,65.55,68.25,64.6,65.6,65.7,INDIANB
2020-11-24,64.95,65.8,64.55,65.0,65.2,INDIANB
2020-11-23,63.2,65.2,63.05,64.85,64.85,INDIANB
2020-11-20,63.0,63.85,62.0,62.9,63.0,INDIANB
2020-11-19,64.5,65.2,62.6,62.95,63.0,INDIANB
2020-11-18,64.4,66.2,63.5,64.95,65.15,INDIANB
2020-11-17,62.9,65.2,62.25,64.4,64.4,INDIANB
2020-11-14,63.0,63.0,61.8,62.4,62.5,INDIANB
2020-11-13,62.15,63.0,61.05,62.95,62.6,INDIANB
2020-11-12,62.75,62.75,61.4,62.0,61.95,INDIANB
2020-11-11,64.25,65.0,59.5,62.95,62.55,INDIANB
2020-11-10,61.5,64.0,60.85,63.8,63.75,INDIANB
2020-11-09,60.9,61.3,60.15,61.15,61.05,INDIANB
2020-11-06,60.4,61.35,59.95,60.0,60.15,INDIANB
2020-11-05,59.5,60.9,59.0,59.85,59.9,INDIANB
2020-11-04,59.85,59.85,58.0,58.7,58.7,INDIANB
2020-11-03,58.6,60.2,58.2,58.8,59.05,INDIANB
2020-11-02,58.05,59.9,57.55,57.7,58.45,INDIANB
2020-10-30,58.8,59.4,57.35,57.7,57.9,INDIANB
2020-10-29,58.35,59.05,57.45,58.25,58.15,INDIANB
2020-10-28,60.0,60.0,59.0,59.2,59.25,INDIANB
2020-10-27,60.25,60.3,59.0,60.0,59.8,INDIANB
2020-10-26,62.0,62.0,60.0,60.0,60.3,INDIANB
2020-10-23,62.65,62.9,60.85,61.15,61.25,INDIANB
2020-10-22,60.7,63.45,60.25,62.0,62.05,INDIANB
2020-10-21,59.85,60.7,59.6,60.7,60.35,INDIANB
2020-10-20,59.6,59.75,58.8,59.4,59.5,INDIANB
2020-10-19,57.9,60.4,57.9,59.35,59.6,INDIANB
2020-10-16,57.4,57.8,56.55,57.4,57.5,INDIANB
2020-10-15,58.0,58.95,56.2,56.6,56.6,INDIANB
2020-10-14,57.95,58.35,56.85,58.1,57.95,INDIANB
2020-10-13,58.7,59.05,57.75,57.85,57.95,INDIANB
2020-10-12,60.25,61.6,58.7,59.05,59.25,INDIANB
2020-10-09,58.1,61.5,57.85,59.85,60.2,INDIANB
2020-10-08,58.8,58.85,57.55,58.7,58.6,INDIANB
2020-10-07,58.9,58.9,57.45,58.0,58.0,INDIANB
2020-10-06,58.9,59.0,57.55,58.2,58.25,INDIANB
2020-10-05,58.45,59.1,57.7,58.55,58.5,INDIANB
2020-10-01,56.9,57.9,56.8,57.05,57.2,INDIANB
2020-09-30,56.4,56.8,56.0,56.25,56.3,INDIANB
2020-09-29,58.2,58.3,56.35,56.8,56.8,INDIANB
2020-09-28,55.55,57.95,55.55,57.65,57.6,INDIANB
2020-09-25,53.2,56.75,53.1,55.3,55.1,INDIANB
2020-09-24,55.5,56.15,54.55,54.65,54.75,INDIANB
2020-09-23,57.95,57.95,55.75,57.3,57.15,INDIANB
2020-09-22,57.85,58.05,55.25,56.75,56.5,INDIANB
2020-09-21,60.5,60.9,57.3,57.85,58.1,INDIANB
2020-09-18,62.35,62.95,60.05,60.35,60.5,INDIANB
2020-09-17,61.9,62.8,61.65,62.2,62.3,INDIANB
2020-09-16,62.75,63.4,61.6,62.05,62.05,INDIANB
2020-09-15,63.5,64.4,62.5,62.7,62.85,INDIANB
2020-09-14,62.25,64.45,62.0,63.45,63.35,INDIANB
2020-09-11,61.55,62.2,61.05,61.75,61.7,INDIANB
2020-09-10,60.4,62.2,60.1,61.3,61.4,INDIANB
2020-09-09,60.45,60.75,58.6,59.65,59.75,INDIANB
2020-09-08,61.9,62.6,61.0,61.15,61.3,INDIANB
2020-09-07,62.7,63.6,61.65,61.9,61.95,INDIANB
2020-09-04,62.3,63.9,62.3,63.0,63.4,INDIANB
2020-09-03,65.0,65.45,64.05,64.6,64.6,INDIANB
2020-09-02,64.7,65.2,63.8,64.55,64.55,INDIANB
2020-09-01,65.0,65.7,63.2,65.0,64.75,INDIANB
