DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,221.0,223.95,212.3,214.0,213.9,234.9,88.1,INDIANCARD
2021-07-23,227.95,227.95,216.1,216.1,216.65,234.9,88.1,INDIANCARD
2021-07-22,216.0,230.0,214.05,220.0,222.15,234.9,88.1,INDIANCARD
2021-07-20,222.0,225.3,217.1,221.55,221.25,234.9,88.1,INDIANCARD
2021-07-19,214.2,224.0,210.85,222.5,221.4,234.9,88.1,INDIANCARD
2021-07-16,211.45,220.0,204.15,213.8,214.2,234.9,88.1,INDIANCARD
2021-07-15,208.7,215.0,201.45,207.2,207.25,234.9,88.1,INDIANCARD
2021-07-14,224.5,234.9,205.8,209.0,210.0,234.9,88.1,INDIANCARD
2021-07-13,168.35,199.0,165.1,199.0,199.0,199.0,88.1,INDIANCARD
2021-07-12,173.5,173.5,162.4,165.7,165.85,183.0,88.1,INDIANCARD
2021-07-09,165.05,172.0,165.05,169.95,170.1,183.0,87.5,INDIANCARD
2021-07-08,171.0,172.0,165.4,167.1,167.35,183.0,87.5,INDIANCARD
2021-07-07,164.95,173.25,163.25,170.0,169.6,183.0,87.5,INDIANCARD
2021-07-06,168.55,168.55,162.05,163.0,164.65,183.0,87.5,INDIANCARD
2021-07-05,158.3,170.05,157.25,166.1,168.55,183.0,87.5,INDIANCARD
2021-07-02,157.25,159.95,156.1,158.95,158.95,183.0,86.15,INDIANCARD
2021-07-01,158.85,158.85,155.45,156.5,157.3,183.0,86.15,INDIANCARD
2021-06-30,158.05,158.9,156.5,157.0,157.2,183.0,86.15,INDIANCARD
2021-06-29,158.35,161.35,156.8,157.0,157.2,183.0,86.15,INDIANCARD
2021-06-28,160.6,161.95,159.0,159.95,160.55,183.0,86.15,INDIANCARD
2021-06-25,164.15,164.15,159.2,160.0,159.8,183.0,83.55,INDIANCARD
2021-06-24,165.65,165.65,160.35,161.95,161.95,183.0,83.55,INDIANCARD
2021-06-23,161.8,167.0,158.45,162.4,163.6,183.0,83.55,INDIANCARD
2021-06-22,162.65,164.45,158.6,162.2,161.4,183.0,83.55,INDIANCARD
2021-06-21,161.3,165.6,158.5,161.1,161.85,183.0,83.55,INDIANCARD
2021-06-18,164.05,164.05,157.05,161.95,161.35,183.0,81.8,INDIANCARD
2021-06-17,168.6,168.6,164.3,166.9,165.45,183.0,81.8,INDIANCARD
2021-06-16,166.65,168.8,164.0,164.1,165.35,183.0,81.8,INDIANCARD
2021-06-15,168.8,168.8,162.5,164.25,166.65,183.0,81.8,INDIANCARD
2021-06-14,164.9,166.65,161.0,162.5,162.55,183.0,81.8,INDIANCARD
2021-06-11,176.6,176.6,161.15,166.75,165.9,183.0,81.8,INDIANCARD
2021-06-10,164.9,181.5,162.65,168.0,169.55,183.0,81.8,INDIANCARD
2021-06-09,155.0,169.85,155.0,164.0,163.4,183.0,81.8,INDIANCARD
2021-06-08,162.95,164.0,160.1,160.25,161.1,183.0,81.8,INDIANCARD
2021-06-07,164.85,164.85,156.65,160.65,160.7,183.0,81.8,INDIANCARD
2021-06-04,159.9,164.75,155.55,158.5,159.7,183.0,81.8,INDIANCARD
2021-06-03,157.75,161.4,156.0,156.0,156.7,183.0,81.8,INDIANCARD
2021-06-02,154.0,158.8,154.0,156.55,156.05,183.0,81.8,INDIANCARD
2021-06-01,159.85,161.55,153.5,156.55,155.4,183.0,81.8,INDIANCARD
2021-05-31,160.85,163.9,156.5,158.55,158.75,183.0,81.8,INDIANCARD
2021-05-28,164.4,164.4,155.0,161.9,160.25,183.0,80.05,INDIANCARD
2021-05-27,164.0,164.75,155.65,158.0,158.6,183.0,80.05,INDIANCARD
2021-05-26,171.95,171.95,158.5,162.0,160.8,183.0,80.05,INDIANCARD
2021-05-25,158.05,173.7,156.35,165.0,164.05,183.0,80.05,INDIANCARD
2021-05-24,157.95,162.5,155.7,156.1,157.25,183.0,80.05,INDIANCARD
2021-05-21,164.95,165.0,155.2,155.7,159.5,183.0,79.0,INDIANCARD
2021-05-20,170.0,170.95,158.0,158.5,161.3,183.0,79.0,INDIANCARD
2021-05-19,155.9,176.0,153.8,168.5,166.9,183.0,79.0,INDIANCARD
2021-05-18,164.95,165.0,153.1,154.95,154.7,183.0,79.0,INDIANCARD
2021-05-17,155.0,163.9,154.5,160.0,159.05,183.0,79.0,INDIANCARD
2021-05-14,153.95,183.0,151.4,153.55,154.6,183.0,79.0,INDIANCARD
2021-05-12,138.0,156.0,135.5,152.0,153.3,160.0,79.0,INDIANCARD
2021-05-11,131.85,143.0,130.1,140.55,140.45,160.0,79.0,INDIANCARD
2021-05-10,135.0,135.0,130.2,131.75,131.95,160.0,79.0,INDIANCARD
2021-05-07,131.4,133.45,129.2,132.9,132.1,160.0,79.0,INDIANCARD
2021-05-06,132.0,132.55,128.9,130.7,131.25,160.0,79.0,INDIANCARD
2021-05-05,128.4,133.7,128.4,132.75,130.55,160.0,79.0,INDIANCARD
2021-05-04,132.6,136.15,128.05,128.25,129.5,160.0,79.0,INDIANCARD
2021-05-03,131.7,143.5,125.5,132.6,131.8,160.0,79.0,INDIANCARD
2021-04-30,130.3,130.45,127.1,129.4,129.4,160.0,79.0,INDIANCARD
2021-04-29,136.45,136.5,126.0,129.0,128.05,160.0,79.0,INDIANCARD
2021-04-28,130.0,132.6,126.85,131.0,131.4,160.0,79.0,INDIANCARD
2021-04-27,123.4,129.45,117.35,126.7,128.15,160.0,79.0,INDIANCARD
2021-04-26,127.5,133.2,122.1,123.0,124.45,160.0,79.0,INDIANCARD
2021-04-23,128.45,132.55,125.15,126.7,127.85,160.0,79.0,INDIANCARD
2021-04-22,124.0,128.95,123.1,123.1,124.95,160.0,79.0,INDIANCARD
2021-04-20,126.35,129.95,124.0,124.2,124.4,160.0,79.0,INDIANCARD
2021-04-19,127.0,130.9,124.1,125.0,126.9,160.0,79.0,INDIANCARD
2021-04-16,129.0,138.95,126.15,131.95,130.35,160.0,79.0,INDIANCARD
2021-04-15,129.4,137.0,123.35,137.0,130.5,160.0,79.0,INDIANCARD
2021-04-13,128.1,129.9,126.5,126.5,126.5,160.0,79.0,INDIANCARD
2021-04-12,133.05,133.05,127.7,127.7,127.95,160.0,79.0,INDIANCARD
2021-04-09,133.25,134.45,133.25,134.3,133.95,160.0,79.0,INDIANCARD
2021-04-08,134.5,135.0,131.4,133.6,132.75,160.0,79.0,INDIANCARD
2021-04-07,132.0,136.0,131.0,134.85,134.25,160.0,79.0,INDIANCARD
2021-04-06,133.65,134.95,131.5,132.0,132.15,160.0,79.0,INDIANCARD
2021-04-05,135.95,135.95,130.1,131.4,133.35,160.0,79.0,INDIANCARD
