DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,2225.9,2245.0,2149.05,2229.0,2234.3,2460.0,1715.0,IPCALAB
2021-07-26,2203.65,2239.0,2190.0,2225.1,2225.9,2460.0,1715.0,IPCALAB
2021-07-23,2176.25,2211.05,2170.05,2199.95,2203.65,2460.0,1715.0,IPCALAB
2021-07-22,2120.95,2183.0,2107.2,2166.55,2176.25,2460.0,1715.0,IPCALAB
2021-07-20,2128.0,2130.05,2107.3,2129.0,2119.95,2460.0,1715.0,IPCALAB
2021-07-19,2091.15,2133.05,2049.25,2116.0,2115.9,2460.0,1715.0,IPCALAB
2021-07-16,2114.95,2115.0,2091.15,2097.0,2097.65,2460.0,1631.95,IPCALAB
2021-07-15,2145.0,2147.85,2090.0,2091.05,2095.0,2460.0,1631.95,IPCALAB
2021-07-14,2075.3,2149.0,2068.55,2145.0,2127.3,2460.0,1631.95,IPCALAB
2021-07-13,2120.0,2120.7,2080.1,2088.0,2090.2,2460.0,1631.95,IPCALAB
2021-07-12,2095.0,2119.9,2093.3,2115.0,2116.0,2460.0,1631.95,IPCALAB
2021-07-09,2100.0,2125.0,2081.0,2083.25,2089.55,2460.0,1622.0,IPCALAB
2021-07-08,2128.0,2140.0,2090.1,2099.0,2108.65,2460.0,1622.0,IPCALAB
2021-07-07,2105.0,2128.95,2081.45,2122.0,2124.5,2460.0,1622.0,IPCALAB
2021-07-06,2050.0,2108.5,2041.35,2100.0,2099.4,2460.0,1622.0,IPCALAB
2021-07-05,2014.9,2044.85,2000.0,2042.0,2039.6,2460.0,1622.0,IPCALAB
2021-07-02,2029.3,2033.95,2000.0,2009.0,2015.25,2460.0,1615.0,IPCALAB
2021-07-01,2026.5,2035.0,2006.75,2021.0,2020.3,2460.0,1615.0,IPCALAB
2021-06-30,2022.0,2035.95,2017.55,2028.1,2026.4,2460.0,1615.0,IPCALAB
2021-06-29,2014.95,2040.0,1995.05,2023.7,2022.15,2460.0,1615.0,IPCALAB
2021-06-28,2028.0,2028.0,2004.05,2016.0,2014.95,2460.0,1615.0,IPCALAB
2021-06-25,2010.7,2029.8,1997.8,2022.0,2018.65,2460.0,1615.0,IPCALAB
2021-06-24,2008.2,2020.0,1976.0,2015.15,2010.7,2460.0,1615.0,IPCALAB
2021-06-23,2010.0,2018.65,1975.9,2000.95,2000.1,2460.0,1615.0,IPCALAB
2021-06-22,2019.8,2028.65,1992.0,2004.0,2003.7,2460.0,1615.0,IPCALAB
