DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,176.25,179.7,170.0,172.0,172.2,189.75,97.4,IRB
2021-07-22,175.8,180.4,175.65,178.0,178.8,189.75,97.4,IRB
2021-07-20,177.6,181.7,172.1,174.6,174.05,189.75,97.4,IRB
2021-07-19,184.0,186.2,177.6,178.3,178.3,189.75,97.4,IRB
2021-07-16,185.0,189.75,183.15,184.0,185.2,189.75,97.4,IRB
2021-07-15,182.0,184.6,178.0,182.5,182.8,184.6,97.4,IRB
2021-07-14,178.45,182.8,176.0,182.05,180.85,182.8,97.4,IRB
2021-07-13,176.95,180.4,173.6,178.0,178.05,182.2,97.4,IRB
2021-07-12,178.8,182.2,174.1,175.15,175.4,182.2,97.4,IRB
2021-07-09,165.6,179.9,165.1,177.5,178.05,179.9,97.4,IRB
2021-07-08,161.05,170.0,161.05,165.35,165.05,170.95,97.4,IRB
2021-07-07,156.3,164.65,156.1,163.4,163.5,170.95,97.4,IRB
2021-07-06,158.25,161.8,156.6,157.1,157.4,170.95,97.4,IRB
2021-07-05,157.7,160.4,155.5,156.8,158.0,170.95,97.4,IRB
2021-07-02,155.9,159.15,153.15,157.1,157.0,170.95,86.55,IRB
2021-07-01,161.2,163.0,154.25,154.95,155.55,170.95,86.55,IRB
2021-06-30,156.45,163.0,154.35,161.9,161.4,170.95,86.55,IRB
2021-06-29,158.0,162.9,154.55,154.7,156.35,170.95,86.55,IRB
2021-06-28,161.75,162.95,156.2,157.65,157.6,170.95,86.55,IRB
2021-06-25,167.9,168.6,160.2,161.55,162.3,170.95,74.9,IRB
2021-06-24,165.05,170.95,162.5,167.45,166.95,170.95,74.9,IRB
2021-06-23,156.65,166.5,155.25,164.9,163.2,166.5,74.9,IRB
2021-06-22,152.6,160.1,151.6,155.2,154.75,160.65,74.9,IRB
2021-06-21,140.0,153.0,138.4,151.6,150.85,160.65,74.9,IRB
2021-06-18,144.55,147.8,135.5,145.4,143.6,160.65,62.9,IRB
2021-06-17,149.05,149.75,141.55,142.95,143.3,160.65,62.9,IRB
2021-06-16,151.9,160.65,150.0,151.3,152.3,160.65,62.9,IRB
2021-06-15,142.45,155.0,141.0,153.0,153.6,155.0,62.9,IRB
2021-06-14,144.5,144.7,133.05,141.5,141.6,147.2,62.9,IRB
2021-06-11,142.9,147.2,142.0,143.0,143.35,147.2,62.2,IRB
2021-06-10,131.3,144.2,131.1,139.8,140.85,144.2,62.2,IRB
2021-06-09,124.95,135.9,124.7,131.1,129.7,139.0,62.2,IRB
2021-06-08,129.3,129.45,124.25,124.7,124.95,139.0,62.2,IRB
2021-06-07,125.5,133.0,125.5,129.0,128.95,139.0,62.2,IRB
2021-06-04,128.8,129.7,124.45,125.0,125.3,139.0,61.1,IRB
2021-06-03,130.45,134.7,126.55,128.0,128.65,139.0,61.1,IRB
2021-06-02,118.4,133.45,117.5,129.75,130.9,139.0,61.1,IRB
2021-06-01,116.5,119.0,109.6,116.3,116.05,139.0,61.1,IRB
2021-05-31,106.85,114.0,106.5,113.55,113.1,139.0,61.1,IRB
2021-05-28,107.6,108.85,105.85,106.0,106.25,139.0,57.3,IRB
2021-05-27,109.75,109.8,106.5,108.2,107.6,139.0,57.3,IRB
2021-05-26,110.4,110.4,108.0,108.7,108.6,139.0,57.3,IRB
2021-05-25,111.0,112.0,108.7,109.45,109.2,139.0,57.3,IRB
2021-05-24,109.3,113.5,109.0,109.6,109.7,139.0,57.3,IRB
2021-05-21,109.4,111.0,108.85,109.1,109.1,139.0,57.3,IRB
2021-05-20,111.0,111.8,108.3,108.7,108.85,139.0,57.3,IRB
2021-05-19,107.0,113.3,106.95,109.65,110.15,139.0,57.3,IRB
2021-05-18,106.95,108.75,106.2,106.9,107.2,139.0,57.3,IRB
2021-05-17,106.95,106.95,105.2,106.2,106.05,139.0,57.3,IRB
2021-05-14,108.9,108.9,105.4,106.4,106.25,139.0,57.3,IRB
2021-05-12,108.5,109.2,106.5,106.95,107.15,139.0,57.3,IRB
2021-05-11,106.4,109.75,105.5,108.05,108.1,139.0,57.3,IRB
2021-05-10,106.95,108.15,106.1,106.85,106.75,139.0,57.3,IRB
2021-05-07,109.0,111.9,106.35,106.7,106.85,139.0,57.3,IRB
2021-05-06,103.8,104.4,102.8,103.15,103.2,139.0,57.3,IRB
2021-05-05,105.0,105.9,102.3,103.3,103.1,139.0,57.3,IRB
2021-05-04,105.0,105.8,103.85,104.75,104.6,139.0,57.3,IRB
2021-05-03,103.1,105.85,102.55,105.25,105.1,139.0,57.3,IRB
2021-04-30,106.0,106.4,104.1,104.4,104.6,139.0,57.3,IRB
2021-04-29,107.5,107.7,105.5,107.15,107.05,139.0,57.3,IRB
2021-04-28,105.45,106.8,104.3,106.15,106.15,139.0,57.3,IRB
2021-04-27,105.0,106.45,104.3,105.2,105.0,139.0,57.3,IRB
2021-04-26,104.5,106.25,104.5,104.95,105.0,139.0,57.3,IRB
2021-04-23,105.1,107.45,104.0,104.05,104.25,139.0,57.3,IRB
2021-04-22,104.5,105.8,103.1,105.1,105.25,139.0,57.3,IRB
2021-04-20,102.5,104.5,102.5,104.3,103.95,139.0,57.3,IRB
2021-04-19,103.0,105.8,100.7,102.15,101.9,139.0,57.3,IRB
2021-04-16,109.4,110.4,108.0,108.3,108.5,139.0,57.3,IRB
2021-04-15,105.1,109.75,105.1,109.0,109.1,139.0,57.3,IRB
