DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,2324.0,2362.0,2300.0,2334.0,2331.3,2479.95,1290.05,IRCTC
2021-07-29,2287.8,2343.5,2286.0,2328.0,2321.1,2479.95,1290.05,IRCTC
2021-07-28,2305.0,2315.0,2262.85,2280.0,2283.65,2479.95,1290.05,IRCTC
2021-07-27,2327.95,2347.0,2281.0,2297.2,2295.55,2479.95,1290.05,IRCTC
2021-07-26,2334.5,2365.0,2302.05,2315.9,2313.3,2479.95,1290.05,IRCTC
2021-07-23,2369.9,2382.45,2316.0,2324.95,2325.35,2479.95,1290.05,IRCTC
2021-07-22,2404.0,2417.05,2342.0,2361.7,2365.15,2479.95,1290.05,IRCTC
2021-07-20,2436.0,2479.95,2370.0,2376.9,2380.65,2479.95,1290.05,IRCTC
2021-07-19,2404.9,2456.0,2385.45,2426.75,2424.5,2457.4,1290.05,IRCTC
2021-07-16,2274.0,2457.4,2268.75,2415.0,2426.65,2457.4,1290.05,IRCTC
2021-07-15,2266.4,2297.1,2251.0,2269.0,2268.3,2297.1,1290.05,IRCTC
2021-07-14,2281.9,2281.9,2245.55,2261.65,2266.4,2283.95,1290.05,IRCTC
2021-07-13,2273.0,2283.95,2256.15,2270.0,2274.45,2283.95,1290.05,IRCTC
2021-07-12,2228.95,2271.9,2217.25,2260.0,2262.9,2271.9,1290.05,IRCTC
2021-07-09,2193.9,2224.0,2168.45,2208.0,2209.25,2248.0,1290.05,IRCTC
2021-07-08,2195.0,2248.0,2185.0,2192.15,2193.9,2248.0,1290.05,IRCTC
2021-07-07,2168.9,2199.0,2160.35,2186.0,2188.45,2222.0,1290.05,IRCTC
2021-07-06,2200.0,2222.0,2160.0,2172.0,2168.9,2222.0,1290.05,IRCTC
2021-07-05,2084.0,2195.0,2068.15,2192.0,2173.6,2195.0,1290.05,IRCTC
2021-07-02,2048.0,2068.95,2037.0,2064.0,2060.55,2184.0,1290.05,IRCTC
2021-07-01,2047.8,2058.85,2030.3,2041.0,2034.8,2184.0,1290.05,IRCTC
2021-06-30,2060.55,2103.75,2021.45,2039.0,2033.85,2184.0,1290.05,IRCTC
2021-06-29,2092.0,2126.9,2065.05,2070.0,2081.85,2184.0,1290.05,IRCTC
2021-06-28,2084.0,2112.45,2068.4,2082.35,2077.75,2184.0,1290.05,IRCTC
2021-06-25,2084.35,2088.5,2053.1,2069.95,2068.85,2184.0,1290.05,IRCTC
2021-06-24,2098.0,2098.0,2066.0,2072.3,2072.95,2184.0,1290.05,IRCTC
2021-06-23,2102.0,2111.4,2072.0,2083.95,2078.25,2184.0,1290.05,IRCTC
2021-06-22,2100.0,2128.35,2075.0,2084.25,2083.0,2184.0,1290.05,IRCTC
2021-06-21,2000.0,2093.75,1981.15,2078.0,2076.85,2184.0,1290.05,IRCTC
2021-06-18,2070.25,2070.25,1978.65,2018.0,2011.7,2184.0,1290.05,IRCTC
2021-06-17,2070.0,2088.95,2036.4,2056.0,2050.4,2184.0,1290.05,IRCTC
2021-06-16,2109.45,2121.95,2075.3,2086.0,2089.95,2184.0,1290.05,IRCTC
2021-06-15,2071.0,2139.85,2062.0,2100.0,2097.95,2184.0,1290.05,IRCTC
2021-06-14,2089.95,2092.0,2025.0,2070.0,2064.4,2184.0,1290.05,IRCTC
2021-06-11,2115.0,2132.0,2081.0,2099.0,2093.75,2184.0,1290.05,IRCTC
2021-06-10,2093.5,2121.0,2051.65,2109.7,2106.35,2184.0,1290.05,IRCTC
2021-06-09,2160.0,2163.0,2060.0,2086.0,2071.2,2184.0,1290.05,IRCTC
2021-06-08,2130.95,2184.0,2122.0,2151.0,2144.85,2184.0,1290.05,IRCTC
2021-06-07,1939.0,2113.85,1926.7,2113.85,2094.8,2113.85,1290.05,IRCTC
2021-06-04,1937.0,1937.0,1913.55,1922.0,1921.7,2073.0,1290.05,IRCTC
2021-06-03,1928.0,1948.6,1916.0,1921.35,1921.8,2073.0,1290.05,IRCTC
2021-06-02,1899.95,1927.5,1895.25,1917.0,1917.95,2073.0,1290.05,IRCTC
2021-06-01,1911.8,1922.65,1888.0,1898.0,1894.6,2073.0,1290.05,IRCTC
2021-05-31,1909.85,1919.0,1897.15,1906.0,1903.2,2073.0,1290.05,IRCTC
2021-05-28,1928.0,1928.35,1888.85,1897.95,1896.25,2073.0,1290.05,IRCTC
2021-05-27,1900.0,1941.15,1876.0,1919.0,1928.35,2073.0,1290.05,IRCTC
2021-05-26,1920.0,1930.05,1888.0,1892.0,1894.05,2073.0,1290.05,IRCTC
2021-05-25,1901.5,1914.0,1890.0,1905.9,1907.95,2073.0,1290.05,IRCTC
2021-05-24,1870.0,1902.8,1867.4,1887.0,1884.5,2073.0,1290.05,IRCTC
2021-05-21,1860.0,1894.7,1850.05,1860.0,1862.0,2073.0,1245.65,IRCTC
2021-05-20,1862.0,1870.4,1822.8,1856.0,1855.65,2073.0,1245.65,IRCTC
2021-05-19,1844.0,1884.95,1840.0,1853.5,1858.1,2073.0,1245.65,IRCTC
2021-05-18,1780.0,1842.75,1770.25,1836.05,1835.05,2073.0,1245.65,IRCTC
2021-05-17,1763.15,1781.0,1743.0,1763.0,1762.1,2073.0,1245.65,IRCTC
2021-05-14,1760.0,1774.0,1730.0,1751.6,1747.65,2073.0,1245.65,IRCTC
