DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,132.55,136.9,127.05,134.85,157.6,59.5,ISFT
2021-10-28,133.0,133.0,126.5,129.95,157.6,59.5,ISFT
2021-10-27,131.4,134.9,127.95,129.0,157.6,59.5,ISFT
2021-10-26,128.55,131.9,126.0,128.65,157.6,59.5,ISFT
2021-10-25,129.65,132.75,125.1,130.65,157.6,59.5,ISFT
2021-10-22,131.6,135.0,125.1,127.1,157.6,59.5,ISFT
2021-10-21,139.0,139.0,131.0,131.9,157.6,59.5,ISFT
2021-10-20,136.05,140.4,134.45,136.1,157.6,59.5,ISFT
2021-10-19,145.65,146.0,136.0,138.85,157.6,59.5,ISFT
2021-10-18,153.65,155.0,140.9,141.5,157.6,59.5,ISFT
2021-10-14,157.0,157.6,146.5,150.6,157.6,59.5,ISFT
2021-10-13,147.55,154.1,146.3,153.2,154.1,59.5,ISFT
2021-10-12,147.0,149.1,140.3,146.2,149.1,59.5,ISFT
2021-10-11,141.0,148.6,135.35,146.5,148.8,59.5,ISFT
2021-10-08,127.45,137.65,125.0,137.65,148.8,59.5,ISFT
2021-10-07,127.95,128.9,123.3,125.15,148.8,59.5,ISFT
2021-10-06,128.9,128.9,121.55,124.5,148.8,59.5,ISFT
2021-10-05,128.75,128.75,125.0,125.4,148.8,59.5,ISFT
2021-10-04,127.45,129.5,125.25,126.1,148.8,59.5,ISFT
2021-10-01,125.05,130.85,125.05,127.4,148.8,59.5,ISFT
2021-09-30,125.1,127.0,125.0,125.05,148.8,59.5,ISFT
2021-09-29,125.15,127.7,125.0,125.35,148.8,59.5,ISFT
2021-09-28,128.5,128.5,125.0,125.15,148.8,59.5,ISFT
2021-09-27,126.8,128.25,125.15,127.35,148.8,59.5,ISFT
2021-09-24,127.5,127.5,125.0,125.8,148.8,59.5,ISFT
2021-09-23,126.25,129.45,125.3,125.6,148.8,59.5,ISFT
2021-09-22,130.15,131.85,125.0,125.3,148.8,59.5,ISFT
2021-09-21,131.25,131.25,125.0,130.15,148.8,59.5,ISFT
2021-09-20,127.9,130.65,121.55,128.25,148.8,59.5,ISFT
2021-09-17,133.0,133.0,124.15,126.1,148.8,59.5,ISFT
2021-09-16,127.5,135.7,125.0,130.65,148.8,59.5,ISFT
2021-09-15,135.0,136.0,131.5,131.5,148.8,59.5,ISFT
2021-09-14,148.8,148.8,138.25,138.4,148.8,59.5,ISFT
2021-09-13,137.45,148.15,136.5,145.5,148.15,59.5,ISFT
2021-09-09,128.5,138.7,124.0,134.7,138.7,59.5,ISFT
2021-09-08,124.5,129.9,119.05,126.95,137.0,59.5,ISFT
