DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,231.2,233.95,229.15,232.9,265.3,171.85,ITC
2021-11-11,230.4,231.5,228.55,230.0,265.3,171.85,ITC
2021-11-10,227.45,232.85,227.2,230.85,265.3,171.85,ITC
2021-11-09,229.85,230.9,227.85,228.75,265.3,171.85,ITC
2021-11-08,229.7,230.7,225.7,229.8,265.3,171.85,ITC
2021-11-04,224.85,227.3,224.0,226.55,265.3,164.45,ITC
2021-11-03,226.0,226.85,221.7,222.45,265.3,164.45,ITC
2021-11-02,228.0,229.25,224.5,225.6,265.3,164.45,ITC
2021-11-01,224.15,227.55,222.5,226.85,265.3,164.45,ITC
2021-10-29,225.0,228.25,222.3,223.2,265.3,163.35,ITC
2021-10-28,235.1,235.95,224.15,225.1,265.3,163.35,ITC
2021-10-27,240.25,241.3,236.2,238.45,265.3,163.35,ITC
2021-10-26,234.1,239.0,232.6,236.7,265.3,163.35,ITC
2021-10-25,234.1,236.65,230.5,233.4,265.3,163.35,ITC
2021-10-22,244.7,245.8,233.7,236.6,265.3,163.35,ITC
2021-10-21,248.0,248.35,243.1,244.7,265.3,163.35,ITC
2021-10-20,245.95,248.5,242.35,246.6,265.3,163.35,ITC
2021-10-19,261.4,262.55,245.05,245.95,265.3,163.35,ITC
2021-10-18,261.0,265.3,257.35,262.55,265.3,163.35,ITC
2021-10-14,253.25,261.85,250.35,256.55,261.85,163.35,ITC
2021-10-13,242.55,250.9,240.15,249.2,250.9,163.35,ITC
2021-10-12,238.6,243.0,238.0,241.3,245.8,163.35,ITC
2021-10-11,232.0,239.5,231.7,238.05,245.8,163.35,ITC
2021-10-08,234.75,234.8,231.2,231.7,245.8,163.35,ITC
2021-10-07,233.0,234.95,232.3,232.95,245.8,163.35,ITC
2021-10-06,234.8,236.4,230.6,231.25,245.8,163.35,ITC
2021-10-05,236.4,237.45,234.5,234.7,245.8,163.35,ITC
2021-10-04,236.0,238.35,235.4,236.6,245.8,163.35,ITC
2021-10-01,235.2,237.0,232.9,235.35,245.8,163.35,ITC
2021-09-30,239.9,240.4,235.25,236.15,245.8,163.35,ITC
2021-09-29,236.0,241.4,235.7,238.1,245.8,163.35,ITC
2021-09-28,239.85,241.6,236.3,237.75,245.8,163.35,ITC
2021-09-27,239.8,241.85,235.5,238.7,245.8,163.35,ITC
2021-09-24,244.0,244.0,237.7,238.45,245.8,163.35,ITC
2021-09-23,245.0,245.6,241.7,242.5,245.8,163.35,ITC
2021-09-22,243.5,245.8,240.7,243.5,245.8,163.35,ITC
2021-09-21,234.95,242.45,231.7,241.5,242.45,163.35,ITC
2021-09-20,231.0,239.35,230.25,233.75,239.35,163.35,ITC
2021-09-17,233.0,237.3,229.1,231.15,239.2,163.35,ITC
2021-09-16,216.95,233.65,216.3,230.75,239.2,163.35,ITC
2021-09-15,217.1,217.2,215.3,216.0,239.2,163.35,ITC
2021-09-14,214.9,217.25,214.2,216.1,239.2,163.35,ITC
2021-09-13,213.35,215.15,211.8,214.15,239.2,163.35,ITC
2021-09-09,211.05,213.9,210.55,212.65,239.2,163.35,ITC
2021-09-08,212.25,213.0,209.7,211.25,239.2,163.35,ITC
2021-09-07,210.9,214.35,210.15,211.75,239.2,163.35,ITC
2021-09-06,211.0,211.2,209.05,209.3,239.2,163.35,ITC
2021-09-03,209.75,211.25,209.75,210.6,239.2,163.35,ITC
