DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,120.3,121.9,116.8,117.95,143.8,102.0,ITI
2021-11-11,120.25,121.4,119.15,119.65,143.8,102.0,ITI
2021-11-10,121.0,123.0,119.6,120.45,143.8,102.0,ITI
2021-11-09,122.5,123.35,121.55,121.85,143.8,102.0,ITI
2021-11-08,120.55,123.4,119.5,121.9,143.8,102.0,ITI
2021-11-04,118.85,121.25,118.85,119.9,143.8,102.0,ITI
2021-11-03,120.4,121.35,118.5,118.85,143.8,102.0,ITI
2021-11-02,120.0,122.1,119.5,120.4,143.8,102.0,ITI
2021-11-01,118.3,120.4,118.3,118.9,143.8,102.0,ITI
2021-10-29,118.1,119.7,116.25,117.5,143.8,102.0,ITI
2021-10-28,122.45,122.45,118.5,118.95,143.8,102.0,ITI
2021-10-27,119.8,125.75,119.2,122.5,143.8,102.0,ITI
2021-10-26,119.2,121.0,119.0,119.3,143.8,102.0,ITI
2021-10-25,122.3,122.45,117.05,119.15,143.8,102.0,ITI
2021-10-22,122.8,124.55,120.75,121.4,143.8,102.0,ITI
2021-10-21,125.85,125.9,122.1,122.7,143.8,102.0,ITI
2021-10-20,122.5,128.0,119.65,124.9,143.8,102.0,ITI
2021-10-19,126.25,126.6,122.0,122.5,143.8,102.0,ITI
2021-10-18,129.05,129.65,124.95,125.75,143.8,102.0,ITI
2021-10-14,126.0,133.5,124.5,128.0,143.8,102.0,ITI
2021-10-13,121.85,127.1,121.15,124.5,143.8,102.0,ITI
2021-10-12,121.3,123.7,120.6,121.05,143.8,102.0,ITI
2021-10-11,122.35,122.7,121.0,121.25,143.8,102.0,ITI
2021-10-08,122.5,124.4,121.1,121.5,143.8,102.0,ITI
2021-10-07,122.0,124.35,121.55,121.85,143.8,102.0,ITI
2021-10-06,124.0,125.45,120.4,121.1,143.8,102.0,ITI
2021-10-05,124.0,126.15,123.1,123.85,143.8,102.0,ITI
2021-10-04,125.0,128.9,122.85,124.3,143.8,102.0,ITI
2021-10-01,123.6,127.4,123.1,124.4,143.8,102.0,ITI
2021-09-30,118.5,128.55,118.5,124.5,143.8,102.0,ITI
2021-09-29,117.5,119.8,117.5,118.2,143.8,102.0,ITI
2021-09-28,119.8,120.4,117.6,118.25,143.8,102.0,ITI
2021-09-27,118.6,122.0,117.5,118.85,143.8,102.0,ITI
2021-09-24,119.1,120.95,117.6,118.0,143.8,102.0,ITI
2021-09-23,118.6,120.7,118.0,118.4,143.8,102.0,ITI
2021-09-22,118.7,119.8,117.45,118.35,143.8,102.0,ITI
2021-09-21,120.0,120.0,116.5,118.15,143.8,102.0,ITI
2021-09-20,117.5,122.3,117.1,117.5,143.8,102.0,ITI
2021-09-17,122.0,122.0,117.65,118.6,143.8,102.0,ITI
2021-09-16,123.4,123.7,120.9,121.35,143.8,102.0,ITI
2021-09-15,120.1,124.3,119.8,122.55,143.8,102.0,ITI
2021-09-14,121.8,121.8,120.0,120.25,143.8,102.0,ITI
2021-09-13,119.0,122.7,117.55,121.0,143.8,102.0,ITI
2021-09-09,119.4,119.9,117.6,118.45,143.8,102.0,ITI
2021-09-08,117.4,122.45,117.05,118.95,143.8,102.0,ITI
2021-09-07,117.25,117.95,116.0,116.7,143.8,102.0,ITI
2021-09-06,117.6,119.9,116.75,117.25,143.8,102.0,ITI
2021-09-03,117.55,118.25,116.35,116.7,143.8,102.0,ITI
2021-09-02,115.0,121.4,114.15,117.35,143.8,102.0,ITI
2021-09-01,114.75,115.7,114.2,114.45,143.8,102.0,ITI
2021-08-31,114.7,116.0,113.7,114.75,143.8,102.0,ITI
2021-08-30,114.7,115.45,110.85,113.45,143.8,102.0,ITI
2021-08-27,112.45,116.35,112.45,114.15,143.8,102.0,ITI
2021-08-26,113.75,115.0,112.4,113.35,143.8,102.0,ITI
2021-08-25,113.8,114.95,113.25,113.55,143.8,102.0,ITI
2021-08-24,112.8,114.0,111.65,113.05,143.8,102.0,ITI
2021-08-23,114.4,115.4,110.35,112.15,143.8,102.0,ITI
2021-08-20,116.5,118.65,110.35,113.05,151.65,102.0,ITI
2021-08-18,118.5,119.15,116.2,116.75,151.65,102.0,ITI
2021-08-17,118.95,120.15,117.7,118.3,151.65,102.0,ITI
2021-08-16,120.8,120.8,118.2,118.45,151.65,102.0,ITI
2021-08-13,121.9,123.25,120.25,121.3,151.65,102.0,ITI
2021-08-12,123.2,125.9,122.5,124.4,151.65,102.0,ITI
2021-08-11,122.0,126.5,118.15,122.45,151.65,102.0,ITI
2021-08-10,125.65,125.95,120.3,121.2,151.65,102.0,ITI
2021-08-09,126.35,126.7,125.0,125.65,151.65,102.0,ITI
2021-08-06,126.65,127.75,125.7,126.35,151.65,102.0,ITI
2021-08-05,127.65,127.85,125.2,125.85,151.65,102.0,ITI
