DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,38.7,38.95,38.0,38.1,38.05,J&KBANK
2021-07-15,37.9,38.95,37.85,38.55,38.45,J&KBANK
2021-07-14,38.0,38.2,37.6,37.8,37.8,J&KBANK
2021-07-13,39.3,39.5,38.05,38.15,38.2,J&KBANK
2021-07-12,39.95,39.95,39.0,39.1,39.15,J&KBANK
2021-07-09,39.2,40.1,38.6,39.5,39.2,J&KBANK
2021-07-08,39.75,40.25,38.8,39.15,39.15,J&KBANK
2021-07-07,39.7,40.5,39.5,39.7,39.6,J&KBANK
2021-07-06,40.7,41.15,39.7,39.85,39.85,J&KBANK
2021-07-05,40.65,41.7,40.4,40.5,40.5,J&KBANK
2021-07-02,41.25,41.6,40.45,40.6,40.6,J&KBANK
2021-07-01,40.65,42.15,40.1,41.0,41.25,J&KBANK
2021-06-30,40.45,42.35,40.15,40.5,40.35,J&KBANK
2021-06-29,41.25,41.6,40.05,40.3,40.15,J&KBANK
2021-06-28,39.45,42.2,38.75,41.25,41.25,J&KBANK
2021-06-25,40.25,40.3,38.2,39.1,39.0,J&KBANK
2021-06-24,40.75,41.9,39.6,39.7,39.75,J&KBANK
2021-06-23,41.25,42.25,38.75,40.5,40.6,J&KBANK
2021-06-22,42.9,44.3,40.1,41.1,40.65,J&KBANK
2021-06-21,33.0,39.3,32.75,39.3,39.3,J&KBANK
2021-06-18,31.2,33.35,30.15,33.3,32.75,J&KBANK
2021-06-17,30.25,31.4,29.8,30.0,30.15,J&KBANK
2021-06-16,29.6,31.65,29.35,30.3,30.55,J&KBANK
2021-06-15,29.3,29.8,29.15,29.25,29.35,J&KBANK
2021-06-14,29.2,29.4,28.5,29.25,29.1,J&KBANK
2021-06-11,29.1,29.5,28.8,29.15,29.2,J&KBANK
2021-06-10,28.65,29.35,28.55,28.9,28.9,J&KBANK
2021-06-09,29.2,29.5,28.5,28.7,28.7,J&KBANK
2021-06-08,29.5,29.5,28.8,29.05,29.0,J&KBANK
2021-06-07,29.8,29.8,29.4,29.45,29.45,J&KBANK
2021-06-04,29.75,29.8,29.25,29.45,29.45,J&KBANK
2021-06-03,29.65,29.7,29.3,29.55,29.55,J&KBANK
2021-06-02,29.3,29.65,28.9,29.4,29.4,J&KBANK
2021-06-01,29.5,29.75,28.7,28.95,28.95,J&KBANK
2021-05-31,28.8,29.1,28.65,28.7,28.7,J&KBANK
2021-05-28,29.5,29.75,28.55,28.75,28.75,J&KBANK
2021-05-27,29.05,29.7,28.4,29.15,29.05,J&KBANK
2021-05-26,29.45,29.65,28.8,29.05,28.9,J&KBANK
2021-05-25,30.0,30.0,29.1,29.4,29.45,J&KBANK
2021-05-24,30.0,30.4,29.25,29.7,29.8,J&KBANK
2021-05-21,27.8,29.95,27.6,29.6,29.65,J&KBANK
2021-05-20,28.0,28.0,27.45,27.6,27.55,J&KBANK
2021-05-19,27.65,28.65,27.35,27.8,27.75,J&KBANK
2021-05-18,28.45,28.55,27.5,27.8,27.65,J&KBANK
2021-05-17,28.35,28.45,27.8,28.0,27.95,J&KBANK
