DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,166.8,166.8,160.05,162.95,203.9,38.6,JAGSNPHARM
2021-11-11,167.0,167.55,162.1,163.05,203.9,38.6,JAGSNPHARM
2021-11-10,166.0,170.4,165.15,166.45,203.9,38.6,JAGSNPHARM
2021-11-09,173.3,173.75,166.1,167.0,203.9,38.6,JAGSNPHARM
2021-11-08,179.85,179.85,172.15,173.3,203.9,38.6,JAGSNPHARM
2021-11-04,180.0,181.0,176.0,177.65,203.9,37.35,JAGSNPHARM
2021-11-03,176.85,179.65,172.6,175.95,203.9,37.35,JAGSNPHARM
2021-11-02,177.55,179.7,172.0,177.6,203.9,37.35,JAGSNPHARM
2021-11-01,176.35,183.55,172.3,175.65,203.9,37.35,JAGSNPHARM
2021-10-29,169.15,178.0,163.0,174.7,203.9,37.35,JAGSNPHARM
2021-10-28,179.85,179.85,169.0,171.05,203.9,37.35,JAGSNPHARM
2021-10-27,176.5,184.95,170.8,178.75,203.9,37.35,JAGSNPHARM
2021-10-26,160.0,179.45,160.0,176.4,203.9,37.35,JAGSNPHARM
2021-10-25,160.9,160.9,156.55,159.2,203.9,37.35,JAGSNPHARM
2021-10-22,162.3,163.9,155.75,158.65,203.9,37.35,JAGSNPHARM
2021-10-21,168.25,168.25,158.1,159.9,203.9,37.35,JAGSNPHARM
2021-10-20,169.85,170.0,162.0,164.55,203.9,37.35,JAGSNPHARM
2021-10-19,163.7,169.7,161.0,162.15,203.9,37.35,JAGSNPHARM
2021-10-18,152.0,168.0,152.0,162.3,203.9,37.35,JAGSNPHARM
2021-10-14,152.4,153.8,150.0,151.0,203.9,37.35,JAGSNPHARM
2021-10-13,153.75,154.9,151.0,151.55,203.9,37.35,JAGSNPHARM
2021-10-12,152.4,156.5,151.05,153.7,203.9,37.35,JAGSNPHARM
2021-10-11,152.95,155.0,152.0,152.45,203.9,37.35,JAGSNPHARM
2021-10-08,153.8,156.4,149.5,152.95,203.9,37.0,JAGSNPHARM
2021-10-07,153.5,155.9,150.0,152.2,203.9,37.0,JAGSNPHARM
2021-10-06,154.4,158.9,152.0,152.85,203.9,37.0,JAGSNPHARM
2021-10-05,155.0,155.45,153.0,153.9,203.9,37.0,JAGSNPHARM
2021-10-04,156.2,159.65,153.15,154.3,203.9,37.0,JAGSNPHARM
2021-10-01,155.0,158.45,154.6,155.6,203.9,35.1,JAGSNPHARM
2021-09-30,159.5,164.8,155.0,156.35,203.9,35.1,JAGSNPHARM
2021-09-29,158.0,159.9,155.25,158.45,203.9,35.1,JAGSNPHARM
2021-09-28,150.4,172.4,150.4,159.15,203.9,35.1,JAGSNPHARM
2021-09-27,152.5,154.5,148.2,149.55,203.9,35.1,JAGSNPHARM
2021-09-24,155.95,155.95,150.0,151.45,203.9,34.1,JAGSNPHARM
2021-09-23,155.9,158.65,152.1,154.0,203.9,34.1,JAGSNPHARM
2021-09-22,154.1,156.35,152.0,154.2,203.9,34.1,JAGSNPHARM
2021-09-21,157.5,157.8,148.25,152.6,203.9,34.1,JAGSNPHARM
