DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,494.0,494.0,480.0,482.4,628.0,170.15,JASH
2021-11-11,496.35,498.55,485.05,488.5,628.0,170.15,JASH
2021-11-10,489.0,500.0,489.0,490.7,628.0,170.15,JASH
2021-11-09,491.85,496.8,485.0,487.05,628.0,170.15,JASH
2021-11-08,495.1,505.0,480.0,486.65,628.0,170.15,JASH
2021-11-04,508.9,511.7,495.0,504.55,628.0,170.15,JASH
2021-11-03,496.4,505.0,495.0,496.5,628.0,170.15,JASH
2021-11-02,498.5,511.0,498.5,505.25,628.0,170.15,JASH
2021-11-01,504.5,514.25,497.0,506.55,628.0,170.15,JASH
2021-10-29,487.85,505.0,485.0,493.6,628.0,170.15,JASH
2021-10-28,509.0,521.75,485.0,487.65,628.0,170.15,JASH
2021-10-27,500.0,509.0,493.8,505.4,628.0,170.15,JASH
2021-10-26,485.0,509.0,485.0,506.1,628.0,170.15,JASH
2021-10-25,485.1,489.7,484.75,486.0,628.0,170.15,JASH
2021-10-22,489.95,498.0,480.0,486.65,628.0,170.15,JASH
2021-10-21,489.0,493.0,480.0,485.15,628.0,170.15,JASH
2021-10-20,489.4,492.6,479.0,485.35,628.0,170.15,JASH
2021-10-19,506.3,510.1,482.0,489.6,628.0,170.15,JASH
2021-10-18,498.0,509.15,495.0,506.3,628.0,170.15,JASH
2021-10-14,489.0,493.0,479.0,490.0,628.0,170.15,JASH
2021-10-13,489.0,496.75,478.0,481.95,628.0,170.15,JASH
2021-10-12,489.0,494.85,479.0,485.2,628.0,170.15,JASH
2021-10-11,480.0,499.8,478.75,490.2,628.0,170.15,JASH
2021-10-08,503.8,503.9,472.05,480.5,628.0,170.15,JASH
2021-10-07,495.0,510.0,495.0,495.7,628.0,170.15,JASH
2021-10-06,497.55,503.7,495.0,495.5,628.0,170.15,JASH
2021-10-05,504.6,505.0,492.2,496.5,628.0,170.15,JASH
2021-10-04,491.55,509.4,491.55,504.6,628.0,170.15,JASH
2021-10-01,500.5,507.55,485.35,494.55,628.0,170.15,JASH
2021-09-30,508.35,517.75,497.0,505.0,628.0,170.15,JASH
2021-09-29,501.35,515.0,501.25,512.3,628.0,170.15,JASH
2021-09-28,520.0,520.0,502.0,510.9,628.0,170.15,JASH
2021-09-27,515.05,518.75,500.0,511.55,628.0,170.15,JASH
2021-09-24,521.0,521.0,515.0,519.5,628.0,166.15,JASH
2021-09-23,516.75,525.4,513.1,516.8,628.0,166.15,JASH
2021-09-22,534.5,534.5,506.0,518.75,628.0,166.15,JASH
2021-09-21,497.0,535.0,497.0,522.45,628.0,166.15,JASH
2021-09-20,534.5,534.5,497.0,501.5,628.0,166.15,JASH
2021-09-17,539.95,539.95,503.0,516.1,628.0,166.15,JASH
2021-09-16,548.55,548.55,526.5,527.4,628.0,166.15,JASH
2021-09-15,510.0,540.0,510.0,538.75,628.0,166.15,JASH
2021-09-14,490.05,510.0,490.05,507.7,628.0,166.15,JASH
2021-09-13,504.0,504.0,490.0,493.4,628.0,166.15,JASH
2021-09-09,466.0,494.0,440.0,490.75,628.0,164.0,JASH
2021-09-08,465.0,474.9,460.5,468.7,628.0,164.0,JASH
2021-09-07,480.0,480.0,455.0,468.3,628.0,164.0,JASH
2021-09-06,479.9,482.35,471.25,474.25,628.0,164.0,JASH
2021-09-03,477.9,481.8,472.05,479.15,628.0,157.25,JASH
2021-09-02,477.5,480.0,470.0,472.55,628.0,157.25,JASH
2021-09-01,482.85,484.8,470.0,474.85,628.0,157.25,JASH
2021-08-31,481.0,483.85,475.0,479.0,628.0,157.25,JASH
2021-08-30,490.0,498.25,473.0,477.3,628.0,157.25,JASH
2021-08-27,504.0,504.0,480.0,486.85,628.0,157.25,JASH
2021-08-26,491.0,500.0,483.2,498.75,628.0,157.25,JASH
2021-08-25,502.0,504.0,482.0,488.75,628.0,157.25,JASH
2021-08-24,486.65,503.95,486.65,498.25,628.0,157.25,JASH
2021-08-23,497.9,512.0,475.1,496.65,628.0,157.25,JASH
2021-08-20,465.0,494.95,458.1,488.15,628.0,155.2,JASH
2021-08-18,490.0,490.0,467.6,471.55,628.0,155.2,JASH
2021-08-17,483.0,489.95,475.0,482.0,628.0,155.2,JASH
2021-08-16,488.05,500.0,475.0,492.2,628.0,155.2,JASH
2021-08-13,548.0,548.5,510.45,513.8,628.0,139.0,JASH
2021-08-12,526.9,549.45,522.55,532.7,628.0,139.0,JASH
2021-08-11,530.5,535.0,488.05,526.4,628.0,139.0,JASH
2021-08-10,577.75,577.8,534.1,536.3,628.0,139.0,JASH
2021-08-09,577.9,584.9,567.0,572.35,628.0,139.0,JASH
2021-08-06,573.95,577.9,561.5,571.05,628.0,136.0,JASH
2021-08-05,585.0,589.0,555.65,570.35,628.0,136.0,JASH
2021-08-04,577.0,585.0,562.0,577.55,628.0,136.0,JASH
2021-08-03,555.0,579.9,546.4,574.7,628.0,136.0,JASH
2021-08-02,535.0,554.3,535.0,549.1,628.0,136.0,JASH
2021-07-30,573.0,573.0,531.0,537.45,628.0,136.0,JASH
2021-07-29,565.15,574.0,556.0,565.5,628.0,136.0,JASH
2021-07-28,595.0,595.0,562.0,565.15,628.0,136.0,JASH
2021-07-27,580.0,594.9,575.0,590.0,628.0,136.0,JASH
2021-07-26,555.0,578.95,552.9,571.65,628.0,136.0,JASH
2021-07-23,574.8,574.8,550.0,552.3,628.0,136.0,JASH
2021-07-22,568.0,582.0,560.0,563.7,628.0,136.0,JASH
2021-07-20,580.8,588.0,530.0,556.2,628.0,136.0,JASH
2021-07-19,577.95,590.0,561.1,580.8,628.0,136.0,JASH
2021-07-16,575.0,590.85,572.9,584.2,628.0,136.0,JASH
2021-07-15,592.0,592.0,575.0,577.95,628.0,136.0,JASH
2021-07-14,585.0,596.5,582.0,586.2,628.0,136.0,JASH
2021-07-13,596.25,599.0,586.0,588.5,628.0,136.0,JASH
2021-07-12,604.0,607.0,588.2,590.05,628.0,136.0,JASH
2021-07-09,577.3,611.0,571.2,597.1,628.0,136.0,JASH
2021-07-08,593.0,593.0,575.15,577.1,628.0,136.0,JASH
2021-07-07,585.05,597.0,585.05,587.3,628.0,136.0,JASH
2021-07-06,599.9,610.0,571.15,584.05,628.0,136.0,JASH
2021-07-05,576.55,609.0,568.1,593.55,628.0,136.0,JASH
2021-07-02,572.0,575.0,566.65,571.4,628.0,136.0,JASH
2021-07-01,570.0,579.0,552.0,568.45,628.0,136.0,JASH
2021-06-30,578.25,589.0,555.0,568.25,628.0,136.0,JASH
2021-06-29,607.9,628.0,570.0,572.7,628.0,136.0,JASH
