DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,493.7,512.35,492.3,501.75,502.35,JBMA
2021-07-15,506.0,512.4,485.15,491.0,491.2,JBMA
2021-07-14,468.65,518.0,463.9,498.7,499.9,JBMA
2021-07-13,441.95,463.95,437.65,457.9,458.05,JBMA
2021-07-12,437.0,448.15,437.0,437.0,439.75,JBMA
2021-07-09,432.0,443.65,432.0,435.0,435.55,JBMA
2021-07-08,435.3,442.75,431.2,434.0,433.25,JBMA
2021-07-07,442.05,450.0,435.8,438.7,437.1,JBMA
2021-07-06,441.6,457.8,437.05,438.5,442.0,JBMA
2021-07-05,443.95,447.65,438.05,440.55,441.55,JBMA
2021-07-02,436.8,449.4,435.15,438.0,437.6,JBMA
2021-07-01,429.4,444.45,426.7,434.0,434.35,JBMA
2021-06-30,438.75,441.05,424.85,426.8,429.4,JBMA
2021-06-29,449.0,452.0,434.7,435.0,437.15,JBMA
2021-06-28,451.35,458.0,440.1,444.25,445.5,JBMA
2021-06-25,453.7,465.0,444.9,449.9,448.35,JBMA
2021-06-24,447.8,467.7,445.0,455.05,452.15,JBMA
2021-06-23,451.8,466.4,438.0,446.0,445.45,JBMA
2021-06-22,432.0,461.95,429.05,447.05,448.45,JBMA
2021-06-21,421.4,434.7,415.6,425.0,426.45,JBMA
2021-06-18,435.0,438.3,414.75,426.0,421.4,JBMA
2021-06-17,435.9,441.95,425.8,426.0,428.5,JBMA
2021-06-16,444.45,453.0,434.25,435.6,437.0,JBMA
2021-06-15,437.45,445.75,436.05,441.05,441.45,JBMA
2021-06-14,454.0,454.0,430.0,438.0,436.1,JBMA
2021-06-11,459.0,459.0,446.0,448.0,448.65,JBMA
2021-06-10,448.65,460.75,446.05,453.85,452.75,JBMA
2021-06-09,461.8,467.0,441.35,446.0,445.35,JBMA
2021-06-08,427.0,488.0,426.95,461.3,457.6,JBMA
2021-06-07,435.0,435.0,424.05,427.6,426.45,JBMA
2021-06-04,420.0,433.75,417.95,430.0,430.05,JBMA
2021-06-03,427.45,430.0,420.0,420.0,420.95,JBMA
2021-06-02,416.0,428.3,413.0,426.0,425.55,JBMA
2021-06-01,415.75,422.8,411.5,418.65,417.85,JBMA
2021-05-31,414.0,423.0,412.0,414.5,413.65,JBMA
2021-05-28,429.5,434.2,417.85,418.0,419.65,JBMA
2021-05-27,430.0,433.65,426.5,427.5,428.4,JBMA
2021-05-26,439.4,439.85,427.0,427.9,428.3,JBMA
2021-05-25,445.0,448.7,438.05,439.0,439.45,JBMA
