DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,144.7,144.7,139.3,141.2,167.95,69.25,JINDRILL
2021-11-11,145.95,145.95,140.55,142.65,167.95,69.25,JINDRILL
2021-11-10,144.0,147.95,142.05,144.6,167.95,69.25,JINDRILL
2021-11-09,143.0,144.6,141.15,143.3,167.95,69.25,JINDRILL
2021-11-08,143.3,143.3,138.1,141.4,167.95,69.25,JINDRILL
2021-11-04,145.0,145.0,131.8,141.25,167.95,68.65,JINDRILL
2021-11-03,142.7,143.7,140.45,140.8,167.95,68.65,JINDRILL
2021-11-02,139.75,142.9,139.25,140.6,167.95,68.65,JINDRILL
2021-11-01,141.85,143.8,137.05,138.25,167.95,68.65,JINDRILL
2021-10-29,140.1,142.85,136.8,138.85,167.95,68.65,JINDRILL
2021-10-28,141.6,144.5,140.0,140.6,167.95,68.65,JINDRILL
2021-10-27,144.95,147.2,141.6,143.85,167.95,68.65,JINDRILL
2021-10-26,136.05,147.0,136.05,144.95,167.95,68.65,JINDRILL
2021-10-25,147.9,147.9,135.35,137.5,167.95,68.65,JINDRILL
2021-10-22,153.55,153.95,141.65,143.8,167.95,68.65,JINDRILL
2021-10-21,152.25,155.4,150.0,151.15,167.95,68.65,JINDRILL
2021-10-20,155.7,157.0,148.05,149.15,167.95,68.65,JINDRILL
2021-10-19,159.6,161.4,154.0,155.3,167.95,68.65,JINDRILL
2021-10-18,152.0,161.4,152.0,158.85,167.95,68.65,JINDRILL
2021-10-14,155.6,155.75,150.0,150.85,167.95,68.65,JINDRILL
2021-10-13,156.6,159.7,153.1,153.7,167.95,68.65,JINDRILL
2021-10-12,158.0,159.6,154.1,156.3,167.95,68.65,JINDRILL
2021-10-11,154.7,167.85,154.0,158.05,167.95,68.65,JINDRILL
2021-10-08,159.95,161.7,152.05,153.5,167.95,68.65,JINDRILL
2021-10-07,157.85,165.0,156.45,158.3,167.95,68.65,JINDRILL
2021-10-06,164.05,167.95,155.1,155.75,167.95,68.65,JINDRILL
2021-10-05,152.0,161.3,149.35,161.1,161.3,68.65,JINDRILL
2021-10-04,142.0,148.9,141.4,146.65,153.9,68.65,JINDRILL
2021-10-01,142.45,145.5,139.0,142.0,153.9,68.6,JINDRILL
2021-09-30,138.1,141.3,137.35,138.65,153.9,68.6,JINDRILL
2021-09-29,141.0,143.65,136.85,138.1,153.9,68.6,JINDRILL
2021-09-28,142.0,146.0,138.6,142.05,153.9,68.6,JINDRILL
2021-09-27,140.2,140.2,136.75,138.15,153.9,68.6,JINDRILL
2021-09-24,139.0,142.15,135.9,136.95,153.9,65.05,JINDRILL
2021-09-23,138.35,139.65,135.0,136.05,153.9,65.05,JINDRILL
2021-09-22,138.75,140.0,133.5,136.35,153.9,65.05,JINDRILL
2021-09-21,138.0,139.35,131.2,137.75,153.9,65.05,JINDRILL
2021-09-20,138.75,141.0,134.6,136.05,153.9,65.05,JINDRILL
2021-09-17,144.45,144.85,136.2,139.65,153.9,65.05,JINDRILL
2021-09-16,150.6,153.9,142.0,143.7,153.9,65.05,JINDRILL
2021-09-15,137.95,150.9,137.05,149.2,150.9,65.05,JINDRILL
2021-09-14,136.1,139.35,133.5,137.2,147.9,65.05,JINDRILL
2021-09-13,135.8,144.2,133.3,138.05,147.9,65.05,JINDRILL
2021-09-09,132.7,136.8,131.7,134.5,147.9,65.05,JINDRILL
2021-09-08,131.8,136.5,130.4,132.3,147.9,65.05,JINDRILL
2021-09-07,139.0,139.0,127.3,129.5,147.9,65.05,JINDRILL
2021-09-06,129.1,140.8,127.35,138.9,147.9,65.05,JINDRILL
2021-09-03,125.3,130.95,125.3,128.0,147.9,65.05,JINDRILL
2021-09-02,127.8,128.45,124.0,124.55,147.9,65.05,JINDRILL
2021-09-01,131.05,131.75,122.2,126.1,147.9,65.05,JINDRILL
2021-08-31,132.65,132.8,127.7,128.45,147.9,65.05,JINDRILL
2021-08-30,131.0,134.45,131.0,132.9,147.9,65.05,JINDRILL
2021-08-27,133.55,133.55,128.25,130.1,147.9,65.05,JINDRILL
2021-08-26,133.25,136.0,127.1,132.05,147.9,65.05,JINDRILL
2021-08-25,125.1,133.9,124.95,132.5,147.9,65.05,JINDRILL
2021-08-24,124.7,131.0,119.5,124.1,147.9,65.05,JINDRILL
