DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-20,27.2,27.85,26.1,26.1,30.45,9.0,JISLDVREQS
2021-10-19,29.1,30.2,27.4,27.45,30.45,9.0,JISLDVREQS
2021-10-18,30.45,30.45,28.55,28.8,30.45,9.0,JISLDVREQS
2021-10-14,28.5,29.1,27.75,29.1,29.8,9.0,JISLDVREQS
2021-10-13,29.45,29.8,27.5,27.75,29.8,9.0,JISLDVREQS
2021-10-12,28.7,29.0,27.0,28.8,29.0,9.0,JISLDVREQS
2021-10-11,26.85,27.65,26.4,27.65,27.65,9.0,JISLDVREQS
2021-10-08,26.0,26.75,25.5,26.35,26.75,9.0,JISLDVREQS
2021-10-07,24.95,25.55,23.85,25.5,25.55,9.0,JISLDVREQS
2021-10-06,23.9,24.45,23.9,24.35,25.5,9.0,JISLDVREQS
2021-10-05,22.2,23.3,21.75,23.3,25.5,9.0,JISLDVREQS
2021-10-04,22.9,22.9,22.05,22.2,25.5,9.0,JISLDVREQS
2021-10-01,21.8,22.7,21.8,22.15,25.5,9.0,JISLDVREQS
2021-09-30,22.7,22.7,21.95,22.15,25.5,9.0,JISLDVREQS
2021-09-29,22.95,22.95,21.35,22.3,25.5,9.0,JISLDVREQS
2021-09-28,22.6,23.7,22.2,22.4,25.5,9.0,JISLDVREQS
2021-09-27,23.2,23.4,22.05,22.9,25.5,9.0,JISLDVREQS
2021-09-24,23.55,23.55,22.65,22.8,25.5,9.0,JISLDVREQS
2021-09-23,23.55,23.9,22.7,22.8,25.5,9.0,JISLDVREQS
2021-09-22,22.2,23.0,21.75,23.0,25.5,9.0,JISLDVREQS
2021-09-21,22.0,22.8,21.2,21.95,25.5,9.0,JISLDVREQS
2021-09-20,22.05,22.85,22.0,22.15,25.5,9.0,JISLDVREQS
2021-09-17,23.35,24.75,22.9,23.0,25.5,9.0,JISLDVREQS
2021-09-16,25.35,25.45,23.85,24.1,25.5,9.0,JISLDVREQS
2021-09-15,24.0,24.5,22.6,24.5,25.5,9.0,JISLDVREQS
2021-09-14,22.2,23.8,22.05,23.35,25.5,9.0,JISLDVREQS
2021-09-13,25.5,25.5,23.1,23.1,25.5,9.0,JISLDVREQS
2021-09-09,24.3,24.3,23.65,24.3,24.3,9.0,JISLDVREQS
2021-09-08,23.15,23.15,23.15,23.15,23.15,9.0,JISLDVREQS
2021-09-07,21.5,22.05,20.1,22.05,22.35,9.0,JISLDVREQS
2021-09-06,20.7,21.0,20.55,21.0,22.35,9.0,JISLDVREQS
2021-09-03,20.0,20.0,19.4,20.0,22.35,9.0,JISLDVREQS
2021-09-02,19.05,19.65,18.9,19.05,22.35,9.0,JISLDVREQS
2021-09-01,19.05,19.55,19.0,19.05,22.35,9.0,JISLDVREQS
2021-08-31,20.9,20.9,19.3,19.4,22.35,9.0,JISLDVREQS
2021-08-30,20.15,20.5,19.85,20.25,22.35,9.0,JISLDVREQS
2021-08-27,18.75,19.6,18.2,19.55,22.35,9.0,JISLDVREQS
2021-08-26,18.7,18.7,18.05,18.7,22.35,9.0,JISLDVREQS
2021-08-25,17.8,17.85,17.8,17.85,22.35,9.0,JISLDVREQS
2021-08-24,16.2,17.0,16.0,17.0,22.35,9.0,JISLDVREQS
2021-08-23,17.3,17.45,16.2,16.2,22.35,9.0,JISLDVREQS
2021-08-20,17.35,17.35,16.65,16.95,22.35,9.0,JISLDVREQS
2021-08-18,18.25,18.75,17.3,17.4,22.35,9.0,JISLDVREQS
2021-08-17,18.95,18.95,18.0,18.15,22.35,9.0,JISLDVREQS
2021-08-16,18.65,19.4,18.55,18.65,22.35,9.0,JISLDVREQS
2021-08-13,19.35,19.45,18.65,18.85,22.35,9.0,JISLDVREQS
2021-08-12,18.5,19.3,18.5,19.1,22.35,9.0,JISLDVREQS
2021-08-11,19.4,19.4,18.05,18.9,22.35,9.0,JISLDVREQS
2021-08-10,19.7,19.9,18.2,19.0,22.35,9.0,JISLDVREQS
2021-08-09,20.1,20.1,18.95,19.15,22.35,9.0,JISLDVREQS
2021-08-06,19.9,20.1,18.95,19.15,22.35,9.0,JISLDVREQS
2021-08-05,20.15,20.4,19.25,19.4,22.35,9.0,JISLDVREQS
2021-08-04,21.3,21.6,20.0,20.1,22.35,9.0,JISLDVREQS
2021-08-03,20.0,21.05,19.95,20.75,22.35,9.0,JISLDVREQS
2021-08-02,21.0,21.0,20.1,20.25,22.35,9.0,JISLDVREQS
2021-07-30,20.35,21.0,20.2,20.3,22.35,9.0,JISLDVREQS
2021-07-29,19.05,20.2,19.05,20.2,22.35,9.0,JISLDVREQS
2021-07-28,20.05,20.05,19.1,19.25,22.35,9.0,JISLDVREQS
2021-07-27,21.35,21.4,20.0,20.05,22.35,9.0,JISLDVREQS
2021-07-26,20.7,21.6,20.05,21.05,22.35,9.0,JISLDVREQS
2021-07-23,21.65,21.65,20.4,20.65,22.35,9.0,JISLDVREQS
2021-07-22,22.2,22.2,21.05,21.2,22.35,9.0,JISLDVREQS
2021-07-20,22.35,22.35,21.05,21.2,22.35,9.0,JISLDVREQS
2021-06-16,18.3,18.6,17.4,17.7,20.8,9.0,JISLDVREQS
2021-06-15,18.7,19.5,18.0,18.25,20.8,9.0,JISLDVREQS
2021-06-14,20.8,20.8,18.9,18.9,20.8,9.0,JISLDVREQS
2021-06-11,20.05,20.05,18.6,19.85,20.05,9.0,JISLDVREQS
2021-06-10,19.1,19.1,19.1,19.1,19.1,9.0,JISLDVREQS
2021-06-09,17.4,18.2,16.35,18.2,18.2,9.0,JISLDVREQS
2021-06-08,15.4,16.65,14.9,16.55,17.4,9.0,JISLDVREQS
2021-06-07,14.55,15.65,14.55,15.15,17.4,9.0,JISLDVREQS
2021-06-04,14.7,15.1,13.8,14.45,17.4,9.0,JISLDVREQS
