DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,225.2,228.0,223.6,224.95,284.9,90.0,JKPAPER
2021-11-11,231.3,231.85,222.85,224.3,284.9,90.0,JKPAPER
2021-11-10,228.45,235.5,227.3,231.35,284.9,90.0,JKPAPER
2021-11-09,229.0,231.7,227.6,228.45,284.9,90.0,JKPAPER
2021-11-08,232.7,232.7,226.2,227.35,284.9,90.0,JKPAPER
2021-11-04,226.75,230.0,226.05,229.35,284.9,86.35,JKPAPER
2021-11-03,226.0,229.3,224.2,225.2,284.9,86.35,JKPAPER
2021-11-02,228.35,228.9,225.0,225.45,284.9,86.35,JKPAPER
2021-11-01,225.8,229.0,224.0,226.45,284.9,86.35,JKPAPER
2021-10-29,227.0,227.0,220.3,225.65,284.9,86.3,JKPAPER
2021-10-28,236.0,236.15,224.5,225.35,284.9,86.3,JKPAPER
2021-10-27,225.0,239.75,225.0,236.2,284.9,86.3,JKPAPER
2021-10-26,222.0,230.5,222.0,223.65,284.9,86.3,JKPAPER
2021-10-25,229.85,230.85,220.5,222.95,284.9,86.3,JKPAPER
2021-10-22,227.45,230.95,221.75,225.6,284.9,86.3,JKPAPER
2021-10-21,234.5,236.2,223.7,225.55,284.9,86.3,JKPAPER
2021-10-20,242.5,242.5,230.0,232.45,284.9,86.3,JKPAPER
2021-10-19,252.3,252.3,240.0,240.75,284.9,86.3,JKPAPER
2021-10-18,251.9,255.0,249.4,250.35,284.9,86.3,JKPAPER
2021-10-14,254.4,254.9,250.5,251.05,284.9,86.3,JKPAPER
2021-10-13,248.8,253.5,248.1,252.35,284.9,86.3,JKPAPER
2021-10-12,245.95,252.45,242.7,247.9,284.9,86.3,JKPAPER
2021-10-11,248.0,248.8,245.0,246.4,284.9,86.3,JKPAPER
2021-10-08,247.0,252.9,245.4,246.9,284.9,86.3,JKPAPER
2021-10-07,243.4,246.75,241.6,244.65,284.9,86.3,JKPAPER
2021-10-06,247.95,253.65,240.0,241.5,284.9,86.3,JKPAPER
2021-10-05,232.45,249.15,229.05,246.9,284.9,86.3,JKPAPER
2021-10-04,228.05,233.95,227.7,233.05,284.9,86.3,JKPAPER
2021-10-01,227.9,230.5,225.45,227.6,284.9,86.3,JKPAPER
2021-09-30,238.0,238.0,228.0,229.3,284.9,86.3,JKPAPER
2021-09-29,226.0,227.6,218.8,222.1,284.9,86.3,JKPAPER
2021-09-28,233.9,235.4,226.1,227.0,284.9,86.3,JKPAPER
2021-09-27,237.8,244.0,231.55,232.5,284.9,86.3,JKPAPER
2021-09-24,241.4,244.0,235.0,235.6,284.9,86.3,JKPAPER
2021-09-23,239.0,244.15,237.9,239.0,284.9,86.3,JKPAPER
