DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-02,2.5,2.5,2.5,2.5,2.5,JPINFRATEC
2021-06-01,2.4,2.4,2.4,2.4,2.4,JPINFRATEC
2021-05-31,2.3,2.3,2.3,2.3,2.3,JPINFRATEC
2021-05-28,2.2,2.2,2.2,2.2,2.2,JPINFRATEC
2021-05-27,2.1,2.1,2.1,2.1,2.1,JPINFRATEC
2021-05-26,2.0,2.0,2.0,2.0,2.0,JPINFRATEC
2021-05-25,1.95,1.95,1.95,1.95,1.95,JPINFRATEC
2021-05-24,1.9,1.9,1.9,1.9,1.9,JPINFRATEC
2021-05-21,1.85,1.85,1.85,1.85,1.85,JPINFRATEC
2021-05-20,1.8,1.8,1.8,1.8,1.8,JPINFRATEC
2021-05-19,1.7,1.75,1.65,1.75,1.75,JPINFRATEC
2021-05-18,1.7,1.7,1.65,1.7,1.7,JPINFRATEC
2021-05-17,1.65,1.65,1.55,1.65,1.65,JPINFRATEC
2021-05-14,1.6,1.6,1.6,1.6,1.6,JPINFRATEC
2021-05-12,1.5,1.55,1.5,1.55,1.55,JPINFRATEC
2021-05-11,1.55,1.6,1.5,1.5,1.5,JPINFRATEC
2021-05-10,1.5,1.55,1.45,1.55,1.55,JPINFRATEC
2021-05-07,1.5,1.5,1.45,1.5,1.5,JPINFRATEC
2021-05-06,1.45,1.5,1.4,1.45,1.45,JPINFRATEC
2021-05-05,1.5,1.5,1.45,1.45,1.45,JPINFRATEC
2021-05-04,1.45,1.5,1.45,1.5,1.5,JPINFRATEC
2021-05-03,1.45,1.5,1.4,1.5,1.45,JPINFRATEC
2021-04-30,1.45,1.5,1.4,1.5,1.45,JPINFRATEC
2021-04-29,1.5,1.55,1.45,1.5,1.45,JPINFRATEC
2021-04-28,1.5,1.55,1.45,1.45,1.5,JPINFRATEC
2021-04-27,1.45,1.5,1.4,1.5,1.5,JPINFRATEC
2021-04-26,1.45,1.45,1.4,1.45,1.45,JPINFRATEC
2021-04-23,1.4,1.45,1.4,1.45,1.4,JPINFRATEC
2021-04-22,1.45,1.45,1.45,1.45,1.45,JPINFRATEC
2021-04-20,1.5,1.55,1.5,1.5,1.5,JPINFRATEC
2021-04-19,1.55,1.6,1.55,1.55,1.55,JPINFRATEC
2021-04-16,1.6,1.7,1.6,1.6,1.6,JPINFRATEC
2021-04-15,1.75,1.75,1.65,1.65,1.65,JPINFRATEC
2021-04-13,1.7,1.7,1.7,1.7,1.7,JPINFRATEC
2021-04-12,1.65,1.65,1.65,1.65,1.65,JPINFRATEC
2021-04-09,1.6,1.6,1.6,1.6,1.6,JPINFRATEC
2021-04-08,1.5,1.55,1.45,1.55,1.55,JPINFRATEC
2021-04-07,1.5,1.5,1.45,1.5,1.5,JPINFRATEC
2021-04-06,1.45,1.5,1.45,1.45,1.5,JPINFRATEC
2021-04-05,1.6,1.6,1.5,1.5,1.5,JPINFRATEC
2021-04-01,1.55,1.6,1.55,1.6,1.55,JPINFRATEC
2021-03-31,1.6,1.6,1.6,1.6,1.6,JPINFRATEC
2021-03-30,1.7,1.7,1.65,1.65,1.65,JPINFRATEC
2021-03-26,1.6,1.7,1.6,1.6,1.7,JPINFRATEC
2021-03-25,1.65,1.65,1.65,1.65,1.65,JPINFRATEC
2021-03-24,1.8,1.8,1.7,1.7,1.7,JPINFRATEC
2021-03-23,1.75,1.75,1.7,1.75,1.75,JPINFRATEC
2021-03-22,1.7,1.7,1.65,1.7,1.7,JPINFRATEC
2021-03-19,1.65,1.65,1.6,1.65,1.65,JPINFRATEC
2021-03-18,1.7,1.75,1.65,1.7,1.65,JPINFRATEC
2021-03-17,1.75,1.75,1.7,1.7,1.7,JPINFRATEC
2021-03-16,1.8,1.85,1.75,1.8,1.75,JPINFRATEC
2021-03-15,1.9,1.9,1.8,1.85,1.8,JPINFRATEC
2021-03-12,1.9,1.9,1.85,1.9,1.85,JPINFRATEC
2021-03-10,2.0,2.0,1.9,1.9,1.9,JPINFRATEC
2021-03-09,2.0,2.0,1.9,1.95,1.95,JPINFRATEC
2021-03-08,1.95,1.95,1.95,1.95,1.95,JPINFRATEC
2021-03-05,1.9,1.9,1.9,1.9,1.9,JPINFRATEC
