DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-24,677.25,679.0,650.75,659.15,776.5,257.55,JSWSTEEL
2021-09-23,685.3,687.25,674.1,677.25,776.5,257.55,JSWSTEEL
2021-09-22,671.8,683.4,666.2,678.55,776.5,257.55,JSWSTEEL
2021-09-21,633.25,672.0,628.7,668.95,776.5,257.55,JSWSTEEL
2021-09-20,669.9,669.9,628.1,633.2,776.5,257.55,JSWSTEEL
2021-09-17,692.0,692.0,668.7,682.3,776.5,257.55,JSWSTEEL
2021-09-16,700.05,700.95,688.0,689.45,776.5,257.55,JSWSTEEL
2021-09-15,697.0,698.0,687.05,696.65,776.5,257.55,JSWSTEEL
2021-09-14,696.4,702.0,692.25,693.65,776.5,257.55,JSWSTEEL
2021-09-13,693.25,700.0,687.5,694.4,776.5,257.55,JSWSTEEL
2021-09-09,683.85,691.5,683.05,688.95,776.5,257.55,JSWSTEEL
2021-09-08,684.0,691.5,681.7,687.05,776.5,257.55,JSWSTEEL
2021-09-07,689.45,697.8,682.5,683.8,776.5,257.55,JSWSTEEL
2021-09-06,697.0,697.0,681.6,686.65,776.5,257.55,JSWSTEEL
2021-09-03,686.1,695.25,682.4,690.9,776.5,257.55,JSWSTEEL
2021-09-02,681.05,689.0,678.0,685.05,776.5,257.55,JSWSTEEL
2021-09-01,688.0,689.0,675.0,676.65,776.5,257.55,JSWSTEEL
2021-08-31,688.25,692.45,680.45,687.6,776.5,257.55,JSWSTEEL
2021-08-30,683.05,694.0,683.05,686.55,776.5,257.55,JSWSTEEL
2021-08-27,672.9,681.4,671.75,677.5,776.5,257.55,JSWSTEEL
2021-08-26,683.0,685.0,669.3,672.0,776.5,257.55,JSWSTEEL
2021-08-25,696.0,701.0,680.0,683.85,776.5,257.55,JSWSTEEL
2021-08-24,690.1,697.0,683.0,691.65,776.5,257.55,JSWSTEEL
2021-08-23,696.0,700.7,664.0,684.2,776.5,257.55,JSWSTEEL
2021-08-20,722.0,722.0,681.5,684.6,776.5,257.55,JSWSTEEL
2021-08-18,748.0,748.9,732.9,737.45,776.5,257.55,JSWSTEEL
2021-08-17,758.6,762.45,735.85,744.25,776.5,257.55,JSWSTEEL
2021-08-16,745.0,770.6,739.2,761.65,776.5,257.55,JSWSTEEL
2021-08-13,746.9,757.55,732.4,749.05,776.5,238.55,JSWSTEEL
2021-08-12,753.05,754.3,741.4,748.9,776.5,238.55,JSWSTEEL
2021-08-11,727.0,752.0,727.0,749.1,776.5,238.55,JSWSTEEL
2021-08-10,748.9,750.0,719.6,722.15,776.5,238.55,JSWSTEEL
2021-08-09,761.85,762.5,742.45,747.35,776.5,238.55,JSWSTEEL
2021-08-06,767.5,776.5,755.7,757.35,776.5,218.65,JSWSTEEL
2021-08-05,747.25,765.4,740.5,763.25,773.0,218.65,JSWSTEEL
2021-08-04,741.0,754.0,736.4,747.25,773.0,218.65,JSWSTEEL
2021-08-03,746.0,746.0,728.4,740.3,773.0,218.65,JSWSTEEL
2021-08-02,741.4,751.45,733.5,746.7,773.0,218.65,JSWSTEEL
2021-07-30,746.15,757.85,733.55,736.95,773.0,200.1,JSWSTEEL
2021-07-29,725.5,758.1,723.05,748.4,773.0,200.1,JSWSTEEL
2021-07-28,712.0,725.4,701.45,721.7,773.0,200.1,JSWSTEEL
2021-07-27,709.85,717.9,703.3,710.65,773.0,200.1,JSWSTEEL
2021-07-26,729.5,729.5,701.0,704.55,773.0,200.1,JSWSTEEL
2021-07-23,726.9,727.0,712.0,717.55,773.0,200.1,JSWSTEEL
2021-07-22,689.9,722.6,689.05,716.55,773.0,200.1,JSWSTEEL
2021-07-20,697.65,698.0,675.4,682.0,773.0,200.1,JSWSTEEL
2021-07-19,697.0,712.35,694.0,698.4,773.0,200.1,JSWSTEEL
2021-07-16,703.5,707.0,700.7,703.6,773.0,191.65,JSWSTEEL
2021-07-15,700.0,707.95,696.05,699.1,773.0,191.65,JSWSTEEL
2021-07-14,704.0,705.85,694.2,700.4,773.0,191.65,JSWSTEEL
2021-07-13,698.0,703.5,694.0,701.4,773.0,191.65,JSWSTEEL
2021-07-12,685.0,703.75,680.85,694.45,773.0,191.65,JSWSTEEL
2021-07-09,671.0,683.6,670.0,681.55,773.0,190.25,JSWSTEEL
2021-07-08,688.0,691.45,666.65,668.25,773.0,190.25,JSWSTEEL
2021-07-07,671.8,694.0,669.0,690.4,773.0,190.25,JSWSTEEL
2021-07-06,672.75,681.7,669.45,673.15,773.0,190.25,JSWSTEEL
2021-07-05,673.0,675.0,664.45,672.75,773.0,190.25,JSWSTEEL
2021-07-02,681.05,682.95,667.5,671.3,773.0,185.65,JSWSTEEL
2021-07-01,687.8,690.0,679.6,680.55,773.0,185.65,JSWSTEEL
2021-06-30,687.05,698.0,682.65,683.9,773.0,185.65,JSWSTEEL
2021-06-29,695.0,696.5,683.6,685.9,773.0,185.65,JSWSTEEL
2021-06-28,692.9,701.35,682.75,695.35,773.0,185.65,JSWSTEEL
2021-06-25,685.0,702.35,685.0,689.5,773.0,185.65,JSWSTEEL
2021-06-24,669.6,681.5,664.9,679.0,773.0,185.65,JSWSTEEL
2021-06-23,679.0,685.0,664.15,665.5,773.0,185.65,JSWSTEEL
2021-06-22,676.0,682.5,673.25,675.25,773.0,185.65,JSWSTEEL
2021-06-21,656.9,676.3,646.15,672.95,773.0,185.65,JSWSTEEL
2021-06-18,695.5,696.4,656.1,670.6,773.0,179.95,JSWSTEEL
2021-06-17,702.1,711.0,693.45,696.35,773.0,179.95,JSWSTEEL
2021-06-16,720.0,728.9,703.55,705.4,773.0,179.95,JSWSTEEL
2021-06-15,728.0,732.4,717.0,725.1,773.0,179.95,JSWSTEEL
2021-06-14,732.65,737.2,714.65,729.15,773.0,179.95,JSWSTEEL
2021-06-11,714.0,734.1,704.75,731.2,773.0,175.45,JSWSTEEL
2021-06-10,701.3,719.0,700.0,705.8,773.0,175.45,JSWSTEEL
2021-06-09,705.0,713.35,693.55,697.85,773.0,175.45,JSWSTEEL
2021-06-08,714.3,714.3,692.0,707.5,773.0,175.45,JSWSTEEL
2021-06-07,722.6,730.75,712.8,715.75,773.0,175.45,JSWSTEEL
