DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,634.9,639.9,607.4,619.05,618.85,671.6,295.5,JUBLINGREA
2021-07-26,636.6,649.8,626.0,629.5,628.65,671.6,295.5,JUBLINGREA
2021-07-23,652.0,662.0,626.1,630.8,629.55,671.6,295.5,JUBLINGREA
2021-07-22,609.4,671.6,605.0,649.55,652.8,671.6,295.5,JUBLINGREA
2021-07-20,572.0,594.95,560.25,587.0,587.8,611.6,295.5,JUBLINGREA
2021-07-19,563.0,592.0,557.6,564.8,566.3,611.6,295.5,JUBLINGREA
2021-07-16,567.0,573.3,556.35,568.0,562.6,611.6,295.5,JUBLINGREA
2021-07-15,564.0,568.7,558.5,564.0,563.05,611.6,295.5,JUBLINGREA
2021-07-14,564.65,584.0,557.0,561.5,562.25,611.6,295.5,JUBLINGREA
2021-07-13,569.0,571.95,558.0,559.1,559.75,611.6,295.5,JUBLINGREA
2021-07-12,568.4,577.9,559.8,561.4,563.65,611.6,295.5,JUBLINGREA
2021-07-09,565.95,573.6,560.0,566.0,563.85,611.6,295.5,JUBLINGREA
2021-07-08,565.8,582.6,552.0,562.3,562.05,611.6,295.5,JUBLINGREA
2021-07-07,544.95,574.5,540.5,559.8,560.4,611.6,295.5,JUBLINGREA
2021-07-06,554.95,564.4,543.4,548.0,545.6,611.6,295.5,JUBLINGREA
2021-07-05,547.4,569.9,547.4,552.25,551.5,611.6,295.5,JUBLINGREA
2021-07-02,550.0,557.5,541.15,543.0,543.25,611.6,295.5,JUBLINGREA
2021-07-01,523.45,575.0,515.0,553.0,556.4,611.6,295.5,JUBLINGREA
2021-06-30,535.0,544.75,518.0,523.0,523.45,611.6,295.5,JUBLINGREA
2021-06-29,539.95,545.0,524.9,533.0,530.7,611.6,295.5,JUBLINGREA
2021-06-28,555.1,557.5,536.55,539.9,539.9,611.6,295.5,JUBLINGREA
2021-06-25,545.0,560.0,541.0,549.55,549.65,611.6,295.5,JUBLINGREA
2021-06-24,547.0,550.6,538.0,538.9,539.7,611.6,295.5,JUBLINGREA
2021-06-23,556.0,558.65,544.0,544.65,545.15,611.6,295.5,JUBLINGREA
2021-06-22,551.8,564.45,544.0,551.1,554.1,611.6,295.5,JUBLINGREA
2021-06-21,543.0,555.95,537.05,546.0,546.75,611.6,295.5,JUBLINGREA
2021-06-18,570.0,571.9,525.35,548.95,552.05,611.6,295.5,JUBLINGREA
2021-06-17,543.3,572.0,541.0,565.0,564.35,611.6,295.5,JUBLINGREA
2021-06-16,566.7,567.4,546.45,552.4,551.2,611.6,295.5,JUBLINGREA
2021-06-15,570.35,579.2,561.0,562.0,563.7,611.6,295.5,JUBLINGREA
2021-06-14,580.0,581.0,555.0,567.0,567.5,611.6,295.5,JUBLINGREA
2021-06-11,587.0,592.0,572.0,577.15,576.25,611.6,295.5,JUBLINGREA
2021-06-10,558.5,591.9,558.5,584.9,581.1,611.6,295.5,JUBLINGREA
2021-06-09,578.4,582.0,536.3,554.0,553.75,611.6,295.5,JUBLINGREA
2021-06-08,600.0,611.6,561.65,572.0,573.6,611.6,295.5,JUBLINGREA
2021-06-07,579.8,596.9,556.25,579.95,589.45,600.0,295.5,JUBLINGREA
2021-06-04,528.8,600.0,527.95,571.0,571.85,600.0,295.5,JUBLINGREA
2021-06-03,508.0,529.9,499.95,525.0,521.85,529.9,295.5,JUBLINGREA
