DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-06-08,184.4,184.5,176.0,177.7,177.3,194.35,94.6,KARDA
2021-06-07,188.1,189.7,179.1,182.9,182.65,194.35,94.6,KARDA
2021-06-04,188.9,191.9,185.1,187.4,187.95,194.35,94.6,KARDA
2021-06-03,189.9,194.0,186.2,186.65,188.05,194.35,94.6,KARDA
2021-06-02,188.0,194.35,180.0,187.5,187.0,194.35,94.6,KARDA
2021-06-01,188.15,188.15,180.0,184.8,185.15,192.35,94.6,KARDA
2021-05-31,176.7,183.5,175.4,179.3,179.2,192.35,94.6,KARDA
2021-05-28,177.95,180.5,172.7,175.95,175.75,192.35,94.6,KARDA
2021-05-27,180.95,180.95,175.05,175.75,176.2,192.35,94.6,KARDA
2021-05-26,178.9,181.7,174.7,178.9,177.95,192.35,94.6,KARDA
2021-05-25,177.95,181.1,174.0,177.9,177.05,192.35,94.6,KARDA
2021-05-24,182.0,183.9,174.65,176.5,176.85,192.35,94.6,KARDA
2021-05-21,190.9,192.35,181.0,181.2,181.6,192.35,94.6,KARDA
2021-05-20,182.75,183.2,178.0,183.2,183.2,183.2,94.6,KARDA
2021-05-19,171.4,174.5,170.5,174.5,174.5,179.3,94.6,KARDA
2021-05-18,164.25,166.55,159.4,166.5,166.2,179.3,94.6,KARDA
2021-05-17,157.0,158.8,152.0,158.55,158.65,179.3,94.6,KARDA
2021-05-14,145.75,151.25,145.0,151.25,151.25,179.3,94.6,KARDA
2021-05-12,142.5,145.75,137.05,145.75,144.05,179.3,94.6,KARDA
2021-05-11,134.8,140.95,133.9,140.95,138.85,179.3,94.6,KARDA
2021-05-10,135.7,135.7,134.0,135.7,134.25,179.3,94.6,KARDA
2021-05-07,127.0,129.25,122.95,129.25,129.25,179.3,94.6,KARDA
2021-05-06,119.45,123.1,116.85,123.1,123.1,179.3,94.6,KARDA
2021-05-05,117.75,120.9,117.0,117.0,117.25,179.3,94.6,KARDA
2021-05-04,119.1,122.15,117.0,117.05,118.05,179.3,94.6,KARDA
2021-05-03,122.0,122.0,116.1,117.5,119.05,179.3,94.6,KARDA
2021-04-30,123.65,126.35,120.8,120.8,121.3,179.3,94.6,KARDA
2021-04-29,120.05,124.8,118.05,124.8,124.3,179.3,94.6,KARDA
2021-04-28,124.8,124.8,118.0,118.5,118.9,179.3,94.6,KARDA
2021-04-27,117.95,121.25,114.5,121.25,121.25,179.3,94.6,KARDA
2021-04-26,110.0,115.5,110.0,115.5,115.5,179.3,94.6,KARDA
2021-04-23,112.85,112.9,108.35,109.0,110.0,179.3,94.6,KARDA
2021-04-22,113.0,115.45,111.0,112.9,111.85,179.3,94.6,KARDA
2021-04-20,113.5,116.7,111.6,116.7,112.85,179.3,94.6,KARDA
2021-04-19,117.0,119.9,113.1,115.95,114.2,179.3,94.6,KARDA
2021-04-16,119.7,120.0,117.0,117.0,117.35,179.3,94.6,KARDA
