DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,143.3,146.1,140.0,140.95,169.0,65.05,KCP
2021-11-11,137.85,146.45,133.9,145.15,169.0,65.05,KCP
2021-11-10,139.0,141.0,136.8,137.85,169.0,65.05,KCP
2021-11-09,132.9,139.6,132.9,138.95,169.0,65.05,KCP
2021-11-08,131.8,133.0,129.0,132.4,169.0,65.05,KCP
2021-11-04,131.0,132.6,130.3,130.9,169.0,63.4,KCP
2021-11-03,132.0,132.65,128.55,130.0,169.0,63.4,KCP
2021-11-02,132.2,132.6,130.55,131.15,169.0,63.4,KCP
2021-11-01,133.0,133.2,130.1,131.25,169.0,63.4,KCP
2021-10-29,130.0,132.05,125.85,130.7,169.0,63.4,KCP
2021-10-28,129.3,131.0,128.2,128.8,169.0,63.4,KCP
2021-10-27,130.9,130.95,127.7,128.65,169.0,63.4,KCP
2021-10-26,132.0,133.0,127.9,129.7,169.0,63.4,KCP
2021-10-25,129.9,133.0,125.5,131.7,169.0,63.4,KCP
2021-10-22,134.6,135.1,125.4,128.1,169.0,62.45,KCP
2021-10-21,132.4,135.15,131.4,133.95,169.0,62.45,KCP
2021-10-20,137.2,147.0,127.9,132.3,169.0,62.45,KCP
2021-10-19,139.95,140.5,135.0,136.65,169.0,62.45,KCP
2021-10-18,143.0,144.9,138.5,139.0,169.0,62.45,KCP
2021-10-14,140.0,147.25,139.05,142.55,169.0,60.4,KCP
2021-10-13,141.95,143.0,138.45,139.1,169.0,60.4,KCP
2021-10-12,142.6,143.15,138.1,141.15,169.0,60.4,KCP
2021-10-11,141.0,145.1,137.1,141.85,169.0,60.4,KCP
2021-10-08,142.9,143.45,138.3,139.05,169.0,58.1,KCP
2021-10-07,136.0,145.9,135.55,142.0,169.0,58.1,KCP
2021-10-06,139.0,141.7,135.1,135.85,169.0,58.1,KCP
2021-10-05,139.5,141.35,137.5,139.0,169.0,58.1,KCP
2021-10-04,137.2,140.0,137.2,139.15,169.0,58.1,KCP
2021-10-01,135.1,137.0,133.05,136.4,169.0,58.1,KCP
2021-09-30,135.8,137.2,135.0,135.6,169.0,58.1,KCP
2021-09-29,134.9,136.85,134.0,135.2,169.0,58.1,KCP
2021-09-28,138.5,140.15,134.2,135.6,169.0,58.1,KCP
2021-09-27,140.7,141.0,137.0,137.9,169.0,58.1,KCP
2021-09-24,142.0,144.0,138.9,139.55,169.0,56.25,KCP
2021-09-23,140.0,142.05,137.1,138.9,169.0,56.25,KCP
2021-09-22,138.2,141.0,138.2,139.6,169.0,56.25,KCP
2021-09-21,140.1,141.75,137.7,138.9,169.0,56.25,KCP
2021-09-20,147.2,147.2,141.5,142.05,169.0,56.25,KCP
2021-09-17,150.0,150.5,140.0,147.25,169.0,56.25,KCP
2021-09-16,150.45,152.3,148.2,149.35,169.0,56.25,KCP
2021-09-15,142.0,149.95,140.0,149.25,169.0,56.25,KCP
2021-09-14,137.6,140.85,137.6,140.35,169.0,56.25,KCP
2021-09-13,139.2,139.85,136.65,137.6,169.0,56.25,KCP
2021-09-09,136.7,137.0,134.25,136.35,169.0,56.25,KCP
2021-09-08,138.0,139.35,135.25,136.3,169.0,56.25,KCP
2021-09-07,139.0,140.55,137.5,138.0,169.0,56.25,KCP
2021-09-06,144.4,144.5,138.2,138.8,169.0,56.25,KCP
2021-09-03,142.35,142.95,140.15,141.65,169.0,56.25,KCP
2021-09-02,138.95,141.95,137.05,141.1,169.0,56.25,KCP
2021-09-01,138.0,140.3,137.1,138.0,169.0,56.25,KCP
2021-08-31,140.65,141.0,136.5,137.45,169.0,56.25,KCP
2021-08-30,139.45,143.2,138.0,139.4,169.0,56.25,KCP
2021-08-27,140.0,142.0,136.4,138.5,169.0,56.25,KCP
2021-08-26,138.0,143.1,137.45,140.2,169.0,56.25,KCP
2021-08-25,145.0,145.9,137.4,139.45,169.0,56.25,KCP
2021-08-24,137.9,142.0,135.0,141.5,169.0,56.25,KCP
2021-08-23,145.0,147.0,132.6,137.25,169.0,56.25,KCP
2021-08-20,144.75,146.3,142.25,144.55,169.0,56.25,KCP
2021-08-18,147.7,149.25,145.0,146.45,169.0,56.25,KCP
2021-08-17,154.9,157.55,145.8,146.6,169.0,56.25,KCP
2021-08-16,158.0,158.55,151.65,153.9,169.0,56.25,KCP
2021-08-13,159.0,166.0,153.6,157.2,169.0,56.25,KCP
2021-08-12,150.0,159.75,148.4,158.5,169.0,56.25,KCP
2021-08-11,145.5,150.0,134.0,149.0,169.0,56.25,KCP
2021-08-10,152.6,153.45,139.2,145.2,169.0,56.25,KCP
2021-08-09,160.0,160.95,151.0,152.05,169.0,56.25,KCP
2021-08-06,156.25,159.5,155.95,158.05,169.0,55.3,KCP
2021-08-05,159.8,159.8,151.55,156.15,169.0,55.3,KCP
2021-08-04,166.0,168.0,157.15,158.85,169.0,55.3,KCP
2021-08-03,164.9,169.0,164.0,165.95,169.0,55.3,KCP
2021-08-02,162.6,164.5,161.85,163.75,167.3,55.3,KCP
2021-07-30,159.35,163.0,157.4,161.15,167.3,55.25,KCP
2021-07-29,160.45,164.5,156.55,159.5,167.3,55.25,KCP
2021-07-28,160.85,161.8,155.3,159.15,167.3,55.25,KCP
2021-07-27,160.25,165.8,158.5,159.55,167.3,55.25,KCP
2021-07-26,162.75,162.75,158.0,158.95,167.3,55.25,KCP
2021-07-23,162.75,164.0,157.05,158.5,167.3,53.25,KCP
2021-07-22,160.4,164.0,160.0,161.85,167.3,53.25,KCP
2021-07-20,155.45,160.35,152.3,158.25,167.3,53.25,KCP
2021-07-19,152.5,157.9,151.95,154.4,167.3,53.25,KCP
2021-07-16,156.3,160.3,151.85,154.7,167.3,51.4,KCP
2021-07-15,151.9,167.3,150.0,156.6,167.3,51.4,KCP
2021-07-14,150.7,153.75,150.0,151.1,161.8,51.4,KCP
2021-07-13,155.6,156.1,150.5,151.6,161.8,51.4,KCP
2021-07-12,150.5,156.0,150.05,154.7,161.8,51.4,KCP
2021-07-09,148.65,150.95,145.8,150.05,161.8,47.3,KCP
