DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,73.3,74.95,71.4,73.6,74.4,KEYFINSERV
2021-07-15,71.6,73.05,70.05,70.05,71.4,KEYFINSERV
2021-07-14,72.55,73.3,70.6,70.7,71.1,KEYFINSERV
2021-07-13,74.0,74.35,71.35,72.0,72.45,KEYFINSERV
2021-07-12,71.25,75.25,71.25,71.95,71.95,KEYFINSERV
2021-07-09,74.3,74.3,71.3,71.6,71.7,KEYFINSERV
2021-07-08,74.8,74.8,72.1,72.1,72.15,KEYFINSERV
2021-07-07,73.65,73.8,71.35,73.8,72.8,KEYFINSERV
2021-07-06,70.65,72.95,69.05,71.25,71.75,KEYFINSERV
2021-07-05,72.3,73.5,70.4,70.65,70.7,KEYFINSERV
2021-07-02,73.3,75.15,72.0,72.0,72.3,KEYFINSERV
2021-07-01,71.55,73.5,69.8,73.05,72.65,KEYFINSERV
2021-06-30,72.55,73.0,68.1,70.0,70.0,KEYFINSERV
2021-06-29,72.75,75.9,70.5,72.35,71.35,KEYFINSERV
2021-06-28,72.75,75.05,70.25,75.0,74.2,KEYFINSERV
2021-06-25,74.25,75.15,72.25,73.0,72.85,KEYFINSERV
2021-06-24,77.25,77.25,71.1,71.1,71.65,KEYFINSERV
2021-06-23,75.0,75.95,73.45,74.5,74.8,KEYFINSERV
2021-06-22,78.0,78.5,73.1,74.0,73.65,KEYFINSERV
2021-06-21,75.95,80.65,73.95,75.85,75.8,KEYFINSERV
2021-06-18,84.3,84.3,76.3,81.0,77.65,KEYFINSERV
2021-06-17,76.5,80.3,76.5,80.3,80.3,KEYFINSERV
2021-06-16,76.5,76.5,75.9,76.5,76.5,KEYFINSERV
2021-06-15,70.0,73.5,69.8,73.5,72.9,KEYFINSERV
2021-06-14,73.5,74.0,69.05,72.5,70.0,KEYFINSERV
2021-06-11,67.5,73.5,67.5,71.7,71.9,KEYFINSERV
2021-06-10,66.45,72.5,66.4,71.0,70.25,KEYFINSERV
2021-06-09,67.0,69.65,66.25,69.5,69.05,KEYFINSERV
2021-06-08,69.95,72.0,67.85,72.0,69.7,KEYFINSERV
2021-06-07,68.8,70.45,67.7,69.6,69.5,KEYFINSERV
2021-06-04,68.5,71.5,66.1,68.7,68.05,KEYFINSERV
2021-06-03,66.15,69.3,64.2,69.3,68.2,KEYFINSERV
2021-06-02,67.0,67.0,65.5,66.85,66.25,KEYFINSERV
2021-06-01,67.45,67.5,65.25,67.0,66.75,KEYFINSERV
2021-05-31,67.5,67.5,65.8,66.5,66.6,KEYFINSERV
2021-05-28,64.6,67.95,64.6,67.7,65.8,KEYFINSERV
2021-05-27,66.3,69.9,64.6,65.25,67.35,KEYFINSERV
2021-05-26,72.2,72.25,65.45,66.65,67.4,KEYFINSERV
2021-05-25,75.0,75.95,68.75,68.75,68.85,KEYFINSERV
2021-05-24,71.75,72.35,69.35,72.35,72.35,KEYFINSERV
2021-05-21,61.55,65.8,61.5,65.7,65.8,KEYFINSERV
2021-05-20,58.7,62.9,55.55,61.0,59.85,KEYFINSERV
2021-05-19,55.05,57.95,55.05,57.8,57.2,KEYFINSERV
2021-05-18,58.1,58.65,54.9,58.35,58.2,KEYFINSERV
2021-05-17,56.05,58.45,55.7,57.2,56.55,KEYFINSERV
2021-05-14,59.0,59.0,56.1,57.3,56.95,KEYFINSERV
2021-05-12,60.0,60.0,56.6,57.75,57.35,KEYFINSERV
2021-05-11,57.8,59.0,56.0,58.0,58.3,KEYFINSERV
2021-05-10,57.45,57.75,56.0,57.0,57.0,KEYFINSERV
2021-05-07,55.95,58.65,55.05,55.6,56.35,KEYFINSERV
2021-05-06,60.35,60.35,56.1,56.15,56.4,KEYFINSERV
2021-05-05,59.6,59.9,53.95,54.8,54.9,KEYFINSERV
