DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,69.0,69.2,65.85,66.5,81.0,18.0,KHAICHEM
2021-11-11,68.5,68.5,66.25,68.35,81.0,18.0,KHAICHEM
2021-11-10,68.0,68.5,66.5,66.75,81.0,18.0,KHAICHEM
2021-11-09,66.5,68.0,66.5,67.1,81.0,18.0,KHAICHEM
2021-11-08,69.0,69.0,66.0,67.1,81.0,18.0,KHAICHEM
2021-11-04,67.5,68.0,67.0,67.5,81.0,18.0,KHAICHEM
2021-11-03,69.7,69.9,65.9,66.75,81.0,18.0,KHAICHEM
2021-11-02,65.4,70.7,65.4,69.25,81.0,18.0,KHAICHEM
2021-11-01,63.5,67.0,63.5,65.3,81.0,18.0,KHAICHEM
2021-10-29,63.0,63.85,61.4,63.3,81.0,18.0,KHAICHEM
2021-10-28,65.95,65.95,62.55,63.0,81.0,18.0,KHAICHEM
2021-10-27,61.8,67.5,59.65,64.5,81.0,18.0,KHAICHEM
2021-10-26,62.9,62.9,60.65,61.6,81.0,18.0,KHAICHEM
2021-10-25,60.05,63.9,58.95,61.1,81.0,18.0,KHAICHEM
2021-10-22,64.6,64.6,59.5,60.5,81.0,18.0,KHAICHEM
2021-10-21,64.5,64.5,62.05,62.7,81.0,18.0,KHAICHEM
2021-10-20,67.3,67.3,61.2,62.65,81.0,18.0,KHAICHEM
2021-10-19,66.35,68.65,63.0,64.65,81.0,18.0,KHAICHEM
2021-10-18,68.0,68.95,66.7,66.95,81.0,18.0,KHAICHEM
2021-10-14,70.0,70.0,67.15,67.75,81.0,18.0,KHAICHEM
2021-10-13,70.05,70.05,68.1,68.45,81.0,18.0,KHAICHEM
2021-10-12,65.0,71.0,65.0,69.55,81.0,18.0,KHAICHEM
2021-10-11,69.0,69.05,64.5,65.1,81.0,18.0,KHAICHEM
2021-10-08,71.05,71.05,67.3,68.25,81.0,18.0,KHAICHEM
2021-10-07,73.5,75.8,68.1,70.1,81.0,18.0,KHAICHEM
2021-10-06,68.4,68.4,66.0,68.2,81.0,18.0,KHAICHEM
2021-10-05,62.8,65.15,62.8,65.15,81.0,18.0,KHAICHEM
2021-10-04,60.0,62.05,60.0,62.05,81.0,18.0,KHAICHEM
2021-10-01,59.0,60.0,57.95,59.1,81.0,18.0,KHAICHEM
2021-09-30,59.8,59.8,57.5,58.7,81.0,18.0,KHAICHEM
2021-09-29,58.85,59.8,57.0,58.8,81.0,18.0,KHAICHEM
2021-09-28,57.55,58.75,57.0,57.55,81.0,18.0,KHAICHEM
2021-09-27,60.5,60.5,57.5,58.45,81.0,18.0,KHAICHEM
2021-09-24,58.55,59.95,56.25,59.45,81.0,18.0,KHAICHEM
2021-09-23,60.5,61.0,56.45,57.5,81.0,18.0,KHAICHEM
2021-09-22,56.3,59.55,56.3,58.65,81.0,18.0,KHAICHEM
2021-09-21,58.2,59.4,54.1,57.3,81.0,18.0,KHAICHEM
2021-09-20,56.7,58.75,55.95,56.6,81.0,18.0,KHAICHEM
2021-09-17,61.8,61.8,57.2,58.55,81.0,18.0,KHAICHEM
2021-09-16,62.4,62.4,59.6,59.95,81.0,18.0,KHAICHEM
2021-09-15,62.15,63.4,61.2,61.65,81.0,18.0,KHAICHEM
2021-09-14,61.0,62.6,58.6,61.1,81.0,18.0,KHAICHEM
2021-09-13,64.95,64.95,59.8,60.8,81.0,18.0,KHAICHEM
2021-09-09,63.7,64.0,61.2,61.95,81.0,18.0,KHAICHEM
2021-09-08,63.8,63.9,61.1,62.5,81.0,18.0,KHAICHEM
2021-09-07,62.5,64.2,62.3,62.9,81.0,18.0,KHAICHEM
2021-09-06,63.4,65.8,62.25,63.25,81.0,18.0,KHAICHEM
