DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,267.0,273.75,265.5,268.2,319.0,108.4,KIOCL
2021-11-11,265.5,274.85,261.35,269.3,319.0,108.4,KIOCL
2021-11-10,268.5,271.0,262.0,264.15,319.0,108.4,KIOCL
2021-11-09,266.0,271.15,265.05,268.35,319.0,108.4,KIOCL
2021-11-08,269.0,269.0,261.85,266.0,319.0,108.4,KIOCL
2021-11-04,265.7,268.0,259.6,266.25,319.0,107.95,KIOCL
2021-11-03,269.0,270.95,255.5,259.45,319.0,107.95,KIOCL
2021-11-02,269.0,270.65,264.6,268.45,319.0,107.95,KIOCL
2021-11-01,266.0,275.0,260.0,267.25,319.0,107.95,KIOCL
2021-10-29,267.0,269.05,259.0,261.95,319.0,106.6,KIOCL
2021-10-28,277.0,278.8,260.0,261.85,319.0,106.6,KIOCL
2021-10-27,286.0,286.0,272.25,274.65,319.0,106.6,KIOCL
2021-10-26,262.0,271.1,261.15,269.8,319.0,106.6,KIOCL
2021-10-25,265.0,268.05,255.6,261.25,319.0,106.6,KIOCL
2021-10-22,282.0,287.0,255.65,262.95,319.0,106.6,KIOCL
2021-10-21,271.5,283.8,269.0,279.9,319.0,106.6,KIOCL
2021-10-20,278.0,284.85,262.2,268.7,319.0,106.6,KIOCL
2021-10-19,297.95,297.95,280.05,283.75,319.0,106.6,KIOCL
2021-10-18,286.55,305.0,285.55,295.15,319.0,106.6,KIOCL
2021-10-14,296.7,298.45,284.1,285.4,319.0,106.6,KIOCL
2021-10-13,309.0,309.0,293.0,294.15,319.0,106.6,KIOCL
2021-10-12,303.0,315.0,301.95,306.05,319.0,106.6,KIOCL
2021-10-11,274.9,319.0,273.05,299.15,319.0,106.6,KIOCL
2021-10-08,264.9,279.9,264.9,271.5,315.0,106.6,KIOCL
2021-10-07,259.0,274.0,257.0,263.65,315.0,106.6,KIOCL
2021-10-06,263.0,263.0,250.25,252.65,315.0,106.6,KIOCL
2021-10-05,258.0,262.0,257.15,259.55,315.0,106.6,KIOCL
2021-10-04,254.75,261.5,251.05,256.7,315.0,106.6,KIOCL
2021-10-01,244.0,253.9,240.8,251.3,315.0,106.6,KIOCL
2021-09-30,243.0,253.0,242.8,243.8,315.0,106.6,KIOCL
2021-09-29,241.3,253.95,239.75,242.95,315.0,106.6,KIOCL
2021-09-28,239.75,251.0,237.9,246.65,315.0,106.6,KIOCL
2021-09-27,235.55,245.75,235.55,237.15,315.0,106.6,KIOCL
2021-09-24,250.55,254.3,235.35,242.65,315.0,106.6,KIOCL
2021-09-23,252.0,256.9,250.1,251.85,315.0,106.6,KIOCL
2021-09-22,250.0,253.3,247.25,251.2,315.0,106.6,KIOCL
2021-09-21,247.0,254.4,242.85,249.35,315.0,106.6,KIOCL
2021-09-20,250.2,264.0,241.0,246.15,315.0,106.6,KIOCL
2021-09-17,265.9,266.35,253.5,255.55,315.0,106.6,KIOCL
2021-09-16,263.05,266.8,262.1,263.1,315.0,106.6,KIOCL
2021-09-15,262.55,267.75,261.05,263.05,315.0,106.6,KIOCL
2021-09-14,263.2,267.0,263.15,263.95,315.0,106.6,KIOCL
2021-09-13,267.2,267.95,261.6,263.1,315.0,106.6,KIOCL
2021-09-09,263.0,268.0,256.35,263.3,315.0,106.6,KIOCL
2021-09-08,276.4,282.0,264.0,266.6,315.0,106.6,KIOCL
2021-09-07,260.9,275.9,258.0,271.8,315.0,106.6,KIOCL
2021-09-06,257.0,259.9,254.0,258.3,315.0,106.6,KIOCL
2021-09-03,257.0,257.0,252.65,254.0,315.0,106.6,KIOCL
2021-09-02,246.2,254.2,246.05,252.45,315.0,106.6,KIOCL
2021-09-01,251.0,251.85,246.1,248.1,315.0,106.6,KIOCL
2021-08-31,251.5,255.75,248.0,250.0,315.0,106.6,KIOCL
2021-08-30,256.0,258.9,250.0,251.7,315.0,106.6,KIOCL
2021-08-27,255.9,255.9,242.0,252.7,315.0,106.6,KIOCL
2021-08-26,255.35,255.35,248.5,250.35,315.0,106.6,KIOCL
2021-08-25,254.9,257.7,248.6,251.3,315.0,106.6,KIOCL
2021-08-24,248.9,259.85,246.55,251.15,315.0,106.6,KIOCL
2021-08-23,273.9,273.9,238.9,245.65,315.0,106.6,KIOCL
2021-08-20,270.0,277.1,261.45,263.3,315.0,106.6,KIOCL
2021-08-18,275.0,277.0,261.15,265.4,315.0,106.6,KIOCL
2021-08-17,270.0,279.45,268.7,271.25,315.0,106.6,KIOCL
2021-08-16,277.0,278.5,270.7,272.45,315.0,106.6,KIOCL
2021-08-13,277.0,280.05,269.05,270.45,315.0,106.6,KIOCL
2021-08-12,271.0,283.0,271.0,276.9,315.0,106.6,KIOCL
2021-08-11,278.0,284.65,254.25,268.75,315.0,106.6,KIOCL
2021-08-10,301.0,303.5,279.0,281.35,315.0,106.6,KIOCL
2021-08-09,305.0,315.0,296.5,298.95,315.0,106.6,KIOCL
2021-08-06,301.85,309.65,295.0,297.3,311.65,106.6,KIOCL
2021-08-05,295.0,302.65,282.65,290.8,311.65,106.6,KIOCL
2021-08-04,293.5,300.95,288.65,291.65,311.65,106.6,KIOCL
2021-08-03,299.4,301.6,288.55,293.8,311.65,106.6,KIOCL
2021-08-02,302.0,311.65,295.1,299.4,311.65,106.6,KIOCL
2021-07-30,297.0,301.9,290.65,297.5,306.5,103.1,KIOCL
2021-07-29,276.0,287.55,272.1,287.55,306.5,103.1,KIOCL
2021-07-28,274.8,277.0,265.75,273.9,306.5,103.1,KIOCL
2021-07-27,278.95,285.0,270.6,271.8,306.5,103.1,KIOCL
2021-07-26,261.25,274.3,260.0,274.3,306.5,103.1,KIOCL
2021-07-23,260.0,264.05,258.8,261.25,306.5,97.75,KIOCL
2021-07-22,260.0,264.0,258.0,259.4,306.5,97.75,KIOCL
2021-07-20,263.75,265.8,258.0,260.85,306.5,97.75,KIOCL
2021-07-19,264.45,268.0,262.6,263.75,306.5,97.75,KIOCL
2021-07-16,273.0,273.0,263.5,264.65,306.5,97.75,KIOCL
2021-07-15,274.0,274.0,266.0,266.85,306.5,97.75,KIOCL
2021-07-14,272.5,275.6,269.25,269.9,306.5,97.75,KIOCL
2021-07-13,275.9,278.7,270.2,271.4,306.5,97.75,KIOCL
2021-07-12,267.0,274.8,262.4,272.7,306.5,97.75,KIOCL
2021-07-09,266.7,268.15,262.3,264.1,306.5,97.75,KIOCL
2021-07-08,274.3,274.3,264.0,264.85,306.5,97.75,KIOCL
2021-07-07,269.85,279.4,261.35,273.5,306.5,97.75,KIOCL
2021-07-06,275.0,277.55,264.35,267.25,306.5,97.75,KIOCL
2021-07-05,278.2,281.35,272.1,273.6,306.5,97.75,KIOCL
2021-07-02,281.2,283.0,272.05,274.15,306.5,97.75,KIOCL
2021-07-01,283.9,283.9,275.25,279.85,306.5,97.75,KIOCL
2021-06-30,276.5,282.25,271.85,279.5,306.5,97.75,KIOCL
2021-06-29,281.25,284.8,268.2,271.3,306.5,97.75,KIOCL
2021-06-28,290.05,290.05,278.2,281.25,306.5,97.75,KIOCL
2021-06-25,267.0,276.25,265.1,276.25,306.5,97.75,KIOCL
2021-06-24,274.0,275.95,261.5,263.1,306.5,97.75,KIOCL
2021-06-23,279.2,282.0,268.15,271.1,306.5,97.75,KIOCL
2021-06-22,284.0,286.5,273.65,275.7,306.5,97.75,KIOCL
2021-06-21,272.1,285.0,272.1,280.95,306.5,97.75,KIOCL
2021-06-18,291.0,291.05,271.1,277.6,306.5,95.45,KIOCL
2021-06-17,271.55,297.3,271.55,285.35,306.5,95.45,KIOCL
2021-06-16,291.1,293.95,282.0,283.15,306.5,95.45,KIOCL
2021-06-15,298.25,299.9,286.35,290.9,306.5,95.45,KIOCL
2021-06-14,296.0,304.1,280.5,295.9,306.5,95.45,KIOCL
2021-06-11,296.15,302.0,287.5,294.9,306.5,94.95,KIOCL
2021-06-10,283.75,297.4,283.75,293.8,306.5,94.95,KIOCL
2021-06-09,263.0,290.35,263.0,284.1,306.5,94.95,KIOCL
2021-06-08,289.9,291.65,275.0,276.55,306.5,94.95,KIOCL
2021-06-07,306.5,306.5,286.15,289.2,306.5,94.95,KIOCL
2021-06-04,294.4,294.4,286.1,294.4,294.4,69.05,KIOCL
2021-06-03,278.5,280.4,270.0,280.4,280.4,69.05,KIOCL
2021-06-02,254.0,267.05,247.0,267.05,271.75,69.05,KIOCL
2021-06-01,269.75,271.75,245.95,254.35,271.75,69.05,KIOCL
2021-05-31,251.95,258.85,250.6,258.85,258.85,69.05,KIOCL
2021-05-28,246.4,246.55,238.65,246.55,246.55,68.0,KIOCL
2021-05-27,222.3,234.85,217.5,234.85,236.75,68.0,KIOCL
2021-05-26,236.75,236.75,220.3,223.7,236.75,68.0,KIOCL
2021-05-25,216.0,225.5,215.6,225.5,227.8,68.0,KIOCL
2021-05-24,211.0,218.0,207.1,214.8,227.8,68.0,KIOCL
2021-05-21,203.8,208.65,200.1,208.65,227.8,67.4,KIOCL
2021-05-20,214.5,214.5,197.4,198.75,227.8,67.4,KIOCL
2021-05-19,197.7,204.35,190.9,204.35,227.8,67.4,KIOCL
2021-05-18,204.8,207.55,193.0,194.65,227.8,67.4,KIOCL
2021-05-17,205.0,208.8,198.2,200.0,227.8,67.4,KIOCL
2021-05-14,223.0,227.8,208.6,208.6,227.8,67.4,KIOCL
2021-05-12,210.5,221.4,207.05,219.55,221.4,67.4,KIOCL
2021-05-11,182.05,202.75,177.75,201.3,202.75,67.4,KIOCL
2021-05-10,172.4,184.35,170.95,184.35,190.65,67.4,KIOCL
2021-05-07,169.5,171.8,166.0,167.6,190.65,67.4,KIOCL
2021-05-06,166.7,170.1,163.35,165.3,190.65,67.4,KIOCL
2021-05-05,168.75,169.7,163.25,166.15,190.65,67.4,KIOCL
2021-05-04,174.95,178.7,165.0,165.7,190.65,67.4,KIOCL
2021-05-03,165.0,175.0,162.65,173.4,190.65,67.4,KIOCL
2021-04-30,157.0,170.0,155.25,163.85,190.65,67.4,KIOCL
2021-04-29,158.45,158.45,151.25,156.2,190.65,67.4,KIOCL
2021-04-28,155.7,157.8,154.0,154.8,190.65,67.4,KIOCL
2021-04-27,147.0,154.6,146.95,153.35,190.65,67.4,KIOCL
2021-04-26,146.0,149.7,144.1,146.2,190.65,67.4,KIOCL
2021-04-23,149.0,149.0,144.5,145.25,190.65,67.4,KIOCL
2021-04-22,143.9,147.5,140.25,145.3,190.65,67.4,KIOCL
2021-04-20,144.3,149.0,143.0,143.9,190.65,67.4,KIOCL
2021-04-19,145.25,147.85,142.5,143.55,190.65,67.4,KIOCL
2021-04-16,155.95,156.35,148.05,149.3,190.65,63.9,KIOCL
2021-04-15,151.0,154.95,147.05,151.3,190.65,63.9,KIOCL
2021-04-13,150.9,152.9,147.4,151.85,190.65,63.9,KIOCL
2021-04-12,156.0,156.05,145.1,147.25,190.65,63.9,KIOCL
2021-04-09,167.95,168.9,157.0,158.35,190.65,58.05,KIOCL
2021-04-08,153.9,168.35,153.9,165.4,190.65,58.05,KIOCL
2021-04-07,156.1,158.8,152.25,153.05,190.65,58.05,KIOCL
2021-04-06,155.4,160.9,152.5,155.25,190.65,58.05,KIOCL
2021-04-05,153.0,157.0,145.3,154.6,190.65,58.05,KIOCL
2021-04-01,146.3,150.55,143.65,150.55,190.65,50.8,KIOCL
2021-03-31,137.4,143.4,134.55,143.4,190.65,50.8,KIOCL
2021-03-30,139.3,143.5,134.25,136.6,190.65,50.8,KIOCL
2021-03-26,138.65,143.2,138.0,139.25,190.65,44.7,KIOCL
2021-03-25,142.0,145.0,136.05,137.5,190.65,44.7,KIOCL
2021-03-24,146.95,149.8,141.1,142.5,190.65,44.7,KIOCL
2021-03-23,142.7,148.25,141.15,147.85,190.65,44.7,KIOCL
2021-03-22,143.7,144.4,139.75,141.2,190.65,44.7,KIOCL
2021-03-19,141.15,147.75,137.25,141.15,190.65,44.7,KIOCL
2021-03-18,155.0,155.0,143.95,144.35,190.65,44.7,KIOCL
2021-03-17,160.05,161.0,151.35,151.5,190.65,44.7,KIOCL
2021-03-16,157.3,161.85,151.5,159.3,190.65,44.7,KIOCL
2021-03-15,163.7,163.7,153.0,154.2,190.65,44.7,KIOCL
2021-03-12,164.0,164.05,158.0,158.95,190.65,44.7,KIOCL
2021-03-10,165.6,168.0,159.45,160.85,190.65,44.7,KIOCL
2021-03-09,164.0,170.85,163.0,164.7,190.65,44.7,KIOCL
2021-03-08,169.9,171.8,160.55,162.75,190.65,44.7,KIOCL
2021-03-05,169.0,176.65,161.35,166.8,190.65,44.7,KIOCL
2021-03-04,172.05,174.0,167.5,168.25,190.65,44.7,KIOCL
2021-03-03,187.9,190.65,174.4,175.55,190.65,44.7,KIOCL
2021-03-02,173.0,183.55,171.1,183.55,183.55,44.7,KIOCL
2021-03-01,155.05,166.9,155.0,166.9,169.5,44.7,KIOCL
2021-02-26,144.0,157.75,139.65,151.75,169.5,44.7,KIOCL
2021-02-25,140.9,148.0,139.1,145.0,169.5,44.7,KIOCL
2021-02-24,139.9,142.0,137.3,139.25,169.5,44.7,KIOCL
2021-02-23,138.0,140.8,136.6,137.75,169.5,44.7,KIOCL
2021-02-22,141.0,143.0,136.2,136.7,169.5,44.7,KIOCL
2021-02-19,140.65,143.4,138.7,139.8,169.5,44.7,KIOCL
2021-02-18,140.0,144.8,137.5,141.55,169.5,44.7,KIOCL
2021-02-17,143.95,143.95,136.5,138.9,169.5,44.7,KIOCL
2021-02-16,137.3,149.0,137.3,144.0,169.5,44.7,KIOCL
2021-02-15,140.45,142.45,134.1,136.0,169.5,44.7,KIOCL
2021-02-12,145.05,145.05,138.45,140.45,169.5,44.7,KIOCL
2021-02-11,145.0,146.9,142.4,143.65,169.5,44.7,KIOCL
2021-02-10,147.0,148.0,142.2,143.55,169.5,44.7,KIOCL
2021-02-09,134.4,146.65,134.0,140.85,169.5,44.7,KIOCL
2021-02-08,135.5,135.5,132.5,134.2,169.5,44.7,KIOCL
2021-02-05,135.4,135.4,130.0,131.2,169.5,44.7,KIOCL
2021-02-04,138.8,138.8,130.0,131.1,169.5,44.7,KIOCL
2021-02-03,128.5,132.2,126.05,132.2,169.5,44.7,KIOCL
2021-02-02,129.0,129.3,124.0,125.95,169.5,44.7,KIOCL
2021-02-01,127.75,128.2,125.15,127.0,169.5,44.7,KIOCL
2021-01-29,130.9,130.9,125.45,127.45,169.5,44.7,KIOCL
2021-01-28,123.7,126.5,123.0,124.9,169.5,44.7,KIOCL
2021-01-27,131.0,131.0,123.0,126.65,169.5,44.7,KIOCL
2021-01-25,133.5,133.5,126.1,127.4,169.5,44.7,KIOCL
2021-01-22,134.05,134.05,130.0,130.85,169.5,44.7,KIOCL
2021-01-21,136.0,138.7,130.7,132.5,169.5,44.7,KIOCL
2021-01-20,137.8,138.3,133.75,135.5,169.5,44.7,KIOCL
2021-01-19,134.6,138.6,134.55,136.75,169.5,44.7,KIOCL
2021-01-18,135.9,137.1,133.35,134.0,169.5,44.7,KIOCL
2021-01-15,137.25,138.35,135.05,135.7,169.5,44.7,KIOCL
2021-01-14,139.15,139.15,135.55,137.2,169.5,44.7,KIOCL
2021-01-13,138.0,140.85,135.95,138.3,169.5,44.7,KIOCL
2021-01-12,138.4,138.4,133.6,136.4,169.5,44.7,KIOCL
2021-01-11,143.5,143.5,133.0,138.4,169.5,44.7,KIOCL
2021-01-08,148.55,148.55,137.7,139.7,169.5,44.7,KIOCL
2021-01-07,134.9,141.5,134.9,141.5,169.5,44.7,KIOCL
2021-01-06,139.9,139.9,134.15,134.8,169.5,44.7,KIOCL
2021-01-05,140.8,140.8,135.65,137.05,169.5,44.7,KIOCL
2021-01-04,142.9,142.9,136.6,137.95,169.5,44.7,KIOCL
2021-01-01,137.0,144.85,137.0,139.15,169.5,44.7,KIOCL
2020-12-31,137.0,139.8,137.0,138.5,169.5,44.7,KIOCL
2020-12-30,140.7,141.0,137.05,138.1,169.5,44.7,KIOCL
2020-12-29,144.0,144.6,138.6,140.7,169.5,44.7,KIOCL
2020-12-28,147.0,148.0,138.3,140.0,169.5,44.7,KIOCL
2020-12-24,150.55,150.55,141.6,144.35,169.5,44.7,KIOCL
2020-12-23,138.8,143.4,136.05,143.4,169.5,44.7,KIOCL
2020-12-22,130.3,138.5,129.1,136.6,169.5,44.7,KIOCL
2020-12-21,143.0,145.95,135.85,135.85,169.5,44.7,KIOCL
2020-12-18,155.0,155.45,142.0,142.95,169.5,44.7,KIOCL
2020-12-17,158.0,158.0,148.45,149.35,169.5,44.7,KIOCL
2020-12-16,164.8,164.8,149.25,155.6,169.5,44.7,KIOCL
2020-12-15,157.1,157.1,150.0,157.1,169.5,44.7,KIOCL
2020-12-14,142.85,142.85,142.85,142.85,169.5,44.7,KIOCL
2020-12-11,129.9,129.9,129.9,129.9,169.5,44.7,KIOCL
2020-12-10,115.7,120.0,113.5,118.1,169.5,44.7,KIOCL
2020-12-09,124.9,124.9,115.0,115.7,169.5,44.7,KIOCL
2020-12-08,133.7,133.7,120.8,123.15,169.5,44.7,KIOCL
2020-12-07,128.5,136.25,124.5,131.5,169.5,44.7,KIOCL
2020-12-04,123.9,123.9,121.15,123.9,169.5,44.7,KIOCL
2020-12-03,114.75,118.0,114.5,118.0,169.5,44.7,KIOCL
2020-12-02,114.35,115.0,112.05,112.4,169.5,44.7,KIOCL
2020-12-01,115.65,117.0,112.0,112.65,169.5,44.7,KIOCL
2020-11-27,116.0,117.0,113.2,115.7,169.5,44.7,KIOCL
2020-11-26,115.3,116.55,111.1,115.8,169.5,44.7,KIOCL
2020-11-25,116.9,120.0,111.7,113.65,169.5,44.7,KIOCL
2020-11-24,117.05,121.7,116.0,116.9,169.5,44.7,KIOCL
2020-11-23,119.95,119.95,115.2,117.05,169.5,44.7,KIOCL
2020-11-20,119.95,121.0,116.65,117.15,169.5,44.7,KIOCL
2020-11-19,121.4,122.6,117.9,118.9,169.5,44.7,KIOCL
2020-11-18,119.65,121.85,117.0,120.0,169.5,44.7,KIOCL
2020-11-17,113.8,117.5,111.55,117.45,169.5,44.7,KIOCL
2020-11-14,112.05,112.95,110.0,111.95,169.5,44.7,KIOCL
2020-11-13,112.8,113.9,110.15,110.95,169.5,44.7,KIOCL
