DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-06,99.52,100.49,97.4,98.31,102.45,57.7,KOTAKNV20
2021-10-05,98.1,99.88,98.0,99.52,102.45,57.7,KOTAKNV20
2021-10-04,98.5,100.8,97.05,98.85,102.45,57.7,KOTAKNV20
2021-10-01,99.0,99.3,97.0,98.5,102.45,57.7,KOTAKNV20
2021-09-30,98.75,99.88,98.0,98.38,102.45,57.7,KOTAKNV20
2021-09-29,95.45,99.7,95.45,98.75,102.45,57.7,KOTAKNV20
2021-09-28,99.25,99.98,97.8,98.37,102.45,57.7,KOTAKNV20
2021-09-27,101.4,101.78,97.65,98.72,102.45,57.7,KOTAKNV20
2021-09-24,100.49,100.99,99.01,100.11,102.45,56.51,KOTAKNV20
2021-09-23,99.88,100.0,99.0,99.48,102.45,56.51,KOTAKNV20
2021-09-22,97.2,99.5,97.2,99.23,102.45,56.51,KOTAKNV20
2021-09-21,97.6,99.7,97.05,98.06,102.45,56.51,KOTAKNV20
2021-09-20,99.0,99.88,97.5,98.49,102.45,56.51,KOTAKNV20
2021-09-17,101.45,102.45,97.6,98.26,102.45,56.51,KOTAKNV20
2021-09-16,99.0,102.0,98.0,100.18,102.0,56.51,KOTAKNV20
2021-09-15,98.0,98.49,96.12,98.06,99.3,56.51,KOTAKNV20
2021-09-14,96.9,98.0,95.4,97.04,99.3,56.51,KOTAKNV20
2021-09-13,95.7,96.1,94.22,95.94,99.3,56.51,KOTAKNV20
2021-09-09,96.3,96.3,95.0,95.61,99.3,56.26,KOTAKNV20
2021-09-08,96.98,96.98,94.25,95.23,99.3,56.26,KOTAKNV20
2021-09-07,96.2,96.94,95.0,95.54,99.3,56.26,KOTAKNV20
2021-09-06,95.56,97.6,94.22,96.07,99.3,56.26,KOTAKNV20
2021-09-03,96.0,97.95,94.3,95.56,99.3,56.26,KOTAKNV20
2021-09-02,94.95,95.85,93.86,94.96,99.3,56.26,KOTAKNV20
2021-09-01,94.63,95.75,93.4,93.86,99.3,56.26,KOTAKNV20
2021-08-31,94.1,95.75,91.5,94.63,99.3,56.26,KOTAKNV20
2021-08-30,93.7,94.1,92.2,93.47,99.3,56.26,KOTAKNV20
2021-08-27,93.9,93.9,92.41,93.43,99.3,56.26,KOTAKNV20
2021-08-26,94.2,94.2,92.35,92.86,99.3,56.26,KOTAKNV20
2021-08-25,94.3,99.3,92.12,93.22,99.3,56.26,KOTAKNV20
2021-08-24,93.4,93.88,92.1,93.27,98.1,56.26,KOTAKNV20
2021-08-23,92.08,93.78,91.0,92.16,98.1,56.26,KOTAKNV20
2021-08-20,92.93,92.93,91.8,92.08,98.1,56.26,KOTAKNV20
2021-08-18,93.69,93.99,91.91,93.1,98.1,56.26,KOTAKNV20
2021-08-17,92.99,93.3,91.8,92.52,98.1,56.26,KOTAKNV20
2021-08-16,92.4,92.6,91.0,92.18,98.1,56.26,KOTAKNV20
2021-08-13,92.25,92.3,90.65,91.38,98.1,56.26,KOTAKNV20
2021-08-12,91.0,91.35,90.2,91.26,98.1,56.26,KOTAKNV20
2021-08-11,90.9,91.0,87.95,90.01,98.1,56.26,KOTAKNV20
2021-08-10,91.4,91.78,89.4,89.79,98.1,56.26,KOTAKNV20
2021-08-09,90.03,98.1,89.1,90.45,98.1,56.26,KOTAKNV20
2021-08-06,91.0,91.2,88.81,90.03,93.3,56.0,KOTAKNV20
2021-08-05,89.6,91.8,88.55,90.17,93.3,56.0,KOTAKNV20
2021-08-04,90.49,90.88,88.22,90.46,93.3,56.0,KOTAKNV20
2021-08-03,89.8,90.0,88.6,89.85,93.3,56.0,KOTAKNV20
2021-08-02,88.85,89.1,87.5,88.82,93.3,56.0,KOTAKNV20
2021-07-30,88.2,88.65,87.12,88.32,93.3,54.5,KOTAKNV20
2021-07-29,88.3,88.4,86.5,87.92,93.3,54.5,KOTAKNV20
2021-07-28,87.75,89.88,86.22,87.29,93.3,54.5,KOTAKNV20
2021-07-27,87.35,88.25,87.11,87.72,93.3,54.5,KOTAKNV20
2021-07-26,79.8,88.7,79.8,88.16,93.3,54.5,KOTAKNV20
2021-07-23,87.8,87.95,86.41,87.7,93.3,50.3,KOTAKNV20
2021-07-22,87.6,87.6,85.41,87.17,93.3,50.3,KOTAKNV20
2021-07-20,87.25,88.35,85.45,86.26,93.3,50.3,KOTAKNV20
2021-07-19,87.0,88.4,86.01,87.35,93.3,50.3,KOTAKNV20
2021-07-16,88.8,88.8,87.1,87.5,93.3,50.3,KOTAKNV20
2021-07-15,87.39,88.5,87.1,87.77,93.3,50.3,KOTAKNV20
2021-07-14,86.45,87.12,84.55,86.97,93.3,50.3,KOTAKNV20
2021-07-13,86.5,86.5,85.05,85.64,93.3,50.3,KOTAKNV20
2021-07-12,86.07,87.86,85.16,86.21,93.3,50.3,KOTAKNV20
2021-07-09,87.0,87.2,85.25,86.07,93.3,50.3,KOTAKNV20
2021-07-08,87.4,87.4,85.5,86.19,93.3,50.3,KOTAKNV20
2021-07-07,87.4,87.4,86.01,86.38,93.3,50.3,KOTAKNV20
2021-07-06,88.2,88.9,86.01,86.44,93.3,50.3,KOTAKNV20
2021-07-05,87.55,88.45,86.0,87.3,93.3,50.3,KOTAKNV20
2021-07-02,87.6,87.6,86.0,86.52,93.3,50.3,KOTAKNV20
2021-07-01,87.88,87.88,85.6,86.66,93.3,50.3,KOTAKNV20
2021-06-30,87.06,88.0,86.25,86.89,93.3,50.3,KOTAKNV20
2021-06-29,88.29,88.29,86.7,87.06,93.3,50.3,KOTAKNV20
2021-06-28,87.9,88.8,86.95,87.35,93.3,50.3,KOTAKNV20
2021-06-25,87.0,87.4,85.25,87.39,93.3,49.4,KOTAKNV20
2021-06-24,85.94,86.8,85.1,86.7,93.3,49.4,KOTAKNV20
2021-06-23,87.0,87.0,85.1,85.94,93.3,49.4,KOTAKNV20
2021-06-22,86.85,87.0,85.51,86.05,93.3,49.4,KOTAKNV20
2021-06-21,86.5,86.5,85.4,85.62,93.3,49.4,KOTAKNV20
2021-06-18,86.5,86.5,85.2,85.55,93.3,49.4,KOTAKNV20
2021-06-17,86.2,87.45,85.6,86.04,93.3,49.4,KOTAKNV20
2021-06-16,86.6,86.6,85.6,86.07,93.3,49.4,KOTAKNV20
2021-06-15,87.59,87.59,84.3,86.66,93.3,49.4,KOTAKNV20
2021-06-14,85.86,86.79,85.0,86.49,93.3,49.4,KOTAKNV20
2021-06-11,86.69,86.73,84.71,85.86,93.3,49.4,KOTAKNV20
2021-06-10,86.45,86.45,85.2,85.45,93.3,49.4,KOTAKNV20
