DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,162.0,163.79,161.0,161.5,161.58,185.0,110.75,LICNFNHGP
2021-07-26,164.3,165.0,161.25,162.99,162.96,185.0,110.75,LICNFNHGP
2021-07-23,165.0,165.0,161.1,163.2,163.24,185.0,110.75,LICNFNHGP
2021-07-22,165.0,165.0,161.0,164.19,163.75,185.0,110.75,LICNFNHGP
2021-07-20,165.0,165.0,161.07,161.51,161.6,185.0,110.75,LICNFNHGP
2021-07-19,165.0,165.0,162.12,162.15,162.65,185.0,110.75,LICNFNHGP
2021-07-16,166.0,166.0,162.0,162.55,163.67,185.0,110.75,LICNFNHGP
2021-07-15,169.89,169.89,162.01,162.52,162.52,185.0,110.75,LICNFNHGP
2021-07-14,164.3,164.99,162.52,164.99,164.99,185.0,110.75,LICNFNHGP
2021-07-13,164.0,165.95,161.95,163.35,163.32,185.0,110.75,LICNFNHGP
2021-07-12,166.0,166.0,161.95,162.55,162.94,185.0,110.75,LICNFNHGP
2021-07-09,165.85,165.85,162.5,163.45,162.97,185.0,109.65,LICNFNHGP
2021-07-08,162.55,165.89,162.55,164.79,164.71,185.0,109.65,LICNFNHGP
2021-07-07,165.9,166.99,161.95,163.79,163.89,185.0,109.65,LICNFNHGP
2021-07-06,162.5,166.0,162.5,163.51,164.09,185.0,109.65,LICNFNHGP
2021-07-05,167.0,167.0,160.6,165.97,164.48,185.0,109.65,LICNFNHGP
2021-07-02,165.9,166.8,163.58,166.8,164.9,185.0,108.1,LICNFNHGP
2021-07-01,163.1,166.48,163.0,164.5,163.58,185.0,108.1,LICNFNHGP
2021-06-30,169.0,169.0,163.25,166.0,166.08,185.0,108.1,LICNFNHGP
2021-06-29,167.5,167.5,161.95,164.99,164.02,185.0,108.1,LICNFNHGP
2021-06-28,166.3,169.0,160.95,164.5,164.5,185.0,108.1,LICNFNHGP
2021-06-25,164.2,166.9,163.27,165.5,164.65,185.0,105.0,LICNFNHGP
2021-06-24,164.3,167.95,164.3,166.89,166.47,185.0,105.0,LICNFNHGP
2021-06-23,164.3,169.85,164.3,166.25,166.25,185.0,105.0,LICNFNHGP
2021-06-22,172.0,172.0,164.06,166.0,166.0,185.0,105.0,LICNFNHGP
2021-06-21,162.05,168.0,160.5,164.95,164.45,185.0,105.0,LICNFNHGP
2021-06-18,167.0,169.97,161.0,165.97,163.89,185.0,101.1,LICNFNHGP
2021-06-17,164.59,170.3,164.59,166.5,166.52,185.0,101.1,LICNFNHGP
2021-06-16,172.0,172.0,167.05,170.0,169.68,185.0,101.1,LICNFNHGP
2021-06-15,168.05,169.75,167.05,169.49,169.49,185.0,101.1,LICNFNHGP
2021-06-14,166.5,172.3,166.5,168.0,168.0,185.0,101.1,LICNFNHGP
2021-06-11,174.0,174.0,165.2,169.0,168.33,185.0,100.5,LICNFNHGP
2021-06-10,170.0,172.3,170.0,171.4,171.34,185.0,100.5,LICNFNHGP
2021-06-09,173.53,173.53,164.21,168.0,166.99,185.0,100.5,LICNFNHGP
2021-06-08,169.7,179.85,164.61,167.3,168.48,185.0,100.5,LICNFNHGP
2021-06-07,167.95,170.0,163.11,170.0,169.6,185.0,100.5,LICNFNHGP
2021-06-04,164.1,167.49,164.0,165.95,165.94,185.0,98.11,LICNFNHGP
2021-06-03,167.95,168.16,163.0,164.0,164.06,185.0,98.11,LICNFNHGP
2021-06-02,164.3,167.9,163.1,165.88,165.07,185.0,98.11,LICNFNHGP
2021-06-01,167.9,169.88,159.95,163.0,162.31,185.0,98.11,LICNFNHGP
2021-05-31,162.9,168.77,162.9,164.0,163.92,185.0,98.11,LICNFNHGP
2021-05-28,168.43,168.43,163.0,165.0,165.0,185.0,94.5,LICNFNHGP
2021-05-27,162.1,168.99,162.1,164.6,163.53,185.0,94.5,LICNFNHGP
2021-05-26,163.01,168.3,163.01,164.99,164.62,185.0,94.5,LICNFNHGP
2021-05-25,174.95,174.95,160.82,163.01,164.49,185.0,94.5,LICNFNHGP
2021-05-24,172.9,185.0,162.51,165.6,167.19,185.0,94.5,LICNFNHGP
2021-05-21,164.3,170.0,159.1,168.5,168.15,176.0,92.5,LICNFNHGP
2021-05-20,160.0,162.94,158.2,160.5,159.69,176.0,92.5,LICNFNHGP
2021-05-19,158.1,168.0,157.0,163.1,162.48,176.0,92.5,LICNFNHGP
2021-05-18,155.99,174.0,153.6,155.25,159.54,176.0,92.5,LICNFNHGP
2021-05-17,153.99,154.85,153.0,154.85,154.72,176.0,92.5,LICNFNHGP
2021-05-14,159.7,159.7,151.23,153.99,153.99,176.0,92.5,LICNFNHGP
2021-05-12,153.1,157.0,153.1,156.99,156.53,176.0,92.5,LICNFNHGP
2021-05-11,159.0,159.0,153.5,155.57,154.59,176.0,92.5,LICNFNHGP
2021-05-10,157.59,161.5,153.0,154.1,155.85,176.0,92.5,LICNFNHGP
2021-05-07,152.1,156.66,152.1,153.0,153.0,176.0,92.5,LICNFNHGP
2021-05-06,156.95,156.95,153.0,154.1,154.88,176.0,92.5,LICNFNHGP
2021-05-05,156.9,156.9,152.02,154.3,154.3,176.0,92.5,LICNFNHGP
2021-05-04,157.25,157.25,152.75,153.1,153.12,176.0,92.5,LICNFNHGP
2021-05-03,159.63,159.63,150.95,154.47,152.67,176.0,92.5,LICNFNHGP
2021-04-30,151.87,155.97,151.87,154.99,154.99,176.0,92.5,LICNFNHGP
2021-04-29,156.54,156.54,151.85,153.05,153.05,176.0,92.5,LICNFNHGP
2021-04-28,156.3,156.3,151.55,151.6,151.99,176.0,92.5,LICNFNHGP
2021-04-27,155.7,155.9,151.03,151.75,151.75,176.0,92.5,LICNFNHGP
2021-04-26,156.06,156.97,150.0,151.1,151.17,176.0,92.5,LICNFNHGP
2021-04-23,153.05,156.75,152.25,153.0,153.0,176.0,90.8,LICNFNHGP
2021-04-22,160.15,160.15,150.05,152.5,153.05,176.0,90.8,LICNFNHGP
2021-04-20,158.0,158.0,154.61,157.0,157.0,176.0,90.8,LICNFNHGP
2021-04-19,157.0,157.0,152.7,155.35,154.34,176.0,90.8,LICNFNHGP
2021-04-16,154.5,154.5,151.04,152.16,152.26,176.0,86.2,LICNFNHGP
2021-04-15,161.75,161.75,152.11,155.0,154.75,176.0,86.2,LICNFNHGP
2021-04-13,157.0,157.0,154.01,156.99,156.99,176.0,86.2,LICNFNHGP
2021-04-12,168.0,168.0,154.04,154.25,156.03,176.0,86.2,LICNFNHGP
2021-04-09,154.45,158.12,152.62,157.5,157.41,176.0,84.25,LICNFNHGP
2021-04-08,156.1,158.0,152.0,154.0,154.45,176.0,84.25,LICNFNHGP
2021-04-07,154.0,157.97,153.0,153.0,153.01,176.0,84.25,LICNFNHGP
2021-04-06,158.88,158.88,151.27,152.0,152.0,176.0,84.25,LICNFNHGP
2021-04-05,155.61,167.0,148.03,154.5,154.26,176.0,84.25,LICNFNHGP
2021-04-01,150.0,152.2,148.44,151.95,151.08,176.0,82.8,LICNFNHGP
2021-03-31,149.75,151.8,146.4,147.19,148.44,176.0,82.8,LICNFNHGP
2021-03-30,149.9,149.9,145.3,148.5,148.5,176.0,82.8,LICNFNHGP
2021-03-26,159.0,159.0,145.3,145.3,146.93,176.0,77.0,LICNFNHGP
2021-03-25,146.8,149.9,142.1,143.01,143.11,176.0,77.0,LICNFNHGP
2021-03-24,151.55,151.55,145.15,145.95,145.62,176.0,77.0,LICNFNHGP
2021-03-23,150.48,152.65,146.48,149.5,148.56,176.0,77.0,LICNFNHGP
2021-03-22,152.95,154.2,150.1,151.0,151.01,176.0,77.0,LICNFNHGP
