DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,231.6,232.35,221.2,225.8,266.75,139.3,LINCPEN
2021-10-28,235.75,235.75,225.95,227.25,266.75,139.3,LINCPEN
2021-10-27,237.7,237.7,225.4,231.1,266.75,139.3,LINCPEN
2021-10-26,236.05,239.55,228.05,228.75,266.75,139.3,LINCPEN
2021-10-25,246.2,246.2,225.2,227.05,266.75,139.3,LINCPEN
2021-10-22,237.0,237.0,226.55,230.45,266.75,139.3,LINCPEN
2021-10-21,241.0,241.0,228.1,229.45,266.75,139.3,LINCPEN
2021-10-20,233.1,241.2,226.05,228.45,266.75,139.3,LINCPEN
2021-10-19,240.35,242.1,233.25,235.1,266.75,139.3,LINCPEN
2021-10-18,253.5,253.5,234.4,239.95,266.75,139.3,LINCPEN
2021-10-14,243.3,254.7,243.0,247.15,266.75,139.3,LINCPEN
2021-10-13,257.3,257.3,240.1,242.3,266.75,139.3,LINCPEN
2021-10-12,254.0,255.9,247.65,249.5,266.75,139.3,LINCPEN
2021-10-11,264.0,266.35,239.6,250.0,266.75,139.3,LINCPEN
2021-10-08,236.05,266.75,236.05,250.1,266.75,139.3,LINCPEN
2021-10-07,245.5,245.5,236.0,241.6,257.0,139.3,LINCPEN
2021-10-06,249.8,249.9,231.6,234.6,257.0,139.3,LINCPEN
2021-10-05,257.0,257.0,240.0,245.3,257.0,139.3,LINCPEN
2021-10-04,222.9,250.95,222.9,250.95,250.95,139.3,LINCPEN
2021-10-01,227.35,231.9,220.85,228.15,239.0,139.3,LINCPEN
2021-09-30,218.8,226.9,218.8,222.1,239.0,139.3,LINCPEN
2021-09-29,228.5,228.5,220.05,223.8,239.0,139.3,LINCPEN
2021-09-28,230.0,230.0,219.8,221.35,239.0,139.3,LINCPEN
2021-09-27,220.0,231.0,209.0,225.25,239.0,139.3,LINCPEN
2021-09-24,211.0,219.0,210.8,215.75,239.0,139.3,LINCPEN
2021-09-23,212.3,219.0,212.3,215.15,239.0,139.3,LINCPEN
2021-09-22,218.7,218.7,209.1,212.05,239.0,139.3,LINCPEN
2021-09-21,209.05,221.5,206.1,210.0,239.0,139.3,LINCPEN
2021-09-20,219.5,222.7,210.05,212.5,239.0,139.3,LINCPEN
2021-09-17,229.65,229.65,212.15,219.4,239.0,139.3,LINCPEN
2021-09-16,232.7,233.0,221.25,225.1,239.0,139.3,LINCPEN
2021-09-15,220.2,230.55,219.1,229.35,239.0,139.3,LINCPEN
2021-09-14,229.0,234.7,219.0,220.5,239.0,139.3,LINCPEN
2021-09-13,216.0,227.4,212.1,224.3,239.0,139.3,LINCPEN
2021-09-09,218.1,219.0,213.8,215.9,239.0,139.3,LINCPEN
2021-09-08,220.55,222.0,217.05,219.4,239.0,139.3,LINCPEN
2021-09-07,211.0,227.4,205.1,217.85,239.0,139.3,LINCPEN
2021-09-06,203.4,210.0,203.4,209.15,239.0,139.3,LINCPEN
2021-09-03,205.0,208.15,202.35,203.4,239.0,139.3,LINCPEN
2021-09-02,203.55,207.0,202.3,205.2,239.0,139.3,LINCPEN
2021-09-01,193.1,206.9,193.1,203.55,239.0,139.3,LINCPEN
2021-08-31,192.5,198.0,191.85,196.15,239.0,139.3,LINCPEN
2021-08-30,195.95,195.95,190.1,191.7,239.0,139.3,LINCPEN
2021-08-27,190.0,197.85,190.0,193.45,239.0,139.3,LINCPEN
2021-08-26,196.0,196.0,187.5,193.25,239.0,139.3,LINCPEN
2021-08-25,194.85,194.85,186.25,192.25,239.0,139.3,LINCPEN
2021-08-24,185.05,200.0,185.0,194.5,239.0,139.3,LINCPEN
2021-08-23,185.0,199.0,180.0,182.4,239.0,139.3,LINCPEN
2021-08-20,193.0,199.5,183.15,188.95,239.0,139.3,LINCPEN
2021-08-18,202.8,202.8,188.1,192.5,239.0,139.3,LINCPEN
2021-08-17,201.95,201.95,178.95,193.95,239.0,139.3,LINCPEN
2021-08-16,200.0,200.0,187.25,196.4,239.0,139.3,LINCPEN
2021-08-13,191.8,197.75,183.95,193.5,239.0,139.3,LINCPEN
2021-08-12,195.5,201.55,191.65,198.0,239.0,139.3,LINCPEN
2021-08-11,192.05,198.45,181.55,191.95,239.0,139.3,LINCPEN
2021-08-10,202.75,207.05,190.0,192.25,239.0,139.3,LINCPEN
2021-08-09,210.0,210.0,201.3,203.3,239.0,139.3,LINCPEN
2021-08-06,211.95,212.0,204.05,206.15,239.0,139.3,LINCPEN
2021-08-05,221.5,221.65,200.6,206.95,239.0,139.3,LINCPEN
2021-08-04,218.0,223.55,209.3,211.15,239.0,139.3,LINCPEN
