DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-03,1763.55,1785.15,1745.05,1760.0,1762.45,2074.0,626.0,LINDEINDIA
2021-08-02,1753.0,1785.65,1736.95,1752.5,1753.2,2074.0,626.0,LINDEINDIA
2021-07-30,1741.9,1764.0,1732.6,1760.0,1752.45,2074.0,621.1,LINDEINDIA
2021-07-29,1720.0,1794.0,1720.0,1738.0,1735.8,2074.0,621.1,LINDEINDIA
2021-07-28,1740.0,1745.4,1690.0,1740.0,1728.55,2074.0,621.1,LINDEINDIA
2021-07-27,1755.0,1765.95,1707.95,1718.0,1720.4,2074.0,621.1,LINDEINDIA
2021-07-26,1641.0,1755.0,1641.0,1745.0,1748.2,2074.0,621.1,LINDEINDIA
2021-07-23,1704.1,1723.6,1671.05,1679.6,1677.7,2074.0,621.1,LINDEINDIA
2021-07-22,1716.0,1740.0,1660.7,1698.0,1697.55,2074.0,621.1,LINDEINDIA
2021-07-20,1680.0,1719.0,1564.1,1690.1,1694.6,2074.0,621.1,LINDEINDIA
2021-07-19,1645.0,1694.0,1632.55,1664.25,1663.9,2074.0,621.1,LINDEINDIA
2021-07-16,1702.0,1714.8,1630.1,1640.35,1639.85,2074.0,621.1,LINDEINDIA
2021-07-15,1740.0,1745.0,1684.15,1696.0,1693.15,2074.0,621.1,LINDEINDIA
2021-07-14,1755.0,1788.95,1730.8,1734.0,1736.65,2074.0,621.1,LINDEINDIA
2021-07-13,1786.7,1798.85,1760.0,1766.0,1766.15,2074.0,621.1,LINDEINDIA
2021-07-12,1771.0,1825.7,1761.0,1767.0,1767.9,2074.0,621.1,LINDEINDIA
2021-07-09,1768.0,1770.15,1725.0,1760.0,1751.45,2074.0,604.15,LINDEINDIA
2021-07-08,1780.0,1834.0,1757.8,1764.0,1767.5,2074.0,604.15,LINDEINDIA
2021-07-07,1770.0,1834.95,1751.1,1777.0,1778.75,2074.0,604.15,LINDEINDIA
2021-07-06,1715.0,1782.0,1715.0,1760.0,1755.45,2074.0,604.15,LINDEINDIA
2021-07-05,1750.0,1767.35,1710.5,1724.0,1728.0,2074.0,604.15,LINDEINDIA
2021-07-02,1749.75,1798.95,1728.0,1734.0,1740.35,2074.0,580.0,LINDEINDIA
2021-07-01,1658.0,1719.9,1647.05,1715.0,1712.25,2074.0,580.0,LINDEINDIA
2021-06-30,1640.9,1660.0,1633.2,1647.6,1645.0,2074.0,580.0,LINDEINDIA
2021-06-29,1650.9,1660.0,1620.1,1630.0,1628.95,2074.0,580.0,LINDEINDIA
2021-06-28,1600.0,1685.0,1596.0,1634.0,1631.9,2074.0,580.0,LINDEINDIA
2021-06-25,1612.0,1614.0,1586.0,1594.2,1594.05,2074.0,580.0,LINDEINDIA
2021-06-24,1595.95,1625.0,1581.0,1607.0,1606.6,2074.0,580.0,LINDEINDIA
2021-06-23,1600.0,1630.0,1580.55,1587.1,1588.0,2074.0,580.0,LINDEINDIA
2021-06-22,1569.0,1618.0,1553.05,1598.95,1595.3,2074.0,580.0,LINDEINDIA
2021-06-21,1546.5,1572.55,1535.15,1563.6,1560.65,2074.0,580.0,LINDEINDIA
2021-06-18,1578.6,1599.4,1526.85,1548.0,1546.5,2074.0,523.25,LINDEINDIA
2021-06-17,1600.0,1600.0,1561.0,1573.0,1569.7,2074.0,523.25,LINDEINDIA
2021-06-16,1593.0,1632.0,1570.0,1585.0,1589.55,2074.0,523.25,LINDEINDIA
2021-06-15,1582.1,1595.0,1570.0,1580.0,1581.1,2074.0,523.25,LINDEINDIA
2021-06-14,1600.0,1602.0,1565.0,1580.6,1582.1,2074.0,523.25,LINDEINDIA
2021-06-11,1605.0,1607.95,1593.0,1593.7,1595.5,2074.0,506.0,LINDEINDIA
2021-06-10,1592.9,1607.95,1577.1,1599.95,1600.05,2074.0,506.0,LINDEINDIA
2021-06-09,1611.55,1614.95,1574.1,1578.9,1580.6,2074.0,506.0,LINDEINDIA
2021-06-08,1599.0,1610.85,1588.0,1600.0,1600.55,2074.0,506.0,LINDEINDIA
2021-06-07,1616.0,1625.0,1601.0,1607.0,1605.65,2074.0,506.0,LINDEINDIA
2021-06-04,1610.0,1629.9,1595.0,1609.95,1607.1,2074.0,505.35,LINDEINDIA
2021-06-03,1637.0,1647.05,1582.9,1611.0,1607.45,2074.0,505.35,LINDEINDIA
2021-06-02,1557.0,1637.0,1553.3,1630.0,1625.3,2074.0,505.35,LINDEINDIA
2021-06-01,1606.6,1608.2,1563.05,1573.0,1570.95,2074.0,505.35,LINDEINDIA
2021-05-31,1610.0,1626.15,1592.55,1593.8,1598.6,2074.0,505.35,LINDEINDIA
2021-05-28,1625.0,1644.0,1611.0,1615.0,1620.3,2074.0,495.05,LINDEINDIA
2021-05-27,1635.0,1635.0,1600.0,1610.0,1609.4,2074.0,495.05,LINDEINDIA
2021-05-26,1648.0,1648.0,1606.1,1624.0,1620.45,2074.0,495.05,LINDEINDIA
2021-05-25,1650.0,1689.0,1625.0,1632.0,1633.8,2074.0,495.05,LINDEINDIA
2021-05-24,1650.0,1679.0,1630.0,1644.0,1644.05,2074.0,495.05,LINDEINDIA
2021-05-21,1690.0,1699.0,1642.6,1649.0,1646.75,2074.0,485.1,LINDEINDIA
2021-05-20,1711.35,1711.35,1683.9,1687.95,1686.0,2074.0,485.1,LINDEINDIA
2021-05-19,1700.0,1718.95,1685.0,1695.05,1702.8,2074.0,485.1,LINDEINDIA
2021-05-18,1680.0,1709.75,1642.25,1699.0,1698.55,2074.0,485.1,LINDEINDIA
2021-05-17,1734.9,1734.9,1665.0,1690.0,1682.85,2074.0,485.1,LINDEINDIA
2021-05-14,1745.0,1763.85,1680.0,1718.0,1717.65,2074.0,485.1,LINDEINDIA
2021-05-12,1900.0,1900.0,1736.0,1740.0,1745.3,2074.0,485.1,LINDEINDIA
2021-05-11,1766.0,1832.0,1760.0,1795.0,1793.15,2074.0,485.1,LINDEINDIA
2021-05-10,1800.8,1814.55,1765.0,1792.0,1783.25,2074.0,485.1,LINDEINDIA
2021-05-07,1821.0,1833.2,1776.95,1785.0,1785.5,2074.0,485.1,LINDEINDIA
2021-05-06,1822.85,1858.05,1781.0,1815.1,1818.6,2074.0,485.1,LINDEINDIA
2021-05-05,1748.0,1843.9,1651.0,1805.0,1817.3,2074.0,485.1,LINDEINDIA
2021-05-04,1819.0,1840.0,1736.05,1749.1,1747.75,2074.0,485.1,LINDEINDIA
2021-05-03,1834.7,1860.0,1805.0,1819.0,1817.8,2074.0,485.1,LINDEINDIA
2021-04-30,1847.0,1859.9,1825.05,1841.0,1834.7,2074.0,485.1,LINDEINDIA
2021-04-29,1848.0,1885.05,1840.0,1851.9,1847.55,2074.0,485.1,LINDEINDIA
2021-04-28,1888.05,1888.05,1837.0,1841.0,1840.7,2074.0,485.1,LINDEINDIA
2021-04-27,1938.0,1942.0,1881.2,1887.0,1888.05,2074.0,485.1,LINDEINDIA
2021-04-26,1964.0,2000.1,1908.0,1925.0,1925.95,2074.0,485.1,LINDEINDIA
2021-04-23,1887.8,1889.95,1848.0,1862.0,1865.75,2074.0,485.1,LINDEINDIA
2021-04-22,1915.0,1920.0,1870.0,1874.0,1873.85,2074.0,485.1,LINDEINDIA
2021-04-20,1930.0,1949.0,1860.0,1870.85,1870.3,2074.0,485.1,LINDEINDIA
2021-04-19,2000.0,2074.0,1881.0,1889.9,1895.85,2074.0,485.1,LINDEINDIA
2021-04-16,1914.0,1950.0,1878.0,1891.0,1889.6,1950.0,485.1,LINDEINDIA
2021-04-15,1788.0,1944.8,1782.0,1860.0,1865.55,1944.8,485.1,LINDEINDIA
2021-04-13,1793.9,1804.0,1762.0,1770.0,1772.45,1930.0,485.1,LINDEINDIA
2021-04-12,1847.0,1847.0,1741.0,1762.0,1761.7,1930.0,485.1,LINDEINDIA
2021-04-09,1843.0,1872.05,1802.0,1829.0,1826.6,1930.0,458.5,LINDEINDIA
2021-04-08,1861.9,1868.0,1839.0,1841.5,1840.95,1930.0,458.5,LINDEINDIA
2021-04-07,1860.0,1899.9,1830.0,1840.0,1841.9,1930.0,458.5,LINDEINDIA
2021-04-06,1810.85,1848.0,1796.1,1843.0,1835.95,1930.0,458.5,LINDEINDIA
2021-04-05,1827.0,1860.0,1791.0,1802.0,1810.85,1930.0,458.5,LINDEINDIA
2021-04-01,1830.0,1830.0,1785.0,1812.0,1813.45,1930.0,447.2,LINDEINDIA
2021-03-31,1750.0,1814.0,1731.0,1797.0,1799.5,1930.0,447.2,LINDEINDIA
2021-03-30,1770.0,1786.0,1715.0,1729.0,1725.35,1930.0,447.2,LINDEINDIA
2021-03-26,1728.0,1799.0,1705.05,1720.0,1720.65,1930.0,401.0,LINDEINDIA
2021-03-25,1750.0,1763.9,1701.3,1718.0,1709.85,1930.0,401.0,LINDEINDIA
2021-03-24,1788.0,1799.0,1706.1,1738.0,1729.7,1930.0,401.0,LINDEINDIA
2021-03-23,1800.0,1814.0,1767.9,1770.0,1771.0,1930.0,401.0,LINDEINDIA
2021-03-22,1748.0,1826.0,1730.0,1805.0,1796.95,1930.0,401.0,LINDEINDIA
2021-03-19,1710.0,1736.0,1640.05,1717.0,1718.45,1930.0,401.0,LINDEINDIA
2021-03-18,1763.45,1799.0,1705.0,1723.0,1726.45,1930.0,401.0,LINDEINDIA
2021-03-17,1828.0,1829.0,1730.05,1750.0,1742.65,1930.0,401.0,LINDEINDIA
2021-03-16,1873.0,1897.0,1800.0,1820.0,1813.95,1930.0,401.0,LINDEINDIA
2021-03-15,1848.0,1930.0,1800.0,1847.05,1832.35,1930.0,401.0,LINDEINDIA
2021-03-12,1640.0,1793.05,1640.0,1793.05,1771.95,1835.65,401.0,LINDEINDIA
2021-03-10,1645.0,1653.45,1600.0,1638.0,1630.05,1835.65,401.0,LINDEINDIA
2021-03-09,1710.0,1725.0,1602.25,1629.85,1626.45,1835.65,401.0,LINDEINDIA
2021-03-08,1738.0,1788.0,1670.0,1699.0,1693.75,1835.65,401.0,LINDEINDIA
2021-03-05,1763.0,1765.0,1701.0,1721.8,1721.5,1835.65,401.0,LINDEINDIA
2021-03-04,1771.1,1779.95,1688.0,1758.9,1745.5,1835.65,401.0,LINDEINDIA
2021-03-03,1737.0,1835.65,1737.0,1785.0,1789.3,1835.65,401.0,LINDEINDIA
2021-03-02,1656.0,1795.0,1645.0,1710.0,1721.65,1795.0,401.0,LINDEINDIA
2021-03-01,1599.0,1653.5,1575.0,1650.0,1642.95,1653.5,401.0,LINDEINDIA
2021-02-26,1470.0,1574.9,1470.0,1551.1,1560.2,1574.9,401.0,LINDEINDIA
2021-02-25,1434.85,1499.0,1410.0,1490.0,1479.35,1499.0,401.0,LINDEINDIA
2021-02-24,1388.0,1436.7,1341.0,1421.9,1419.85,1477.0,401.0,LINDEINDIA
2021-02-23,1347.0,1423.0,1347.0,1386.05,1379.6,1477.0,401.0,LINDEINDIA
2021-02-22,1369.9,1431.0,1320.0,1345.0,1329.45,1477.0,401.0,LINDEINDIA
2021-02-19,1405.0,1424.35,1321.0,1368.0,1360.95,1477.0,401.0,LINDEINDIA
2021-02-18,1400.0,1477.0,1365.3,1400.0,1409.05,1477.0,401.0,LINDEINDIA
2021-02-17,1294.85,1464.0,1261.0,1381.95,1383.1,1464.0,401.0,LINDEINDIA
2021-02-16,1263.45,1308.0,1230.0,1288.2,1279.6,1308.0,401.0,LINDEINDIA
2021-02-15,1170.0,1280.0,1170.0,1269.9,1261.2,1280.0,401.0,LINDEINDIA
2021-02-12,1168.0,1186.0,1149.2,1160.5,1165.85,1224.0,401.0,LINDEINDIA
2021-02-11,1103.9,1224.0,1076.0,1157.0,1145.0,1224.0,401.0,LINDEINDIA
2021-02-10,1084.8,1144.65,1044.0,1097.9,1098.95,1144.65,401.0,LINDEINDIA
2021-02-09,1024.95,1054.75,1002.0,1050.0,1043.5,1054.75,401.0,LINDEINDIA
2021-02-08,983.0,1028.0,978.3,1028.0,1018.75,1028.0,401.0,LINDEINDIA
2021-02-05,990.0,990.0,969.65,985.05,985.15,1021.0,401.0,LINDEINDIA
2021-02-04,973.9,988.6,957.0,980.0,979.4,1021.0,401.0,LINDEINDIA
2021-02-03,960.0,970.0,946.05,965.0,964.4,1021.0,401.0,LINDEINDIA
2021-02-02,930.6,977.0,927.0,950.1,949.5,1021.0,401.0,LINDEINDIA
2021-02-01,899.05,929.5,885.5,926.0,924.35,1021.0,401.0,LINDEINDIA
2021-01-29,904.9,909.9,894.35,905.05,906.7,1021.0,401.0,LINDEINDIA
2021-01-28,890.0,919.0,885.65,900.0,900.35,1021.0,401.0,LINDEINDIA
2021-01-27,914.0,916.25,895.0,896.95,899.4,1021.0,401.0,LINDEINDIA
2021-01-25,925.0,933.2,901.2,911.1,916.25,1021.0,401.0,LINDEINDIA
2021-01-22,928.0,950.0,903.0,920.0,924.55,1021.0,401.0,LINDEINDIA
2021-01-21,940.7,956.75,915.35,917.8,929.8,1021.0,401.0,LINDEINDIA
2021-01-20,936.95,943.35,920.0,938.0,936.0,1021.0,401.0,LINDEINDIA
2021-01-19,941.1,949.7,921.45,928.9,928.45,1021.0,401.0,LINDEINDIA
2021-01-18,967.35,970.9,918.05,937.95,934.0,1021.0,401.0,LINDEINDIA
2021-01-15,972.05,979.95,956.25,965.0,962.5,1021.0,401.0,LINDEINDIA
2021-01-14,982.5,982.5,965.5,978.9,975.15,1021.0,401.0,LINDEINDIA
2021-01-13,999.0,1008.95,971.25,985.8,982.5,1021.0,401.0,LINDEINDIA
2021-01-12,1015.0,1015.0,992.0,1001.0,999.95,1021.0,401.0,LINDEINDIA
2021-01-11,1019.0,1019.0,982.1,1000.0,999.95,1021.0,401.0,LINDEINDIA
2021-01-08,1001.0,1018.95,996.35,1000.0,1000.1,1021.0,401.0,LINDEINDIA
2021-01-07,1020.0,1021.0,992.0,993.1,995.1,1021.0,401.0,LINDEINDIA
2021-01-06,982.0,1019.75,978.0,1000.0,1005.5,1019.75,401.0,LINDEINDIA
2021-01-05,976.9,987.9,976.9,981.05,980.9,1004.9,401.0,LINDEINDIA
2021-01-04,976.0,1002.0,975.55,982.0,986.9,1004.9,401.0,LINDEINDIA
2021-01-01,969.0,985.0,966.3,983.0,980.05,1004.9,401.0,LINDEINDIA
2020-12-31,962.0,979.1,962.0,977.0,972.5,1004.9,401.0,LINDEINDIA
2020-12-30,970.0,992.4,958.0,967.0,972.8,1004.9,401.0,LINDEINDIA
2020-12-29,982.4,996.45,946.0,961.35,963.7,1004.9,401.0,LINDEINDIA
2020-12-28,969.95,1004.9,967.8,981.8,977.5,1004.9,401.0,LINDEINDIA
2020-12-24,963.0,996.95,952.85,960.15,965.1,999.0,401.0,LINDEINDIA
2020-12-23,914.4,999.0,900.8,960.0,962.6,999.0,401.0,LINDEINDIA
2020-12-22,928.0,928.0,879.9,918.0,909.85,969.0,401.0,LINDEINDIA
2020-12-21,944.95,944.95,914.0,917.0,916.1,969.0,401.0,LINDEINDIA
2020-12-18,928.4,953.0,914.25,942.0,942.45,969.0,401.0,LINDEINDIA
2020-12-17,932.0,935.1,923.35,928.5,928.4,969.0,401.0,LINDEINDIA
2020-12-16,942.4,942.4,922.0,934.0,930.75,969.0,401.0,LINDEINDIA
2020-12-15,947.0,948.7,913.75,941.0,937.2,969.0,401.0,LINDEINDIA
2020-12-14,921.0,969.0,908.95,945.0,943.95,969.0,401.0,LINDEINDIA
2020-12-11,908.3,922.0,898.95,908.25,908.65,942.0,401.0,LINDEINDIA
2020-12-10,902.5,914.0,892.0,914.0,908.3,942.0,401.0,LINDEINDIA
2020-12-09,910.0,914.8,896.05,908.0,904.85,942.0,401.0,LINDEINDIA
2020-12-08,909.95,913.0,891.0,910.0,906.8,942.0,401.0,LINDEINDIA
2020-12-07,903.25,916.25,896.0,911.0,906.95,942.0,401.0,LINDEINDIA
2020-12-04,905.0,910.0,886.5,899.95,898.75,942.0,401.0,LINDEINDIA
2020-12-03,917.35,921.0,887.0,901.0,899.2,942.0,401.0,LINDEINDIA
2020-12-02,912.1,936.0,901.0,916.0,912.75,942.0,401.0,LINDEINDIA
2020-12-01,934.7,934.7,899.95,912.0,907.55,942.0,401.0,LINDEINDIA
2020-11-27,889.85,936.05,878.6,918.9,911.4,942.0,401.0,LINDEINDIA
2020-11-26,879.95,884.7,862.25,876.0,877.6,942.0,401.0,LINDEINDIA
2020-11-25,900.2,907.4,865.55,878.65,879.95,942.0,401.0,LINDEINDIA
2020-11-24,893.0,916.8,893.0,900.0,900.2,942.0,401.0,LINDEINDIA
2020-11-23,895.2,908.0,882.0,893.7,895.6,942.0,401.0,LINDEINDIA
2020-11-20,890.0,897.45,879.95,890.6,890.7,942.0,401.0,LINDEINDIA
2020-11-19,890.0,918.2,879.55,884.85,884.45,942.0,401.0,LINDEINDIA
2020-11-18,929.75,942.0,881.0,905.5,904.9,942.0,401.0,LINDEINDIA
2020-11-17,870.05,937.0,870.0,923.0,924.4,937.0,401.0,LINDEINDIA
2020-11-14,865.5,874.5,860.05,868.1,868.3,928.0,401.0,LINDEINDIA
2020-11-13,844.0,886.0,810.15,846.05,857.2,928.0,401.0,LINDEINDIA
2020-11-12,867.0,869.85,834.75,842.0,843.6,928.0,401.0,LINDEINDIA
2020-11-11,876.0,899.0,863.25,877.0,881.15,928.0,401.0,LINDEINDIA
2020-11-10,902.0,905.05,854.0,865.95,865.7,928.0,401.0,LINDEINDIA
2020-11-09,908.0,918.0,880.0,892.0,896.8,928.0,401.0,LINDEINDIA
2020-11-06,832.65,928.0,822.5,882.85,885.6,928.0,401.0,LINDEINDIA
2020-11-05,830.0,844.9,823.4,826.05,828.5,860.0,401.0,LINDEINDIA
2020-11-04,820.0,837.8,820.0,825.0,826.5,860.0,401.0,LINDEINDIA
2020-11-03,823.5,838.3,823.5,830.05,828.7,860.0,401.0,LINDEINDIA
2020-11-02,838.0,839.05,820.05,836.0,833.45,860.0,401.0,LINDEINDIA
2020-10-30,837.25,844.4,825.2,835.05,834.85,860.0,401.0,LINDEINDIA
2020-10-29,820.0,838.0,798.2,832.1,833.05,860.0,401.0,LINDEINDIA
2020-10-28,835.35,844.7,811.2,818.5,818.9,860.0,401.0,LINDEINDIA
2020-10-27,817.35,840.0,807.95,831.2,833.35,860.0,401.0,LINDEINDIA
2020-10-26,844.95,848.0,813.6,824.5,824.95,860.0,401.0,LINDEINDIA
2020-10-23,836.0,844.95,821.6,842.0,841.2,860.0,401.0,LINDEINDIA
2020-10-22,821.65,839.7,819.7,835.0,833.05,860.0,401.0,LINDEINDIA
2020-10-21,803.25,829.0,799.55,826.1,821.5,860.0,401.0,LINDEINDIA
2020-10-20,785.9,804.0,777.15,800.0,799.3,860.0,401.0,LINDEINDIA
2020-10-19,773.75,792.0,762.3,791.0,786.6,860.0,401.0,LINDEINDIA
