DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,2557.7,2606.6,2537.2,2558.4,2945.0,810.15,LINDEINDIA
2021-11-11,2552.65,2567.9,2496.2,2532.4,2945.0,810.15,LINDEINDIA
2021-11-10,2625.0,2658.0,2532.5,2552.65,2945.0,810.15,LINDEINDIA
2021-11-09,2480.0,2670.0,2480.0,2660.55,2945.0,810.15,LINDEINDIA
2021-11-08,2536.0,2547.95,2482.0,2491.5,2945.0,810.15,LINDEINDIA
2021-11-04,2504.7,2548.0,2488.85,2531.85,2945.0,810.15,LINDEINDIA
2021-11-03,2516.95,2516.95,2444.1,2488.8,2945.0,810.15,LINDEINDIA
2021-11-02,2367.0,2517.55,2329.0,2498.15,2945.0,810.15,LINDEINDIA
2021-11-01,2324.0,2384.2,2300.0,2357.6,2945.0,810.15,LINDEINDIA
2021-10-29,2301.0,2360.3,2282.0,2304.55,2945.0,798.2,LINDEINDIA
2021-10-28,2390.0,2390.0,2300.1,2316.6,2945.0,798.2,LINDEINDIA
2021-10-27,2376.3,2449.9,2360.95,2382.25,2945.0,798.2,LINDEINDIA
2021-10-26,2338.0,2398.0,2302.7,2364.5,2945.0,798.2,LINDEINDIA
2021-10-25,2351.35,2400.0,2258.7,2337.35,2945.0,798.2,LINDEINDIA
2021-10-22,2363.0,2449.9,2360.9,2417.9,2945.0,762.3,LINDEINDIA
2021-10-21,2517.5,2546.0,2350.1,2371.45,2945.0,762.3,LINDEINDIA
2021-10-20,2506.6,2516.25,2429.85,2474.9,2945.0,762.3,LINDEINDIA
2021-10-19,2585.8,2608.0,2493.0,2506.5,2945.0,762.3,LINDEINDIA
2021-10-18,2623.95,2634.0,2580.0,2585.8,2945.0,762.3,LINDEINDIA
2021-10-14,2611.0,2649.9,2585.05,2608.4,2945.0,753.0,LINDEINDIA
2021-10-13,2643.8,2649.0,2589.8,2596.4,2945.0,753.0,LINDEINDIA
2021-10-12,2694.0,2694.0,2621.0,2625.8,2945.0,753.0,LINDEINDIA
2021-10-11,2650.5,2756.8,2640.6,2705.7,2945.0,753.0,LINDEINDIA
2021-10-08,2627.0,2694.0,2605.25,2629.45,2945.0,753.0,LINDEINDIA
2021-10-07,2611.85,2643.8,2590.3,2606.7,2945.0,753.0,LINDEINDIA
2021-10-06,2668.3,2698.0,2542.55,2588.35,2945.0,753.0,LINDEINDIA
2021-10-05,2639.6,2694.0,2636.85,2654.15,2945.0,753.0,LINDEINDIA
2021-10-04,2644.8,2678.95,2620.05,2639.6,2945.0,753.0,LINDEINDIA
2021-10-01,2595.0,2658.0,2551.0,2627.95,2945.0,721.85,LINDEINDIA
2021-09-30,2684.0,2698.0,2592.0,2604.45,2945.0,721.85,LINDEINDIA
2021-09-29,2590.0,2699.0,2556.5,2668.0,2945.0,721.85,LINDEINDIA
2021-09-28,2712.9,2728.9,2595.0,2607.5,2945.0,721.85,LINDEINDIA
2021-09-27,2772.95,2839.9,2675.6,2691.15,2945.0,721.85,LINDEINDIA
2021-09-24,2820.0,2834.9,2740.0,2759.5,2945.0,705.0,LINDEINDIA
2021-09-23,2856.0,2945.0,2788.85,2799.95,2945.0,705.0,LINDEINDIA
2021-09-22,2616.0,2855.0,2600.0,2832.0,2855.0,705.0,LINDEINDIA
2021-09-21,2578.0,2660.0,2530.0,2610.8,2767.15,705.0,LINDEINDIA
2021-09-20,2600.0,2667.9,2550.5,2570.85,2767.15,705.0,LINDEINDIA
2021-09-17,2697.0,2728.7,2590.05,2659.1,2767.15,705.0,LINDEINDIA
2021-09-16,2729.95,2734.9,2663.35,2696.65,2767.15,705.0,LINDEINDIA
2021-09-15,2682.45,2767.15,2641.0,2735.1,2767.15,705.0,LINDEINDIA
2021-09-14,2670.0,2739.8,2622.95,2667.2,2755.0,705.0,LINDEINDIA
2021-09-13,2536.2,2664.4,2536.2,2649.0,2755.0,705.0,LINDEINDIA
2021-09-09,2556.1,2597.0,2520.0,2530.35,2755.0,677.9,LINDEINDIA
2021-09-08,2609.95,2657.0,2531.25,2550.75,2755.0,677.9,LINDEINDIA
2021-09-07,2547.7,2755.0,2475.25,2596.3,2755.0,677.9,LINDEINDIA
2021-09-06,2474.0,2627.15,2471.0,2528.0,2750.0,677.9,LINDEINDIA
2021-09-03,2319.0,2548.0,2307.0,2500.1,2750.0,677.9,LINDEINDIA
2021-09-02,2301.7,2365.0,2292.0,2299.95,2750.0,677.9,LINDEINDIA
2021-09-01,2301.6,2363.65,2280.0,2290.2,2750.0,677.9,LINDEINDIA
2021-08-31,2360.5,2379.95,2273.0,2290.55,2750.0,677.9,LINDEINDIA
2021-08-30,2410.0,2498.0,2323.05,2343.7,2750.0,677.9,LINDEINDIA
2021-08-27,2351.0,2448.0,2310.0,2385.95,2750.0,677.9,LINDEINDIA
2021-08-26,2524.0,2750.0,2331.1,2373.05,2750.0,677.9,LINDEINDIA
2021-08-25,2317.9,2727.4,2251.0,2564.5,2727.4,677.9,LINDEINDIA
2021-08-24,2060.0,2319.95,2041.0,2285.7,2319.95,677.9,LINDEINDIA
2021-08-23,1958.95,2044.0,1933.0,2033.8,2074.0,677.9,LINDEINDIA
2021-08-20,1908.0,1968.0,1875.05,1953.9,2074.0,677.9,LINDEINDIA
2021-08-18,1873.5,1911.8,1834.5,1888.3,2074.0,677.9,LINDEINDIA
2021-08-17,1849.25,1873.0,1830.35,1864.15,2074.0,677.9,LINDEINDIA
2021-08-16,1836.0,1889.95,1820.0,1839.65,2074.0,677.9,LINDEINDIA
2021-08-13,1780.0,1834.4,1780.0,1824.4,2074.0,672.1,LINDEINDIA
2021-08-12,1795.0,1832.6,1793.45,1799.0,2074.0,672.1,LINDEINDIA
2021-08-11,1779.0,1811.1,1745.0,1795.85,2074.0,672.1,LINDEINDIA
2021-08-10,1809.8,1884.0,1714.0,1840.1,2074.0,672.1,LINDEINDIA
2021-08-09,1769.2,1810.0,1761.3,1795.3,2074.0,672.1,LINDEINDIA
2021-08-06,1750.0,1829.8,1730.05,1769.2,2074.0,626.0,LINDEINDIA
2021-08-05,1753.0,1758.4,1700.9,1745.2,2074.0,626.0,LINDEINDIA
2021-08-04,1790.0,1814.4,1734.0,1742.9,2074.0,626.0,LINDEINDIA
2021-08-03,1763.55,1785.15,1745.05,1762.45,2074.0,626.0,LINDEINDIA
2021-08-02,1753.0,1785.65,1736.95,1753.2,2074.0,626.0,LINDEINDIA
2021-07-30,1741.9,1764.0,1732.6,1752.45,2074.0,621.1,LINDEINDIA
2021-07-29,1720.0,1794.0,1720.0,1735.8,2074.0,621.1,LINDEINDIA
