DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,47.0,47.0,44.05,45.4,59.0,28.2,LOTUSEYE
2021-11-11,47.0,47.0,43.75,45.95,59.0,28.2,LOTUSEYE
2021-11-10,46.65,47.0,43.9,45.4,59.0,28.2,LOTUSEYE
2021-11-09,45.0,46.0,43.45,45.7,59.0,28.2,LOTUSEYE
2021-11-08,44.0,44.6,42.35,44.1,59.0,28.2,LOTUSEYE
2021-11-04,45.9,45.9,42.2,42.5,59.0,28.2,LOTUSEYE
2021-11-03,44.0,44.4,41.4,44.3,59.0,28.2,LOTUSEYE
2021-11-02,42.5,42.6,41.0,42.3,59.0,27.45,LOTUSEYE
2021-11-01,38.25,40.95,38.25,40.6,59.0,27.45,LOTUSEYE
2021-10-29,41.35,41.4,39.6,40.15,59.0,27.45,LOTUSEYE
2021-10-28,43.4,43.4,41.0,41.35,59.0,26.3,LOTUSEYE
2021-10-27,43.75,43.8,42.05,42.6,59.0,26.3,LOTUSEYE
2021-10-26,45.15,45.15,42.8,43.2,59.0,26.3,LOTUSEYE
2021-10-25,46.9,46.95,43.95,44.25,59.0,26.3,LOTUSEYE
2021-10-22,43.0,45.15,42.6,45.15,59.0,26.3,LOTUSEYE
2021-10-21,42.85,43.95,42.35,43.0,59.0,26.3,LOTUSEYE
2021-10-20,42.75,43.7,41.1,42.1,59.0,26.3,LOTUSEYE
2021-10-19,42.4,44.8,42.15,42.45,59.0,26.3,LOTUSEYE
2021-10-18,45.4,45.4,42.4,42.7,59.0,26.15,LOTUSEYE
2021-10-14,46.0,46.0,44.2,44.6,59.0,26.15,LOTUSEYE
2021-10-13,44.7,46.4,43.75,44.7,59.0,26.15,LOTUSEYE
2021-10-12,44.5,47.45,44.3,44.6,59.0,26.15,LOTUSEYE
2021-06-30,58.0,58.15,52.6,52.85,59.0,26.15,LOTUSEYE
2021-06-29,54.9,57.55,52.25,53.55,59.0,26.15,LOTUSEYE
2021-06-28,59.0,59.0,52.35,53.6,59.0,26.15,LOTUSEYE
2021-06-25,53.3,57.8,50.1,56.2,57.8,26.15,LOTUSEYE
2021-06-24,47.9,55.0,47.1,52.3,55.0,26.15,LOTUSEYE
2021-06-23,49.5,50.4,47.55,47.85,54.95,26.15,LOTUSEYE
2021-06-22,44.5,51.9,43.1,49.1,54.95,26.15,LOTUSEYE
2021-06-21,43.9,44.7,42.55,43.55,54.95,26.15,LOTUSEYE
2021-06-18,46.2,46.2,42.5,43.9,54.95,25.0,LOTUSEYE
2021-06-17,46.3,46.3,44.55,44.85,54.95,25.0,LOTUSEYE
2021-06-16,44.95,45.85,44.65,44.85,54.95,25.0,LOTUSEYE
2021-06-15,45.9,45.9,44.35,45.2,54.95,25.0,LOTUSEYE
2021-06-14,46.35,46.35,44.4,44.75,54.95,25.0,LOTUSEYE
2021-06-11,46.5,46.55,43.5,44.6,54.95,22.25,LOTUSEYE
2021-06-10,45.6,46.65,45.05,46.25,54.95,22.25,LOTUSEYE
2021-06-09,47.8,47.8,45.4,45.6,54.95,22.25,LOTUSEYE
2021-06-08,45.5,47.85,45.35,46.35,54.95,22.25,LOTUSEYE
2021-06-07,46.7,47.2,45.85,45.95,54.95,22.25,LOTUSEYE
2021-06-04,45.2,48.9,43.15,45.75,54.95,22.25,LOTUSEYE
2021-06-03,43.0,45.9,43.0,44.75,54.95,22.25,LOTUSEYE
2021-06-02,44.35,44.4,42.2,43.05,54.95,22.25,LOTUSEYE
2021-06-01,45.25,45.5,42.15,43.35,54.95,22.25,LOTUSEYE
2021-05-31,47.35,47.35,45.1,45.2,54.95,22.25,LOTUSEYE
2021-05-28,46.65,47.9,46.05,46.4,54.95,22.25,LOTUSEYE
2021-05-27,46.9,48.35,46.3,46.5,54.95,22.25,LOTUSEYE
2021-05-26,47.65,48.9,46.7,47.05,54.95,22.25,LOTUSEYE
2021-05-25,50.95,50.95,46.0,46.3,54.95,22.25,LOTUSEYE
2021-05-24,52.9,53.25,49.55,49.75,54.95,22.25,LOTUSEYE
2021-05-21,50.0,53.0,50.0,50.8,54.95,22.25,LOTUSEYE
2021-05-20,49.15,51.15,48.6,49.45,54.95,22.25,LOTUSEYE
2021-05-19,53.4,53.4,49.1,49.65,54.95,22.25,LOTUSEYE
2021-05-18,52.65,53.5,51.0,52.95,54.95,22.25,LOTUSEYE
2021-05-17,49.5,54.0,48.55,52.1,54.95,22.25,LOTUSEYE
2021-05-14,45.5,49.9,45.5,47.2,54.95,21.85,LOTUSEYE
2021-05-12,48.0,48.0,43.3,44.55,54.95,21.85,LOTUSEYE
2021-05-11,44.65,47.7,43.25,45.2,54.95,21.85,LOTUSEYE
2021-05-10,45.4,45.5,42.35,43.8,54.95,21.85,LOTUSEYE
2021-05-07,44.0,44.9,42.5,42.95,54.95,21.1,LOTUSEYE
2021-05-06,46.0,46.0,42.6,43.1,54.95,21.1,LOTUSEYE
2021-05-05,44.3,45.05,44.05,44.65,54.95,21.1,LOTUSEYE
2021-05-04,44.7,45.85,44.0,44.25,54.95,21.1,LOTUSEYE
2021-05-03,43.85,43.95,42.5,43.6,54.95,21.1,LOTUSEYE
2021-04-30,44.2,44.2,42.5,42.75,54.95,21.0,LOTUSEYE
2021-04-29,41.65,43.95,41.65,43.45,54.95,21.0,LOTUSEYE
2021-04-28,44.05,45.55,41.25,42.45,54.95,21.0,LOTUSEYE
2021-04-27,42.4,44.8,42.3,43.15,54.95,21.0,LOTUSEYE
2021-04-26,44.8,44.8,42.35,42.7,54.95,21.0,LOTUSEYE
2021-04-23,45.35,45.35,43.35,43.9,54.95,21.0,LOTUSEYE
2021-04-22,45.4,45.4,43.85,44.45,54.95,21.0,LOTUSEYE
2021-04-20,41.0,44.95,41.0,43.55,54.95,21.0,LOTUSEYE
2021-04-19,43.0,43.0,40.25,40.35,54.95,21.0,LOTUSEYE
2021-04-16,43.9,44.8,41.05,42.15,54.95,21.0,LOTUSEYE
2021-04-15,40.8,43.5,40.8,42.65,54.95,21.0,LOTUSEYE
2021-04-13,43.9,44.3,42.45,43.35,54.95,21.0,LOTUSEYE
2021-04-12,45.0,45.0,41.8,43.1,54.95,21.0,LOTUSEYE
2021-04-09,43.5,45.8,42.3,44.35,54.95,21.0,LOTUSEYE
2021-04-08,43.15,43.4,42.0,42.25,54.95,21.0,LOTUSEYE
2021-04-07,41.4,43.45,41.4,41.85,54.95,21.0,LOTUSEYE
2021-04-06,41.0,43.0,41.0,42.35,54.95,21.0,LOTUSEYE
2021-04-05,44.25,44.25,41.0,41.3,54.95,21.0,LOTUSEYE
2021-04-01,41.9,43.85,41.0,43.35,54.95,20.45,LOTUSEYE
2021-03-31,42.5,42.7,40.55,41.0,54.95,20.45,LOTUSEYE
2021-03-30,38.55,42.5,38.55,41.6,54.95,20.45,LOTUSEYE
2021-03-26,39.75,39.95,38.5,39.15,54.95,20.45,LOTUSEYE
2021-03-25,40.2,40.9,38.05,39.0,54.95,20.45,LOTUSEYE
2021-03-24,42.9,42.9,40.0,40.3,54.95,20.45,LOTUSEYE
2021-03-23,41.5,42.8,40.75,42.05,54.95,20.45,LOTUSEYE
2021-03-22,42.0,42.25,41.2,41.85,54.95,20.45,LOTUSEYE
2021-03-19,38.5,44.9,38.5,42.75,54.95,20.45,LOTUSEYE
2021-03-18,44.35,44.95,39.6,40.0,54.95,20.45,LOTUSEYE
2021-03-17,48.45,48.9,42.5,43.0,54.95,20.45,LOTUSEYE
2021-03-16,49.45,54.95,47.0,47.95,54.95,20.45,LOTUSEYE
2021-03-15,44.9,49.0,43.55,46.1,49.0,20.45,LOTUSEYE
2021-03-12,41.0,44.0,39.75,43.25,44.0,20.45,LOTUSEYE
2021-03-10,36.95,40.25,36.3,39.75,41.0,20.45,LOTUSEYE
2021-03-09,36.5,36.5,36.0,36.4,41.0,20.45,LOTUSEYE
2021-03-08,35.75,36.9,35.5,35.9,41.0,20.45,LOTUSEYE
2021-03-05,36.1,37.5,35.9,35.9,41.0,20.45,LOTUSEYE
2021-03-04,37.1,37.1,35.55,36.15,41.0,20.45,LOTUSEYE
2021-03-03,37.65,38.0,35.5,35.95,41.0,20.45,LOTUSEYE
2021-03-02,35.8,39.0,34.15,37.0,41.0,20.45,LOTUSEYE
2021-03-01,35.75,35.75,34.1,34.75,41.0,20.45,LOTUSEYE
2021-02-26,34.9,35.35,34.35,34.6,41.0,20.45,LOTUSEYE
2021-02-25,35.65,36.0,34.25,35.1,41.0,20.45,LOTUSEYE
2021-02-24,34.35,35.1,33.9,34.95,41.0,20.45,LOTUSEYE
2021-02-23,35.0,35.7,34.05,34.35,41.0,20.45,LOTUSEYE
2021-02-22,35.35,35.8,34.1,34.95,41.0,20.45,LOTUSEYE
2021-02-19,35.55,36.0,34.5,35.05,41.0,20.45,LOTUSEYE
2021-02-18,36.8,36.8,35.3,35.45,41.0,20.45,LOTUSEYE
2021-02-17,34.6,36.5,34.6,36.3,41.0,20.45,LOTUSEYE
2021-02-16,35.9,36.2,35.7,35.75,41.0,20.45,LOTUSEYE
2021-02-15,35.7,36.0,34.35,35.7,41.0,20.45,LOTUSEYE
2021-02-12,35.55,35.7,34.0,35.2,41.0,20.45,LOTUSEYE
2021-02-11,36.65,36.65,34.6,35.25,41.0,20.45,LOTUSEYE
2021-02-10,35.8,36.0,34.6,35.6,41.0,20.45,LOTUSEYE
2021-02-09,33.45,36.85,33.4,35.8,41.0,20.45,LOTUSEYE
2021-02-08,35.2,36.15,33.2,33.55,41.0,20.45,LOTUSEYE
2021-02-05,35.45,35.9,35.4,35.5,41.0,20.45,LOTUSEYE
2021-02-04,35.9,36.0,35.1,35.1,41.0,20.45,LOTUSEYE
2021-02-03,35.85,37.0,34.0,35.65,41.0,20.45,LOTUSEYE
2021-02-02,36.95,36.95,33.75,34.7,41.0,20.45,LOTUSEYE
2021-02-01,36.85,37.15,36.15,36.35,41.0,20.45,LOTUSEYE
2021-01-29,37.5,38.0,36.1,37.05,41.0,20.45,LOTUSEYE
2021-01-28,36.0,37.0,34.55,36.8,41.0,20.45,LOTUSEYE
2021-01-27,36.5,37.9,35.5,36.05,41.0,20.45,LOTUSEYE
2021-01-25,38.0,38.0,35.75,35.75,41.0,20.45,LOTUSEYE
2021-01-22,36.0,38.25,36.0,37.25,41.0,20.45,LOTUSEYE
2021-01-21,41.0,41.0,36.1,37.1,41.0,20.45,LOTUSEYE
2021-01-20,35.35,38.75,35.1,37.9,39.95,20.45,LOTUSEYE
2021-01-19,35.15,35.75,35.0,35.4,39.95,20.45,LOTUSEYE
2021-01-18,36.0,36.5,35.35,35.35,39.95,20.45,LOTUSEYE
2021-01-15,36.8,36.8,35.6,36.0,39.95,20.45,LOTUSEYE
2021-01-14,36.0,36.25,35.85,36.05,39.95,20.45,LOTUSEYE
2021-01-13,36.0,36.45,35.95,36.0,39.95,20.45,LOTUSEYE
2021-01-12,36.7,37.0,35.9,36.0,39.95,20.45,LOTUSEYE
2021-01-11,35.95,37.0,35.7,36.7,39.95,20.45,LOTUSEYE
2021-01-08,35.0,35.8,35.0,35.5,39.95,20.45,LOTUSEYE
2021-01-07,34.2,35.75,34.05,35.1,39.95,20.45,LOTUSEYE
2021-01-06,33.4,35.0,33.4,34.05,39.95,20.45,LOTUSEYE
2021-01-05,34.65,35.15,34.2,34.25,39.95,20.45,LOTUSEYE
2021-01-04,35.75,35.95,34.5,34.75,39.95,20.45,LOTUSEYE
2021-01-01,34.0,36.5,33.0,34.4,39.95,20.45,LOTUSEYE
2020-12-31,33.15,33.5,31.6,33.15,39.95,20.45,LOTUSEYE
2020-12-30,32.1,33.0,31.25,32.65,39.95,20.45,LOTUSEYE
2020-12-29,32.05,32.9,31.5,32.35,39.95,20.45,LOTUSEYE
2020-12-28,31.0,32.0,30.7,31.95,39.95,20.45,LOTUSEYE
2020-12-24,31.3,32.4,30.25,30.8,39.95,20.45,LOTUSEYE
2020-12-23,32.45,32.45,31.1,31.8,39.95,20.45,LOTUSEYE
2020-12-22,31.15,32.35,31.1,31.35,39.95,20.45,LOTUSEYE
2020-12-21,31.25,32.55,30.5,31.45,39.95,20.45,LOTUSEYE
2020-12-18,31.25,31.95,31.25,31.8,39.95,20.45,LOTUSEYE
2020-12-17,31.95,32.6,31.35,31.55,39.95,20.45,LOTUSEYE
2020-12-16,33.55,33.55,31.3,31.45,39.95,20.45,LOTUSEYE
2020-12-15,31.65,32.5,31.5,31.8,39.95,20.45,LOTUSEYE
2020-12-14,32.45,32.45,31.6,31.7,39.95,20.45,LOTUSEYE
2020-12-11,32.5,33.0,31.6,31.8,39.95,20.45,LOTUSEYE
2020-12-10,32.15,32.6,32.0,32.2,39.95,20.45,LOTUSEYE
2020-12-09,32.9,33.65,32.0,32.1,39.95,20.45,LOTUSEYE
2020-12-08,33.0,33.0,32.05,32.15,39.95,20.45,LOTUSEYE
2020-12-07,31.55,32.8,31.3,32.15,39.95,20.45,LOTUSEYE
2020-12-04,33.5,33.5,31.05,31.55,39.95,20.45,LOTUSEYE
2020-12-03,33.45,33.5,32.2,32.35,39.95,20.45,LOTUSEYE
2020-12-02,33.75,33.75,32.1,32.15,39.95,20.45,LOTUSEYE
2020-12-01,33.5,33.5,32.2,32.6,39.95,20.45,LOTUSEYE
2020-11-27,32.95,33.7,32.35,32.8,39.95,20.25,LOTUSEYE
2020-11-26,32.0,33.4,32.0,32.9,39.95,20.25,LOTUSEYE
2020-11-25,33.45,33.45,31.15,32.65,39.95,20.25,LOTUSEYE
2020-11-24,32.85,33.0,31.6,31.9,39.95,20.25,LOTUSEYE
2020-11-23,33.05,33.1,31.3,32.25,39.95,20.25,LOTUSEYE
2020-11-20,32.8,33.0,31.9,32.25,39.95,20.25,LOTUSEYE
2020-11-19,31.0,32.5,31.0,32.25,39.95,20.25,LOTUSEYE
2020-11-18,31.5,32.8,30.95,31.8,39.95,20.25,LOTUSEYE
2020-11-17,31.4,32.0,30.55,31.9,39.95,20.25,LOTUSEYE
2020-11-14,30.15,30.8,29.9,30.5,39.95,20.05,LOTUSEYE
2020-11-13,30.8,30.8,28.2,29.8,39.95,20.05,LOTUSEYE
2020-11-12,30.1,30.3,30.0,30.15,39.95,20.05,LOTUSEYE
2020-11-11,30.2,31.2,30.15,30.35,39.95,20.05,LOTUSEYE
2020-11-10,30.25,30.8,30.15,30.3,39.95,20.05,LOTUSEYE
