DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,130.45,130.45,125.25,126.35,145.55,50.85,LOVABLE
2021-10-28,126.9,133.8,125.1,129.45,145.55,50.85,LOVABLE
2021-10-27,124.8,131.75,123.5,127.7,145.55,50.85,LOVABLE
2021-10-26,123.6,126.8,122.7,124.1,145.55,50.85,LOVABLE
2021-10-25,129.2,129.2,120.0,122.1,145.55,50.85,LOVABLE
2021-10-22,129.85,133.4,125.1,125.9,145.55,50.85,LOVABLE
2021-10-21,131.0,133.7,127.0,128.1,145.55,50.85,LOVABLE
2021-10-20,127.85,130.75,120.75,128.6,145.55,50.85,LOVABLE
2021-10-19,135.9,136.75,125.0,126.85,145.55,50.85,LOVABLE
2021-10-18,135.7,140.85,131.85,134.95,145.55,50.85,LOVABLE
2021-10-14,123.85,140.25,123.5,134.8,145.55,50.85,LOVABLE
2021-10-13,124.4,125.25,123.1,123.85,145.55,50.85,LOVABLE
2021-10-12,123.05,126.9,122.5,124.35,145.55,50.85,LOVABLE
2021-10-11,125.25,129.0,122.95,125.3,145.55,50.85,LOVABLE
2021-10-08,127.05,128.5,123.7,124.25,145.55,50.85,LOVABLE
2021-10-07,118.9,127.0,118.25,122.5,145.55,50.85,LOVABLE
2021-10-06,120.85,121.9,115.0,115.7,145.55,50.85,LOVABLE
2021-10-05,120.3,122.35,118.9,119.9,145.55,50.85,LOVABLE
2021-10-04,118.5,124.0,118.0,120.75,145.55,50.85,LOVABLE
2021-10-01,114.45,122.0,113.25,117.95,145.55,50.85,LOVABLE
2021-09-30,113.05,115.5,113.05,113.75,145.55,50.85,LOVABLE
2021-09-29,113.3,114.8,112.6,113.65,145.55,50.85,LOVABLE
2021-09-28,114.05,115.95,112.3,112.95,145.55,50.85,LOVABLE
2021-09-27,114.25,114.75,112.2,113.4,145.55,50.85,LOVABLE
2021-09-24,116.0,116.95,113.1,113.8,145.55,50.85,LOVABLE
2021-09-23,114.85,116.9,113.7,114.4,145.55,50.85,LOVABLE
2021-09-22,113.5,116.0,112.2,113.25,145.55,50.85,LOVABLE
2021-09-21,111.0,115.0,111.0,112.55,145.55,50.85,LOVABLE
2021-09-20,115.0,115.0,111.8,112.5,145.55,50.85,LOVABLE
2021-09-17,116.45,116.45,113.0,113.75,145.55,50.85,LOVABLE
