DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,90.3,91.8,87.25,88.9,130.3,72.3,MAHASTEEL
2021-10-27,86.5,93.4,86.5,90.25,130.3,72.3,MAHASTEEL
2021-10-26,85.0,87.0,84.45,86.5,130.3,72.3,MAHASTEEL
2021-10-25,88.65,89.55,84.0,85.8,130.3,72.3,MAHASTEEL
2021-10-22,89.95,90.25,88.0,88.35,130.3,72.3,MAHASTEEL
2021-10-21,90.75,90.75,89.0,89.6,130.3,72.3,MAHASTEEL
2021-10-20,90.2,92.35,89.8,90.0,130.3,72.3,MAHASTEEL
2021-10-19,90.3,91.95,89.85,90.0,130.3,72.3,MAHASTEEL
2021-10-18,93.4,93.5,90.95,91.3,130.3,72.3,MAHASTEEL
2021-10-14,92.0,92.75,90.5,91.95,130.3,72.3,MAHASTEEL
2021-10-13,92.8,92.8,90.0,90.8,130.3,72.3,MAHASTEEL
2021-10-12,91.3,92.45,91.0,91.6,130.3,72.3,MAHASTEEL
2021-10-11,92.95,93.0,91.4,92.3,130.3,72.3,MAHASTEEL
2021-10-08,92.65,93.45,91.5,91.9,130.3,72.3,MAHASTEEL
2021-10-07,92.65,93.6,91.65,92.65,130.3,72.3,MAHASTEEL
2021-10-06,93.3,94.6,92.5,92.65,130.3,72.3,MAHASTEEL
2021-10-05,93.45,94.95,91.55,93.3,130.3,72.3,MAHASTEEL
2021-10-04,94.75,95.85,92.1,93.45,130.3,72.3,MAHASTEEL
2021-10-01,92.3,96.9,92.0,93.85,130.3,72.3,MAHASTEEL
2021-09-30,95.0,96.9,92.15,93.25,130.3,72.3,MAHASTEEL
2021-09-29,91.35,93.5,89.8,92.2,130.3,72.3,MAHASTEEL
2021-09-28,90.5,92.9,89.15,89.8,130.3,72.3,MAHASTEEL
2021-09-27,91.9,91.9,89.15,89.75,130.3,72.3,MAHASTEEL
2021-09-24,90.3,92.8,90.3,91.15,130.3,72.3,MAHASTEEL
2021-09-23,90.3,94.2,90.3,91.55,130.3,72.3,MAHASTEEL
2021-09-22,91.0,92.15,90.6,91.3,130.3,72.3,MAHASTEEL
2021-09-21,90.4,93.0,89.6,91.4,130.3,72.3,MAHASTEEL
2021-09-20,93.5,93.5,90.4,91.15,130.3,72.3,MAHASTEEL
2021-09-17,95.0,95.0,91.3,92.5,130.3,72.3,MAHASTEEL
2021-09-16,94.8,97.9,93.8,94.35,130.3,72.3,MAHASTEEL
2021-09-15,93.0,94.0,91.25,93.4,130.3,72.3,MAHASTEEL
2021-09-14,92.5,94.45,92.1,92.75,130.3,72.3,MAHASTEEL
2021-09-13,93.3,93.95,92.0,92.95,130.3,72.3,MAHASTEEL
2021-09-09,96.75,96.75,92.2,93.3,130.3,72.3,MAHASTEEL
2021-09-08,93.8,94.7,92.2,93.1,130.3,72.3,MAHASTEEL
2021-09-07,96.0,98.0,93.4,93.8,130.3,72.3,MAHASTEEL
2021-09-06,98.4,98.4,92.6,94.85,130.3,72.3,MAHASTEEL
2021-09-03,92.95,98.5,91.9,97.8,130.3,72.3,MAHASTEEL
2021-09-02,91.7,94.0,91.0,91.9,130.3,72.3,MAHASTEEL
2021-09-01,93.0,94.25,90.65,91.7,130.3,72.3,MAHASTEEL
2021-08-31,95.2,95.2,91.15,92.25,130.3,72.3,MAHASTEEL
2021-08-30,89.55,97.0,89.55,94.45,130.3,72.3,MAHASTEEL
2021-08-27,90.1,91.6,89.0,89.5,130.3,72.3,MAHASTEEL
2021-08-26,90.9,91.9,87.7,90.75,130.3,72.3,MAHASTEEL
2021-08-25,89.85,94.0,89.5,90.2,130.3,72.3,MAHASTEEL
2021-08-24,90.0,91.65,87.65,89.8,130.3,72.3,MAHASTEEL
2021-08-23,92.45,93.0,86.65,89.7,130.3,72.3,MAHASTEEL
2021-08-20,93.2,94.9,90.25,90.6,130.3,72.3,MAHASTEEL
2021-08-18,100.45,100.45,93.2,94.4,130.3,72.3,MAHASTEEL
2021-08-17,100.0,100.95,97.15,98.1,130.3,72.3,MAHASTEEL
2021-08-16,102.15,103.5,97.95,99.0,130.3,72.3,MAHASTEEL
2021-08-13,103.05,107.0,101.1,103.15,130.3,72.3,MAHASTEEL
2021-08-12,99.95,104.45,99.25,103.05,130.3,72.3,MAHASTEEL
2021-08-11,105.0,105.0,95.15,98.45,130.3,72.3,MAHASTEEL
2021-08-10,105.25,106.0,95.95,96.75,130.3,72.3,MAHASTEEL
2021-08-09,106.85,108.4,102.45,104.2,130.3,72.3,MAHASTEEL
2021-08-06,105.75,108.9,105.15,105.75,130.3,72.05,MAHASTEEL
2021-08-05,111.9,111.9,103.3,105.7,130.3,72.05,MAHASTEEL
2021-08-04,115.45,116.6,105.55,107.05,130.3,72.05,MAHASTEEL
2021-08-03,114.0,116.0,112.05,113.25,130.3,72.05,MAHASTEEL
2021-08-02,112.8,116.8,112.0,113.05,130.3,72.05,MAHASTEEL
2021-07-30,115.6,117.65,110.25,111.55,130.3,70.0,MAHASTEEL
2021-07-29,108.4,118.1,108.4,114.8,130.3,70.0,MAHASTEEL
2021-07-28,112.9,114.8,104.25,108.0,130.3,70.0,MAHASTEEL
2021-07-27,116.9,119.35,111.0,112.0,130.3,70.0,MAHASTEEL
2021-07-26,108.9,119.0,106.35,115.6,130.3,70.0,MAHASTEEL
2021-07-23,109.15,115.0,105.85,108.3,130.3,70.0,MAHASTEEL
2021-07-22,86.5,104.2,86.5,102.05,130.3,70.0,MAHASTEEL
2021-07-20,89.95,90.85,86.6,86.85,130.3,70.0,MAHASTEEL
2021-07-19,89.45,89.8,88.5,88.55,130.3,70.0,MAHASTEEL
2021-07-16,90.0,90.0,88.0,89.45,130.3,67.0,MAHASTEEL
2021-07-15,90.1,90.45,88.5,89.7,130.3,67.0,MAHASTEEL
2021-07-14,90.0,90.0,88.2,89.25,130.3,67.0,MAHASTEEL
2021-07-13,90.75,91.7,89.8,90.0,130.3,67.0,MAHASTEEL
2021-07-12,93.0,93.5,90.25,90.75,130.3,67.0,MAHASTEEL
2021-07-09,91.7,92.25,90.0,91.75,130.3,67.0,MAHASTEEL
2021-07-08,91.9,92.95,90.75,91.5,130.3,67.0,MAHASTEEL
2021-07-07,91.7,93.6,90.1,91.9,130.3,67.0,MAHASTEEL
2021-07-06,90.6,92.85,90.0,90.35,130.3,67.0,MAHASTEEL
2021-07-05,95.7,95.7,87.5,89.5,130.3,67.0,MAHASTEEL
