DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,34.25,34.25,34.25,34.25,34.25,MANAKSTEEL
2021-07-15,32.65,32.65,32.65,32.65,32.65,MANAKSTEEL
2021-07-14,29.65,29.7,28.05,29.7,29.7,MANAKSTEEL
2021-07-13,25.2,27.0,24.25,27.0,27.0,MANAKSTEEL
2021-07-12,23.85,25.35,23.85,24.55,24.55,MANAKSTEEL
2021-07-09,23.95,24.7,23.95,24.25,24.35,MANAKSTEEL
2021-07-08,24.05,24.55,23.6,24.45,24.35,MANAKSTEEL
2021-07-07,23.9,24.5,23.4,24.15,24.05,MANAKSTEEL
2021-07-06,24.6,24.8,24.0,24.3,24.25,MANAKSTEEL
2021-07-05,24.9,24.9,24.4,24.6,24.6,MANAKSTEEL
2021-07-02,24.65,24.8,24.3,24.5,24.5,MANAKSTEEL
2021-07-01,25.1,25.1,24.45,24.75,24.65,MANAKSTEEL
2021-06-30,24.75,25.45,24.7,24.8,24.95,MANAKSTEEL
2021-06-29,24.8,24.9,24.6,24.75,24.8,MANAKSTEEL
2021-06-28,25.45,25.5,24.6,24.8,24.8,MANAKSTEEL
2021-06-25,24.65,25.4,24.65,25.25,25.05,MANAKSTEEL
2021-06-24,24.25,24.7,24.25,24.55,24.6,MANAKSTEEL
2021-06-23,24.95,25.2,24.5,24.6,24.65,MANAKSTEEL
2021-06-22,25.15,25.45,24.3,24.75,24.7,MANAKSTEEL
2021-06-21,23.0,25.4,23.0,25.1,25.05,MANAKSTEEL
2021-06-18,25.45,25.6,23.6,24.65,24.55,MANAKSTEEL
2021-06-17,25.5,26.3,24.7,25.35,25.1,MANAKSTEEL
2021-06-16,26.3,26.75,24.5,25.0,24.95,MANAKSTEEL
2021-06-15,26.05,26.95,25.4,26.2,25.8,MANAKSTEEL
2021-06-14,26.0,26.05,25.3,25.9,25.8,MANAKSTEEL
2021-06-11,26.9,27.0,25.8,26.0,26.05,MANAKSTEEL
2021-06-10,27.0,27.2,26.15,26.6,26.5,MANAKSTEEL
2021-06-09,26.4,27.1,25.8,26.1,26.2,MANAKSTEEL
2021-06-08,27.8,27.8,25.6,25.95,25.85,MANAKSTEEL
2021-06-07,29.05,29.8,25.6,27.0,27.1,MANAKSTEEL
2021-06-04,30.45,30.45,27.7,28.5,28.35,MANAKSTEEL
2021-06-03,29.05,29.05,29.05,29.05,29.05,MANAKSTEEL
2021-06-02,26.5,27.7,26.5,27.7,27.7,MANAKSTEEL
2021-06-01,25.75,26.4,24.2,26.4,26.4,MANAKSTEEL
2021-05-31,25.05,25.65,24.35,25.2,25.15,MANAKSTEEL
2021-05-28,25.7,26.0,24.7,25.0,24.95,MANAKSTEEL
2021-05-27,25.75,25.75,24.25,24.8,24.9,MANAKSTEEL
2021-05-26,25.4,26.65,24.9,25.45,25.1,MANAKSTEEL
2021-05-25,27.3,27.3,25.7,26.0,25.95,MANAKSTEEL
2021-05-24,26.2,26.8,25.8,26.7,26.6,MANAKSTEEL
2021-05-21,26.25,26.25,25.15,25.45,25.55,MANAKSTEEL
2021-05-20,26.4,26.4,25.1,25.7,25.35,MANAKSTEEL
2021-05-19,26.1,26.45,25.05,26.25,25.75,MANAKSTEEL
2021-05-18,26.95,26.95,25.75,26.2,26.1,MANAKSTEEL
2021-05-17,26.5,27.65,25.95,26.45,26.6,MANAKSTEEL
2021-05-14,27.95,28.0,25.9,26.6,26.8,MANAKSTEEL
2021-05-12,28.8,29.55,27.0,27.1,27.25,MANAKSTEEL
2021-05-11,26.85,28.15,26.0,28.15,28.15,MANAKSTEEL
2021-05-10,26.7,26.85,26.6,26.85,26.85,MANAKSTEEL
2021-05-07,24.5,25.7,24.2,25.7,25.6,MANAKSTEEL
2021-05-06,25.25,25.4,24.15,24.25,24.5,MANAKSTEEL
2021-05-05,24.65,25.6,24.2,25.05,25.25,MANAKSTEEL
2021-05-04,26.9,27.0,24.65,24.65,24.65,MANAKSTEEL
2021-05-03,25.5,26.0,24.6,25.75,25.9,MANAKSTEEL
2021-04-30,26.0,26.75,24.9,25.4,25.0,MANAKSTEEL
2021-04-29,25.5,26.0,24.45,26.0,25.9,MANAKSTEEL
2021-04-28,26.4,26.7,24.45,24.5,24.85,MANAKSTEEL
2021-04-27,25.25,25.7,23.5,25.7,25.7,MANAKSTEEL
2021-04-26,23.7,24.5,23.7,24.5,24.5,MANAKSTEEL
2021-04-23,22.2,23.35,22.1,23.35,23.35,MANAKSTEEL
2021-04-22,22.35,22.7,21.65,22.35,22.25,MANAKSTEEL
2021-04-20,24.2,24.2,22.55,22.95,22.6,MANAKSTEEL
2021-04-19,24.9,25.6,23.7,23.7,23.7,MANAKSTEEL
2021-04-16,25.2,25.35,23.1,25.0,24.9,MANAKSTEEL
2021-04-15,24.5,25.45,23.7,24.8,24.15,MANAKSTEEL
2021-04-13,23.8,25.5,23.8,25.15,24.9,MANAKSTEEL
2021-04-12,25.0,25.0,24.3,24.3,24.3,MANAKSTEEL
2021-04-09,26.5,26.5,25.5,25.65,25.55,MANAKSTEEL
2021-04-08,28.4,28.9,26.5,26.5,26.55,MANAKSTEEL
2021-04-07,27.5,27.85,27.0,27.85,27.85,MANAKSTEEL
2021-04-06,24.8,26.55,24.8,26.55,26.55,MANAKSTEEL
2021-04-05,25.75,26.0,24.5,25.0,25.3,MANAKSTEEL
2021-04-01,24.7,24.8,23.05,24.8,24.8,MANAKSTEEL
2021-03-31,23.5,23.65,23.05,23.65,23.65,MANAKSTEEL
2021-03-30,21.5,22.55,21.5,22.55,22.55,MANAKSTEEL
2021-03-26,22.2,22.2,21.05,21.5,21.5,MANAKSTEEL
2021-03-25,20.95,21.7,20.95,21.5,21.45,MANAKSTEEL
2021-03-24,21.25,21.3,21.0,21.0,21.1,MANAKSTEEL
2021-03-23,21.85,21.85,20.15,21.25,21.2,MANAKSTEEL
2021-03-22,21.45,21.8,21.0,21.0,21.1,MANAKSTEEL
2021-03-19,20.95,21.0,20.2,20.8,20.85,MANAKSTEEL
2021-03-18,21.8,22.4,20.7,21.2,20.95,MANAKSTEEL
2021-03-17,22.0,22.8,21.5,21.75,21.75,MANAKSTEEL
2021-03-16,22.5,22.6,21.7,21.75,21.8,MANAKSTEEL
2021-03-15,23.9,23.95,22.0,22.45,22.2,MANAKSTEEL
2021-03-12,22.0,23.1,22.0,23.1,23.05,MANAKSTEEL
2021-03-10,21.95,22.2,21.6,22.2,22.0,MANAKSTEEL
2021-03-09,22.05,22.4,21.9,22.05,22.0,MANAKSTEEL
2021-03-08,23.0,23.0,21.35,22.0,22.0,MANAKSTEEL
2021-03-05,22.8,22.9,21.95,22.0,22.1,MANAKSTEEL
2021-03-04,21.9,22.45,21.1,22.4,22.25,MANAKSTEEL
2021-03-03,21.95,22.1,21.3,21.35,21.4,MANAKSTEEL
2021-03-02,21.75,22.05,21.5,21.5,21.55,MANAKSTEEL
2021-03-01,23.2,23.2,21.0,21.5,21.65,MANAKSTEEL
2021-02-26,21.1,22.1,21.0,22.1,22.1,MANAKSTEEL
2021-02-25,20.4,21.05,20.1,21.05,21.05,MANAKSTEEL
2021-02-24,20.1,20.6,20.0,20.4,20.05,MANAKSTEEL
2021-02-23,20.4,20.45,19.95,20.15,20.05,MANAKSTEEL
2021-02-22,19.5,20.7,19.5,19.95,20.05,MANAKSTEEL
2021-02-19,19.9,20.6,19.7,20.25,20.1,MANAKSTEEL
2021-02-18,19.4,20.25,19.2,20.05,20.2,MANAKSTEEL
2021-02-17,19.55,20.5,18.75,19.4,19.3,MANAKSTEEL
2021-02-16,20.3,20.3,19.55,19.55,19.55,MANAKSTEEL
2021-02-15,21.6,21.6,20.55,20.55,20.55,MANAKSTEEL
2021-02-12,22.0,22.1,21.25,21.8,21.6,MANAKSTEEL
2021-02-11,20.45,21.3,19.95,21.3,21.05,MANAKSTEEL
2021-02-10,19.7,20.65,19.65,20.5,20.3,MANAKSTEEL
2021-02-09,21.35,21.35,19.35,19.7,19.8,MANAKSTEEL
2021-02-08,21.05,21.8,20.35,20.35,20.35,MANAKSTEEL
2021-02-05,21.85,22.4,21.0,21.5,21.4,MANAKSTEEL
2021-02-04,22.0,22.05,21.25,21.5,21.55,MANAKSTEEL
2021-02-03,22.5,22.65,21.35,22.1,22.25,MANAKSTEEL
2021-02-02,21.5,22.15,21.25,22.0,22.1,MANAKSTEEL
2021-02-01,20.5,21.25,19.9,21.25,21.1,MANAKSTEEL
2021-01-29,19.55,20.65,19.1,20.4,20.25,MANAKSTEEL
2021-01-28,20.9,20.9,19.9,19.9,19.9,MANAKSTEEL
2021-01-27,22.0,22.0,20.9,20.9,20.9,MANAKSTEEL
2021-01-25,24.05,24.05,21.85,21.85,22.0,MANAKSTEEL
2021-01-22,23.6,24.3,22.55,22.75,22.95,MANAKSTEEL
2021-01-21,24.8,24.8,23.0,23.6,23.15,MANAKSTEEL
2021-01-20,23.85,24.2,23.2,24.2,24.2,MANAKSTEEL
2021-01-19,24.2,24.2,22.7,23.15,23.05,MANAKSTEEL
2021-01-18,23.4,24.0,23.35,23.35,23.45,MANAKSTEEL
2021-01-15,27.05,27.05,24.55,24.55,24.55,MANAKSTEEL
2021-01-14,25.8,25.8,25.8,25.8,25.8,MANAKSTEEL
2021-01-13,22.3,24.6,22.3,24.6,24.6,MANAKSTEEL
2021-01-12,23.45,23.45,23.45,23.45,23.45,MANAKSTEEL
2021-01-11,25.9,25.95,24.65,24.65,24.65,MANAKSTEEL
2021-01-08,26.05,26.6,25.9,25.9,25.9,MANAKSTEEL
2021-01-07,29.95,29.95,27.25,27.25,27.25,MANAKSTEEL
2021-01-06,29.6,29.6,28.0,28.7,28.65,MANAKSTEEL
2021-01-05,28.2,28.2,27.1,28.2,28.2,MANAKSTEEL
2021-01-04,26.9,26.9,26.9,26.9,26.9,MANAKSTEEL
2021-01-01,25.6,25.65,24.45,25.65,25.65,MANAKSTEEL
2020-12-31,24.45,24.55,22.35,24.2,24.45,MANAKSTEEL
2020-12-30,23.4,23.4,22.35,23.4,23.4,MANAKSTEEL
2020-12-29,22.2,22.3,22.2,22.3,22.3,MANAKSTEEL
2020-12-28,21.0,21.25,20.25,21.25,21.25,MANAKSTEEL
2020-12-24,20.2,20.25,19.15,20.2,20.25,MANAKSTEEL
2020-12-23,17.7,19.3,17.6,19.3,19.3,MANAKSTEEL
2020-12-22,18.6,19.5,18.4,18.4,18.4,MANAKSTEEL
2020-12-21,21.0,21.25,19.35,19.35,19.35,MANAKSTEEL
2020-12-18,20.1,22.1,20.05,20.4,20.35,MANAKSTEEL
2020-12-17,22.6,22.6,20.5,22.35,21.1,MANAKSTEEL
2020-12-16,21.55,21.55,21.55,21.55,21.55,MANAKSTEEL
2020-12-15,20.55,20.55,20.55,20.55,20.55,MANAKSTEEL
2020-12-14,19.6,19.6,19.6,19.6,19.6,MANAKSTEEL
2020-12-11,18.7,18.7,18.7,18.7,18.7,MANAKSTEEL
2020-12-10,17.8,17.85,16.25,17.85,17.85,MANAKSTEEL
2020-12-09,17.0,17.0,17.0,17.0,17.0,MANAKSTEEL
2020-12-08,16.2,16.2,15.45,16.2,16.2,MANAKSTEEL
2020-12-07,15.4,15.45,15.4,15.45,15.45,MANAKSTEEL
2020-12-04,14.7,14.75,14.3,14.75,14.75,MANAKSTEEL
2020-12-03,13.45,14.05,13.1,14.05,14.05,MANAKSTEEL
2020-12-02,13.0,13.8,13.0,13.4,13.4,MANAKSTEEL
2020-12-01,13.8,13.8,12.8,13.45,13.4,MANAKSTEEL
2020-11-27,13.0,13.6,12.75,13.5,13.45,MANAKSTEEL
2020-11-26,13.0,13.25,12.55,13.25,13.0,MANAKSTEEL
2020-11-25,13.6,14.25,12.95,12.95,13.0,MANAKSTEEL
2020-11-24,14.85,14.9,13.5,13.5,13.6,MANAKSTEEL
2020-11-23,14.2,14.2,14.2,14.2,14.2,MANAKSTEEL
2020-11-20,13.5,13.55,12.95,13.55,13.55,MANAKSTEEL
2020-11-19,12.9,12.95,12.5,12.9,12.95,MANAKSTEEL
2020-11-18,12.25,12.35,12.0,12.35,12.35,MANAKSTEEL
2020-11-17,11.45,11.85,11.4,11.75,11.8,MANAKSTEEL
2020-11-14,11.65,11.75,11.1,11.35,11.3,MANAKSTEEL
2020-11-13,11.2,11.2,10.5,11.2,11.2,MANAKSTEEL
2020-11-12,10.7,10.7,10.7,10.7,10.7,MANAKSTEEL
2020-11-11,10.2,10.2,10.2,10.2,10.2,MANAKSTEEL
2020-11-10,9.5,9.95,9.4,9.6,9.75,MANAKSTEEL
2020-11-09,9.95,10.0,9.6,9.75,9.7,MANAKSTEEL
2020-11-06,9.6,9.85,9.45,9.6,9.55,MANAKSTEEL
2020-11-05,9.5,9.85,9.45,9.75,9.8,MANAKSTEEL
2020-11-04,9.7,9.7,9.4,9.65,9.65,MANAKSTEEL
2020-11-03,9.8,9.8,9.4,9.4,9.4,MANAKSTEEL
2020-11-02,10.15,10.15,9.45,9.5,9.5,MANAKSTEEL
2020-10-30,9.5,10.05,9.4,9.9,9.75,MANAKSTEEL
2020-10-29,9.5,9.8,9.5,9.6,9.6,MANAKSTEEL
2020-10-28,9.95,9.95,9.35,9.6,9.6,MANAKSTEEL
2020-10-27,9.95,9.95,9.6,9.6,9.6,MANAKSTEEL
2020-10-26,10.5,10.5,9.7,9.8,10.1,MANAKSTEEL
