DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,142.95,142.95,137.05,138.05,196.95,96.0,MANGALAM
2021-11-11,144.95,144.95,139.0,139.45,196.95,96.0,MANGALAM
2021-11-10,138.9,145.0,137.05,142.3,196.95,96.0,MANGALAM
2021-11-09,136.0,138.75,134.2,137.85,196.95,96.0,MANGALAM
2021-11-08,135.3,135.95,132.5,134.0,196.95,96.0,MANGALAM
2021-11-04,136.8,136.8,132.25,134.5,196.95,96.0,MANGALAM
2021-11-03,136.6,136.6,132.0,134.65,196.95,96.0,MANGALAM
2021-11-02,136.95,137.5,134.0,134.8,196.95,96.0,MANGALAM
2021-11-01,137.4,137.4,134.0,134.8,196.95,96.0,MANGALAM
2021-10-29,135.1,138.0,133.0,134.25,196.95,96.0,MANGALAM
2021-10-28,137.3,141.0,134.0,136.0,196.95,96.0,MANGALAM
2021-10-27,139.6,142.05,139.4,140.1,196.95,96.0,MANGALAM
2021-10-26,138.5,143.95,138.5,139.1,196.95,96.0,MANGALAM
2021-10-25,145.9,145.9,136.3,138.1,196.95,96.0,MANGALAM
2021-10-22,142.65,145.3,140.2,141.0,196.95,96.0,MANGALAM
2021-10-21,147.0,149.0,142.5,143.05,196.95,96.0,MANGALAM
2021-10-20,145.95,149.5,140.2,147.45,196.95,96.0,MANGALAM
2021-10-19,143.95,149.0,138.55,144.75,196.95,96.0,MANGALAM
2021-10-18,143.95,144.7,140.05,142.75,196.95,96.0,MANGALAM
2021-10-14,144.5,144.95,141.0,141.35,196.95,96.0,MANGALAM
2021-10-13,145.95,145.95,143.5,143.75,196.95,96.0,MANGALAM
2021-10-12,144.65,146.25,142.5,144.85,196.95,96.0,MANGALAM
2021-10-11,148.8,148.8,144.25,144.65,196.95,96.0,MANGALAM
2021-10-08,146.45,148.0,144.9,147.15,196.95,96.0,MANGALAM
2021-10-07,145.5,147.8,144.5,144.75,196.95,96.0,MANGALAM
2021-10-06,149.9,150.1,145.1,146.6,196.95,96.0,MANGALAM
2021-10-05,147.3,150.0,145.0,147.45,196.95,96.0,MANGALAM
2021-10-04,149.5,149.5,146.05,147.3,196.95,96.0,MANGALAM
