DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-16,15.5,15.5,14.5,14.65,14.75,MANUGRAPH
2021-06-15,15.2,15.75,14.75,15.3,15.15,MANUGRAPH
2021-06-14,16.15,16.15,14.7,15.35,15.2,MANUGRAPH
2021-06-11,15.35,16.05,15.25,15.35,15.4,MANUGRAPH
2021-06-10,15.55,16.05,13.7,16.05,16.05,MANUGRAPH
2021-06-09,13.45,14.6,13.45,14.6,14.6,MANUGRAPH
2021-06-08,12.75,13.3,12.55,13.3,13.3,MANUGRAPH
2021-06-07,12.0,12.85,11.7,12.0,12.1,MANUGRAPH
2021-06-04,12.1,12.3,11.9,12.3,12.3,MANUGRAPH
2021-06-03,12.2,12.4,11.8,11.95,12.1,MANUGRAPH
2021-06-02,12.1,12.4,11.75,12.2,12.15,MANUGRAPH
2021-06-01,11.8,12.2,11.5,11.8,12.1,MANUGRAPH
2021-05-31,11.7,12.2,11.7,11.7,11.9,MANUGRAPH
2021-05-28,12.1,12.2,11.6,11.6,11.7,MANUGRAPH
2021-05-27,11.7,12.0,11.55,11.8,11.85,MANUGRAPH
2021-05-26,12.05,12.65,11.6,11.65,11.65,MANUGRAPH
2021-05-25,13.05,13.05,12.2,12.2,12.2,MANUGRAPH
2021-05-24,13.15,13.15,12.4,12.75,12.75,MANUGRAPH
2021-05-21,12.85,12.95,12.5,12.5,12.55,MANUGRAPH
2021-05-20,12.9,13.0,12.45,12.85,12.85,MANUGRAPH
2021-05-19,12.75,13.45,12.3,13.0,12.85,MANUGRAPH
2021-05-18,12.6,13.65,12.45,12.85,12.9,MANUGRAPH
2021-05-17,12.55,13.1,12.0,13.1,13.1,MANUGRAPH
2021-05-14,12.15,12.5,12.0,12.5,12.5,MANUGRAPH
2021-05-12,11.65,11.95,10.95,11.95,11.95,MANUGRAPH
2021-05-11,11.55,11.6,10.7,11.4,11.4,MANUGRAPH
2021-05-10,11.2,11.25,10.65,10.95,11.05,MANUGRAPH
2021-05-07,10.8,11.2,10.5,10.55,10.75,MANUGRAPH
2021-05-06,11.4,11.4,10.4,10.8,10.75,MANUGRAPH
2021-05-05,11.5,11.5,10.7,11.0,10.9,MANUGRAPH
2021-05-04,10.9,11.35,10.9,11.15,11.25,MANUGRAPH
2021-05-03,11.35,11.35,10.55,10.95,11.2,MANUGRAPH
2021-04-30,10.9,11.8,10.8,11.0,10.95,MANUGRAPH
2021-04-29,11.65,12.2,11.1,11.7,11.25,MANUGRAPH
2021-04-28,11.5,11.7,10.8,11.65,11.65,MANUGRAPH
2021-04-27,10.55,11.4,10.5,11.4,11.25,MANUGRAPH
2021-04-26,10.85,11.0,10.7,11.0,11.0,MANUGRAPH
2021-04-23,10.75,10.75,9.85,10.65,10.5,MANUGRAPH
2021-04-22,10.8,10.8,10.2,10.2,10.25,MANUGRAPH
2021-04-20,10.3,10.65,10.2,10.25,10.3,MANUGRAPH
2021-04-19,11.25,11.25,10.6,10.7,10.7,MANUGRAPH
2021-04-16,11.7,11.9,11.15,11.25,11.15,MANUGRAPH
2021-04-15,12.0,12.0,11.25,11.75,11.7,MANUGRAPH
2021-04-13,11.8,11.8,11.35,11.6,11.5,MANUGRAPH
2021-04-12,11.95,11.95,11.4,11.4,11.45,MANUGRAPH
2021-04-09,12.35,12.35,11.7,11.85,11.9,MANUGRAPH
2021-04-08,12.3,12.5,11.7,11.9,11.95,MANUGRAPH
2021-04-07,12.3,12.45,11.5,12.3,12.3,MANUGRAPH
2021-04-06,12.1,12.25,11.75,12.0,12.0,MANUGRAPH
2021-04-05,12.7,12.7,12.0,12.4,12.35,MANUGRAPH
2021-04-01,11.95,12.3,11.8,12.3,12.2,MANUGRAPH
2021-03-31,12.15,12.15,11.75,11.8,11.8,MANUGRAPH
2021-03-30,12.15,12.15,11.7,11.75,11.85,MANUGRAPH
2021-03-26,11.75,12.6,11.7,11.8,11.75,MANUGRAPH
2021-03-25,12.65,12.65,12.3,12.3,12.3,MANUGRAPH
2021-03-24,13.45,13.5,12.6,12.6,12.65,MANUGRAPH
2021-03-23,14.25,14.25,13.2,13.2,13.25,MANUGRAPH
2021-03-22,13.7,13.9,12.8,13.9,13.85,MANUGRAPH
2021-03-19,13.1,13.55,13.0,13.4,13.45,MANUGRAPH
2021-03-18,13.85,13.85,13.1,13.1,13.35,MANUGRAPH
2021-03-17,14.25,14.25,13.35,13.5,13.55,MANUGRAPH
2021-03-16,14.3,14.95,14.05,14.05,14.05,MANUGRAPH
2021-03-15,14.3,14.95,14.0,14.9,14.75,MANUGRAPH
2021-03-12,15.4,15.55,14.3,14.65,14.7,MANUGRAPH
2021-03-10,14.8,15.45,14.15,15.05,15.05,MANUGRAPH
2021-03-09,13.9,14.8,13.9,14.8,14.75,MANUGRAPH
2021-03-08,14.15,14.2,13.6,14.0,14.1,MANUGRAPH
2021-03-05,13.6,13.9,13.05,13.5,13.55,MANUGRAPH
2021-03-04,13.4,13.55,12.6,13.55,13.5,MANUGRAPH
2021-03-03,13.0,13.35,12.9,12.95,12.95,MANUGRAPH
2021-03-02,13.45,13.55,12.4,13.1,12.95,MANUGRAPH
2021-03-01,13.0,13.05,12.05,13.05,12.95,MANUGRAPH
2021-02-26,12.25,12.9,12.2,12.5,12.45,MANUGRAPH
2021-02-25,12.2,12.3,11.8,12.3,12.3,MANUGRAPH
2021-02-24,12.5,12.65,11.45,11.45,11.75,MANUGRAPH
2021-02-23,11.85,12.65,11.8,11.85,12.05,MANUGRAPH
2021-02-22,13.35,13.35,12.2,12.2,12.2,MANUGRAPH
2021-02-19,12.4,12.95,12.35,12.75,12.75,MANUGRAPH
2021-02-18,11.7,12.35,11.65,12.35,12.35,MANUGRAPH
2021-02-17,11.5,11.8,11.5,11.8,11.8,MANUGRAPH
2021-02-16,11.85,12.15,11.2,11.25,11.25,MANUGRAPH
2021-02-15,12.3,12.3,11.55,11.6,11.6,MANUGRAPH
2021-02-12,12.25,12.3,11.9,12.1,12.1,MANUGRAPH
2021-02-11,12.5,12.65,12.15,12.15,12.3,MANUGRAPH
2021-02-10,12.75,13.0,11.95,12.15,12.15,MANUGRAPH
2021-02-09,12.5,12.7,12.25,12.55,12.55,MANUGRAPH
2021-02-08,12.25,12.4,12.05,12.05,12.1,MANUGRAPH
2021-02-05,12.65,12.65,12.0,12.05,12.15,MANUGRAPH
2021-02-04,12.5,12.6,12.3,12.55,12.5,MANUGRAPH
2021-02-03,12.4,12.85,12.05,12.05,12.25,MANUGRAPH
2021-02-02,12.65,13.0,12.4,12.4,12.4,MANUGRAPH
2021-02-01,12.8,13.15,12.7,13.1,13.05,MANUGRAPH
2021-01-29,12.4,13.15,12.4,13.0,12.95,MANUGRAPH
2021-01-28,12.6,12.8,12.35,12.35,12.55,MANUGRAPH
2021-01-27,13.4,13.4,12.7,12.7,12.75,MANUGRAPH
2021-01-25,12.45,13.25,12.25,13.25,13.2,MANUGRAPH
2021-01-22,12.85,13.0,12.5,12.65,12.65,MANUGRAPH
2021-01-21,12.75,13.3,12.7,13.25,12.9,MANUGRAPH
2021-01-20,13.4,13.4,12.4,13.05,12.7,MANUGRAPH
2021-01-19,12.65,13.2,12.0,13.0,13.0,MANUGRAPH
2021-01-18,12.65,13.05,12.6,12.6,12.6,MANUGRAPH
2021-01-15,13.8,13.8,13.15,13.15,13.25,MANUGRAPH
2021-01-14,14.1,14.15,13.35,13.7,13.8,MANUGRAPH
2021-01-13,14.4,14.6,14.05,14.05,14.05,MANUGRAPH
2021-01-12,14.65,14.85,14.25,14.4,14.4,MANUGRAPH
2021-01-11,14.45,15.15,14.05,15.0,14.65,MANUGRAPH
2021-01-08,14.15,15.0,14.0,14.45,14.45,MANUGRAPH
2021-01-07,15.0,15.25,14.1,14.6,14.55,MANUGRAPH
2021-01-06,15.05,15.05,13.65,14.2,14.8,MANUGRAPH
2021-01-05,14.2,14.35,14.2,14.35,14.35,MANUGRAPH
2021-01-04,13.0,13.05,12.45,13.05,13.05,MANUGRAPH
2021-01-01,10.6,11.9,10.6,11.9,11.9,MANUGRAPH
2020-12-31,11.25,11.45,10.2,10.8,10.85,MANUGRAPH
2020-12-30,11.65,11.75,11.0,11.35,11.3,MANUGRAPH
2020-12-29,11.6,12.0,11.1,11.25,11.3,MANUGRAPH
2020-12-28,10.8,11.75,10.75,11.75,11.6,MANUGRAPH
2020-12-24,11.1,11.7,10.6,11.65,11.3,MANUGRAPH
2020-12-23,11.85,11.9,10.65,10.65,11.1,MANUGRAPH
2020-12-22,11.0,11.95,10.6,11.5,11.5,MANUGRAPH
2020-12-21,12.2,12.35,11.25,11.25,11.65,MANUGRAPH
2020-12-18,13.5,13.5,11.75,12.3,11.95,MANUGRAPH
2020-12-17,12.3,13.4,12.15,12.55,12.75,MANUGRAPH
2020-12-16,13.0,14.0,12.05,12.15,12.2,MANUGRAPH
2020-12-15,13.75,14.2,12.65,13.0,13.0,MANUGRAPH
2020-12-14,12.85,13.45,12.25,13.25,13.35,MANUGRAPH
2020-12-11,12.9,12.9,11.85,12.6,12.25,MANUGRAPH
2020-12-10,13.55,13.55,11.3,12.1,12.1,MANUGRAPH
2020-12-09,12.45,12.8,11.0,12.65,12.55,MANUGRAPH
2020-12-08,12.5,12.75,10.5,11.55,11.65,MANUGRAPH
2020-12-07,10.8,11.6,10.55,11.6,11.6,MANUGRAPH
2020-12-04,10.35,10.6,10.15,10.6,10.55,MANUGRAPH
2020-12-03,9.65,10.35,9.65,10.2,10.1,MANUGRAPH
2020-12-02,10.45,10.45,9.65,10.05,9.9,MANUGRAPH
2020-12-01,10.0,10.4,9.6,10.15,10.0,MANUGRAPH
2020-11-27,10.35,10.75,9.9,10.0,10.0,MANUGRAPH
2020-11-26,10.3,10.4,9.75,10.4,10.35,MANUGRAPH
2020-11-25,10.15,10.15,9.45,10.15,10.15,MANUGRAPH
2020-11-24,9.75,9.8,9.5,9.7,9.7,MANUGRAPH
2020-11-23,9.3,9.35,8.9,9.35,9.35,MANUGRAPH
2020-11-20,8.95,9.05,8.5,9.05,8.95,MANUGRAPH
2020-11-19,8.2,8.95,8.2,8.7,8.65,MANUGRAPH
2020-11-18,8.45,8.6,8.05,8.4,8.55,MANUGRAPH
2020-11-17,8.1,8.65,8.05,8.2,8.2,MANUGRAPH
2020-11-14,7.9,8.45,7.75,8.45,8.45,MANUGRAPH
2020-11-13,7.9,8.45,7.9,8.1,8.1,MANUGRAPH
2020-11-12,8.0,8.45,8.0,8.1,8.1,MANUGRAPH
2020-11-11,8.35,8.35,8.0,8.05,8.1,MANUGRAPH
2020-11-10,7.85,8.5,7.85,8.25,8.35,MANUGRAPH
2020-11-09,8.0,8.5,7.85,8.1,8.1,MANUGRAPH
2020-11-06,8.6,8.6,8.0,8.2,8.2,MANUGRAPH
2020-11-05,8.3,8.7,8.25,8.25,8.25,MANUGRAPH
2020-11-04,8.45,8.7,8.35,8.35,8.35,MANUGRAPH
2020-11-03,8.4,8.7,8.35,8.4,8.4,MANUGRAPH
2020-11-02,8.45,8.8,8.35,8.5,8.5,MANUGRAPH
2020-10-30,8.45,8.8,8.45,8.45,8.45,MANUGRAPH
2020-10-29,8.8,8.85,8.2,8.6,8.6,MANUGRAPH
2020-10-28,8.8,8.85,8.35,8.7,8.55,MANUGRAPH
2020-10-27,8.7,8.7,8.3,8.5,8.5,MANUGRAPH
2020-10-26,8.5,8.9,8.15,8.7,8.7,MANUGRAPH
2020-10-23,8.55,8.55,8.1,8.5,8.5,MANUGRAPH
2020-10-22,8.55,8.6,7.8,8.1,8.15,MANUGRAPH
2020-10-21,8.3,8.3,8.05,8.2,8.2,MANUGRAPH
2020-10-20,8.7,8.7,8.3,8.3,8.3,MANUGRAPH
2020-10-19,8.25,8.85,8.25,8.7,8.7,MANUGRAPH
2020-10-16,8.25,8.6,8.05,8.6,8.6,MANUGRAPH
2020-10-15,8.15,8.8,8.15,8.25,8.25,MANUGRAPH
2020-10-14,8.2,8.65,8.2,8.45,8.45,MANUGRAPH
2020-10-13,8.2,8.5,8.0,8.5,8.5,MANUGRAPH
2020-10-12,8.45,8.55,8.2,8.2,8.4,MANUGRAPH
2020-10-09,8.8,8.8,8.4,8.5,8.5,MANUGRAPH
2020-10-08,8.6,8.8,8.5,8.8,8.55,MANUGRAPH
2020-10-07,9.0,9.0,8.5,8.85,8.6,MANUGRAPH
2020-10-06,9.1,9.35,8.7,8.95,8.9,MANUGRAPH
2020-10-05,9.1,9.85,9.05,9.05,9.15,MANUGRAPH
2020-10-01,9.4,9.85,9.4,9.5,9.5,MANUGRAPH
2020-09-30,9.5,9.5,9.4,9.4,9.4,MANUGRAPH
2020-09-29,10.25,10.25,9.35,9.4,9.45,MANUGRAPH
2020-09-28,9.05,9.8,9.05,9.8,9.8,MANUGRAPH
2020-09-25,9.05,9.35,9.0,9.35,9.35,MANUGRAPH
2020-09-24,9.05,9.5,8.9,8.95,9.0,MANUGRAPH
2020-09-23,9.1,9.45,9.1,9.15,9.35,MANUGRAPH
2020-09-22,9.15,9.55,9.15,9.25,9.25,MANUGRAPH
2020-09-21,9.85,9.85,8.95,9.6,9.45,MANUGRAPH
2020-09-18,10.0,10.0,9.1,9.35,9.4,MANUGRAPH
2020-09-17,9.4,9.65,9.25,9.55,9.55,MANUGRAPH
2020-09-16,9.5,9.95,9.25,9.25,9.4,MANUGRAPH
2020-09-15,9.45,10.2,9.45,9.5,9.5,MANUGRAPH
2020-09-14,10.0,10.2,9.75,9.75,9.8,MANUGRAPH
2020-09-11,9.55,10.35,9.55,10.35,10.25,MANUGRAPH
2020-09-10,10.3,10.3,9.65,9.7,9.9,MANUGRAPH
2020-09-09,9.15,9.95,9.15,9.95,9.95,MANUGRAPH
2020-09-08,9.75,9.75,9.4,9.5,9.5,MANUGRAPH
2020-09-07,10.2,10.7,9.75,9.75,9.8,MANUGRAPH
2020-09-04,10.8,10.8,9.8,9.85,10.2,MANUGRAPH
2020-09-03,9.7,10.65,9.7,10.3,10.3,MANUGRAPH
2020-09-02,10.3,10.3,9.6,10.15,10.15,MANUGRAPH
2020-09-01,9.9,10.6,9.85,9.85,9.85,MANUGRAPH
2020-08-31,10.4,10.65,10.35,10.35,10.35,MANUGRAPH
2020-08-28,10.7,11.2,10.7,10.8,10.85,MANUGRAPH
2020-08-27,11.5,11.5,11.0,11.05,11.05,MANUGRAPH
2020-08-26,11.0,11.35,11.0,11.2,11.0,MANUGRAPH
2020-08-25,11.45,11.45,10.8,11.2,11.2,MANUGRAPH
2020-08-24,11.75,11.85,10.75,11.15,11.15,MANUGRAPH
2020-08-21,11.3,11.55,10.8,11.5,11.3,MANUGRAPH
2020-08-20,11.1,11.5,11.05,11.3,11.3,MANUGRAPH
2020-08-19,12.25,12.25,11.2,11.7,11.6,MANUGRAPH
2020-08-18,11.5,11.75,10.75,11.7,11.7,MANUGRAPH
