DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,85.35,86.9,80.15,82.05,97.8,12.65,MARALOVER
2021-10-28,84.85,85.4,79.05,84.35,97.8,12.65,MARALOVER
2021-10-27,80.0,81.35,79.5,81.35,97.8,12.65,MARALOVER
2021-10-26,75.85,77.5,75.2,77.5,97.8,12.65,MARALOVER
2021-10-25,74.0,76.75,72.5,73.85,97.8,12.65,MARALOVER
2021-10-22,79.3,79.3,73.4,74.7,97.8,11.65,MARALOVER
2021-10-21,77.0,80.0,74.85,76.85,97.8,11.65,MARALOVER
2021-10-20,79.0,82.75,78.2,78.75,97.8,11.65,MARALOVER
2021-10-19,86.5,86.5,78.9,80.85,97.8,11.65,MARALOVER
2021-10-18,87.75,87.75,81.55,83.05,97.8,11.65,MARALOVER
2021-10-14,85.1,87.1,85.0,85.75,97.8,11.45,MARALOVER
2021-10-13,87.0,88.75,83.8,85.7,97.8,11.45,MARALOVER
2021-10-12,86.05,88.0,85.0,85.6,97.8,11.45,MARALOVER
2021-10-11,90.95,90.95,85.75,86.4,97.8,11.45,MARALOVER
2021-10-08,82.25,86.65,82.25,86.65,97.8,11.35,MARALOVER
2021-10-07,81.8,82.75,79.1,82.55,97.8,11.35,MARALOVER
2021-10-06,81.85,82.5,78.0,78.85,97.8,11.35,MARALOVER
2021-10-05,79.85,81.9,79.0,80.25,97.8,11.35,MARALOVER
2021-10-04,81.8,82.7,78.0,78.65,97.8,11.35,MARALOVER
2021-10-01,81.8,81.8,78.65,80.2,97.8,11.35,MARALOVER
2021-09-30,81.35,81.95,77.0,80.6,97.8,11.35,MARALOVER
2021-09-29,79.2,79.95,75.0,78.05,97.8,11.35,MARALOVER
2021-09-28,78.9,78.9,75.0,76.6,97.8,11.35,MARALOVER
2021-09-27,80.0,80.35,74.15,77.1,97.8,11.35,MARALOVER
2021-09-24,79.45,79.45,76.0,76.55,97.8,10.75,MARALOVER
2021-09-23,75.8,77.35,71.25,77.35,97.8,10.75,MARALOVER
2021-09-22,71.55,75.2,71.55,73.7,97.8,10.75,MARALOVER
2021-09-21,74.3,75.15,70.55,72.5,97.8,10.75,MARALOVER
2021-09-20,73.85,77.65,73.85,74.25,97.8,10.75,MARALOVER
2021-09-17,81.0,81.0,77.0,77.1,97.8,10.75,MARALOVER
2021-09-16,81.8,81.9,78.0,81.0,97.8,10.75,MARALOVER
2021-09-15,82.0,82.0,79.25,80.0,97.8,10.75,MARALOVER
2021-09-14,80.5,83.55,79.25,80.3,97.8,10.75,MARALOVER
2021-09-13,83.35,83.35,77.25,81.85,97.8,10.75,MARALOVER
2021-09-09,84.0,84.05,79.0,79.65,97.8,10.75,MARALOVER
2021-09-08,76.05,81.15,76.0,81.15,97.8,10.75,MARALOVER
2021-09-07,77.25,79.8,76.05,77.3,97.8,10.75,MARALOVER
2021-09-06,75.0,78.5,75.0,77.3,97.8,10.75,MARALOVER
2021-09-03,76.9,79.0,75.7,76.15,97.8,10.75,MARALOVER
2021-09-02,77.85,77.85,76.0,76.9,97.8,10.75,MARALOVER
2021-09-01,80.8,80.8,74.85,76.15,97.8,10.75,MARALOVER
2021-08-31,81.45,81.45,76.0,77.25,97.8,10.75,MARALOVER
2021-08-30,78.95,79.55,75.05,78.05,97.8,10.75,MARALOVER
2021-08-27,72.75,76.0,72.7,75.8,97.8,10.75,MARALOVER
2021-08-26,77.75,77.75,74.0,74.85,97.8,10.75,MARALOVER
2021-08-25,76.9,77.95,71.5,75.2,97.8,10.75,MARALOVER
2021-08-24,68.05,74.6,67.5,74.6,97.8,10.75,MARALOVER
2021-08-23,73.0,77.8,70.4,71.05,97.8,10.75,MARALOVER
2021-08-20,76.8,76.8,74.1,74.1,97.8,10.75,MARALOVER
2021-08-18,82.2,82.5,77.95,77.95,97.8,10.75,MARALOVER
2021-08-17,84.8,87.25,79.25,82.05,97.8,10.75,MARALOVER
2021-08-16,84.2,87.3,83.05,83.1,97.8,10.75,MARALOVER
2021-08-13,92.0,92.0,86.15,87.4,97.8,10.75,MARALOVER
