DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,1125.0,1125.0,1096.0,1113.0,1109.0,1242.0,363.6,MATRIMONY
2021-07-15,1090.0,1119.0,1072.75,1114.0,1105.9,1242.0,363.6,MATRIMONY
2021-07-14,1085.0,1111.2,1085.0,1095.0,1090.25,1242.0,363.6,MATRIMONY
2021-07-13,1117.7,1118.8,1075.55,1085.0,1086.65,1242.0,363.6,MATRIMONY
2021-07-12,1077.0,1139.5,1050.3,1099.5,1103.25,1242.0,363.6,MATRIMONY
2021-07-09,1099.0,1110.0,1050.05,1060.0,1066.75,1242.0,363.6,MATRIMONY
2021-07-08,1060.0,1099.0,1051.25,1096.3,1088.1,1242.0,363.6,MATRIMONY
2021-07-07,1027.0,1084.0,1001.0,1051.0,1058.75,1242.0,363.6,MATRIMONY
2021-07-06,955.0,1028.9,955.0,1016.0,1003.85,1242.0,363.6,MATRIMONY
2021-07-05,965.0,965.0,950.0,955.0,956.7,1242.0,363.6,MATRIMONY
2021-07-02,979.0,979.0,945.0,949.9,949.8,1242.0,363.6,MATRIMONY
2021-07-01,965.0,984.45,955.0,960.0,964.5,1242.0,363.6,MATRIMONY
2021-06-30,988.0,988.0,960.0,965.0,963.45,1242.0,363.6,MATRIMONY
2021-06-29,961.2,995.0,960.0,974.5,979.2,1242.0,363.6,MATRIMONY
2021-06-28,969.95,982.35,958.5,961.6,962.15,1242.0,363.6,MATRIMONY
2021-06-25,953.0,998.0,953.0,968.0,962.35,1242.0,355.6,MATRIMONY
2021-06-24,937.0,960.0,937.0,950.2,951.7,1242.0,355.6,MATRIMONY
2021-06-23,972.25,976.3,935.0,940.0,942.3,1242.0,355.6,MATRIMONY
2021-06-22,988.9,989.0,959.95,964.0,963.65,1242.0,355.6,MATRIMONY
2021-06-21,952.0,986.25,943.05,976.0,975.5,1242.0,355.6,MATRIMONY
2021-06-18,979.0,997.0,941.45,969.0,966.65,1242.0,336.05,MATRIMONY
2021-06-17,973.0,1003.05,970.25,979.0,981.25,1242.0,336.05,MATRIMONY
2021-06-16,993.05,1009.05,950.35,972.0,963.55,1242.0,336.05,MATRIMONY
2021-06-15,980.9,1010.0,968.0,1010.0,986.85,1242.0,336.05,MATRIMONY
2021-06-14,1002.0,1014.0,961.55,967.0,968.5,1242.0,336.05,MATRIMONY
2021-06-11,1037.9,1045.0,991.0,1008.0,1001.05,1242.0,322.6,MATRIMONY
2021-06-10,970.0,1060.0,956.4,1028.75,1022.7,1242.0,322.6,MATRIMONY
2021-06-09,960.0,980.0,937.1,965.0,964.35,1242.0,322.6,MATRIMONY
2021-06-08,958.0,960.0,920.0,948.0,947.45,1242.0,322.6,MATRIMONY
2021-06-07,914.0,962.8,900.0,940.0,939.95,1242.0,322.6,MATRIMONY
2021-06-04,910.0,924.25,891.0,899.9,902.3,1242.0,322.6,MATRIMONY
2021-06-03,898.0,929.0,885.75,898.0,896.35,1242.0,322.6,MATRIMONY
2021-06-02,886.75,899.0,877.0,882.05,881.25,1242.0,322.6,MATRIMONY
2021-06-01,900.0,925.0,885.0,886.0,886.75,1242.0,322.6,MATRIMONY
2021-05-31,923.25,932.8,902.0,904.55,908.5,1242.0,322.6,MATRIMONY
2021-05-28,925.65,942.0,916.7,926.85,923.25,1242.0,316.0,MATRIMONY
2021-05-27,884.4,935.0,884.4,919.85,917.5,1242.0,316.0,MATRIMONY
2021-05-26,870.0,900.0,870.0,884.0,884.4,1242.0,316.0,MATRIMONY
2021-05-25,904.5,904.5,875.0,884.6,882.4,1242.0,316.0,MATRIMONY
2021-05-24,901.7,905.0,885.0,895.15,892.55,1242.0,316.0,MATRIMONY
2021-05-21,889.95,905.0,874.0,895.0,895.4,1242.0,316.0,MATRIMONY
2021-05-20,902.2,913.7,865.05,874.0,873.1,1242.0,316.0,MATRIMONY
2021-05-19,853.4,915.0,853.4,885.0,887.1,1242.0,316.0,MATRIMONY
2021-05-18,863.3,882.0,854.95,861.9,860.8,1242.0,316.0,MATRIMONY
2021-05-17,883.85,887.0,859.1,860.0,863.35,1242.0,316.0,MATRIMONY
2021-05-14,887.0,887.0,842.35,846.0,851.05,1242.0,311.0,MATRIMONY
2021-05-12,919.0,927.0,865.35,884.0,883.95,1242.0,311.0,MATRIMONY
2021-05-11,914.1,935.0,906.0,915.0,917.25,1242.0,311.0,MATRIMONY
2021-05-10,946.6,946.6,915.0,919.5,923.3,1242.0,311.0,MATRIMONY
2021-05-07,938.0,948.7,920.0,925.0,926.95,1242.0,304.1,MATRIMONY
2021-05-06,961.0,970.0,932.4,934.95,936.05,1242.0,304.1,MATRIMONY
2021-05-05,946.0,976.6,946.0,954.0,960.95,1242.0,304.1,MATRIMONY
2021-05-04,987.85,990.7,941.0,951.95,945.7,1242.0,304.1,MATRIMONY
2021-05-03,954.0,985.0,946.1,975.0,979.05,1242.0,304.1,MATRIMONY
2021-04-30,954.0,993.0,943.2,946.9,946.1,1242.0,304.1,MATRIMONY
2021-04-29,913.65,1017.7,861.25,937.35,942.9,1242.0,304.1,MATRIMONY
2021-04-28,884.8,931.0,876.95,903.55,904.7,1242.0,304.1,MATRIMONY
2021-04-27,863.0,877.55,855.05,872.0,871.95,1242.0,304.1,MATRIMONY
