DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,84.15,86.45,82.1,83.75,93.65,22.6,MAWANASUG
2021-11-11,87.6,88.7,84.35,85.5,93.65,22.6,MAWANASUG
2021-11-10,86.95,88.9,84.25,87.5,93.65,22.3,MAWANASUG
2021-11-09,82.6,86.0,80.6,85.6,93.65,22.3,MAWANASUG
2021-11-08,83.2,84.15,81.3,81.95,93.65,22.3,MAWANASUG
2021-11-04,84.1,86.85,81.2,83.05,93.65,22.3,MAWANASUG
2021-11-03,86.5,86.5,83.2,84.1,93.65,22.3,MAWANASUG
2021-11-02,84.4,86.5,84.1,85.4,93.65,22.3,MAWANASUG
2021-11-01,85.5,85.5,82.05,84.0,93.65,22.3,MAWANASUG
2021-10-29,83.35,86.0,81.85,82.55,93.65,22.3,MAWANASUG
2021-10-28,85.7,85.7,82.5,83.55,93.65,22.3,MAWANASUG
2021-10-27,90.9,91.0,83.5,84.0,93.65,22.3,MAWANASUG
2021-10-26,85.15,90.05,85.0,87.2,93.65,22.3,MAWANASUG
2021-10-25,88.0,88.9,83.4,85.8,93.65,22.3,MAWANASUG
2021-10-22,89.9,89.9,87.45,87.55,93.65,22.3,MAWANASUG
2021-10-21,89.5,90.55,87.05,88.45,93.65,22.3,MAWANASUG
2021-10-20,87.5,89.5,86.5,89.0,93.65,22.3,MAWANASUG
2021-10-19,90.95,91.95,86.75,87.95,93.65,22.3,MAWANASUG
2021-10-18,89.2,93.65,86.8,90.95,93.65,22.3,MAWANASUG
2021-10-14,90.65,92.9,89.0,89.2,93.5,22.3,MAWANASUG
2021-10-13,93.45,93.45,90.0,91.8,93.5,22.3,MAWANASUG
2021-10-12,93.0,93.5,89.9,91.65,93.5,22.3,MAWANASUG
2021-06-16,63.05,63.85,61.0,61.1,69.0,22.3,MAWANASUG
2021-06-15,68.55,68.8,64.1,64.2,69.0,22.3,MAWANASUG
2021-06-14,69.0,69.0,63.0,67.45,69.0,22.3,MAWANASUG
2021-06-11,65.85,66.4,62.3,66.2,66.4,22.3,MAWANASUG
2021-06-10,62.5,63.25,62.0,63.25,63.25,22.3,MAWANASUG
2021-06-09,60.5,60.5,57.55,60.25,60.5,22.3,MAWANASUG
2021-06-08,57.65,57.65,57.65,57.65,57.65,22.3,MAWANASUG
2021-06-07,54.0,54.95,53.75,54.95,57.3,22.3,MAWANASUG
2021-06-04,53.35,53.9,51.75,52.35,57.3,22.3,MAWANASUG
2021-06-03,51.7,53.6,51.7,52.7,57.3,22.3,MAWANASUG
2021-06-02,51.5,52.5,50.5,51.05,57.3,22.3,MAWANASUG
2021-06-01,50.8,51.8,48.3,51.05,57.3,22.3,MAWANASUG
2021-05-31,50.6,51.3,49.65,50.0,57.3,22.3,MAWANASUG
2021-05-28,50.8,51.8,49.6,49.8,57.3,21.5,MAWANASUG
2021-05-27,52.45,52.45,50.5,51.25,57.3,21.5,MAWANASUG
2021-05-26,51.75,53.45,50.85,51.6,57.3,21.5,MAWANASUG
2021-05-25,49.25,52.9,49.25,51.05,57.3,21.5,MAWANASUG
2021-05-24,48.45,50.85,47.05,50.6,57.3,21.5,MAWANASUG
2021-05-21,49.5,49.75,47.3,48.45,57.3,20.75,MAWANASUG
2021-05-20,50.0,51.8,48.6,49.15,57.3,20.75,MAWANASUG
2021-05-19,50.75,53.1,50.1,50.85,57.3,20.75,MAWANASUG
2021-05-18,53.2,53.25,50.5,50.75,57.3,20.75,MAWANASUG
