DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,186.15,187.5,183.15,184.05,221.85,173.0,MIDHANI
2021-10-28,191.0,191.35,185.5,186.7,221.85,173.0,MIDHANI
2021-10-27,190.0,195.0,189.35,190.4,221.85,173.0,MIDHANI
2021-10-26,189.2,191.9,189.05,189.75,221.85,173.0,MIDHANI
2021-10-25,193.1,194.05,187.1,188.85,221.85,173.0,MIDHANI
2021-10-22,200.05,200.9,191.0,192.2,221.85,173.0,MIDHANI
2021-10-21,192.05,201.0,189.5,198.4,221.85,173.0,MIDHANI
2021-10-20,197.4,197.4,191.25,192.6,221.85,173.0,MIDHANI
2021-10-19,201.85,201.9,195.05,198.4,221.85,173.0,MIDHANI
2021-10-18,201.6,205.0,199.0,200.1,221.85,173.0,MIDHANI
2021-10-14,199.3,205.0,195.75,200.2,221.85,172.8,MIDHANI
2021-10-13,198.95,205.5,197.6,198.25,221.85,172.8,MIDHANI
2021-10-12,196.0,200.6,193.0,198.35,221.85,172.8,MIDHANI
2021-10-11,195.95,200.35,194.15,196.55,221.85,172.8,MIDHANI
2021-10-08,200.0,203.0,194.25,194.85,221.85,172.8,MIDHANI
2021-10-07,189.7,199.7,189.05,198.05,221.85,172.8,MIDHANI
2021-10-06,189.9,190.0,186.6,186.95,221.85,172.8,MIDHANI
2021-10-05,189.4,189.5,188.0,188.15,221.85,172.8,MIDHANI
2021-10-04,189.9,190.95,188.0,188.35,221.85,172.8,MIDHANI
2021-10-01,188.0,189.9,186.95,188.15,221.85,172.8,MIDHANI
2021-09-30,190.5,190.6,187.0,187.8,221.85,172.8,MIDHANI
2021-09-29,183.5,189.75,183.1,189.0,221.85,172.8,MIDHANI
2021-09-28,185.9,186.0,183.4,185.0,221.85,172.8,MIDHANI
2021-09-27,186.0,186.3,183.5,185.1,221.85,172.8,MIDHANI
2021-09-24,186.0,186.6,183.5,185.35,221.85,172.8,MIDHANI
2021-09-23,186.1,188.7,184.7,185.65,221.85,172.8,MIDHANI
2021-09-22,184.8,186.15,183.0,185.45,221.85,172.8,MIDHANI
2021-09-21,184.1,185.9,181.0,184.85,221.85,172.8,MIDHANI
2021-09-20,184.0,186.35,182.2,184.55,221.85,172.8,MIDHANI
2021-09-17,187.7,187.8,183.7,185.05,221.85,172.8,MIDHANI
2021-09-16,188.15,189.9,186.4,186.8,221.85,172.8,MIDHANI
2021-09-15,189.0,190.3,188.05,188.95,221.85,172.8,MIDHANI
2021-09-14,186.6,189.8,186.2,188.5,221.85,172.8,MIDHANI
2021-09-13,184.85,188.9,183.6,185.7,221.85,172.8,MIDHANI
2021-09-09,184.4,186.3,183.2,183.9,221.85,172.8,MIDHANI
2021-09-08,184.4,185.6,183.5,183.8,221.85,172.8,MIDHANI
2021-09-07,187.4,188.4,184.35,185.3,221.85,172.8,MIDHANI
2021-09-06,187.0,192.5,185.05,187.55,221.85,172.8,MIDHANI
2021-09-03,186.85,188.85,185.5,186.5,224.65,172.8,MIDHANI
2021-09-02,183.0,189.4,182.1,186.0,224.65,172.8,MIDHANI
2021-09-01,181.5,183.5,181.1,182.35,224.65,172.8,MIDHANI
2021-08-31,182.55,183.55,181.25,182.45,224.65,172.8,MIDHANI
2021-08-30,182.2,183.95,182.0,182.4,224.65,172.8,MIDHANI
2021-08-27,183.0,184.0,181.0,181.45,236.0,172.8,MIDHANI
2021-08-26,182.5,184.7,180.3,182.85,236.0,172.8,MIDHANI
2021-08-25,177.4,180.5,177.05,178.75,236.0,172.8,MIDHANI
2021-08-24,175.6,178.3,174.0,176.7,236.0,172.8,MIDHANI
2021-08-23,181.0,181.95,174.6,175.0,236.0,172.8,MIDHANI
2021-08-20,181.2,181.55,179.1,179.55,236.0,172.8,MIDHANI
2021-08-18,183.9,185.0,181.0,181.8,236.0,172.8,MIDHANI
2021-08-17,184.8,185.4,181.0,183.05,236.0,172.8,MIDHANI
2021-08-16,187.9,187.9,183.6,185.1,236.0,172.8,MIDHANI
2021-08-13,186.45,194.4,186.0,187.0,236.0,172.8,MIDHANI
2021-08-12,188.0,193.0,186.9,188.75,236.0,172.8,MIDHANI
2021-08-11,186.4,189.45,181.1,187.35,236.0,172.8,MIDHANI
2021-08-10,189.15,189.45,185.0,185.9,236.0,172.8,MIDHANI
2021-08-09,188.9,190.3,188.0,188.55,236.0,172.8,MIDHANI
2021-08-06,189.0,190.6,188.4,188.9,236.0,172.8,MIDHANI
2021-08-05,191.0,191.9,188.25,189.0,236.0,172.8,MIDHANI
2021-08-04,192.5,193.85,190.1,190.7,236.0,172.8,MIDHANI
2021-08-03,191.0,192.3,190.35,191.25,236.0,172.8,MIDHANI
2021-08-02,192.0,192.0,190.35,190.85,236.0,172.8,MIDHANI
2021-07-30,189.1,191.7,188.55,189.6,236.0,172.8,MIDHANI
2021-07-29,189.0,193.45,187.35,188.8,236.0,172.8,MIDHANI
2021-07-28,190.4,192.2,187.0,187.75,236.0,172.8,MIDHANI
2021-07-27,198.7,200.45,189.5,189.9,236.0,172.8,MIDHANI
2021-07-26,200.5,201.75,197.5,197.9,236.0,172.8,MIDHANI
2021-07-23,203.0,206.0,199.55,200.35,236.0,172.8,MIDHANI
2021-07-22,195.5,199.8,195.5,196.9,236.0,172.8,MIDHANI
2021-07-20,199.65,199.65,194.05,194.7,236.0,172.8,MIDHANI
2021-07-19,198.1,201.15,198.0,198.35,236.0,172.8,MIDHANI
2021-07-16,199.9,201.4,198.95,199.4,236.0,172.8,MIDHANI
2021-07-15,201.55,201.95,198.9,199.1,236.0,172.8,MIDHANI
2021-07-14,198.7,204.7,198.0,201.5,236.0,172.8,MIDHANI
2021-07-13,200.0,201.4,198.15,198.85,236.0,172.8,MIDHANI
2021-07-12,200.9,201.4,198.0,198.45,236.0,172.8,MIDHANI
2021-07-09,199.75,200.8,197.6,198.8,236.0,172.8,MIDHANI
2021-07-08,203.1,204.0,198.25,198.8,236.0,172.8,MIDHANI
2021-07-07,200.7,204.45,198.0,202.6,236.0,172.8,MIDHANI
2021-07-06,201.25,203.95,198.5,199.3,236.0,172.8,MIDHANI
2021-07-05,201.9,201.9,198.25,199.8,236.0,172.8,MIDHANI
2021-07-02,202.7,203.45,199.35,199.75,236.0,172.8,MIDHANI
2021-07-01,205.6,206.0,200.6,201.4,236.0,172.8,MIDHANI
2021-06-30,205.0,209.2,204.1,204.75,236.0,172.8,MIDHANI
2021-06-29,208.15,209.4,204.0,204.35,236.0,172.8,MIDHANI
2021-06-28,210.0,212.65,206.4,207.65,236.0,172.8,MIDHANI
2021-06-25,216.0,218.5,207.0,208.45,236.0,172.8,MIDHANI
2021-06-24,208.1,212.6,207.85,210.5,236.0,172.8,MIDHANI
2021-06-23,211.1,211.2,205.5,206.3,236.0,172.8,MIDHANI
2021-06-22,212.9,214.5,208.9,209.6,236.0,172.8,MIDHANI
2021-06-21,200.9,213.0,198.55,211.5,236.0,172.8,MIDHANI
2021-06-18,207.2,208.1,196.05,201.95,236.0,172.8,MIDHANI
2021-06-17,207.05,211.1,204.3,205.8,236.0,172.8,MIDHANI
2021-06-16,213.0,215.35,207.1,208.3,236.0,172.8,MIDHANI
2021-06-15,218.8,221.85,211.5,212.6,236.0,172.8,MIDHANI
2021-06-14,203.4,219.5,197.5,216.65,236.0,172.8,MIDHANI
2021-06-11,204.4,205.35,200.35,203.45,236.0,172.8,MIDHANI
2021-06-10,200.3,205.6,200.25,202.95,236.0,172.8,MIDHANI
2021-06-09,205.2,209.9,197.3,199.05,236.0,172.8,MIDHANI
2021-06-08,202.5,207.8,197.5,205.2,236.0,172.8,MIDHANI
2021-06-07,193.7,202.5,193.3,201.45,236.0,172.8,MIDHANI
2021-06-04,195.0,195.7,191.35,192.45,236.0,172.8,MIDHANI
2021-06-03,193.3,197.0,193.1,194.1,236.0,172.8,MIDHANI
2021-06-02,191.9,192.7,191.05,192.3,236.0,172.8,MIDHANI
2021-06-01,193.5,193.5,190.0,191.15,236.0,172.8,MIDHANI
2021-05-31,191.4,194.4,190.2,191.7,236.0,172.8,MIDHANI
2021-05-28,192.4,194.4,190.55,191.4,236.0,172.8,MIDHANI
2021-05-27,198.75,199.65,189.15,190.85,236.0,172.8,MIDHANI
2021-05-26,199.25,201.25,197.0,197.45,236.0,172.8,MIDHANI
2021-05-25,200.75,202.85,197.25,198.25,236.0,172.8,MIDHANI
