DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,11.9,12.65,11.6,11.75,12.9,3.0,MOHITIND
2021-10-28,12.15,12.25,11.9,12.2,12.9,3.0,MOHITIND
2021-10-27,11.65,11.7,10.85,11.7,12.9,3.0,MOHITIND
2021-10-26,10.9,11.25,10.4,11.15,12.9,3.0,MOHITIND
2021-10-25,11.8,11.8,10.9,10.9,12.9,3.0,MOHITIND
2021-10-22,11.55,12.4,11.4,11.45,12.9,3.0,MOHITIND
2021-10-21,11.75,12.45,11.75,11.95,12.9,3.0,MOHITIND
2021-10-20,12.7,12.7,11.75,12.05,12.9,3.0,MOHITIND
2021-10-19,12.1,12.65,12.05,12.2,12.9,3.0,MOHITIND
2021-10-18,12.35,12.5,12.05,12.15,12.9,3.0,MOHITIND
2021-10-14,12.05,12.65,12.05,12.35,12.9,3.0,MOHITIND
2021-10-13,12.3,12.9,12.1,12.35,12.9,3.0,MOHITIND
2021-10-12,12.25,12.7,12.25,12.4,12.7,3.0,MOHITIND
2021-06-16,12.45,12.45,12.45,12.45,12.45,3.0,MOHITIND
2021-06-15,11.9,11.9,11.6,11.9,11.9,3.0,MOHITIND
2021-06-14,11.35,11.35,11.0,11.35,11.35,3.0,MOHITIND
2021-06-11,10.85,10.85,10.5,10.85,10.85,3.0,MOHITIND
2021-06-10,10.35,10.35,10.35,10.35,10.35,3.0,MOHITIND
2021-06-09,9.9,9.9,9.9,9.9,9.9,3.0,MOHITIND
2021-06-08,9.1,9.55,8.7,9.45,9.85,3.0,MOHITIND
2021-06-07,8.8,9.2,8.75,9.15,9.85,3.0,MOHITIND
2021-06-04,8.4,8.8,8.4,8.8,9.85,3.0,MOHITIND
2021-06-03,8.4,8.4,8.05,8.4,9.85,3.0,MOHITIND
2021-06-02,7.85,8.0,7.55,8.0,9.85,3.0,MOHITIND
2021-06-01,8.0,8.0,7.5,7.65,9.85,3.0,MOHITIND
2021-05-31,7.8,7.95,7.6,7.75,9.85,3.0,MOHITIND
2021-05-28,8.15,8.15,7.85,7.9,9.85,3.0,MOHITIND
2021-05-27,8.2,8.25,7.85,7.95,9.85,3.0,MOHITIND
2021-05-26,8.2,8.2,7.75,7.95,9.85,3.0,MOHITIND
2021-05-25,8.1,8.2,7.6,7.9,9.85,3.0,MOHITIND
2021-05-24,7.8,7.85,7.55,7.85,9.85,3.0,MOHITIND
2021-05-21,7.1,7.7,7.1,7.5,9.85,3.0,MOHITIND
2021-05-20,7.6,7.6,7.35,7.35,9.85,3.0,MOHITIND
2021-05-19,7.4,7.85,7.35,7.7,9.85,3.0,MOHITIND
2021-05-18,7.4,7.85,7.4,7.6,9.85,3.0,MOHITIND
2021-05-17,7.9,7.95,7.5,7.5,9.85,3.0,MOHITIND
2021-05-14,7.25,7.7,7.25,7.6,9.85,3.0,MOHITIND
2021-05-12,7.6,8.0,7.45,7.5,9.85,3.0,MOHITIND
2021-05-11,7.9,7.9,7.5,7.8,9.85,3.0,MOHITIND
2021-05-10,7.5,7.75,7.25,7.75,9.85,3.0,MOHITIND
2021-05-07,7.35,7.5,7.05,7.45,9.85,2.85,MOHITIND
2021-05-06,7.6,7.6,6.9,7.15,9.85,2.85,MOHITIND
2021-05-05,6.95,7.25,6.95,7.25,9.85,2.85,MOHITIND
2021-05-04,6.95,6.95,6.65,6.95,9.85,2.85,MOHITIND
2021-05-03,6.2,6.7,6.2,6.65,9.85,2.85,MOHITIND
2021-04-30,6.35,6.65,6.2,6.4,9.85,2.85,MOHITIND
2021-04-29,6.45,6.75,6.35,6.45,9.85,2.85,MOHITIND
2021-04-28,6.8,6.8,6.55,6.65,9.85,2.85,MOHITIND
2021-04-27,6.95,6.95,6.55,6.8,9.85,2.85,MOHITIND
2021-04-26,6.3,6.8,6.25,6.75,9.85,2.85,MOHITIND
2021-04-23,6.65,6.7,6.35,6.5,9.85,2.85,MOHITIND
2021-04-22,6.45,6.75,6.45,6.6,9.85,2.85,MOHITIND
2021-04-20,7.15,7.15,6.55,6.75,9.85,2.85,MOHITIND
2021-04-19,6.65,6.95,6.65,6.85,9.85,2.85,MOHITIND
2021-04-16,7.1,7.3,7.0,7.0,9.85,2.85,MOHITIND
2021-04-15,7.8,7.8,7.2,7.2,9.85,2.85,MOHITIND
2021-04-13,7.15,7.7,7.15,7.55,9.85,2.85,MOHITIND
2021-04-12,7.75,7.75,7.5,7.5,9.85,2.85,MOHITIND
2021-04-09,8.1,8.15,7.75,7.85,9.85,2.85,MOHITIND
2021-04-08,8.15,8.25,7.75,8.1,9.85,2.85,MOHITIND
2021-04-07,8.25,8.65,7.85,7.9,9.85,2.85,MOHITIND
2021-04-06,8.65,8.85,8.25,8.25,9.85,2.85,MOHITIND
2021-04-05,8.65,9.5,8.65,8.65,9.85,2.85,MOHITIND
2021-04-01,9.35,9.35,8.9,9.1,9.85,2.85,MOHITIND
2021-03-31,9.8,9.8,9.35,9.35,9.85,2.85,MOHITIND
2021-03-30,9.6,9.8,9.2,9.75,9.85,2.85,MOHITIND
2021-03-26,9.85,9.85,9.1,9.6,9.85,2.85,MOHITIND
2021-03-25,9.05,9.55,8.65,9.5,9.55,2.85,MOHITIND
2021-03-24,8.75,9.1,8.3,9.1,9.1,2.85,MOHITIND
2021-03-23,8.7,8.8,8.5,8.7,8.8,2.85,MOHITIND
2021-03-22,7.7,8.4,7.7,8.4,8.7,2.85,MOHITIND
2021-03-19,7.65,8.3,7.6,8.0,8.7,2.85,MOHITIND
2021-03-18,8.15,8.4,7.8,7.95,8.7,2.85,MOHITIND
2021-03-17,8.45,8.5,7.85,8.2,8.7,2.85,MOHITIND
2021-03-16,7.75,8.5,7.75,8.1,8.7,2.85,MOHITIND
2021-03-15,8.5,8.5,7.8,8.1,8.7,2.85,MOHITIND
2021-03-12,7.45,8.1,7.45,8.1,8.7,2.85,MOHITIND
2021-03-10,7.75,7.75,7.05,7.75,8.7,2.85,MOHITIND
2021-03-09,7.45,7.65,7.3,7.4,8.7,2.85,MOHITIND
2021-03-08,7.5,7.85,7.5,7.65,8.7,2.85,MOHITIND
2021-03-05,7.75,7.9,7.5,7.5,8.7,2.85,MOHITIND
