DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,98.1,100.8,98.0,99.95,99.55,MOLDTECH
2021-07-15,99.1,99.8,95.0,96.9,96.5,MOLDTECH
2021-07-14,99.95,101.0,98.3,99.1,98.9,MOLDTECH
2021-07-13,103.2,103.2,98.0,98.9,98.75,MOLDTECH
2021-07-12,104.85,104.95,101.0,101.55,101.45,MOLDTECH
2021-07-09,101.0,102.0,97.0,99.9,99.75,MOLDTECH
2021-07-08,106.8,106.8,101.0,102.25,102.0,MOLDTECH
2021-07-07,96.5,108.0,95.65,104.5,105.7,MOLDTECH
2021-07-06,92.5,92.5,90.95,92.5,92.5,MOLDTECH
2021-07-05,76.95,78.5,74.7,77.75,77.1,MOLDTECH
2021-07-02,72.05,77.35,72.0,75.5,75.45,MOLDTECH
2021-07-01,71.3,74.5,69.9,73.45,72.8,MOLDTECH
2021-06-30,65.4,72.5,65.4,70.95,71.45,MOLDTECH
2021-06-29,67.5,69.0,64.5,67.1,66.6,MOLDTECH
2021-06-28,70.0,70.0,66.15,67.5,67.25,MOLDTECH
2021-06-25,68.95,74.75,66.5,69.2,69.15,MOLDTECH
2021-06-24,60.35,69.5,60.3,67.5,65.95,MOLDTECH
2021-06-23,60.75,62.55,60.15,60.5,61.0,MOLDTECH
2021-06-22,62.8,63.45,60.0,61.0,60.85,MOLDTECH
2021-06-21,58.0,63.8,58.0,62.5,62.7,MOLDTECH
2021-06-18,63.1,63.1,58.0,59.9,59.6,MOLDTECH
2021-06-17,58.95,63.9,57.25,61.7,62.05,MOLDTECH
2021-06-16,59.65,59.65,57.75,58.55,58.1,MOLDTECH
2021-06-15,60.0,60.0,58.1,58.5,58.55,MOLDTECH
2021-06-14,60.0,60.5,57.15,59.0,59.15,MOLDTECH
2021-06-11,60.7,61.5,56.85,59.3,58.95,MOLDTECH
2021-06-10,59.55,61.2,58.6,59.7,59.5,MOLDTECH
2021-06-09,61.65,61.7,57.7,58.6,58.35,MOLDTECH
2021-06-08,63.25,64.0,59.05,59.7,60.25,MOLDTECH
2021-06-07,59.5,65.3,58.3,62.0,62.0,MOLDTECH
2021-06-04,60.65,60.65,58.75,59.5,59.5,MOLDTECH
2021-06-03,60.3,61.0,58.8,59.8,59.5,MOLDTECH
2021-06-02,61.0,61.8,58.8,59.3,59.25,MOLDTECH
2021-06-01,59.5,60.3,58.25,60.1,59.75,MOLDTECH
2021-05-31,56.1,59.8,56.1,58.65,58.25,MOLDTECH
2021-05-28,60.0,60.45,56.9,57.5,57.35,MOLDTECH
2021-05-27,60.25,60.9,58.55,59.5,59.35,MOLDTECH
2021-05-26,58.9,61.75,57.9,60.5,60.25,MOLDTECH
2021-05-25,60.4,62.35,58.2,58.5,58.9,MOLDTECH
2021-05-24,56.0,64.9,53.1,59.55,59.85,MOLDTECH
2021-05-21,57.0,57.0,52.6,54.0,54.45,MOLDTECH
2021-05-20,46.5,53.0,45.45,52.85,52.45,MOLDTECH
2021-05-19,44.0,45.8,44.0,45.7,45.65,MOLDTECH
2021-05-18,44.0,45.0,43.0,44.0,43.8,MOLDTECH
2021-05-17,44.15,46.75,42.5,44.0,43.4,MOLDTECH
2021-05-14,46.9,46.9,44.05,44.8,44.25,MOLDTECH
2021-05-12,48.0,48.0,45.5,45.6,45.75,MOLDTECH
2021-05-11,47.05,47.1,45.15,46.35,46.1,MOLDTECH
2021-05-10,49.0,49.0,45.3,46.9,46.8,MOLDTECH
2021-05-07,47.5,48.1,45.0,45.0,45.9,MOLDTECH
2021-05-06,45.35,48.95,43.3,46.9,46.4,MOLDTECH
2021-05-05,44.1,46.0,44.1,45.25,45.3,MOLDTECH
2021-05-04,45.5,46.75,44.0,44.3,44.4,MOLDTECH
2021-05-03,46.75,46.9,44.0,45.45,45.85,MOLDTECH
2021-04-30,47.95,47.95,45.35,46.9,45.95,MOLDTECH
2021-04-29,49.2,49.2,45.25,46.5,46.4,MOLDTECH
2021-04-28,48.0,51.9,47.25,48.8,48.4,MOLDTECH
2021-04-27,45.25,49.5,45.25,47.8,47.7,MOLDTECH
2021-04-26,41.45,46.15,40.7,45.1,45.25,MOLDTECH
2021-04-23,41.4,43.2,39.05,40.2,40.6,MOLDTECH
2021-04-22,40.85,40.85,39.45,40.45,39.85,MOLDTECH
2021-04-20,39.8,42.25,39.5,40.5,40.05,MOLDTECH
2021-04-19,39.2,40.45,38.3,40.1,39.9,MOLDTECH
2021-04-16,39.25,40.95,39.05,39.9,39.85,MOLDTECH
2021-04-15,40.15,41.1,39.1,39.35,39.95,MOLDTECH
2021-04-13,41.05,41.05,39.35,40.15,40.25,MOLDTECH
2021-04-12,43.05,43.1,40.3,40.5,40.8,MOLDTECH
2021-04-09,42.55,44.25,42.55,43.0,43.05,MOLDTECH
2021-04-08,41.9,45.65,41.9,43.0,43.4,MOLDTECH
2021-04-07,40.5,42.0,39.95,41.5,41.5,MOLDTECH
2021-04-06,41.75,42.0,39.75,41.3,40.85,MOLDTECH
2021-04-05,40.7,41.4,39.5,41.0,40.4,MOLDTECH
2021-04-01,41.6,42.45,40.35,40.65,40.7,MOLDTECH
2021-03-31,39.9,42.8,39.4,41.0,40.85,MOLDTECH
2021-03-30,40.3,41.45,38.8,38.8,39.15,MOLDTECH
2021-03-26,40.0,41.45,39.55,40.4,40.3,MOLDTECH
2021-03-25,41.75,42.45,38.7,39.5,39.95,MOLDTECH
2021-03-24,41.05,41.7,40.05,40.8,40.85,MOLDTECH
2021-03-23,41.95,41.95,41.0,41.0,41.05,MOLDTECH
2021-03-22,41.75,42.0,41.0,41.0,41.2,MOLDTECH
2021-03-19,41.7,41.95,38.85,41.4,40.95,MOLDTECH
2021-03-18,40.95,41.7,40.0,40.3,40.95,MOLDTECH
2021-03-17,43.2,43.25,39.1,39.65,40.75,MOLDTECH
2021-03-16,43.5,43.5,42.05,42.5,42.4,MOLDTECH
2021-03-15,44.5,46.0,42.05,43.3,43.3,MOLDTECH
2021-03-12,45.8,46.75,44.0,44.0,44.15,MOLDTECH
2021-03-10,45.7,45.7,44.0,44.0,44.25,MOLDTECH
2021-03-09,45.9,45.9,43.3,43.3,44.3,MOLDTECH
2021-03-08,46.2,46.7,43.5,45.25,44.9,MOLDTECH
2021-03-05,46.75,46.75,43.5,44.6,44.7,MOLDTECH
2021-03-04,42.15,45.7,42.15,44.8,44.5,MOLDTECH
2021-03-03,42.9,42.9,41.3,41.5,41.55,MOLDTECH
2021-03-02,41.75,43.0,41.2,41.45,41.65,MOLDTECH
2021-03-01,43.4,44.75,40.95,41.0,41.25,MOLDTECH
2021-02-26,42.8,43.55,38.55,42.65,42.25,MOLDTECH
2021-02-25,42.15,44.2,41.8,42.9,42.8,MOLDTECH
2021-02-24,43.45,43.45,41.65,43.4,43.15,MOLDTECH
2021-02-23,43.8,43.8,41.65,41.65,42.15,MOLDTECH
2021-02-22,41.65,43.0,41.65,41.9,42.1,MOLDTECH
2021-02-19,42.95,43.8,41.8,42.0,41.95,MOLDTECH
2021-02-18,44.0,44.35,42.6,42.6,42.95,MOLDTECH
2021-02-17,42.75,43.8,42.3,43.4,43.2,MOLDTECH
2021-02-16,43.75,43.75,42.35,43.45,43.15,MOLDTECH
2021-02-15,45.2,45.2,42.25,42.3,42.35,MOLDTECH
2021-02-12,47.05,49.0,44.8,45.5,45.15,MOLDTECH
2021-02-11,48.8,48.8,45.55,47.0,46.8,MOLDTECH
2021-02-10,47.0,49.05,45.6,46.5,46.65,MOLDTECH
2021-02-09,47.2,48.25,46.5,46.55,46.95,MOLDTECH
2021-02-08,50.75,50.75,46.75,46.75,46.95,MOLDTECH
2021-02-05,47.95,48.9,46.95,47.5,47.15,MOLDTECH
2021-02-04,48.0,48.0,47.0,47.0,47.05,MOLDTECH
2021-02-03,48.4,48.4,46.95,47.75,47.2,MOLDTECH
2021-02-02,48.8,49.5,46.2,47.35,47.8,MOLDTECH
2020-11-09,49.7,50.65,49.05,49.3,49.5,MOLDTECH
2020-11-06,50.15,51.1,49.35,49.95,50.0,MOLDTECH
2020-11-05,50.25,51.9,49.35,50.6,50.55,MOLDTECH
2020-11-04,50.25,51.9,48.55,50.9,50.45,MOLDTECH
2020-11-03,54.0,54.0,48.55,50.35,50.4,MOLDTECH
2020-11-02,55.3,57.0,50.5,51.5,51.7,MOLDTECH
2020-10-30,53.15,57.4,50.5,53.4,54.1,MOLDTECH
2020-10-29,50.1,53.75,48.6,52.0,51.25,MOLDTECH
2020-10-28,51.0,51.85,48.0,51.5,51.35,MOLDTECH
2020-10-27,54.0,54.8,50.0,51.35,51.3,MOLDTECH
2020-10-26,40.65,47.5,40.05,47.5,47.5,MOLDTECH
2020-10-23,39.9,40.05,39.0,39.9,39.6,MOLDTECH
2020-10-22,38.9,39.95,38.85,39.3,39.05,MOLDTECH
2020-10-21,38.75,40.2,38.55,39.0,39.05,MOLDTECH
2020-10-20,39.75,39.75,38.5,38.6,38.75,MOLDTECH
2020-10-19,40.4,40.4,38.95,39.0,39.0,MOLDTECH
2020-10-16,40.5,40.5,38.9,39.4,39.1,MOLDTECH
2020-10-15,41.8,42.25,39.05,39.3,39.4,MOLDTECH
2020-10-14,39.15,43.5,38.7,39.6,40.2,MOLDTECH
2020-10-13,39.4,40.35,38.6,39.1,39.35,MOLDTECH
2020-10-12,38.7,39.75,38.7,38.9,38.95,MOLDTECH
2020-10-09,39.25,39.95,38.75,39.0,39.15,MOLDTECH
2020-10-08,39.5,41.35,39.0,39.0,39.05,MOLDTECH
2020-10-07,40.0,40.4,39.25,39.5,39.45,MOLDTECH
2020-10-06,40.9,41.05,39.75,39.75,39.95,MOLDTECH
2020-10-05,40.7,42.1,40.15,40.4,40.4,MOLDTECH
2020-10-01,40.5,42.0,40.5,41.0,41.0,MOLDTECH
2020-09-30,40.5,41.6,39.5,40.55,40.6,MOLDTECH
2020-09-29,41.15,42.25,40.3,40.95,40.6,MOLDTECH
2020-09-28,39.95,42.15,39.95,41.0,41.65,MOLDTECH
2020-09-25,40.0,40.55,39.25,39.8,39.95,MOLDTECH
2020-09-24,40.0,42.0,38.4,40.0,39.6,MOLDTECH
2020-09-23,40.5,41.7,40.0,40.1,40.45,MOLDTECH
2020-09-22,41.35,41.5,39.6,40.7,40.35,MOLDTECH
2020-09-21,43.05,44.8,41.65,42.8,41.9,MOLDTECH
2020-09-18,41.25,44.0,40.75,42.5,43.15,MOLDTECH
2020-09-17,43.2,43.2,41.15,41.8,41.5,MOLDTECH
2020-09-16,44.7,45.4,42.75,43.1,43.15,MOLDTECH
2020-09-15,43.85,45.2,42.75,43.9,43.5,MOLDTECH
2020-09-14,41.6,46.7,40.85,43.0,42.55,MOLDTECH
2020-09-11,40.5,44.45,39.2,40.55,40.75,MOLDTECH
2020-09-10,41.15,41.2,39.4,40.25,40.05,MOLDTECH
