DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,727.0,735.0,715.0,716.95,778.9,256.15,MOLDTKPAC
2021-11-11,731.7,731.7,715.0,719.85,778.9,256.15,MOLDTKPAC
2021-11-10,739.95,739.95,721.0,722.9,778.9,256.15,MOLDTKPAC
2021-11-09,715.4,778.9,712.7,738.45,778.9,256.15,MOLDTKPAC
2021-11-08,737.0,737.0,708.7,712.95,774.0,256.15,MOLDTKPAC
2021-11-04,723.4,732.0,723.35,726.65,774.0,255.05,MOLDTKPAC
2021-11-03,724.0,746.7,708.0,716.35,774.0,255.05,MOLDTKPAC
2021-11-02,670.0,730.0,664.0,717.15,774.0,255.05,MOLDTKPAC
2021-11-01,674.6,675.0,662.05,668.7,774.0,255.05,MOLDTKPAC
2021-10-29,662.2,685.0,651.0,665.0,774.0,255.05,MOLDTKPAC
2021-10-28,675.0,680.05,661.0,665.75,774.0,255.05,MOLDTKPAC
2021-10-27,680.0,689.0,672.3,676.9,774.0,255.05,MOLDTKPAC
2021-10-26,669.7,690.0,665.1,679.3,774.0,255.05,MOLDTKPAC
2021-10-25,695.2,702.65,658.55,665.1,774.0,255.05,MOLDTKPAC
2021-10-22,695.0,722.4,689.45,697.0,774.0,255.05,MOLDTKPAC
2021-10-21,676.95,709.5,673.55,688.35,774.0,255.05,MOLDTKPAC
2021-10-20,700.0,709.95,650.55,671.65,774.0,255.05,MOLDTKPAC
2021-10-19,729.7,738.7,690.0,699.8,774.0,255.05,MOLDTKPAC
2021-10-18,739.7,745.15,703.15,706.1,774.0,255.05,MOLDTKPAC
2021-10-14,753.0,753.95,725.0,730.05,774.0,255.05,MOLDTKPAC
2021-10-13,722.0,743.4,722.0,725.0,774.0,255.05,MOLDTKPAC
2021-10-12,728.05,744.0,692.85,727.6,774.0,255.05,MOLDTKPAC
2021-10-11,764.8,768.0,723.0,727.5,774.0,255.05,MOLDTKPAC
2021-10-08,678.2,774.0,666.0,743.1,774.0,255.05,MOLDTKPAC
2021-10-07,675.5,690.0,670.0,673.15,690.0,255.05,MOLDTKPAC
2021-10-06,646.9,678.0,646.9,668.8,678.0,255.05,MOLDTKPAC
2021-10-05,620.9,649.5,620.9,639.55,649.5,255.05,MOLDTKPAC
2021-10-04,594.9,635.0,594.0,620.9,635.0,255.05,MOLDTKPAC
2021-10-01,582.0,592.7,581.9,586.9,603.75,255.05,MOLDTKPAC
2021-09-30,589.7,598.7,573.8,584.85,603.75,255.05,MOLDTKPAC
2021-09-29,581.95,587.0,572.05,583.9,603.75,255.05,MOLDTKPAC
2021-09-28,586.0,592.0,570.45,581.45,603.75,255.05,MOLDTKPAC
2021-09-27,548.0,603.75,542.15,577.45,603.75,255.05,MOLDTKPAC
2021-09-24,540.2,549.05,525.55,531.5,602.2,255.05,MOLDTKPAC
2021-09-23,558.8,559.95,538.0,540.15,602.2,255.05,MOLDTKPAC
2021-09-22,570.95,570.95,537.9,550.75,602.2,255.05,MOLDTKPAC
2021-09-21,540.0,559.85,510.0,547.1,602.2,255.05,MOLDTKPAC
2021-09-20,553.85,564.0,536.5,542.2,602.2,255.05,MOLDTKPAC
2021-09-17,585.8,585.8,557.0,564.75,602.2,255.05,MOLDTKPAC
2021-09-16,580.0,590.0,572.25,578.5,602.2,255.05,MOLDTKPAC
2021-09-15,600.0,602.2,568.9,572.25,602.2,255.05,MOLDTKPAC
2021-09-14,528.7,598.0,523.05,577.6,598.0,255.05,MOLDTKPAC
2021-09-13,509.9,526.0,505.0,521.6,546.0,255.05,MOLDTKPAC
2021-09-09,490.0,504.25,490.0,499.65,546.0,255.05,MOLDTKPAC
2021-09-08,490.0,499.0,477.5,493.45,546.0,255.05,MOLDTKPAC
2021-09-07,493.0,493.0,473.65,481.8,546.0,255.05,MOLDTKPAC
2021-09-06,494.7,494.7,486.8,491.1,546.0,255.05,MOLDTKPAC
2021-09-03,490.0,492.2,487.95,488.5,546.0,255.05,MOLDTKPAC
2021-09-02,483.0,489.4,475.4,484.9,546.0,255.05,MOLDTKPAC
2021-09-01,470.0,490.0,469.3,476.2,546.0,255.05,MOLDTKPAC
2021-08-31,494.9,494.9,471.0,473.3,546.0,255.05,MOLDTKPAC
2021-08-30,490.0,490.0,482.85,489.35,546.0,255.05,MOLDTKPAC
2021-08-27,481.0,490.9,477.95,481.6,546.0,255.05,MOLDTKPAC
2021-08-26,490.0,490.55,480.6,486.1,546.0,255.05,MOLDTKPAC
2021-08-25,484.0,484.0,472.1,480.9,546.0,255.05,MOLDTKPAC
2021-08-24,451.0,475.95,445.4,471.9,546.0,255.05,MOLDTKPAC
2021-08-23,495.0,495.0,447.5,451.0,546.0,255.05,MOLDTKPAC
2021-08-20,489.0,492.05,476.65,481.2,546.0,255.05,MOLDTKPAC
2021-08-18,498.0,498.75,484.35,490.4,546.0,255.05,MOLDTKPAC
2021-08-17,490.15,500.0,490.15,495.45,546.0,255.05,MOLDTKPAC
2021-08-16,500.0,500.0,490.0,495.7,546.0,255.05,MOLDTKPAC
2021-08-13,503.0,503.0,490.0,498.95,546.0,255.05,MOLDTKPAC
2021-08-12,502.9,503.95,496.4,498.2,546.0,255.05,MOLDTKPAC
2021-08-11,506.0,516.1,475.2,499.6,546.0,255.05,MOLDTKPAC
2021-08-10,528.3,528.3,500.0,505.45,546.0,255.05,MOLDTKPAC
2021-08-09,532.5,532.5,512.55,514.1,546.0,255.05,MOLDTKPAC
2021-08-06,530.0,530.0,510.5,517.95,546.0,216.75,MOLDTKPAC
2021-08-05,515.0,524.95,505.65,522.95,546.0,216.75,MOLDTKPAC
2021-08-04,527.45,534.9,515.0,515.95,546.0,216.75,MOLDTKPAC
2021-08-03,535.0,542.95,525.0,527.45,546.0,216.75,MOLDTKPAC
2021-08-02,535.0,543.0,526.0,527.75,546.0,216.75,MOLDTKPAC
2021-07-30,529.7,537.6,515.0,527.3,546.0,213.0,MOLDTKPAC
2021-07-29,516.6,540.0,515.0,527.6,546.0,213.0,MOLDTKPAC
2021-07-28,510.2,537.7,502.75,510.45,546.0,213.0,MOLDTKPAC
2021-07-27,523.0,527.55,503.35,509.4,546.0,213.0,MOLDTKPAC
2021-07-26,530.0,535.45,518.55,520.5,546.0,213.0,MOLDTKPAC
2021-07-23,522.1,529.7,522.1,525.2,546.0,205.9,MOLDTKPAC
2021-07-22,519.95,534.1,519.2,522.05,546.0,205.9,MOLDTKPAC
2021-07-20,522.0,524.25,500.35,512.0,546.0,205.9,MOLDTKPAC
2021-07-19,529.7,529.7,516.45,521.55,546.0,205.9,MOLDTKPAC
2021-07-16,530.0,530.0,514.6,520.25,546.0,195.65,MOLDTKPAC
2021-07-15,535.0,541.0,518.25,520.2,546.0,195.65,MOLDTKPAC
2021-07-14,523.7,546.0,520.25,530.75,546.0,195.65,MOLDTKPAC
2021-07-13,519.95,523.7,514.4,520.2,529.0,195.65,MOLDTKPAC
2021-07-12,513.85,523.45,510.2,515.9,529.0,195.65,MOLDTKPAC
2021-07-09,509.9,512.9,500.15,507.2,529.0,195.65,MOLDTKPAC
2021-07-08,507.25,510.7,501.5,507.15,529.0,195.65,MOLDTKPAC
2021-07-07,517.9,517.9,500.0,503.2,529.0,195.65,MOLDTKPAC
2021-07-06,493.05,529.0,493.05,503.6,529.0,195.65,MOLDTKPAC
2021-07-05,489.0,496.6,485.0,486.55,524.7,195.65,MOLDTKPAC
2021-07-02,487.9,488.4,480.0,485.85,524.7,195.65,MOLDTKPAC
2021-07-01,484.9,516.5,479.1,483.2,524.7,195.65,MOLDTKPAC
2021-06-30,489.7,489.7,464.85,478.55,524.7,195.65,MOLDTKPAC
2021-06-29,488.2,488.2,480.4,483.8,524.7,195.65,MOLDTKPAC
2021-06-28,489.7,489.7,479.2,482.35,524.7,195.65,MOLDTKPAC
2021-06-25,490.0,490.0,482.15,486.65,524.7,189.55,MOLDTKPAC
2021-06-24,478.0,488.2,478.0,482.6,524.7,189.55,MOLDTKPAC
2021-06-23,485.0,489.5,478.6,481.8,524.7,189.55,MOLDTKPAC
2021-06-22,498.85,499.0,478.0,485.6,524.7,189.55,MOLDTKPAC
2021-06-21,481.0,486.0,467.0,483.8,524.7,189.55,MOLDTKPAC
2021-06-18,482.0,489.25,467.0,481.65,524.7,183.55,MOLDTKPAC
2021-06-17,495.0,498.0,477.0,480.2,524.7,183.55,MOLDTKPAC
2021-06-16,503.0,503.9,490.55,492.4,524.7,183.55,MOLDTKPAC
2021-06-15,500.0,503.0,492.7,497.6,524.7,183.55,MOLDTKPAC
2021-06-14,500.0,500.0,488.65,493.1,524.7,183.55,MOLDTKPAC
2021-06-11,501.0,503.05,495.8,500.0,524.7,179.5,MOLDTKPAC
2021-06-10,487.25,511.9,487.25,492.65,524.7,179.5,MOLDTKPAC
2021-06-09,490.0,504.45,485.05,487.25,524.7,179.5,MOLDTKPAC
2021-06-08,506.2,507.6,483.15,493.9,524.7,179.5,MOLDTKPAC
2021-06-07,507.0,508.65,492.9,496.45,524.7,179.5,MOLDTKPAC
2021-06-04,507.0,509.5,493.9,498.35,524.7,172.5,MOLDTKPAC
2021-06-03,485.4,504.35,483.35,502.55,524.7,172.5,MOLDTKPAC
2021-06-02,490.0,491.55,477.0,479.6,524.7,172.5,MOLDTKPAC
2021-06-01,505.0,505.0,483.0,484.25,524.7,172.5,MOLDTKPAC
2021-05-31,479.0,498.85,479.0,495.25,524.7,172.5,MOLDTKPAC
2021-05-28,497.0,497.0,474.8,479.65,524.7,164.55,MOLDTKPAC
2021-05-27,504.0,509.45,483.0,486.35,524.7,164.55,MOLDTKPAC
2021-05-26,496.0,509.45,486.2,490.8,524.7,164.55,MOLDTKPAC
2021-05-25,510.0,524.7,492.7,500.15,524.7,164.55,MOLDTKPAC
2021-05-24,484.0,522.2,464.7,508.05,522.2,164.55,MOLDTKPAC
2021-05-21,484.5,484.5,464.0,471.55,490.35,161.6,MOLDTKPAC
2021-05-20,487.0,490.35,465.15,467.4,490.35,161.6,MOLDTKPAC
2021-05-19,480.0,484.85,471.0,477.05,490.0,161.6,MOLDTKPAC
2021-05-18,476.6,485.0,475.25,477.85,490.0,161.6,MOLDTKPAC
2021-05-17,474.7,487.15,463.6,485.2,490.0,161.6,MOLDTKPAC
2021-05-14,479.0,485.55,458.15,464.15,490.0,161.6,MOLDTKPAC
2021-05-12,461.55,480.0,461.55,474.7,490.0,161.6,MOLDTKPAC
2021-05-11,480.0,482.0,454.4,473.0,490.0,161.6,MOLDTKPAC
2021-05-10,453.0,475.0,448.35,474.0,490.0,161.6,MOLDTKPAC
2021-05-07,468.85,470.5,451.1,453.0,490.0,161.6,MOLDTKPAC
2021-05-06,467.9,469.95,458.05,460.9,490.0,161.6,MOLDTKPAC
2021-05-05,451.05,474.1,451.05,461.75,490.0,161.6,MOLDTKPAC
2021-05-04,490.0,490.0,451.15,455.8,490.0,161.6,MOLDTKPAC
2021-05-03,445.5,476.8,435.55,474.15,476.8,161.6,MOLDTKPAC
2021-04-30,459.5,459.5,445.0,445.55,460.0,161.6,MOLDTKPAC
2021-04-29,433.8,460.0,431.15,458.55,460.0,161.6,MOLDTKPAC
2021-04-28,414.85,432.0,414.05,430.15,434.45,161.6,MOLDTKPAC
2021-04-27,414.85,414.85,403.0,412.2,434.45,161.6,MOLDTKPAC
2021-04-26,407.85,414.85,405.0,413.3,434.45,161.6,MOLDTKPAC
2021-04-23,407.3,418.5,405.0,405.95,434.45,161.6,MOLDTKPAC
2021-04-22,400.2,406.6,396.6,405.05,434.45,161.6,MOLDTKPAC
2021-04-20,414.0,414.0,400.0,400.2,434.45,161.6,MOLDTKPAC
2021-04-19,403.0,408.0,390.7,400.5,434.45,161.6,MOLDTKPAC
2021-04-16,400.0,412.0,400.0,410.65,434.45,136.0,MOLDTKPAC
2021-04-15,424.85,424.85,395.0,401.6,434.45,136.0,MOLDTKPAC
2021-04-13,413.15,423.5,408.0,412.9,434.45,136.0,MOLDTKPAC
2021-04-12,410.8,428.0,389.35,413.15,434.45,136.0,MOLDTKPAC
2021-04-09,409.95,434.45,397.4,414.95,434.45,136.0,MOLDTKPAC
2021-04-08,409.95,410.15,401.5,403.5,429.75,136.0,MOLDTKPAC
2021-04-07,387.3,409.7,387.3,405.55,429.75,136.0,MOLDTKPAC
2021-04-06,400.5,410.0,388.0,390.4,429.75,136.0,MOLDTKPAC
2021-04-05,390.1,399.95,386.2,393.3,429.75,136.0,MOLDTKPAC
2021-04-01,401.95,401.95,390.1,394.8,429.75,136.0,MOLDTKPAC
2021-03-31,403.0,403.0,391.55,393.0,429.75,136.0,MOLDTKPAC
2021-03-30,394.9,405.0,389.9,393.2,429.75,136.0,MOLDTKPAC
2021-03-26,404.9,409.7,383.65,389.8,429.75,136.0,MOLDTKPAC
2021-03-25,399.85,408.0,382.4,404.9,429.75,136.0,MOLDTKPAC
2021-03-24,400.05,404.65,390.25,391.9,429.75,136.0,MOLDTKPAC
2021-03-23,398.0,406.0,387.35,403.55,429.75,136.0,MOLDTKPAC
2021-03-22,390.75,400.65,390.75,392.25,429.75,136.0,MOLDTKPAC
2021-03-19,393.95,399.2,385.5,394.85,429.75,136.0,MOLDTKPAC
2021-03-18,407.1,412.2,390.6,393.95,429.75,136.0,MOLDTKPAC
2021-03-17,420.65,420.95,399.2,400.7,429.75,136.0,MOLDTKPAC
2021-03-16,392.15,417.0,390.0,413.1,429.75,136.0,MOLDTKPAC
2021-03-15,405.0,409.85,388.65,392.9,429.75,136.0,MOLDTKPAC
2021-03-12,419.9,419.9,400.9,404.05,429.75,136.0,MOLDTKPAC
2021-03-10,409.95,413.5,403.35,408.4,429.75,136.0,MOLDTKPAC
2021-03-09,428.95,429.75,405.0,406.25,429.75,136.0,MOLDTKPAC
2021-03-08,413.9,425.0,413.15,421.95,425.0,136.0,MOLDTKPAC
2021-03-05,402.45,422.0,393.0,410.1,422.0,136.0,MOLDTKPAC
2021-03-04,407.8,407.8,394.1,398.1,412.55,136.0,MOLDTKPAC
2021-03-03,398.7,412.0,392.0,396.0,412.55,136.0,MOLDTKPAC
2021-03-02,407.0,409.15,393.15,398.7,412.55,136.0,MOLDTKPAC
2021-03-01,405.0,408.85,383.6,405.6,412.55,136.0,MOLDTKPAC
2021-02-26,398.25,402.0,387.0,390.05,412.55,136.0,MOLDTKPAC
2021-02-25,390.0,404.0,384.15,398.25,412.55,136.0,MOLDTKPAC
2021-02-24,380.0,387.85,376.0,382.95,412.55,136.0,MOLDTKPAC
2021-02-23,382.35,387.0,374.15,377.35,412.55,136.0,MOLDTKPAC
2021-02-22,400.95,402.4,384.0,387.35,412.55,136.0,MOLDTKPAC
2021-02-19,389.0,406.5,389.0,395.0,412.55,136.0,MOLDTKPAC
2021-02-18,381.0,401.0,378.6,391.4,412.55,136.0,MOLDTKPAC
2021-02-17,391.6,391.6,375.1,380.2,412.55,136.0,MOLDTKPAC
2021-02-16,387.75,397.75,374.95,381.6,412.55,136.0,MOLDTKPAC
2021-02-15,394.6,394.6,385.0,387.75,412.55,136.0,MOLDTKPAC
2021-02-12,400.0,412.55,391.2,394.6,412.55,136.0,MOLDTKPAC
2021-02-11,377.7,399.0,377.7,397.25,399.0,136.0,MOLDTKPAC
2021-02-10,360.95,386.25,356.75,373.45,386.25,136.0,MOLDTKPAC
2021-02-09,334.05,359.8,334.05,356.0,359.8,136.0,MOLDTKPAC
2021-02-08,349.0,349.0,328.0,334.05,350.0,136.0,MOLDTKPAC
2021-02-05,350.0,350.0,337.75,345.85,350.0,136.0,MOLDTKPAC
2021-02-04,348.55,350.0,340.0,343.55,350.0,136.0,MOLDTKPAC
2021-02-03,341.45,347.45,332.5,343.25,348.9,136.0,MOLDTKPAC
2021-02-02,338.0,345.8,337.0,341.45,348.9,136.0,MOLDTKPAC
2021-02-01,339.0,343.4,331.35,336.65,348.9,136.0,MOLDTKPAC
2021-01-29,345.0,345.0,330.0,331.25,348.9,136.0,MOLDTKPAC
2021-01-28,329.45,344.0,318.05,341.05,348.9,136.0,MOLDTKPAC
2021-01-27,320.0,331.0,312.05,329.45,348.9,136.0,MOLDTKPAC
2021-01-25,343.1,346.0,313.55,319.95,348.9,136.0,MOLDTKPAC
2021-01-22,344.0,348.7,340.4,344.85,348.9,136.0,MOLDTKPAC
2021-01-21,331.75,348.9,331.0,338.3,348.9,136.0,MOLDTKPAC
2021-01-20,328.0,338.0,324.3,327.15,348.8,136.0,MOLDTKPAC
2021-01-19,334.0,348.8,320.55,326.75,348.8,136.0,MOLDTKPAC
