DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,158.8,158.9,157.1,157.7,157.7,168.8,102.8,MOM50
2021-07-15,156.0,158.0,155.54,157.64,157.06,168.8,102.8,MOM50
2021-07-14,159.95,159.95,155.0,157.37,157.53,168.8,102.8,MOM50
2021-07-13,158.85,158.85,155.3,157.0,156.97,168.8,102.8,MOM50
2021-07-12,156.07,156.83,154.77,155.8,155.26,168.8,102.8,MOM50
2021-07-09,157.75,157.75,154.35,155.93,155.95,168.8,101.23,MOM50
2021-07-08,158.0,158.0,154.71,155.92,154.97,168.8,101.23,MOM50
2021-07-07,154.25,157.8,154.25,156.41,156.71,168.8,101.23,MOM50
2021-07-06,154.32,158.45,154.32,156.88,156.07,168.8,101.23,MOM50
2021-07-05,155.0,157.11,155.0,156.95,156.89,168.8,101.23,MOM50
2021-07-02,156.77,157.9,154.47,154.71,154.71,168.8,99.53,MOM50
2021-07-01,158.38,158.38,154.0,155.6,154.62,168.8,99.53,MOM50
2021-06-30,158.84,158.84,155.42,156.0,156.0,168.8,99.53,MOM50
2021-06-29,158.7,158.7,155.25,156.44,156.42,168.8,99.53,MOM50
2021-06-28,153.65,157.27,153.65,156.96,157.0,168.8,99.53,MOM50
2021-06-25,153.54,157.22,153.54,156.4,156.4,168.8,97.52,MOM50
2021-06-24,156.3,157.78,155.56,156.58,156.58,168.8,97.52,MOM50
2021-06-23,158.75,158.75,154.75,155.61,155.51,168.8,97.52,MOM50
2021-06-22,157.85,157.85,155.75,156.21,156.29,168.8,97.52,MOM50
2021-06-21,157.75,157.75,153.52,156.12,155.17,168.8,97.52,MOM50
2021-06-18,156.0,156.5,153.0,155.91,155.82,168.8,94.1,MOM50
2021-06-17,162.1,168.8,154.5,155.36,155.36,168.8,94.1,MOM50
2021-06-16,156.0,156.95,151.47,155.55,155.82,166.2,94.1,MOM50
2021-06-15,159.05,159.05,156.13,157.24,157.18,166.2,94.1,M50
2021-06-14,155.45,158.85,154.0,156.84,156.78,166.2,94.1,M50
2021-06-11,156.0,156.62,155.2,155.55,155.51,166.2,94.1,M50
2021-06-10,152.2,156.0,152.2,156.0,155.0,166.2,94.1,M50
2021-06-09,156.0,156.3,154.05,154.05,154.05,166.2,94.1,M50
2021-06-08,156.05,158.0,154.55,155.0,155.23,166.2,94.1,M50
2021-06-07,153.75,156.0,153.75,154.89,155.62,166.2,94.1,M50
2021-06-04,154.97,156.0,153.75,155.1,155.1,166.2,93.0,M50
2021-06-03,153.53,155.12,153.53,155.12,155.12,166.2,93.0,M50
2021-06-02,155.0,155.0,152.27,155.0,154.44,166.2,93.0,M50
2021-06-01,154.05,155.0,153.33,154.5,154.25,166.2,93.0,M50
2021-05-31,158.6,166.2,151.81,153.3,153.3,166.2,93.0,M50
2021-05-28,151.55,152.83,150.45,152.6,152.5,163.1,88.4,M50
2021-05-27,152.53,152.53,149.45,150.64,151.15,163.1,88.4,M50
2021-05-26,152.2,152.2,149.45,150.5,150.5,163.1,88.4,M50
2021-05-25,163.1,163.1,148.95,149.99,149.99,163.1,88.4,M50
2021-05-24,148.19,150.0,145.25,149.42,149.61,156.7,88.4,M50
2021-05-21,143.45,149.0,143.45,148.2,148.19,156.7,86.0,M50
2021-05-20,144.55,149.95,144.55,146.05,146.34,156.7,86.0,M50
2021-05-19,146.2,148.35,146.05,147.36,147.07,156.7,86.0,M50
2021-05-18,148.03,148.13,146.0,146.5,147.25,156.7,86.0,M50
2021-05-17,148.4,148.4,144.33,145.69,145.69,156.7,86.0,M50
2021-05-14,142.0,145.0,142.0,144.15,144.13,156.7,86.0,M50
2021-05-12,148.1,148.1,143.56,143.56,143.8,156.7,86.0,M50
2021-05-11,149.35,149.35,145.0,145.17,145.17,156.7,86.0,M50
2021-05-10,151.6,151.6,145.95,146.23,146.41,156.7,86.0,M50
2021-05-07,150.5,155.0,141.05,145.85,145.75,156.7,86.0,M50
2021-05-06,147.0,147.0,143.41,144.93,144.72,156.7,86.0,M50
2021-05-05,142.56,143.55,142.3,143.3,143.3,156.7,86.0,M50
2021-05-04,144.5,144.57,142.1,142.1,142.56,156.7,86.0,M50
2021-05-03,156.7,156.7,141.97,143.32,143.59,156.7,86.0,M50
2021-04-30,145.77,145.77,143.22,143.22,143.78,153.1,85.0,M50
2021-04-29,148.85,148.85,142.05,145.58,145.77,153.1,85.0,M50
2021-04-28,144.0,146.23,142.95,145.9,145.9,153.1,85.0,M50
2021-04-27,143.0,144.0,142.0,144.0,143.28,153.1,85.0,M50
2021-04-26,131.1,146.6,131.1,142.0,141.96,153.1,85.0,M50
2021-04-23,142.0,142.8,139.0,141.29,141.0,153.1,85.0,M50
2021-04-22,140.0,141.68,139.32,140.85,141.57,153.1,85.0,M50
2021-04-20,144.05,145.53,138.39,139.79,139.98,153.1,85.0,M50
2021-04-19,142.95,143.99,139.11,141.5,141.3,153.1,85.0,M50
2021-04-16,142.0,144.7,142.0,144.03,143.94,153.1,84.5,M50
2021-04-15,148.5,150.0,140.99,143.22,143.17,153.1,84.5,M50
2021-04-13,146.1,148.0,137.65,142.14,142.78,153.1,84.5,M50
2021-04-12,148.9,148.9,137.05,140.72,140.44,153.1,84.5,M50
2021-04-09,148.0,148.0,145.0,145.95,145.95,153.1,81.0,M50
2021-04-08,148.0,148.0,145.34,145.34,145.64,153.1,81.0,M50
2021-04-07,143.95,147.0,143.95,146.28,146.28,153.1,81.0,M50
2021-04-06,145.55,146.0,143.54,144.63,144.62,153.1,81.0,M50
2021-04-05,148.0,148.0,141.0,142.56,142.7,153.1,81.0,M50
2021-04-01,144.05,145.9,141.6,145.5,145.51,153.1,79.55,M50
2021-03-31,142.95,145.0,141.22,144.99,144.95,153.1,79.55,M50
2021-03-30,145.55,145.55,142.1,143.1,143.26,153.1,79.55,M50
2021-03-26,143.2,144.0,138.5,142.16,141.47,153.1,75.3,M50
2021-03-25,146.7,146.7,139.25,140.04,140.36,153.1,75.3,M50
2021-03-24,143.93,143.93,142.15,142.26,142.26,153.1,75.3,M50
2021-03-23,144.0,144.9,143.6,144.0,144.0,153.1,75.3,M50
2021-03-22,146.4,146.4,142.01,144.05,143.12,153.1,75.3,M50
2021-03-19,148.4,148.4,139.0,143.78,143.5,153.1,75.3,M50
2021-03-18,144.2,146.2,141.2,142.1,142.08,153.1,75.3,M50
2021-03-17,145.95,145.95,143.0,144.0,143.3,153.1,75.3,M50
2021-03-16,148.9,148.9,144.0,146.11,145.6,153.1,75.3,M50
2021-03-15,148.95,149.3,143.55,146.06,145.94,153.1,75.3,M50
2021-03-12,150.35,153.1,145.29,146.6,146.03,153.1,75.3,M50
2021-03-10,148.0,148.38,146.35,148.0,147.39,151.9,75.3,M50
2021-03-09,146.59,147.34,145.95,146.86,147.03,151.9,75.3,M50
2021-03-08,148.9,149.9,145.6,146.36,146.36,151.9,75.3,M50
2021-03-05,147.4,147.4,145.32,145.32,145.95,151.9,75.3,M50
2021-03-04,151.6,151.6,146.02,147.4,147.4,151.9,75.3,M50
2021-03-03,144.5,148.62,144.5,148.61,148.61,151.9,75.3,M50
2021-03-02,145.9,145.95,142.6,145.43,145.42,151.9,75.3,M50
2021-03-01,147.6,148.2,142.1,143.71,144.25,151.9,75.3,M50
2021-02-26,141.44,149.5,141.44,141.5,141.95,151.9,75.3,M50
2021-02-25,142.3,150.0,142.3,147.08,147.29,151.9,75.3,M50
2021-02-24,143.35,150.15,143.35,150.15,149.78,151.9,75.3,M50
2021-02-23,143.69,146.0,142.51,142.89,142.95,151.9,75.3,M50
2021-02-22,149.45,149.45,143.1,143.16,143.69,151.9,75.3,M50
2021-02-19,147.06,147.56,145.15,146.75,146.55,151.9,75.3,M50
2021-02-18,151.9,151.9,147.05,147.08,147.28,151.9,75.3,M50
2021-02-17,149.22,149.22,148.0,148.1,148.44,150.0,75.3,M50
2021-02-16,149.95,150.0,148.51,149.0,149.22,150.0,75.3,M50
